parent_id,child_id,quantity_per,level,scrap_rate
MOD0002,MAT00011,1.19,3,0.0
MOD0003,PRT00032,1.48,3,0.01
MOD0003,CMP00045,2.51,3,0.0
MOD0003,PRT00013,2.31,3,0.0
MOD0004,CMP00005,2.37,3,0.0
MOD0004,CMP00023,2.76,3,0.01
MOD0004,MAT00036,2.84,3,0.01
SUB0001,MOD0001,1.94,2,0.01
SUB0002,MOD0002,1.65,2,0.01
SUB0003,MOD0003,1.02,2,0.01
SUB0004,MOD0004,1.1,2,0.01
ASM0001,SUB0003,1.28,1,0.02
ASM0002,SUB0001,1.09,1,0.0
ASM0002,SUB0008,1.29,1,0.01
ASM0003,SUB0001,2.21,1,0.02
ASM0003,SUB0008,1.27,1,0.0
ASM0003,SUB0002,1.94,1,0.01
ASM0004,SUB0003,1.08,1,0.01
ASM0005,SUB0005,2.24,1,0.01
ASM0006,SUB0001,1.42,1,0.0
ASM0006,SUB0002,1.21,1,0.0
ASM0006,SUB0007,1.02,1,0.02
ASM0007,SUB0005,1.39,1,0.02
ASM0007,SUB0003,1.39,1,0.0
ASM0007,SUB0002,1.69,1,0.0
ASM0008,SUB0002,2.17,1,0.02
ASM0009,SUB0001,1.59,1,0.01
ASM0010,SUB0005,2.27,1,0.02
ASM0011,SUB0003,1.36,1,0.0
ASM0012,SUB0007,1.5,1,0.0
ASM0012,SUB0002,1.97,1,0.01
ASM0012,SUB0005,2.28,1,0.0
ASM0001,CMP00060,8.0,1,0.0
ASM0001,CMP00064,8.0,1,0.0
ASM0001,MAT00062,8.0,1,0.0
ASM0001,MAT00066,8.0,1,0.0
ASM0002,PRT00061,6.0,1,0.0
ASM0002,PRT00065,6.0,1,0.0
ASM0002,RAW00059,6.0,1,0.0
ASM0002,RAW00063,6.0,1,0.0
