component_id,supplier_id,min_qty,max_qty,unit_price
RAW00041,SUP006,50,199,2.6128
RAW00041,SUP006,200,999999,2.414
CMP00042,SUP007,1,49,3.61
CMP00042,SUP007,50,199,3.3212
CMP00042,SUP007,200,999999,3.0685
PRT00043,SUP008,1,49,15.22
PRT00043,SUP008,50,199,14.0024
PRT00043,SUP008,200,999999,12.937
MAT00044,SUP009,1,49,67.45
MAT00044,SUP009,50,199,62.054
MAT00044,SUP009,200,999999,57.3325
CMP00045,SUP010,1,49,33.15
CMP00045,SUP010,50,199,30.498
CMP00045,SUP010,200,999999,28.1775
PRT00046,SUP011,1,49,12.95
PRT00046,SUP011,50,199,11.914
PRT00046,SUP011,200,999999,11.0075
MAT00047,SUP012,1,49,37.04
MAT00047,SUP012,50,199,34.0768
MAT00047,SUP012,200,999999,31.484
RAW00048,SUP001,1,49,281.08
RAW00048,SUP001,50,199,258.5936
RAW00048,SUP001,200,999999,238.918
CMP00049,SUP002,1,49,24.97
CMP00049,SUP002,50,199,22.9724
CMP00049,SUP002,200,999999,21.2245
PRT00050,SUP003,1,49,32.94
PRT00050,SUP003,50,199,30.3048
PRT00050,SUP003,200,999999,27.999
MAT00051,SUP004,1,49,47.85
MAT00051,SUP004,50,199,44.022
MAT00051,SUP004,200,999999,40.6725
RAW00052,SUP005,1,49,10.18
RAW00052,SUP005,50,199,9.3656
RAW00052,SUP005,200,999999,8.653
CMP00053,SUP006,1,49,34.46
CMP00053,SUP006,50,199,31.7032
CMP00053,SUP006,200,999999,29.291
PRT00054,SUP007,1,49,132.17
PRT00054,SUP007,50,199,121.5964
PRT00054,SUP007,200,999999,112.3445
MAT00055,SUP008,1,49,160.75
MAT00055,SUP008,50,199,147.89
MAT00055,SUP008,200,999999,136.6375
CMP00056,SUP009,1,49,59.22
CMP00056,SUP009,50,199,54.4824
CMP00056,SUP009,200,999999,50.337
PRT00057,SUP010,1,49,156.9
PRT00057,SUP010,50,199,144.348
PRT00057,SUP010,200,999999,133.365
MAT00058,SUP011,1,49,4.58
MAT00058,SUP011,50,199,4.2136
MAT00058,SUP011,200,999999,3.893
