facility_id,reading_date,kwh_consumed,kvar_reactive,peak_demand_kw,solar_kwh
F001,2024-02-15,1146.7,459.7,353.8,0.0
F001,2024-02-16,1386.4,419.4,370.2,0.0
F001,2024-02-17,,169.4,,0.0
F001,2024-02-18,,170.1,,0.0
F001,2024-02-19,1281.1,577.3,315.7,0.0
F001,2024-02-20,1284.7,560.1,345.7,0.0
F001,2024-02-21,1363.2,394.3,286.5,0.0
F001,2024-02-22,1479.3,236.7,283.5,0.0
F001,2024-02-23,1072.9,280.3,348.8,0.0
F001,2024-02-24,,185.0,177.1,0.0
F001,2024-02-25,717.8,165.8,168.2,0.0
F001,2024-02-26,1372.5,221.7,356.9,0.0
F001,2024-02-27,1676.7,230.7,394.4,0.0
F001,2024-02-28,1110.4,357.9,278.5,0.0
F001,2024-02-29,1338.9,220.6,366.2,0.0
F001,2024-03-01,1419.5,249.6,340.7,0.0
F001,2024-03-02,789.4,139.0,204.6,0.0
F001,2024-03-03,707.2,292.2,260.5,0.0
F001,2024-03-04,1060.2,446.8,341.6,0.0
F001,2024-03-05,1226.7,471.1,312.4,0.0
F001,2024-03-06,1499.1,247.4,291.3,0.0
F001,2024-03-07,1144.5,276.8,299.3,0.0
F001,2024-03-08,1333.8,251.6,416.2,0.0
F001,2024-03-09,1090.5,179.3,191.6,0.0
F001,2024-03-10,955.6,339.2,194.0,0.0
F001,2024-03-11,1416.0,252.8,292.1,0.0
F001,2024-03-12,,424.5,332.2,0.0
F001,2024-03-13,1040.3,338.1,417.5,0.0
F001,2024-03-14,1629.7,399.4,351.4,0.0
F001,2024-03-15,1689.2,256.7,413.3,0.0
F001,2024-03-16,677.9,287.1,244.2,0.0
F001,2024-03-17,752.2,177.5,181.3,0.0
F001,2024-03-18,1290.2,366.9,398.6,0.0
F001,2024-03-19,1378.0,512.9,302.0,0.0
F001,2024-03-20,1311.4,578.2,342.6,0.0
F001,2024-03-21,1517.6,262.8,307.7,0.0
F001,2024-03-22,1742.7,267.9,383.7,0.0
F001,2024-03-23,659.8,337.4,225.6,0.0
F001,2024-03-24,702.2,167.7,255.7,0.0
F001,2024-03-25,1180.6,501.6,372.6,0.0
F001,2024-03-26,1199.7,280.2,309.5,0.0
F001,2024-03-27,1377.5,268.6,410.3,0.0
F001,2024-03-28,1002.0,588.8,397.7,0.0
F001,2024-03-29,1584.9,442.5,277.1,0.0
F001,2024-03-30,1155.0,254.1,264.3,0.0
F001,2024-03-31,709.9,366.1,263.8,0.0
F001,2024-04-01,,535.6,,0.0
F001,2024-04-02,1482.0,347.9,417.2,0.0
F001,2024-04-03,1210.0,263.5,336.6,0.0
F001,2024-04-04,1810.3,,321.1,0.0
F001,2024-04-05,1169.5,266.7,424.3,0.0
F001,2024-04-06,943.4,151.5,234.8,0.0
F001,2024-04-07,775.5,143.4,189.5,0.0
F001,2024-04-08,1689.1,421.1,336.8,0.0
F001,2024-04-09,1149.7,559.8,290.0,0.0
F001,2024-04-10,1574.7,216.0,329.1,0.0
F001,2024-04-11,1038.2,,296.9,0.0
F001,2024-04-12,1710.3,473.9,289.4,0.0
F001,2024-04-13,1067.8,355.5,264.0,0.0
F001,2024-04-14,825.2,137.1,268.6,0.0
F001,2024-04-16,1521.7,572.5,331.3,0.0
F001,2024-04-17,1344.9,315.8,360.4,0.0
F001,2024-04-18,1393.9,595.5,309.4,0.0
F001,2024-04-19,1438.6,,412.8,0.0
F001,2024-04-20,965.7,202.5,239.1,0.0
F001,2024-04-21,,206.4,,0.0
F001,2024-04-22,1516.0,433.4,305.9,0.0
F001,2024-04-23,1024.2,575.6,282.2,0.0
F001,2024-04-24,1593.0,581.5,288.9,0.0
F001,2024-04-25,1055.5,509.0,287.3,0.0
F001,2024-04-26,1353.2,351.8,308.4,0.0
F001,2024-04-27,928.6,384.0,242.5,0.0
F001,2024-04-29,1532.2,409.6,267.5,0.0
F001,2024-04-30,1107.4,504.9,271.6,0.0
F001,2024-05-01,1262.8,534.2,410.8,0.0
F001,2024-05-02,1365.2,582.7,282.0,0.0
F001,2024-05-03,1208.0,564.4,361.7,0.0
F001,2024-05-04,1079.8,200.3,270.5,0.0
F001,2024-05-05,1226.0,322.2,177.3,0.0
F001,2024-05-06,1860.7,492.3,271.7,0.0
F001,2024-05-07,1886.4,560.0,349.7,0.0
F001,2024-05-08,1075.6,300.1,371.4,0.0
F001,2024-05-09,1346.3,232.4,394.1,0.0
F001,2024-05-10,1327.4,569.8,376.6,0.0
F001,2024-05-12,690.0,275.0,273.5,0.0
F001,2024-05-13,1356.0,370.8,401.6,0.0
F001,2024-05-14,1922.0,377.3,401.8,0.0
F001,2024-05-15,1141.3,323.6,328.6,0.0
F001,2024-05-18,926.1,315.2,217.0,0.0
F001,2024-05-19,729.6,368.5,220.8,0.0
F001,2024-05-20,1191.8,300.8,441.3,0.0
F001,2024-05-21,1500.7,278.1,306.6,0.0
F001,2024-05-22,1355.5,604.0,276.0,0.0
F001,2024-05-23,1198.0,517.3,335.9,0.0
F001,2024-05-24,1243.1,426.3,305.4,0.0
F001,2024-05-25,1187.4,168.2,203.3,0.0
F001,2024-05-26,1147.9,280.8,248.2,0.0
F001,2024-05-27,1274.7,409.4,393.9,0.0
F001,2024-05-28,1110.6,409.1,416.5,0.0
F001,2024-05-29,1353.4,438.1,385.8,0.0
F001,2024-05-30,1631.0,562.1,416.4,0.0
F001,2024-05-31,1650.4,515.0,375.3,0.0
F001,2024-06-01,713.3,168.0,275.0,0.0
F001,2024-06-02,,269.2,,0.0
F001,2024-06-03,1970.8,312.4,387.8,0.0
F001,2024-06-04,1168.7,428.1,411.3,0.0
F001,2024-06-05,1925.7,,291.5,0.0
F001,2024-06-06,1720.3,444.9,285.1,0.0
F001,2024-06-08,1276.4,333.9,291.9,0.0
F001,2024-06-11,1518.9,486.5,413.0,0.0
F001,2024-06-12,1461.5,272.8,355.0,0.0
F001,2024-06-13,1146.1,474.6,396.6,0.0
F001,2024-06-14,1467.2,378.1,444.5,0.0
F001,2024-06-15,1282.7,372.5,225.8,0.0
F001,2024-06-17,1408.6,400.1,430.1,0.0
F001,2024-06-18,1783.1,552.9,413.1,0.0
F001,2024-06-19,1100.3,459.1,440.4,0.0
F001,2024-06-20,1185.4,382.5,397.6,0.0
F001,2024-06-21,1604.5,533.4,321.8,0.0
F001,2024-06-23,929.9,294.0,234.1,0.0
F001,2024-06-24,1786.1,403.1,280.1,0.0
F001,2024-06-25,1201.2,459.7,363.6,0.0
F001,2024-06-27,,349.7,288.8,0.0
F001,2024-06-28,1192.3,489.0,376.1,0.0
F001,2024-06-29,,322.4,252.6,0.0
F002,2024-01-01,2358.8,1474.0,362.3,28.0
F002,2024-01-02,2169.3,1380.7,,28.2
F002,2024-01-03,1660.8,938.2,487.6,38.2
F002,2024-01-04,2260.0,1677.5,340.4,117.5
F002,2024-01-05,1434.8,1079.1,346.2,106.8
F002,2024-01-06,1197.8,393.6,318.5,106.7
F002,2024-01-07,1589.1,671.6,307.3,47.7
F002,2024-01-08,2154.9,708.0,439.8,91.6
F002,2024-01-09,1615.0,1112.4,463.7,44.7
F002,2024-01-10,2108.7,998.9,327.6,116.9
F002,2024-01-11,1554.9,1069.2,,43.6
F002,2024-01-12,2391.4,839.3,380.3,81.7
F002,2024-01-14,1425.8,979.5,252.8,100.6
F002,2024-01-15,,1156.0,306.7,113.7
F002,2024-01-16,1777.0,607.1,395.3,
F002,2024-01-17,2164.0,1070.3,466.4,71.6
F002,2024-01-19,2242.6,1315.5,335.2,117.0
F002,2024-01-20,1046.7,975.1,280.7,114.5
F002,2024-01-21,1353.2,1042.7,195.9,89.0
F002,2024-01-22,,1298.0,316.4,119.9
F002,2024-01-23,2335.7,1388.4,407.1,107.9
F002,2024-01-24,2311.6,1048.8,452.6,
F002,2024-01-25,1837.2,1340.2,373.5,58.9
F002,2024-01-26,1485.8,1309.6,414.3,81.9
F002,2024-01-27,1282.0,613.0,195.3,58.0
F002,2024-01-28,,887.6,,
F002,2024-01-29,2474.3,1599.8,343.4,26.0
F002,2024-01-30,1705.8,905.0,351.5,100.3
F002,2024-01-31,1724.8,697.2,376.9,38.1
F002,2024-02-01,1572.0,848.1,419.4,119.8
F002,2024-02-03,1699.3,961.3,277.1,111.7
F002,2024-02-04,1609.8,621.9,316.5,45.0
F002,2024-02-05,2264.0,1259.9,323.7,67.1
F002,2024-02-06,1707.6,587.0,323.7,86.7
F002,2024-02-07,2173.8,1667.9,405.1,34.7
F002,2024-02-08,2294.7,704.5,505.4,31.3
F002,2024-02-09,1545.8,775.6,485.7,
F002,2024-02-10,990.3,534.6,303.3,76.2
F002,2024-02-11,1203.2,1088.8,286.1,88.8
F002,2024-02-12,2134.1,757.0,498.6,
F002,2024-02-13,2373.4,1305.9,374.8,102.5
F002,2024-02-14,2665.1,1165.8,492.3,
F002,2024-02-15,,1437.2,471.9,93.6
F002,2024-02-16,1548.2,1181.4,494.4,52.1
F002,2024-02-17,1673.7,1087.3,263.3,108.3
F002,2024-02-18,1241.4,996.9,313.6,
F002,2024-02-19,1654.2,948.5,445.3,121.1
F002,2024-02-20,2579.0,1240.2,403.1,99.4
F002,2024-02-21,1893.7,589.5,318.1,34.5
F002,2024-02-22,1824.9,1053.2,407.0,31.5
F002,2024-02-23,,1435.8,316.7,
F002,2024-02-24,1725.2,468.0,229.3,33.1
F002,2024-02-25,1344.7,957.5,329.2,84.0
F002,2024-02-26,1601.4,1064.8,484.1,40.6
F002,2024-02-27,,1027.1,,70.2
F002,2024-02-28,2100.8,574.1,347.9,45.4
F002,2024-02-29,1575.5,1069.9,415.4,107.6
F002,2024-03-01,2418.6,981.9,412.5,63.0
F002,2024-03-02,1613.0,865.8,246.3,
F002,2024-03-03,1344.3,844.8,290.0,
F002,2024-03-04,,1134.7,467.1,93.3
F002,2024-03-05,1572.5,1632.8,315.7,99.4
F002,2024-03-06,2322.1,755.7,351.8,31.6
F002,2024-03-08,2711.4,1422.9,374.8,87.4
F002,2024-03-09,1602.9,750.8,290.9,25.6
F002,2024-03-10,1460.2,909.4,282.6,107.2
F002,2024-03-11,1767.3,1044.9,390.8,67.8
F002,2024-03-12,1732.8,1284.5,498.3,51.5
F002,2024-03-13,1802.4,1076.8,470.8,110.5
F002,2024-03-14,2174.3,1611.4,518.7,25.8
F002,2024-03-15,1753.2,1503.0,418.8,98.9
F002,2024-03-16,1429.8,1000.7,297.0,88.6
F002,2024-03-18,2404.8,671.7,520.2,63.8
F002,2024-03-19,2264.4,,352.4,104.3
F002,2024-03-21,1739.2,973.0,513.2,55.9
F002,2024-03-22,1949.8,1370.0,406.8,115.1
F002,2024-03-23,965.9,623.4,287.6,105.4
F002,2024-03-24,1016.8,773.5,282.3,80.6
F002,2024-03-25,2530.0,646.9,417.2,27.4
F002,2024-03-26,2139.0,725.8,405.1,56.0
F002,2024-03-27,2416.5,1606.6,521.6,89.3
F002,2024-03-28,2002.7,990.8,488.5,81.8
F002,2024-03-29,1515.2,1492.9,318.2,50.1
F002,2024-03-30,1318.0,977.8,322.0,40.9
F002,2024-03-31,1029.8,726.1,302.3,67.5
F002,2024-04-01,1700.7,,,126.1
F002,2024-04-02,1846.5,840.3,516.6,51.4
F002,2024-04-03,2160.8,630.8,329.2,120.6
F002,2024-04-04,2699.3,1304.7,326.7,
F002,2024-04-05,1863.7,1660.6,478.9,49.8
F002,2024-04-06,1815.8,619.0,294.2,34.2
F002,2024-04-07,1467.0,,282.3,115.6
F002,2024-04-08,1630.7,1103.9,420.4,39.9
F002,2024-04-09,2061.8,1172.0,461.8,28.6
F002,2024-04-11,1786.9,745.2,377.5,57.8
F002,2024-04-12,2672.8,828.2,508.9,
F002,2024-04-13,1384.4,756.9,336.2,76.1
F002,2024-04-14,1649.1,512.8,343.9,78.8
F002,2024-04-15,2566.2,1586.4,407.0,79.9
F002,2024-04-16,2643.6,870.9,516.5,129.0
F002,2024-04-17,2378.6,1054.1,354.7,88.9
F002,2024-04-18,2787.2,1663.8,411.7,94.6
F002,2024-04-19,1735.8,1188.0,324.7,
F002,2024-04-20,1149.7,961.2,329.1,80.7
F002,2024-04-21,1380.5,724.5,259.2,112.1
F002,2024-04-22,1655.4,719.7,373.5,59.7
F002,2024-04-23,1984.2,1088.9,502.7,128.5
F002,2024-04-24,2420.4,756.6,337.0,115.1
F002,2024-04-25,,902.8,432.1,45.0
F002,2024-04-26,2661.9,1444.4,486.5,94.3
F002,2024-04-27,1084.8,699.8,271.7,116.0
F002,2024-04-28,1349.3,903.5,215.2,121.9
F002,2024-04-29,2508.8,580.7,494.8,126.7
F002,2024-04-30,2663.9,1349.4,346.2,
F002,2024-05-01,1970.2,,462.9,56.0
F002,2024-05-02,2462.2,1560.8,,43.2
F002,2024-05-04,1886.2,744.3,337.8,29.5
F002,2024-05-05,1811.4,968.6,311.0,120.8
F002,2024-05-06,2149.2,1235.3,501.6,122.4
F002,2024-05-07,2508.9,1134.9,383.3,34.1
F002,2024-05-08,2372.0,1128.1,,93.4
F002,2024-05-09,1627.1,870.8,361.8,131.2
F002,2024-05-10,,1139.6,,
F002,2024-05-11,1313.4,781.2,330.1,79.8
F002,2024-05-12,1556.1,615.9,231.4,79.2
F002,2024-05-13,1742.3,1002.9,391.5,69.6
F002,2024-05-14,,1631.2,,
F002,2024-05-15,1645.8,1330.2,464.1,35.2
F002,2024-05-16,2128.2,640.1,496.6,31.4
F002,2024-05-17,2051.6,571.9,461.8,93.6
F002,2024-05-18,1123.0,,344.5,82.2
F002,2024-05-19,1441.8,396.2,297.8,36.2
F002,2024-05-20,2700.8,1042.5,483.6,97.8
F002,2024-05-21,2637.4,1521.9,512.3,125.1
F002,2024-05-22,2372.6,1332.3,486.5,64.3
F002,2024-05-23,2030.1,589.1,364.9,
F002,2024-05-24,1983.6,1239.6,480.2,63.2
F002,2024-05-25,1140.4,384.4,284.7,
F002,2024-05-27,1780.6,1408.3,336.0,73.8
F002,2024-05-28,1987.3,1236.5,526.8,115.0
F002,2024-05-29,2083.3,1167.5,406.0,39.7
F002,2024-05-30,,851.3,397.6,44.2
F002,2024-05-31,2314.4,1211.3,407.5,38.0
F002,2024-06-01,1935.3,818.6,350.4,88.5
F002,2024-06-03,2356.2,1641.2,391.3,127.6
F002,2024-06-04,2697.2,1450.9,368.0,54.7
F002,2024-06-05,2959.7,1528.6,449.2,90.7
F002,2024-06-06,2140.5,1112.4,455.5,89.4
F002,2024-06-07,2661.4,1632.3,469.6,46.1
F002,2024-06-08,1845.1,1008.1,230.0,74.6
F002,2024-06-10,2555.6,1336.9,503.4,38.5
F002,2024-06-11,1898.2,570.5,556.6,137.7
F002,2024-06-13,2757.3,720.7,507.5,109.6
F002,2024-06-14,2453.4,1107.2,359.8,
F002,2024-06-15,1144.5,1054.9,339.8,31.3
F002,2024-06-16,1493.5,879.6,,28.8
F002,2024-06-17,1995.1,1602.2,521.7,69.6
F002,2024-06-18,2490.5,1237.1,561.5,64.1
F002,2024-06-19,2227.1,1260.9,472.4,31.3
F002,2024-06-20,2715.7,1143.7,464.9,39.4
F002,2024-06-21,1792.2,,482.3,109.1
F002,2024-06-23,1678.4,976.0,230.1,23.4
F002,2024-06-24,2104.2,1505.2,401.0,59.0
F002,2024-06-25,2127.8,660.6,558.1,102.0
F002,2024-06-26,1613.8,1359.9,377.6,99.6
F002,2024-06-27,,1437.0,363.6,97.1
F002,2024-06-28,2204.2,,443.4,65.4
F002,2024-06-29,1781.6,518.8,346.0,98.6
F002,2024-06-30,1589.5,463.9,264.3,97.9
F003,2024-01-01,1302.3,299.7,316.0,31.2
F003,2024-01-03,1347.0,335.3,257.1,61.4
F003,2024-01-04,1053.8,785.9,332.3,71.9
F003,2024-01-05,1511.8,335.9,418.9,21.7
F003,2024-01-06,689.4,444.4,197.2,
F003,2024-01-07,1055.5,470.2,272.1,22.4
F003,2024-01-08,1401.3,303.8,305.0,42.8
F003,2024-01-09,1096.7,774.8,415.8,98.5
F003,2024-01-10,1372.4,373.7,291.9,34.1
F003,2024-01-11,1771.3,477.0,361.4,87.4
F003,2024-01-12,1465.8,,404.4,26.2
F003,2024-01-13,757.3,359.4,270.3,
F003,2024-01-14,,365.3,215.5,63.3
F003,2024-01-15,1089.6,795.4,396.5,99.3
F003,2024-01-16,1897.0,650.7,422.1,118.1
F003,2024-01-17,1110.3,795.4,359.1,39.0
F003,2024-01-18,1511.9,675.2,419.1,36.2
F003,2024-01-19,1641.9,,281.3,
F003,2024-01-20,1218.4,396.0,190.1,42.2
F003,2024-01-21,928.7,342.4,168.2,86.2
F003,2024-01-22,1934.5,677.2,261.4,57.2
F003,2024-01-23,1561.8,691.4,314.2,45.1
F003,2024-01-24,1216.5,,409.1,
F003,2024-01-25,1821.2,778.9,301.6,78.2
F003,2024-01-26,1297.9,748.7,313.5,114.6
F003,2024-01-27,968.8,380.9,187.5,38.6
F003,2024-01-28,719.3,351.5,268.4,60.9
F003,2024-01-29,1735.5,349.9,364.5,107.6
F003,2024-01-31,,492.2,253.8,72.3
F003,2024-02-01,1356.6,269.3,301.5,95.7
F003,2024-02-02,1858.9,431.2,335.0,54.1
F003,2024-02-03,1240.4,518.3,261.3,98.3
F003,2024-02-04,1026.0,232.9,250.3,
F003,2024-02-05,1631.2,652.2,313.1,98.8
F003,2024-02-06,1936.8,642.9,405.6,94.2
F003,2024-02-07,1871.1,701.9,309.2,40.7
F003,2024-02-08,1723.1,570.4,388.1,118.2
F003,2024-02-09,,282.0,,107.0
F003,2024-02-10,840.4,,249.7,76.9
F003,2024-02-11,1216.8,453.8,190.2,77.5
F003,2024-02-12,1362.0,736.5,311.9,89.9
F003,2024-02-13,,275.0,419.3,90.0
F003,2024-02-14,1401.8,,369.7,96.1
F003,2024-02-15,1475.5,447.0,380.8,26.4
F003,2024-02-16,1659.5,493.2,296.1,97.9
F003,2024-02-17,1287.4,355.6,177.6,39.1
F003,2024-02-18,1122.0,295.5,217.8,61.6
F003,2024-02-19,1341.4,788.6,,82.8
F003,2024-02-20,1161.2,,365.8,87.4
F003,2024-02-21,1699.9,596.1,384.5,52.8
F003,2024-02-22,1173.9,775.9,288.4,96.5
F003,2024-02-23,1703.6,276.8,332.5,80.6
F003,2024-02-24,1203.1,,191.3,121.2
F003,2024-02-25,1148.3,326.0,273.5,
F003,2024-02-26,1642.0,398.5,372.5,94.1
F003,2024-02-27,1088.9,,304.7,48.5
F003,2024-02-28,1635.9,312.1,378.7,118.6
F003,2024-02-29,1578.3,599.7,296.3,
F003,2024-03-01,1981.7,557.6,373.8,49.7
F003,2024-03-02,1000.3,261.2,248.3,96.0
F003,2024-03-03,,276.6,,68.3
F003,2024-03-05,1987.7,679.0,287.9,64.6
F003,2024-03-06,1174.5,625.2,302.3,114.7
F003,2024-03-07,1401.7,545.1,313.8,78.0
F003,2024-03-08,1399.8,780.2,432.9,55.8
F003,2024-03-09,783.2,367.7,220.6,74.5
F003,2024-03-10,1249.9,327.8,262.1,85.9
F003,2024-03-11,1325.6,357.3,290.1,21.4
F003,2024-03-12,1186.9,357.5,272.4,115.6
F003,2024-03-13,1600.5,400.3,378.0,27.3
F003,2024-03-14,1692.7,491.8,368.9,66.7
F003,2024-03-15,1582.4,736.0,342.9,88.1
F003,2024-03-16,928.0,416.1,191.5,43.1
F003,2024-03-17,978.7,451.3,177.0,28.5
F003,2024-03-18,1348.0,657.0,270.8,78.0
F003,2024-03-19,1424.3,510.9,411.0,40.6
F003,2024-03-20,1475.8,752.8,,42.8
F003,2024-03-21,2026.6,616.7,280.9,29.1
F003,2024-03-22,1638.3,,326.6,58.4
F003,2024-03-23,1165.9,421.9,251.4,22.1
F003,2024-03-25,1841.3,304.2,367.4,102.5
F003,2024-03-26,1599.4,628.9,294.2,87.0
F003,2024-03-27,1819.6,676.0,431.9,84.5
F003,2024-03-28,1256.1,653.2,354.0,49.9
F003,2024-03-29,1510.9,540.8,,41.1
F003,2024-03-30,1126.9,269.5,267.7,94.6
F003,2024-03-31,886.2,417.0,197.1,44.4
F003,2024-04-01,1898.5,369.3,416.9,31.4
F003,2024-04-03,,399.2,438.8,82.5
F003,2024-04-04,2005.9,752.3,336.6,130.4
F003,2024-04-05,1204.6,804.9,294.1,57.4
F003,2024-04-06,,318.1,,36.0
F003,2024-04-07,938.8,255.5,258.2,23.4
F003,2024-04-09,1743.7,603.9,380.5,116.0
F003,2024-04-10,1570.7,477.5,407.1,46.7
F003,2024-04-11,1654.1,803.2,315.7,128.7
F003,2024-04-12,1191.0,630.9,360.5,95.7
F003,2024-04-13,1178.7,400.9,263.4,51.8
F003,2024-04-14,1187.7,,234.4,113.1
F003,2024-04-15,1821.9,699.6,431.2,126.5
F003,2024-04-16,1697.9,763.3,327.7,
F003,2024-04-18,1221.5,741.6,388.5,118.0
F003,2024-04-19,1330.9,,412.6,109.3
F003,2024-04-20,1358.0,,235.5,28.6
F003,2024-04-21,1281.3,204.2,,63.8
F003,2024-04-22,1401.1,358.5,295.2,37.9
F003,2024-04-23,1410.7,443.7,423.8,54.4
F003,2024-04-24,1796.9,381.6,288.2,110.0
F003,2024-04-25,1219.7,430.9,366.0,83.2
F003,2024-04-26,1279.6,415.5,391.7,75.0
F003,2024-04-27,776.5,334.6,230.0,100.8
F003,2024-04-28,939.5,467.8,244.3,129.7
F003,2024-04-29,1862.9,528.0,367.5,113.2
F003,2024-04-30,1582.1,336.2,417.2,43.2
F003,2024-05-01,1661.4,391.9,406.4,84.3
F003,2024-05-02,1356.1,386.0,337.0,42.9
F003,2024-05-03,1743.3,469.6,311.3,111.7
F003,2024-05-04,1279.6,409.4,206.3,47.1
F003,2024-05-05,761.1,451.2,292.0,92.7
F003,2024-05-06,1264.3,763.0,376.4,26.9
F003,2024-05-07,1639.8,677.0,372.6,39.7
F003,2024-05-08,,712.9,359.6,41.5
F003,2024-05-09,,,456.8,78.5
F003,2024-05-10,2012.0,,314.7,72.7
F003,2024-05-11,1157.3,235.1,219.4,64.9
F003,2024-05-12,1264.5,411.0,213.9,
F003,2024-05-14,,394.4,431.1,61.0
F003,2024-05-15,1436.6,632.9,400.1,58.0
F003,2024-05-16,1448.6,785.9,337.6,23.6
F003,2024-05-17,1483.1,310.9,348.7,72.0
F003,2024-05-18,881.8,498.7,230.6,29.3
F003,2024-05-19,1391.9,349.6,239.8,50.0
F003,2024-05-20,,,455.6,107.2
F003,2024-05-21,1582.7,743.5,360.5,122.7
F003,2024-05-22,1361.5,452.2,319.2,70.6
F003,2024-05-23,1459.1,429.6,377.6,89.2
F003,2024-05-24,2075.5,662.1,349.4,96.2
F003,2024-05-25,1346.4,288.6,234.0,23.6
F003,2024-05-26,1063.2,516.8,,46.4
F003,2024-05-28,1704.2,361.2,303.8,86.0
F003,2024-05-29,,,468.0,61.3
F003,2024-05-30,1397.5,404.3,400.6,87.1
F003,2024-05-31,1522.2,701.2,352.9,59.2
F003,2024-06-01,1344.0,307.5,217.7,116.0
F003,2024-06-02,1405.4,,204.7,101.6
F003,2024-06-03,1367.7,,419.6,87.7
F003,2024-06-04,1832.8,623.9,474.4,31.8
F003,2024-06-05,2040.7,469.1,410.9,52.4
F003,2024-06-06,1879.5,480.8,305.5,
F003,2024-06-07,1374.9,567.7,462.9,49.6
F003,2024-06-08,1374.3,494.4,307.9,96.1
F003,2024-06-09,1234.6,429.9,243.9,117.8
F003,2024-06-10,1645.8,759.9,365.6,51.9
F003,2024-06-11,,289.6,,54.3
F003,2024-06-12,1951.8,628.9,359.1,115.6
F003,2024-06-13,2221.6,592.6,296.9,98.8
F003,2024-06-14,1843.0,433.5,335.2,85.8
F003,2024-06-15,1288.0,,303.3,68.2
F003,2024-06-16,890.2,182.8,219.3,119.0
F003,2024-06-17,2155.8,295.7,373.5,
F003,2024-06-18,1213.3,433.1,445.0,27.6
F003,2024-06-19,1485.1,414.3,429.9,
F003,2024-06-20,2058.9,389.0,448.6,
F003,2024-06-21,1549.2,,461.3,47.3
F003,2024-06-22,1004.9,359.5,239.6,41.6
F003,2024-06-23,881.0,,223.6,
F003,2024-06-24,1919.7,613.0,329.5,52.9
F003,2024-06-25,1625.2,629.6,338.6,118.0
F003,2024-06-26,1961.7,629.0,362.0,54.1
F003,2024-06-27,2208.2,622.6,446.3,89.4
F003,2024-06-28,1625.1,445.9,375.0,87.9
F003,2024-06-29,1332.2,,260.0,24.9
F003,2024-06-30,977.9,441.7,216.3,52.1
F004,2024-01-01,2619.6,1447.8,346.9,0.0
F004,2024-01-02,2050.3,953.2,375.8,0.0
F004,2024-01-03,2719.9,734.9,284.7,0.0
F004,2024-01-04,1722.1,1104.2,370.1,0.0
F004,2024-01-05,2319.5,,250.7,0.0
F004,2024-01-06,1471.7,575.5,220.5,0.0
F004,2024-01-07,1124.3,918.7,257.4,0.0
F004,2024-01-08,1785.8,1103.7,348.0,0.0
F004,2024-01-09,2673.9,1345.9,297.1,0.0
F004,2024-01-10,2619.4,,361.0,0.0
F004,2024-01-11,1967.8,,358.1,0.0
F004,2024-01-12,2117.9,1386.7,358.6,0.0
F004,2024-01-13,1845.9,980.9,260.4,0.0
F004,2024-01-14,1798.2,426.6,174.2,0.0
F004,2024-01-15,1676.4,1773.3,338.0,0.0
F004,2024-01-16,1779.0,1154.9,339.4,0.0
F004,2024-01-17,1793.1,783.1,300.6,0.0
F004,2024-01-18,2414.0,1962.8,393.2,0.0
F004,2024-01-19,2092.6,1538.8,315.2,0.0
F004,2024-01-20,1662.0,920.0,175.3,0.0
F004,2024-01-21,1884.1,1049.5,215.3,0.0
F004,2024-01-23,2287.8,1771.7,350.7,0.0
