report_date,symbol,reported_position,avg_cost,market_value
2024-06-18,META,-2825,367.34,-884705.25
2024-06-25,AAPL,1200,192.43,203388.0
2024-06-25,GOOGL,-5100,135.64,-754749.0
2024-06-25,MSFT,1900,390.68,604409.0
2024-06-25,AMZN,2100,150.79,398979.0
2024-06-25,META,-825,337.09,-285095.25
2024-07-02,AAPL,1200,186.66,188508.0
2024-07-02,GOOGL,-5100,138.13,-758319.0
2024-07-02,MSFT,2150,357.65,677572.5
2024-07-02,AMZN,2100,151.21,382410.0
2024-07-02,META,-325,334.2,-111010.25
2024-07-09,AAPL,1200,188.0,197460.0
2024-07-09,GOOGL,-5100,133.28,-739755.0
2024-07-09,MSFT,2150,371.88,687677.5
2024-07-09,AMZN,1100,155.73,188881.0
2024-07-09,META,-825,337.86,-287859.0
2024-07-16,AAPL,1000,187.41,164510.0
2024-07-16,GOOGL,-5100,142.26,-729096.0
2024-07-16,MSFT,2150,366.37,669789.5
2024-07-16,AMZN,1100,149.38,198286.0
2024-07-16,META,-825,336.17,-291761.25
2024-07-23,AAPL,1125,177.93,190395.0
2024-07-23,GOOGL,-4850,134.49,-673762.0
2024-07-23,MSFT,2150,363.74,661426.0
2024-07-23,AMZN,1100,155.36,191356.0
2024-07-23,META,-700,357.12,-248353.0
2024-07-30,AAPL,1125,176.48,183892.5
2024-07-30,GOOGL,-4850,135.91,-655477.5
2024-07-30,MSFT,1900,368.65,588373.0
2024-07-30,AMZN,-1400,161.31,-239764.0
2024-07-30,META,-700,355.92,-249739.0
2024-08-06,AAPL,1125,177.42,187436.25
2024-08-06,GOOGL,-4350,143.13,-575766.0
2024-08-06,MSFT,1800,365.85,599652.0
2024-08-06,AMZN,-900,162.57,-155061.0
2024-08-06,META,-700,348.75,-261996.0
2024-08-13,AAPL,1125,178.98,191081.25
2024-08-13,GOOGL,-3775,138.04,-491278.5
2024-08-13,MSFT,1800,372.22,615294.0
2024-08-13,AMZN,-900,160.44,-153432.0
2024-08-13,META,-700,332.84,-256368.0
2024-08-20,AAPL,1125,187.72,186198.75
2024-08-20,GOOGL,-3975,145.52,-525216.75
2024-08-20,MSFT,3800,366.31,1389850.0
2024-08-20,AMZN,-725,153.03,-124801.5
2024-08-20,META,-700,336.48,-257551.0
2024-08-27,AAPL,1125,184.2,188651.25
2024-08-27,GOOGL,-3975,142.66,-551769.75
2024-08-27,MSFT,3850,372.07,1382265.5
2024-08-27,AMZN,-725,149.84,-124025.75
2024-08-27,META,-700,357.92,-254261.0
2024-09-03,AAPL,1325,191.37,216465.25
2024-09-03,GOOGL,-4225,145.76,-556136.75
2024-09-03,MSFT,2850,377.59,1028593.5
2024-09-03,AMZN,-1350,156.73,-238356.0
2024-09-03,META,-700,353.9,-266819.0
2024-09-10,AAPL,1325,192.03,244542.0
2024-09-10,GOOGL,-3225,145.48,-423700.5
2024-09-10,MSFT,2775,374.55,1010738.25
2024-09-10,AMZN,-1350,154.08,-250897.5
2024-09-10,META,-3000,332.93,-1199340.0
2024-09-17,AAPL,1325,185.46,249908.25
2024-09-17,GOOGL,-3225,143.13,-410445.75
2024-09-17,MSFT,2575,392.09,957359.25
2024-09-17,AMZN,-600,155.3,-114792.0
2024-09-17,META,-3950,354.14,-1654773.5
2024-09-24,AAPL,1325,189.19,231782.25
2024-09-24,GOOGL,-3150,142.29,-398601.0
2024-09-24,MSFT,1575,361.82,581978.25
2024-09-24,AMZN,-700,161.08,-133056.0
2024-09-24,META,-3950,332.91,-1694155.0
2024-10-01,AAPL,1250,185.1,229375.0
2024-10-01,GOOGL,-2900,139.94,-371026.0
2024-10-01,MSFT,2575,384.43,981100.75
2024-10-01,AMZN,-700,152.38,-136360.0
2024-10-01,META,-3450,350.24,-1450725.0
2024-10-08,AAPL,1250,182.75,221287.5
2024-10-08,GOOGL,-2900,134.1,-378537.0
2024-10-08,MSFT,2575,377.74,950406.75
2024-10-08,AMZN,-700,154.98,-131306.0
2024-10-08,META,-3950,366.82,-1668322.0
2024-10-15,AAPL,1250,176.08,234575.0
2024-10-15,GOOGL,-2900,133.5,-383351.0
2024-10-15,MSFT,2525,387.22,964070.25
2024-10-15,AMZN,-900,162.18,-172044.0
2024-10-15,META,-3950,363.65,-1752338.5
2024-10-22,AAPL,1175,187.86,234588.75
2024-10-22,GOOGL,-2900,137.77,-367169.0
2024-10-22,MSFT,2525,386.87,943592.5
2024-10-22,AMZN,-3150,152.4,-623542.5
2024-10-22,META,-3450,353.5,-1544082.0
2024-10-29,AAPL,1150,182.47,224192.5
2024-10-29,GOOGL,-2900,134.36,-347101.0
2024-10-29,MSFT,2525,356.33,1001162.5
2024-10-29,AMZN,-3375,157.07,-647021.25
2024-10-29,META,-1450,351.67,-649411.5
2024-11-05,AAPL,1150,177.72,222387.0
2024-11-05,GOOGL,-2825,139.89,-333180.5
2024-11-05,MSFT,525,384.09,202896.75
2024-11-05,AMZN,-3925,151.19,-791594.0
2024-11-05,META,-1450,336.73,-665521.0
2024-11-12,AAPL,1150,179.74,226331.5
2024-11-12,GOOGL,-2825,135.67,-342248.75
2024-11-12,MSFT,325,384.64,130146.25
2024-11-12,AMZN,-2675,149.16,-531977.25
2024-11-12,META,-2650,348.51,-1297811.0
2024-11-19,AAPL,1150,185.08,225871.5
2024-11-19,GOOGL,-2825,133.06,-355300.25
2024-11-19,MSFT,325,377.0,126568.0
2024-11-19,AMZN,-3675,156.32,-753963.0
2024-11-19,META,-2650,359.84,-1294551.5
2024-11-26,AAPL,1150,188.55,228160.0
2024-11-26,GOOGL,-2075,144.41,-265828.25
2024-11-26,MSFT,325,380.91,128199.5
2024-11-26,AMZN,-3675,152.24,-741468.0
2024-11-26,META,-2775,347.15,-1391135.25
2024-12-03,AAPL,1150,188.56,232576.0
2024-12-03,GOOGL,-1825,138.57,-223690.25
2024-12-03,MSFT,325,367.28,129203.75
2024-12-03,AMZN,-1675,149.39,-332236.25
2024-12-03,META,-3275,363.53,-1585231.0
2024-12-10,AAPL,1050,191.35,209380.5
2024-12-10,GOOGL,-1825,137.39,-215313.5
2024-12-10,MSFT,225,377.01,89010.0
2024-12-10,AMZN,-1675,150.5,-330728.75
2024-12-10,META,-3275,356.53,-1644803.25
2024-12-17,AAPL,1050,178.2,207480.0
2024-12-17,GOOGL,-2325,146.65,-275163.75
2024-12-17,MSFT,225,376.59,86301.0
2024-12-17,AMZN,-675,158.26,-138503.25
2024-12-17,META,-2775,352.18,-1405787.25
