trade_id,signal_id,date,time,symbol,side,quantity,price,status,counterparty
TRD5156,NONE,2024-10-15,13:56:15,AMZN,SELL,200,189.55,FILLED,BROKER_C
TRD5100,SIG1117,2024-09-10,14:18:49,META,SELL,2000,398.45,FILLED,BROKER_A
TRD5113,SIG1131,2024-09-26,11:46:43,MSFT,BUY,1000,363.68,FILLED,BROKER_A
TRD5125,SIG1147,2024-10-29,9:56:49,AAPL,BUY,75,194.62,PARTIAL,BROKER_B
TRD5036,SIG1042,2024-04-16,13:53:12,MSFT,SELL,1000,387.8,FILLED,BROKER_A
TRD5101,SIG1118,2024-09-11,12:41:03,META,BUY,50,399.51,PARTIAL,BROKER_B
TRD5022,SIG1026,2024-03-22,13:12:36,AMZN,BUY,1500,141.5,PARTIAL,BROKER_B
TRD5177,REVERSAL,2024-03-28,9:21:52,AMZN,SELL,500,148.44,FILLED,BROKER_A
TRD5076,SIG1089,2024-07-18,13:37:07,GOOGL,SELL,50,142.58,PARTIAL,BROKER_C
TRD5112,SIG1130,2024-09-26,9:51:58,GOOGL,BUY,250,128.62,PARTIAL,EXCHANGE_DIRECT
TRD5011,SIG1012,2024-02-29,12:41:12,META,SELL,375,316.28,PARTIAL,BROKER_C
TRD5104,SIG1121,2024-09-16,14:32:49,META,BUY,200,437.82,FILLED,EXCHANGE_DIRECT
TRD5006,SIG1007,2024-02-21,15:45:13,AMZN,BUY,200,145.76,FILLED,EXCHANGE_DIRECT
TRD5027,SIG1033,2024-04-04,9:34:25,AAPL,BUY,125,179.63,PARTIAL,BROKER_B
TRD5132,SIG1155,2024-11-07,12:22:49,MSFT,SELL,200,443.1,FILLED,BROKER_B
TRD5004,SIG1005,2024-02-16,12:24:20,GOOGL,SELL,1000,150.33,FILLED,BROKER_B
TRD5032,SIG1038,2024-04-10,13:26:19,MSFT,BUY,125,381.63,PARTIAL,BROKER_C
TRD5078,SIG1091,2024-07-24,12:08:36,AMZN,SELL,2000,172.61,FILLED,EXCHANGE_DIRECT
TRD5145,SIG1173,2024-12-12,8:06:04,AMZN,BUY,500,205.09,FILLED,BROKER_C
TRD5133,SIG1157,2024-11-12,15:36:54,AMZN,BUY,250,198.9,PARTIAL,EXCHANGE_DIRECT
TRD5128,SIG1150,2024-11-01,12:22:13,GOOGL,BUY,75,117.71,PARTIAL,BROKER_B
TRD5010,SIG1011,2024-02-27,12:51:49,AMZN,BUY,150,142.58,PARTIAL,BROKER_B
TRD5170,REVERSAL,2024-07-12,11:24:41,AMZN,BUY,500,176.68,FILLED,BROKER_A
TRD5147,NONE,2024-10-22,12:41:10,AAPL,SELL,100,197.87,FILLED,BROKER_B
TRD5000,SIG1000,2024-02-13,17:43:07,GOOGL,SELL,150,143.64,PARTIAL,EXCHANGE_DIRECT
TRD5137,SIG1162,2024-11-25,9:33:55,GOOGL,BUY,500,135.8,FILLED,BROKER_C
TRD5070,SIG1081,2024-06-28,9:06:18,MSFT,BUY,250,317.81,PARTIAL,EXCHANGE_DIRECT
TRD5064,SIG1073,2024-06-10,10:49:35,AMZN,BUY,100,187.49,PARTIAL,BROKER_A
TRD5044,SIG1052,2024-05-03,15:14:04,MSFT,SELL,500,372.83,FILLED,BROKER_B
TRD5120,SIG1141,2024-10-21,15:59:51,AMZN,SELL,750,218.04,PARTIAL,EXCHANGE_DIRECT
TRD5028,SIG1034,2024-04-04,14:27:34,AMZN,SELL,100,156.6,FILLED,EXCHANGE_DIRECT
TRD5040,SIG1047,2024-04-24,12:53:20,AMZN,BUY,100,168.54,FILLED,BROKER_B
TRD5139,SIG1165,2024-11-28,11:42:37,AMZN,BUY,2000,195.04,FILLED,BROKER_B
TRD5140,SIG1166,2024-12-03,13:54:49,GOOGL,BUY,250,121.97,PARTIAL,BROKER_A
TRD5025,SIG1029,2024-03-27,9:59:30,MSFT,BUY,150,421.8,PARTIAL,BROKER_A
TRD5023,SIG1027,2024-03-25,13:51:03,AAPL,BUY,1500,186.82,PARTIAL,EXCHANGE_DIRECT
TRD5135,SIG1160,2024-11-20,13:11:31,GOOGL,BUY,750,120.88,PARTIAL,BROKER_A
TRD5081,SIG1094,2024-08-05,9:48:14,AMZN,BUY,500,170.87,PARTIAL,BROKER_C
TRD5079,SIG1092,2024-07-26,13:31:18,MSFT,SELL,250,318.74,PARTIAL,BROKER_B
TRD5084,SIG1098,2024-08-13,11:52:05,GOOGL,SELL,125,130.18,PARTIAL,EXCHANGE_DIRECT
TRD5039,SIG1046,2024-04-23,12:34:41,META,SELL,500,339.99,PARTIAL,BROKER_C
TRD5141,SIG1167,2024-12-03,12:21:47,META,SELL,500,486.08,FILLED,BROKER_A
TRD5086,SIG1101,2024-08-15,10:45:18,AMZN,SELL,200,171.94,FILLED,BROKER_C
TRD5077,SIG1090,2024-07-23,13:05:43,GOOGL,SELL,250,139.78,PARTIAL,BROKER_B
TRD5176,REVERSAL,2024-03-28,11:57:23,AMZN,BUY,500,148.44,FILLED,BROKER_A
TRD5152,NONE,2024-08-06,9:41:34,MSFT,SELL,100,332.28,FILLED,BROKER_B
TRD5047,SIG1055,2024-05-08,13:52:22,AMZN,SELL,1000,175.15,FILLED,BROKER_C
TRD5094,SIG1111,2024-08-30,14:03:25,MSFT,SELL,1000,367.95,FILLED,BROKER_C
TRD5138,SIG1164,2024-11-26,10:27:50,META,SELL,25,501.08,PARTIAL,EXCHANGE_DIRECT
TRD5169,SIG1162,2024-11-25,9:33:55,GOOGL,BUY,500,135.8,FILLED,BROKER_C
TRD5061,SIG1070,2024-06-06,12:53:39,GOOGL,BUY,50,149.43,PARTIAL,EXCHANGE_DIRECT
TRD5073,SIG1086,2024-07-17,10:25:40,GOOGL,BUY,375,144.57,PARTIAL,BROKER_B
TRD5033,SIG1039,2024-04-12,12:41:41,AAPL,SELL,375,176.47,PARTIAL,EXCHANGE_DIRECT
TRD5043,SIG1051,2024-05-03,13:11:58,GOOGL,SELL,1000,158.32,PARTIAL,BROKER_A
TRD5136,SIG1161,2024-11-21,13:51:08,GOOGL,SELL,1000,119.74,FILLED,BROKER_C
TRD5142,SIG1168,2024-12-04,14:56:21,AAPL,SELL,100,202.93,FILLED,EXCHANGE_DIRECT
TRD5062,SIG1071,2024-06-06,13:19:20,AMZN,BUY,500,192.0,FILLED,BROKER_B
TRD5180,REVERSAL,2024-04-16,10:19:47,GOOGL,BUY,500,161.43,FILLED,BROKER_A
TRD5173,REVERSAL,2024-08-28,10:39:38,AAPL,SELL,500,165.96,FILLED,BROKER_A
TRD5124,SIG1145,2024-10-24,11:11:01,AMZN,SELL,125,198.71,PARTIAL,EXCHANGE_DIRECT
TRD5105,SIG1122,2024-09-17,11:46:58,META,SELL,1000,419.36,PARTIAL,BROKER_B
TRD5053,SIG1061,2024-05-14,11:33:27,AMZN,SELL,250,177.71,PARTIAL,BROKER_B
TRD5005,SIG1006,2024-02-19,14:44:16,AMZN,BUY,75,145.97,PARTIAL,EXCHANGE_DIRECT
TRD5163,NONE,2024-07-15,11:52:42,AAPL,SELL,100,164.04,FILLED,BROKER_A
TRD5003,SIG1003,2024-02-15,14:26:32,AAPL,BUY,125,188.17,PARTIAL,EXCHANGE_DIRECT
TRD5168,SIG1086,2024-07-17,10:25:40,GOOGL,BUY,375,144.57,PARTIAL,BROKER_B
TRD5049,SIG1057,2024-05-10,9:00:44,AMZN,SELL,25,174.52,PARTIAL,BROKER_B
TRD5035,SIG1041,2024-04-15,12:33:08,AMZN,BUY,25,155.24,PARTIAL,EXCHANGE_DIRECT
TRD5080,SIG1093,2024-07-31,10:24:35,AMZN,SELL,500,173.66,PARTIAL,EXCHANGE_DIRECT
TRD5034,SIG1040,2024-04-12,13:15:54,GOOGL,SELL,500,159.6,FILLED,BROKER_B
TRD5007,SIG1008,2024-02-23,13:34:24,GOOGL,BUY,1000,150.23,FILLED,EXCHANGE_DIRECT
TRD5110,SIG1128,2024-09-24,11:45:54,AMZN,SELL,100,189.34,FILLED,BROKER_B
TRD5091,SIG1108,2024-08-27,15:21:35,MSFT,BUY,100,358.68,PARTIAL,BROKER_B
TRD5083,SIG1096,2024-08-09,9:46:28,GOOGL,BUY,500,130.53,FILLED,BROKER_B
TRD5159,NONE,2024-07-17,15:40:09,GOOGL,SELL,200,146.35,FILLED,BROKER_A
TRD5164,NONE,2024-03-18,12:36:35,AAPL,SELL,100,185.57,FILLED,BROKER_A
TRD5089,SIG1105,2024-08-23,13:17:44,GOOGL,SELL,500,137.33,PARTIAL,BROKER_C
TRD5008,SIG1009,2024-02-23,12:16:47,MSFT,SELL,1000,371.67,FILLED,EXCHANGE_DIRECT
TRD5013,SIG1015,2024-03-06,10:55:59,MSFT,BUY,1000,383.63,FILLED,BROKER_C
TRD5059,SIG1067,2024-05-27,10:24:10,META,SELL,50,325.89,PARTIAL,BROKER_B
TRD5155,NONE,2024-07-09,10:35:03,META,SELL,500,348.35,FILLED,BROKER_C
TRD5131,SIG1154,2024-11-06,11:17:11,META,SELL,1000,465.85,FILLED,BROKER_A
TRD5017,SIG1021,2024-03-14,9:24:15,MSFT,BUY,125,393.41,PARTIAL,EXCHANGE_DIRECT
TRD5072,SIG1084,2024-07-05,15:41:06,AMZN,SELL,1000,178.31,PARTIAL,BROKER_B
TRD5158,NONE,2024-04-15,10:51:12,GOOGL,BUY,100,160.13,FILLED,BROKER_C
TRD5134,SIG1158,2024-11-12,13:52:44,META,SELL,200,490.92,FILLED,BROKER_C
TRD5167,SIG1172,2024-12-12,13:48:43,GOOGL,SELL,250,115.43,PARTIAL,BROKER_B
TRD5166,SIG1033,2024-04-04,9:34:25,AAPL,BUY,125,179.63,PARTIAL,BROKER_B
TRD5063,SIG1072,2024-06-07,12:50:15,AAPL,SELL,2000,169.5,FILLED,BROKER_C
TRD5054,SIG1062,2024-05-17,11:50:17,AAPL,SELL,100,171.54,FILLED,EXCHANGE_DIRECT
TRD5107,SIG1125,2024-09-20,14:42:47,MSFT,SELL,2000,369.04,FILLED,BROKER_B
TRD5050,SIG1058,2024-05-10,13:37:13,META,BUY,100,321.46,PARTIAL,EXCHANGE_DIRECT
TRD5178,REVERSAL,2024-06-27,11:53:31,MSFT,BUY,500,316.51,FILLED,BROKER_A
TRD5058,SIG1066,2024-05-24,12:39:26,AMZN,BUY,1000,182.99,FILLED,EXCHANGE_DIRECT
TRD5048,SIG1056,2024-05-08,10:43:52,META,SELL,1000,326.44,FILLED,BROKER_A
TRD5088,SIG1104,2024-08-21,14:31:09,GOOGL,BUY,500,135.53,FILLED,BROKER_C
TRD5021,SIG1025,2024-03-22,14:38:55,MSFT,BUY,50,385.31,PARTIAL,BROKER_A
TRD5057,SIG1065,2024-05-23,9:27:28,MSFT,SELL,200,308.41,FILLED,EXCHANGE_DIRECT
TRD5175,REVERSAL,2024-11-11,11:44:15,AMZN,SELL,500,201.53,FILLED,BROKER_A
TRD5129,SIG1151,2024-11-01,11:26:56,AMZN,SELL,500,198.93,PARTIAL,EXCHANGE_DIRECT
TRD5037,SIG1043,2024-04-17,13:42:35,AAPL,SELL,250,173.55,PARTIAL,BROKER_B
TRD5157,NONE,2024-02-23,13:57:33,META,BUY,100,310.72,FILLED,BROKER_B
TRD5171,REVERSAL,2024-07-12,12:36:38,AMZN,SELL,500,176.68,FILLED,BROKER_A
TRD5001,SIG1001,2024-02-13,14:49:37,MSFT,BUY,25,356.21,PARTIAL,BROKER_B
TRD5052,SIG1060,2024-05-14,13:54:24,MSFT,BUY,25,338.33,PARTIAL,BROKER_C
TRD5149,NONE,2024-03-18,12:36:35,AAPL,SELL,100,185.57,FILLED,BROKER_A
TRD5130,SIG1152,2024-11-05,10:51:34,MSFT,SELL,2000,384.72,FILLED,BROKER_A
TRD5151,NONE,2024-04-12,9:30:54,MSFT,BUY,200,382.36,FILLED,BROKER_B
TRD5103,SIG1120,2024-09-13,15:30:37,AMZN,BUY,750,193.91,PARTIAL,BROKER_A
TRD5099,SIG1116,2024-09-09,13:24:22,GOOGL,BUY,1000,131.06,PARTIAL,EXCHANGE_DIRECT
TRD5116,SIG1135,2024-10-08,17:01:14,META,SELL,500,424.39,PARTIAL,BROKER_C
TRD5087,SIG1102,2024-08-20,15:58:03,AMZN,BUY,375,171.63,PARTIAL,BROKER_C
TRD5074,SIG1087,2024-07-17,13:24:00,META,BUY,125,344.64,PARTIAL,BROKER_B
TRD5121,SIG1142,2024-10-22,10:49:37,META,BUY,500,448.98,PARTIAL,BROKER_A
TRD5181,REVERSAL,2024-04-16,12:49:52,GOOGL,SELL,500,161.43,FILLED,BROKER_A
TRD5020,SIG1024,2024-03-22,12:38:23,GOOGL,SELL,2000,149.83,FILLED,EXCHANGE_DIRECT
TRD5071,SIG1083,2024-07-02,12:30:06,META,BUY,500,342.75,PARTIAL,EXCHANGE_DIRECT
TRD5106,SIG1124,2024-09-20,9:44:27,GOOGL,BUY,200,127.56,FILLED,BROKER_B
TRD5014,SIG1017,2024-03-11,14:33:31,META,BUY,150,326.01,PARTIAL,BROKER_B
TRD5092,SIG1109,2024-08-28,18:50:53,GOOGL,SELL,250,137.6,PARTIAL,EXCHANGE_DIRECT
TRD5179,REVERSAL,2024-06-27,15:44:43,MSFT,SELL,500,316.51,FILLED,BROKER_A
TRD5102,SIG1119,2024-09-12,9:59:20,MSFT,SELL,200,369.7,FILLED,BROKER_B
