signal_id,date,symbol,signal_type,target_quantity,limit_price,valid_from,valid_until,priority
SIG1027,2024-03-25,AAPL,BUY,2000,186.69,09:30:00,16:00:00,LOW
SIG1028,2024-03-27,GOOGL,SELL,2000,149.85,09:30:00,16:00:00,HIGH
SIG1029,2024-03-27,MSFT,BUY,200,386.13,09:30:00,16:00:00,MEDIUM
SIG1030,2024-03-29,MSFT,SELL,100,389.09,09:30:00,16:00:00,HIGH
SIG1031,2024-04-03,AAPL,SELL,100,179.9,09:30:00,16:00:00,HIGH
SIG1032,2024-04-03,MSFT,SELL,1000,384.22,09:30:00,16:00:00,LOW
SIG1033,2024-04-04,AAPL,BUY,500,179.36,09:30:00,16:00:00,LOW
SIG1034,2024-04-04,AMZN,SELL,100,156.44,09:30:00,16:00:00,MEDIUM
SIG1035,2024-04-05,GOOGL,SELL,200,156.9,09:30:00,16:00:00,HIGH
SIG1036,2024-04-08,GOOGL,SELL,1000,157.11,09:30:00,16:00:00,LOW
SIG1037,2024-04-09,GOOGL,BUY,200,154.18,09:30:00,16:00:00,HIGH
SIG1038,2024-04-10,MSFT,BUY,500,382.03,09:30:00,16:00:00,HIGH
SIG1039,2024-04-12,AAPL,SELL,500,176.18,09:30:00,16:00:00,HIGH
SIG1040,2024-04-12,GOOGL,SELL,500,159.66,09:30:00,16:00:00,MEDIUM
SIG1041,2024-04-15,AMZN,BUY,100,155.26,09:30:00,16:00:00,LOW
SIG1042,2024-04-16,MSFT,SELL,1000,388.45,09:30:00,16:00:00,MEDIUM
SIG1043,2024-04-17,AAPL,SELL,1000,173.87,09:30:00,16:00:00,LOW
SIG1044,2024-04-23,GOOGL,BUY,200,160.43,09:30:00,16:00:00,HIGH
SIG1045,2024-04-23,MSFT,BUY,1000,387.25,09:30:00,16:00:00,LOW
SIG1046,2024-04-23,META,SELL,2000,339.43,09:30:00,16:00:00,HIGH
SIG1047,2024-04-24,AMZN,BUY,100,168.54,09:30:00,16:00:00,MEDIUM
SIG1048,2024-04-26,AAPL,BUY,2000,167.66,09:30:00,16:00:00,LOW
SIG1049,2024-05-01,META,SELL,500,333.82,09:30:00,16:00:00,MEDIUM
SIG1050,2024-05-02,GOOGL,BUY,200,154.51,09:30:00,16:00:00,LOW
SIG1051,2024-05-03,GOOGL,SELL,2000,158.17,09:30:00,16:00:00,LOW
SIG1052,2024-05-03,MSFT,SELL,500,372.58,09:30:00,16:00:00,MEDIUM
SIG1053,2024-05-07,AMZN,SELL,1000,175.2,09:30:00,16:00:00,LOW
SIG1054,2024-05-08,GOOGL,BUY,2000,161.72,09:30:00,16:00:00,LOW
SIG1055,2024-05-08,AMZN,SELL,1000,175.43,09:30:00,16:00:00,HIGH
SIG1056,2024-05-08,META,SELL,1000,326.56,09:30:00,16:00:00,MEDIUM
SIG1057,2024-05-10,AMZN,SELL,100,174.8,09:30:00,16:00:00,LOW
SIG1058,2024-05-10,META,BUY,200,321.68,09:30:00,16:00:00,HIGH
SIG1059,2024-05-13,AMZN,BUY,500,173.99,09:30:00,16:00:00,MEDIUM
SIG1060,2024-05-14,MSFT,BUY,100,337.75,09:30:00,16:00:00,LOW
SIG1061,2024-05-14,AMZN,SELL,1000,177.36,09:30:00,16:00:00,MEDIUM
SIG1062,2024-05-17,AAPL,SELL,100,171.46,09:30:00,16:00:00,LOW
SIG1063,2024-05-17,MSFT,SELL,100,323.86,09:30:00,16:00:00,MEDIUM
SIG1064,2024-05-22,META,SELL,1000,328.88,09:30:00,16:00:00,LOW
SIG1065,2024-05-23,MSFT,SELL,200,308.48,09:30:00,16:00:00,MEDIUM
SIG1066,2024-05-24,AMZN,BUY,1000,183.29,09:30:00,16:00:00,MEDIUM
SIG1067,2024-05-27,META,SELL,200,325.36,09:30:00,16:00:00,MEDIUM
SIG1068,2024-06-04,MSFT,BUY,2000,299.89,09:30:00,16:00:00,MEDIUM
SIG1069,2024-06-04,META,SELL,100,293.74,09:30:00,16:00:00,LOW
SIG1070,2024-06-06,GOOGL,BUY,100,149.61,09:30:00,16:00:00,LOW
SIG1071,2024-06-06,AMZN,BUY,500,192.05,09:30:00,16:00:00,HIGH
SIG1072,2024-06-07,AAPL,SELL,2000,169.18,09:30:00,16:00:00,HIGH
SIG1073,2024-06-10,AMZN,BUY,200,187.17,09:30:00,16:00:00,LOW
SIG1074,2024-06-11,AMZN,BUY,2000,185.66,09:30:00,16:00:00,MEDIUM
SIG1075,2024-06-17,AAPL,BUY,2000,164.09,09:30:00,16:00:00,LOW
SIG1076,2024-06-19,META,BUY,2000,316.8,09:30:00,16:00:00,LOW
SIG1077,2024-06-20,META,BUY,1000,323.09,09:30:00,16:00:00,MEDIUM
SIG1078,2024-06-21,META,SELL,500,335.72,09:30:00,16:00:00,LOW
SIG1079,2024-06-24,AAPL,BUY,1000,171.39,09:30:00,16:00:00,MEDIUM
SIG1080,2024-06-24,META,BUY,500,336.58,09:30:00,16:00:00,HIGH
SIG1081,2024-06-28,MSFT,BUY,500,317.58,09:30:00,16:00:00,LOW
SIG1082,2024-06-28,AMZN,SELL,100,185.37,09:30:00,16:00:00,MEDIUM
SIG1083,2024-07-02,META,BUY,2000,343.01,09:30:00,16:00:00,LOW
SIG1084,2024-07-05,AMZN,SELL,2000,178.45,09:30:00,16:00:00,LOW
SIG1085,2024-07-11,GOOGL,SELL,1000,140.87,09:30:00,16:00:00,HIGH
SIG1086,2024-07-17,GOOGL,BUY,500,144.77,09:30:00,16:00:00,HIGH
SIG1087,2024-07-17,META,BUY,500,345.29,09:30:00,16:00:00,HIGH
SIG1088,2024-07-18,AAPL,BUY,500,164.4,09:30:00,16:00:00,MEDIUM
SIG1089,2024-07-18,GOOGL,SELL,200,142.56,09:30:00,16:00:00,HIGH
SIG1090,2024-07-23,GOOGL,SELL,500,139.6,09:30:00,16:00:00,LOW
SIG1091,2024-07-24,AMZN,SELL,2000,172.83,09:30:00,16:00:00,MEDIUM
SIG1092,2024-07-26,MSFT,SELL,500,318.49,09:30:00,16:00:00,HIGH
SIG1093,2024-07-31,AMZN,SELL,1000,173.41,09:30:00,16:00:00,HIGH
SIG1094,2024-08-05,AMZN,BUY,1000,170.64,09:30:00,16:00:00,LOW
SIG1095,2024-08-06,GOOGL,BUY,500,132.3,09:30:00,16:00:00,LOW
SIG1096,2024-08-09,GOOGL,BUY,500,130.36,09:30:00,16:00:00,MEDIUM
SIG1097,2024-08-09,MSFT,BUY,200,337.77,09:30:00,16:00:00,MEDIUM
SIG1098,2024-08-13,GOOGL,SELL,500,130.29,09:30:00,16:00:00,HIGH
SIG1099,2024-08-15,GOOGL,SELL,100,129.13,09:30:00,16:00:00,MEDIUM
SIG1100,2024-08-15,MSFT,BUY,2000,340.16,09:30:00,16:00:00,HIGH
SIG1101,2024-08-15,AMZN,SELL,200,171.89,09:30:00,16:00:00,LOW
SIG1102,2024-08-20,AMZN,BUY,500,171.51,09:30:00,16:00:00,HIGH
SIG1103,2024-08-21,AAPL,SELL,1000,168.78,09:30:00,16:00:00,LOW
SIG1104,2024-08-21,GOOGL,BUY,500,135.42,09:30:00,16:00:00,LOW
SIG1105,2024-08-23,GOOGL,SELL,1000,137.26,09:30:00,16:00:00,LOW
SIG1106,2024-08-23,MSFT,SELL,100,350.04,09:30:00,16:00:00,MEDIUM
SIG1107,2024-08-23,META,SELL,2000,365.6,09:30:00,16:00:00,LOW
SIG1108,2024-08-27,MSFT,BUY,200,358.78,09:30:00,16:00:00,MEDIUM
SIG1109,2024-08-28,GOOGL,SELL,500,137.38,09:30:00,16:00:00,MEDIUM
SIG1110,2024-08-29,AAPL,BUY,100,163.71,09:30:00,16:00:00,LOW
SIG1111,2024-08-30,MSFT,SELL,1000,368.16,09:30:00,16:00:00,LOW
SIG1112,2024-08-30,AMZN,SELL,500,176.91,09:30:00,16:00:00,HIGH
SIG1113,2024-09-02,AMZN,SELL,500,177.57,09:30:00,16:00:00,LOW
SIG1114,2024-09-04,META,SELL,500,388.2,09:30:00,16:00:00,MEDIUM
SIG1115,2024-09-05,MSFT,SELL,100,357.87,09:30:00,16:00:00,HIGH
SIG1116,2024-09-09,GOOGL,BUY,2000,131.28,09:30:00,16:00:00,HIGH
SIG1117,2024-09-10,META,SELL,2000,398.22,09:30:00,16:00:00,MEDIUM
SIG1118,2024-09-11,META,BUY,200,399.98,09:30:00,16:00:00,HIGH
SIG1119,2024-09-12,MSFT,SELL,200,369.5,09:30:00,16:00:00,HIGH
SIG1120,2024-09-13,AMZN,BUY,1000,193.87,09:30:00,16:00:00,HIGH
SIG1121,2024-09-16,META,BUY,200,414.58,09:30:00,16:00:00,LOW
SIG1122,2024-09-17,META,SELL,2000,419.3,09:30:00,16:00:00,HIGH
SIG1123,2024-09-19,GOOGL,BUY,500,130.58,09:30:00,16:00:00,MEDIUM
SIG1124,2024-09-20,GOOGL,BUY,200,127.49,09:30:00,16:00:00,LOW
SIG1125,2024-09-20,MSFT,SELL,2000,369.61,09:30:00,16:00:00,LOW
SIG1126,2024-09-24,GOOGL,SELL,500,126.71,09:30:00,16:00:00,LOW
SIG1127,2024-09-24,MSFT,BUY,1000,368.81,09:30:00,16:00:00,HIGH
SIG1128,2024-09-24,AMZN,SELL,100,189.28,09:30:00,16:00:00,LOW
SIG1129,2024-09-25,META,BUY,1000,427.71,09:30:00,16:00:00,LOW
SIG1130,2024-09-26,GOOGL,BUY,500,128.4,09:30:00,16:00:00,LOW
SIG1131,2024-09-26,MSFT,BUY,1000,363.36,09:30:00,16:00:00,MEDIUM
SIG1132,2024-09-30,AAPL,SELL,100,182.35,09:30:00,16:00:00,LOW
SIG1133,2024-10-01,META,SELL,1000,419.7,09:30:00,16:00:00,HIGH
SIG1134,2024-10-08,AAPL,BUY,100,176.67,09:30:00,16:00:00,LOW
SIG1135,2024-10-08,META,SELL,2000,423.95,09:30:00,16:00:00,HIGH
SIG1136,2024-10-10,MSFT,SELL,200,373.66,09:30:00,16:00:00,MEDIUM
SIG1137,2024-10-16,AMZN,SELL,2000,193.31,09:30:00,16:00:00,HIGH
SIG1138,2024-10-17,GOOGL,BUY,500,129.11,09:30:00,16:00:00,MEDIUM
SIG1139,2024-10-17,AMZN,SELL,200,193.3,09:30:00,16:00:00,MEDIUM
SIG1140,2024-10-21,AAPL,BUY,100,196.27,09:30:00,16:00:00,LOW
SIG1141,2024-10-21,AMZN,SELL,1000,195.33,09:30:00,16:00:00,LOW
SIG1142,2024-10-22,META,BUY,2000,449.06,09:30:00,16:00:00,LOW
SIG1143,2024-10-23,META,BUY,2000,444.31,09:30:00,16:00:00,MEDIUM
SIG1144,2024-10-24,AAPL,SELL,100,196.24,09:30:00,16:00:00,LOW
SIG1145,2024-10-24,AMZN,SELL,500,198.82,09:30:00,16:00:00,HIGH
SIG1146,2024-10-28,AMZN,SELL,1000,193.8,09:30:00,16:00:00,MEDIUM
SIG1147,2024-10-29,AAPL,BUY,100,194.65,09:30:00,16:00:00,LOW
SIG1148,2024-10-29,AMZN,SELL,200,192.31,09:30:00,16:00:00,LOW
SIG1149,2024-10-30,AMZN,SELL,200,194.3,09:30:00,16:00:00,HIGH
SIG1150,2024-11-01,GOOGL,BUY,100,117.6,09:30:00,16:00:00,LOW
SIG1151,2024-11-01,AMZN,SELL,1000,199.3,09:30:00,16:00:00,LOW
SIG1152,2024-11-05,MSFT,SELL,2000,384.84,09:30:00,16:00:00,HIGH
SIG1153,2024-11-06,AAPL,SELL,2000,195.77,09:30:00,16:00:00,LOW
SIG1154,2024-11-06,META,SELL,1000,465.33,09:30:00,16:00:00,MEDIUM
SIG1155,2024-11-07,MSFT,SELL,200,391.75,09:30:00,16:00:00,HIGH
SIG1156,2024-11-07,AMZN,SELL,100,198.98,09:30:00,16:00:00,HIGH
SIG1157,2024-11-12,AMZN,BUY,1000,198.87,09:30:00,16:00:00,LOW
SIG1158,2024-11-12,META,SELL,200,490.74,09:30:00,16:00:00,LOW
SIG1159,2024-11-13,AMZN,BUY,1000,198.62,09:30:00,16:00:00,HIGH
SIG1160,2024-11-20,GOOGL,BUY,1000,120.72,09:30:00,16:00:00,LOW
SIG1161,2024-11-21,GOOGL,SELL,1000,119.97,09:30:00,16:00:00,MEDIUM
SIG1162,2024-11-25,GOOGL,BUY,500,127.54,09:30:00,16:00:00,HIGH
SIG1163,2024-11-26,AMZN,BUY,2000,202.03,09:30:00,16:00:00,MEDIUM
SIG1164,2024-11-26,META,SELL,100,501.88,09:30:00,16:00:00,LOW
SIG1165,2024-11-28,AMZN,BUY,2000,194.99,09:30:00,16:00:00,MEDIUM
SIG1166,2024-12-03,GOOGL,BUY,1000,122.15,09:30:00,16:00:00,MEDIUM
SIG1167,2024-12-03,META,SELL,500,485.17,09:30:00,16:00:00,MEDIUM
SIG1168,2024-12-04,AAPL,SELL,100,202.62,09:30:00,16:00:00,MEDIUM
SIG1169,2024-12-04,MSFT,SELL,100,397.24,09:30:00,16:00:00,HIGH
SIG1170,2024-12-09,MSFT,SELL,200,392.06,09:30:00,16:00:00,HIGH
SIG1171,2024-12-09,META,SELL,1000,503.17,09:30:00,16:00:00,MEDIUM
SIG1172,2024-12-12,GOOGL,SELL,500,115.49,09:30:00,16:00:00,LOW
SIG1173,2024-12-12,AMZN,BUY,500,205.47,09:30:00,16:00:00,LOW
SIG1174,2024-12-13,META,BUY,1000,519.28,09:30:00,16:00:00,LOW
