date,open,high,low,close,volume
2024-03-01,101.3742,104.1132,100.0674,102.3322,4397517
2024-03-04,100.118,100.7285,99.9498,100.3711,2800271
2024-03-05,100.7437,101.1951,99.4881,100.279,2517151
2024-03-06,104.6207,105.9155,103.8896,105.0009,5523402
2024-03-07,105.0589,106.8185,103.5499,105.2921,3632779
2024-03-08,103.711,105.6359,101.8433,104.365,3114700
2024-03-11,102.7257,106.3685,101.7369,103.695,3812901
2024-03-12,105.3997,106.1257,103.6977,104.8216,1390141
2024-03-13,102.1379,104.5804,100.7437,102.3041,3605325
2024-03-14,101.181,101.8484,99.6394,100.7886,2004316
2024-03-15,103.7749,104.0687,102.9386,103.5564,3715466
2024-03-18,105.689,106.4404,103.4511,104.5871,5343254
2024-03-19,104.1503,106.0704,103.5826,104.9068,4234727
2024-03-20,107.9589,108.7407,107.3606,107.9301,2274175
2024-03-21,105.2649,106.6599,104.4161,105.7172,2033564
2024-03-22,104.1113,107.1267,102.633,104.7199,12190786
2024-03-25,105.2296,106.1437,104.9553,105.6456,11757974
2024-03-26,106.2572,107.9292,105.7143,106.4677,3115717
2024-03-27,101.8168,103.9067,100.0302,102.1253,4656971
2024-03-28,101.4709,103.1274,99.4122,100.9076,2467624
2024-03-29,99.5252,101.1844,98.8733,100.4608,3149591
2024-04-01,101.7924,102.5378,100.471,101.6352,4458558
2024-04-02,103.3015,104.5989,100.1325,102.395,3156319
2024-04-03,101.4836,103.5505,100.8881,102.2007,1424767
2024-04-04,97.4557,99.0522,95.5756,96.7525,1904008
2024-04-05,96.637,99.5666,93.8832,96.7005,5534857
2024-04-08,98.146,99.3887,95.2828,96.8794,3429964
2024-04-09,103.5596,104.0263,102.8053,103.3968,2594390
2024-04-10,102.9936,104.2565,102.189,102.8802,6739450
2024-04-11,103.79,104.9745,102.223,103.7307,3606604
2024-04-12,105.9631,107.4603,105.5585,106.8934,3406316
2024-04-15,108.2587,111.9351,105.6994,109.0244,5569078
2024-04-16,113.2447,114.8895,111.0055,113.0202,2616240
2024-04-17,108.6489,110.6187,107.934,108.9687,6761073
2024-04-18,105.9273,107.2175,105.2621,106.2448,3212813
2024-04-19,105.6514,106.1955,103.8298,104.7525,3675160
2024-04-22,101.1136,101.9006,99.0127,100.7343,3189160
2024-04-23,99.7894,102.0235,98.6436,100.9241,4580916
2024-04-24,98.7668,101.0525,96.4104,98.6919,2376477
2024-04-25,101.9603,103.047,101.2049,102.3782,2506759
2024-04-26,100.9884,101.4265,99.6262,100.5011,6650829
2024-04-29,98.7029,100.9267,97.5844,99.7654,2457430
2024-04-30,101.7259,102.6205,100.6411,101.6546,2406311
2024-05-01,99.9326,101.651,96.1836,98.8326,2692953
2024-05-02,95.4796,96.9208,94.3237,95.2945,1640219
2024-05-03,95.5636,97.3639,94.6684,95.7015,2268285
2024-05-06,95.683,97.2534,94.1307,96.2609,11564680
2024-05-07,97.7596,99.5027,95.7179,97.8911,2506920
2024-05-08,99.2671,100.3052,97.7414,98.9871,4927001
2024-05-09,100.2471,101.5879,97.7392,99.6162,4212795
2024-05-10,97.6509,99.3259,97.1852,98.2523,3006962
2024-05-13,99.4151,100.0592,97.9761,98.7293,3517836
2024-05-14,99.3742,101.2423,98.2665,99.3194,3596779
2024-05-15,97.7664,99.1798,96.2104,97.9605,3345806
2024-05-16,100.9994,102.6646,99.1608,101.4668,3116908
2024-05-17,103.8721,104.6599,101.3449,102.3871,3758425
2024-05-20,100.6897,101.5962,99.1795,100.5674,3493745
2024-05-21,102.7494,103.287,101.3468,102.018,2303498
2024-05-22,102.6878,106.9743,101.0369,103.7826,7150994
2024-05-23,105.5986,106.216,103.1557,104.5485,3163295
2024-05-24,104.6792,105.3749,103.2217,104.1276,1961820
2024-05-27,102.614,103.6478,102.0224,102.8268,4658379
2024-05-28,103.3747,104.1998,100.6712,102.7138,8230180
2024-05-29,102.745,104.2884,101.5044,103.2983,1914481
2024-05-30,102.4737,104.9161,101.7901,103.3371,1748432
2024-05-31,104.2773,107.7315,102.7159,105.6936,6728631
2024-06-03,107.8204,109.37,104.0835,106.7213,4507987
2024-06-04,105.1521,105.832,104.2509,105.3676,6353880
2024-06-05,103.3345,105.6267,102.4645,103.7255,2330990
2024-06-06,104.7145,105.3766,103.9079,104.4635,8044266
2024-06-07,104.3202,105.4644,103.2927,104.1493,2607354
2024-06-10,105.5963,106.5106,103.2902,105.1974,972923
2024-06-11,104.7805,107.0221,103.9807,105.8912,3263134
2024-06-12,104.8179,107.7704,104.0525,105.8036,1831814
2024-06-13,104.6981,105.8007,103.9308,104.6431,1981153
2024-06-14,101.8674,104.4035,100.6734,102.6155,2840384
2024-06-17,102.888,103.4523,101.9518,102.9077,3367951
2024-06-18,102.2509,103.6584,99.2459,101.3278,2365574
2024-06-19,101.1207,101.6783,99.5589,100.247,6316634
2024-06-20,105.9395,107.0029,104.0575,105.4574,3608489
2024-06-21,104.1441,104.834,103.8543,104.4048,2785189
2024-06-24,103.9327,105.0688,101.5859,103.1706,4041324
2024-06-25,104.0907,105.3718,101.8951,103.6776,3331728
2024-06-26,102.6357,103.8901,102.2852,102.8377,3471216
2024-06-27,101.2017,102.0265,99.7587,101.0743,2567406
2024-06-28,99.4801,101.5136,98.893,100.519,7181317
2024-07-01,100.5892,102.0447,98.0554,99.924,5605957
2024-07-02,100.1258,101.6851,98.1779,99.7977,3206677
2024-07-03,98.0744,99.6449,95.915,98.158,2390991
2024-07-04,100.2327,102.6062,98.9962,100.226,3984417
2024-07-05,99.7094,101.9257,97.5338,100.3913,4290011
2024-07-08,100.7731,101.8551,99.4195,100.5459,2716059
2024-07-09,100.4219,101.6643,99.7385,100.9189,1711120
2024-07-10,98.2049,100.2005,96.4191,98.9992,5841004
2024-07-11,100.1914,100.7944,99.5591,100.2179,5379647
2024-07-12,100.1556,101.0465,98.6766,100.0729,2553873
2024-07-15,99.5088,99.8837,98.8369,99.3115,2783396
2024-07-16,100.9406,102.2143,97.6499,99.738,9233733
2024-07-17,98.0423,99.0065,97.7473,98.4397,4703487
2024-07-18,96.6457,96.8751,95.9181,96.4856,3355035
2024-07-19,98.0819,99.2716,97.5983,98.2122,5168865
2024-07-22,97.8193,98.8359,96.2938,97.5494,3887373
2024-07-23,96.0662,96.4614,95.4136,96.0322,4440985
2024-07-24,95.0375,97.0012,93.3221,95.703,1930505
2024-07-25,96.1661,97.2288,93.6521,95.8858,3524360
2024-07-26,96.4428,97.9203,94.6918,96.4569,3923444
2024-07-29,98.3326,98.9276,97.4179,98.1081,4498997
2024-07-30,98.1256,98.9707,96.8855,97.6381,1845936
2024-07-31,95.8016,98.1989,93.8861,96.9426,3838831
2024-08-01,96.3704,98.4208,94.743,96.6734,4036789
2024-08-02,96.4386,97.3113,94.7644,96.1046,2817099
2024-08-05,95.967,98.4613,95.3299,97.2518,6503515
2024-08-06,97.1111,97.8294,95.9525,96.9052,1991311
2024-08-07,97.1493,98.2856,96.7827,97.4732,1113818
2024-08-08,100.9491,102.7916,99.2612,100.9918,5340782
2024-08-09,101.1724,102.4841,100.2805,101.0892,2778951
2024-08-12,101.4438,102.5796,100.2126,101.4946,6531429
2024-08-13,100.934,104.9346,99.8645,102.6089,4333796
2024-08-14,101.4257,101.8154,100.3235,101.3268,3443849
2024-08-15,101.397,102.499,101.0081,101.5788,3168292
2024-08-16,102.746,104.1033,101.8986,103.0187,3576685
2024-08-19,103.2029,104.8136,102.2826,103.6011,6556720
2024-08-20,102.567,103.2419,101.5173,102.4136,3445872
2024-08-21,100.6661,102.5871,99.6137,101.4656,1677788
2024-08-22,99.1911,101.4509,96.6414,99.3576,3480241
2024-08-23,101.8352,103.2081,98.1134,100.8722,2637381
2024-08-26,99.0275,99.9635,98.2721,99.2845,1755156
2024-08-27,100.4489,102.5666,98.6863,101.0891,2311824
2024-08-28,99.0776,100.5951,97.7262,99.5555,1805234
2024-08-29,101.1261,103.8842,100.1699,101.5007,3816751
2024-08-30,102.2273,102.8597,101.5198,102.1802,2473770
2024-09-02,100.8695,103.6076,99.7949,102.0499,1648042
2024-09-03,105.4409,106.6576,103.3643,105.0303,4344805
2024-09-04,108.1653,108.5188,107.1772,107.8511,7379366
2024-09-05,108.6168,109.4966,107.9979,108.7058,3325204
2024-09-06,106.16,106.8375,105.414,105.9453,2224434
2024-09-09,106.9285,109.7471,105.0913,107.304,6039516
2024-09-10,106.0538,107.8874,102.8168,105.243,1785447
2024-09-11,106.7185,107.2421,104.9194,106.4007,4279633
2024-09-12,102.244,103.0384,101.5388,102.1089,2062982
2024-09-13,101.3898,102.5684,98.9164,101.0043,1893322
2024-09-16,101.9161,103.4864,98.1594,100.4363,2790679
2024-09-17,100.3629,101.21,98.7676,99.6476,3494743
2024-09-18,101.6973,103.7391,100.4358,101.5163,3029066
2024-09-19,99.35,99.6965,98.2393,98.8474,1305239
2024-09-20,92.1841,93.2984,91.0271,92.2402,4214306
2024-09-23,94.8855,96.2636,91.4975,94.3194,3405542
2024-09-24,99.0275,100.0104,96.9042,98.4521,3111312
2024-09-25,97.7693,99.227,96.6156,97.737,4274830
2024-09-26,98.9534,99.8177,96.9977,98.2402,2086014
2024-09-27,98.8756,99.9231,97.8601,98.9126,6550839
2024-09-30,102.208,103.3774,101.7354,102.5158,4320601
2024-10-01,104.2324,105.2546,103.8328,104.5204,3362936
2024-10-02,105.8101,107.7972,103.7934,105.6711,4260283
2024-10-03,101.4784,103.0242,100.7184,102.1883,7027737
2024-10-04,100.966,101.7551,100.2495,101.2675,6012678
2024-10-07,101.7935,102.307,100.9662,101.3577,2405572
2024-10-08,98.9735,99.5157,96.831,98.5121,2810197
2024-10-09,99.7166,101.258,97.6368,99.1837,911675
2024-10-10,98.5468,99.7375,97.9947,98.716,5215575
2024-10-11,98.4417,99.35,96.8259,98.3016,2450358
2024-10-14,102.4489,103.3155,102.1081,102.8479,894910
2024-10-15,100.6192,101.8473,99.9731,100.7768,3244088
2024-10-16,98.0733,98.493,97.0623,97.7473,4367257
2024-10-17,101.3537,102.0835,100.8776,101.3696,2998212
2024-10-18,96.6216,97.3138,95.2098,96.2951,7693252
2024-10-21,97.2502,100.4768,95.1938,97.6841,2414957
2024-10-22,100.3625,100.8354,99.0093,99.57,8145733
2024-10-23,98.765,99.5326,96.6131,98.0858,6267390
2024-10-24,91.7891,92.156,91.1297,91.5417,7136661
2024-10-25,94.7277,96.461,94.1473,94.9198,2723257
2024-10-28,94.0615,94.5045,93.2653,94.1547,3585254
2024-10-29,93.7065,94.3021,92.5254,93.4393,1936793
2024-10-30,93.1721,93.6462,92.2574,93.151,4275135
2024-10-31,95.6313,95.8759,94.7607,95.3445,5379058
2024-11-01,92.0245,93.7514,91.3766,92.4469,2239140
2024-11-04,95.3554,97.064,93.5178,95.2024,2369621
2024-11-05,93.2089,94.7353,90.3885,92.5441,5198704
2024-11-06,92.3438,94.2209,91.0769,92.2304,1938830
2024-11-07,94.1701,96.1559,93.1268,94.8228,1223005
2024-11-08,94.2755,94.8822,93.4114,94.3688,5026511
2024-11-11,89.8343,92.9577,88.1425,90.6089,2442325
2024-11-12,85.712,86.9797,83.4866,85.4994,4553654
2024-11-13,86.7252,87.1544,85.3476,86.3965,5878057
2024-11-14,88.3857,88.6576,87.9115,88.2763,2509744
2024-11-15,92.2717,93.7984,90.582,92.1277,4382728
2024-11-18,92.1415,93.319,90.7647,91.9076,4764345
2024-11-19,91.4491,92.9195,90.1085,91.1157,3955348
2024-11-20,92.0917,92.302,91.2755,91.9021,2944614
2024-11-21,89.0143,90.0804,87.1205,88.8656,2136628
2024-11-22,89.8537,90.587,88.3631,89.5818,3057143
2024-11-25,89.2617,91.2544,88.3175,90.3126,3293113
2024-11-26,89.34,91.6877,88.3842,90.0002,4691161
2024-11-27,90.242,91.5673,87.9536,89.8324,2713048
2024-11-28,93.8755,95.9485,92.1961,93.8992,1524492
2024-11-29,94.3285,95.8703,92.8554,94.7597,6145877
2024-12-02,93.5925,94.766,92.2321,93.8528,9163619
2024-12-03,90.3102,91.2491,88.1704,89.3476,5981507
2024-12-04,85.549,86.4047,84.9772,85.6811,4630584
2024-12-05,86.4182,88.6666,85.5066,87.0302,5270588
2024-12-06,84.7754,85.7439,84.2932,84.8731,6967206
2024-12-09,84.1164,86.6679,82.0054,84.0927,4481219
2024-12-10,84.631,86.0612,83.4799,84.3612,2713898
2024-12-11,88.2394,89.6155,87.2537,88.1931,5634248
2024-12-12,91.055,91.3975,90.2598,90.8277,3507601
2024-12-13,91.4571,92.5829,90.5066,91.25,1350222
2024-12-16,96.437,97.6585,93.8222,95.1757,1821264
2024-12-17,97.3457,98.0347,96.6625,97.5697,777523
2024-12-18,92.0919,94.1257,91.2394,92.7019,1984360
2024-12-19,95.1286,98.4801,94.0622,96.5064,3801460
2024-12-20,96.8916,97.5374,96.5465,97.0362,2919025
2024-12-23,91.5404,92.2058,90.2136,91.0816,3928164
2024-12-24,93.4409,94.1752,93.2121,93.5667,972747
2024-12-25,95.0332,95.8548,93.8097,94.4091,5086104
2024-12-26,92.6782,96.4828,91.5331,94.3536,1496630
2024-12-27,97.2958,98.8243,95.0734,96.3913,2509197
2024-12-30,96.8817,97.253,95.5406,96.3579,1457792
2024-12-31,97.2066,97.8758,96.8454,97.3848,5852442
2025-01-01,96.1715,99.0504,95.1128,97.049,4050732
2025-01-02,96.529,97.6013,96.1734,96.8395,4622992
2025-01-03,94.7684,95.249,93.1827,94.0378,4066445
2025-01-06,95.1416,96.357,93.786,95.2074,5136936
2025-01-07,100.0716,100.8571,99.3594,100.1956,2366725
2025-01-08,99.2312,100.0603,98.3626,99.3698,2192173
2025-01-09,97.8429,98.4881,96.1644,97.327,2825213
2025-01-10,95.6835,98.5702,94.7763,95.9665,1496148
2025-01-13,92.7916,94.2614,91.3294,92.5903,3795688
2025-01-14,92.8813,93.714,89.9513,92.1482,2244749
2025-01-15,92.2595,92.7423,91.2536,91.9105,8340626
2025-01-16,91.6603,93.5424,89.6229,91.9878,5609791
2025-01-17,93.5525,94.6862,92.8275,93.7905,2765169
2025-01-20,92.1204,93.5183,91.5459,92.4461,2671567
2025-01-21,92.0353,92.5796,90.568,91.292,3308844
2025-01-22,88.7509,90.55,86.0437,88.7873,6623339
2025-01-23,86.9774,88.5307,85.6729,87.5569,5919088
2025-01-24,84.3352,85.367,82.5096,83.4044,11932565
2025-01-27,84.9618,85.8692,83.9611,84.9022,1976283
2025-01-28,83.1067,84.5636,82.0746,83.1373,5780144
2025-01-29,81.2449,82.9078,80.5178,81.4635,4976861
2025-01-30,81.5342,82.0309,81.1908,81.5848,4296738
2025-01-31,80.4825,81.531,79.078,80.2585,5385148
2025-02-03,78.3917,80.3302,77.6536,78.8278,2634462
2025-02-04,76.3301,78.2904,75.7049,77.2089,3766451
2025-02-05,76.5509,77.1661,75.6812,76.2449,2872081
2025-02-06,76.2581,77.8589,75.4782,76.5462,4226792
2025-02-07,78.1787,79.7316,75.8591,77.8111,3576126
2025-02-10,76.7336,77.6121,75.7177,76.5843,3059258
2025-02-11,76.5468,77.9079,75.5274,76.5727,2008171
2025-02-12,75.0389,77.0442,74.456,75.9829,3859276
2025-02-13,78.6345,79.0623,77.3751,78.0155,3595702
2025-02-14,81.0653,81.6508,79.0173,79.8218,2047808
2025-02-17,76.9597,79.3088,76.1016,78.1079,5626460
2025-02-18,78.0608,79.5232,77.2901,78.1367,3237429
2025-02-19,78.2124,79.1807,77.619,78.2877,2809199
2025-02-20,77.7634,78.5427,75.8428,77.7292,5257434
2025-02-21,76.7394,78.0996,76.027,76.988,7689041
2025-02-24,76.3791,76.8531,74.515,76.0366,3385547
