product_id,vendor_id,category,base_price,cost_price,weight_kg,launch_date,is_fragile,warranty_months
P0057,V13,CAT_C,21.34,10.17,13.33,2024-04-26,YES,0
P0058,V13,CAT_E,11.68,7.06,9.31,2024-01-16,YES,12
P0059,V13,CAT_E,13.78,4.6,14.8,2024-04-16,NO,0
P0060,V14,CAT_D,24.18,12.98,5.32,2024-03-01,NO,6
P0061,V14,CAT_E,39.89,13.74,7.44,2024-01-28,NO,0
P0062,V14,CAT_A,17.67,6.14,1.85,2023-06-01,NO,0
P0063,V15,CAT_B,6.32,4.09,3.43,2023-07-14,NO,6
P0064,V15,CAT_E,10.22,4.39,0.75,2023-12-20,NO,0
P0065,V15,CAT_A,13.77,5.05,3.33,2024-06-07,NO,6
P0066,V16,CAT_D,23.9,15.92,14.38,2023-11-03,NO,0
P0067,V16,CAT_E,7.63,2.99,4.06,2023-07-11,NO,6
P0068,V16,CAT_E,71.62,22.41,4.27,2023-12-29,NO,0
P0069,V17,CAT_E,6.99,4.7,13.0,2023-06-05,YES,6
P0070,V17,CAT_A,86.94,54.27,14.81,2024-02-22,NO,6
P0071,V17,CAT_D,18.33,8.54,4.17,2023-12-14,NO,24
P0072,V17,CAT_E,54.07,28.23,11.56,2023-12-19,NO,0
P0073,V17,CAT_A,8.55,5.83,9.13,2024-06-03,NO,0
P0074,V17,CAT_B,17.92,7.3,0.43,2023-11-09,NO,12
P0075,V17,CAT_C,42.51,29.21,1.42,2024-04-08,NO,6
P0076,V18,CAT_C,12.74,6.98,10.59,2023-09-11,YES,0
P0077,V18,CAT_B,46.84,21.4,6.62,2024-04-03,NO,6
P0078,V18,CAT_B,4.92,3.27,4.54,2023-07-21,NO,12
P0079,V18,CAT_E,52.97,32.18,1.09,2023-07-04,NO,6
P0080,V18,CAT_C,17.9,6.87,8.74,2024-06-05,NO,6
P0081,V18,CAT_D,4.9,2.84,2.78,2023-12-01,NO,24
P0082,V18,CAT_E,66.68,33.75,14.6,2023-09-30,NO,12
P0083,V19,CAT_A,10.46,3.51,1.9,2023-06-12,NO,6
P0084,V19,CAT_A,12.84,6.44,10.39,2024-03-08,NO,12
P0085,V19,CAT_B,39.69,23.79,2.85,2023-06-28,NO,6
P0086,V19,CAT_C,12.23,7.33,0.65,2023-06-07,NO,12
P0087,V20,CAT_A,9.23,4.42,8.04,2023-09-27,NO,0
P0088,V20,CAT_B,21.4,9.18,3.25,2023-10-04,YES,24
P0089,V20,CAT_D,77.46,47.69,7.53,2023-09-19,NO,6
P0090,V20,CAT_B,40.66,21.74,8.51,2023-09-09,NO,12
P0091,V20,CAT_A,4.34,3.01,9.13,2023-10-28,NO,6
