assembly_id,component_id,net_qty_required,available_substitute_qty,shortage_covered,shortage_severity
ASM0004,MAT00047,6.6539,0.0,NO,STANDARD
ASM0004,PRT00017,11.55,0.0,NO,STANDARD
ASM0004,PRT00024,18.65,9.09,NO,STANDARD
ASM0004,PRT00032,8.3988,0.0,NO,STANDARD
ASM0004,PRT00043,1.0043,0.0,NO,STANDARD
ASM0004,RAW00030,9.599,0.0,NO,STANDARD
ASM0005,MAT00018,12.4,0.0,NO,STANDARD
ASM0005,MAT00058,43.2118,0.0,NO,STANDARD
ASM0005,PRT00039,22.725,22.73,YES,STANDARD
ASM0005,RAW00026,10.605,0.0,NO,STANDARD
ASM0006,CMP00016,8.875,222.22,YES,STANDARD
ASM0006,CMP00027,17.545,0.0,NO,STANDARD
ASM0006,MAT00011,11.998,0.0,NO,STANDARD
ASM0006,MAT00022,14.586,0.0,NO,STANDARD
ASM0006,MAT00033,38.5864,0.0,NO,STANDARD
ASM0006,MAT00047,14.0175,0.0,NO,STANDARD
ASM0006,MAT00055,8.364,0.0,NO,STANDARD
ASM0006,PRT00006,12.8835,0.0,NO,STANDARD
ASM0006,PRT00024,13.413,9.09,NO,STANDARD
ASM0006,PRT00043,19.3992,0.0,NO,STANDARD
ASM0006,PRT00050,9.7725,0.0,NO,STANDARD
ASM0006,RAW00008,15.1222,0.0,NO,STANDARD
ASM0006,RAW00026,22.081,0.0,NO,STANDARD
ASM0006,RAW00030,18.5747,0.0,NO,STANDARD
ASM0006,RAW00052,25.2093,0.0,NO,STANDARD
ASM0007,CMP00016,80.2725,222.22,YES,CRITICAL
ASM0007,CMP00027,73.515,0.0,NO,CRITICAL
ASM0007,CMP00045,53.914,0.0,NO,CRITICAL
ASM0007,MAT00003,49.65,0.0,NO,STANDARD
ASM0007,MAT00011,50.2725,0.0,NO,CRITICAL
ASM0007,MAT00025,53.019,0.0,NO,CRITICAL
ASM0007,MAT00044,23.8303,0.0,NO,STANDARD
ASM0007,MAT00047,25.437,0.0,NO,STANDARD
ASM0007,MAT00058,40.62,0.0,NO,STANDARD
ASM0007,PRT00013,59.108,0.0,NO,CRITICAL
ASM0007,PRT00032,85.1853,0.0,NO,CRITICAL
ASM0007,PRT00043,120.1885,0.0,NO,CRITICAL
ASM0007,PRT00046,42.1785,0.0,NO,STANDARD
ASM0007,RAW00030,114.5256,0.0,NO,CRITICAL
ASM0007,RAW00048,42.45,0.0,NO,STANDARD
ASM0008,CMP00027,160.4715,0.0,NO,CRITICAL
ASM0008,MAT00003,43.5,0.0,NO,STANDARD
ASM0008,MAT00011,109.7368,0.0,NO,CRITICAL
ASM0008,MAT00022,75.5,0.0,NO,CRITICAL
ASM0008,MAT00044,78.0401,0.0,NO,CRITICAL
ASM0008,PRT00013,134.089,0.0,NO,CRITICAL
ASM0008,PRT00043,218.1622,0.0,NO,CRITICAL
ASM0008,RAW00030,169.8895,0.0,NO,CRITICAL
ASM0009,CMP00016,50.1844,222.22,YES,CRITICAL
ASM0009,MAT00033,192.4655,0.0,NO,CRITICAL
ASM0009,PRT00006,75.1639,0.0,NO,CRITICAL
ASM0009,PRT00032,60.25,0.0,NO,CRITICAL
ASM0009,RAW00026,124.8587,0.0,NO,CRITICAL
ASM0009,RAW00052,165.8211,0.0,NO,CRITICAL
ASM0010,MAT00058,44.2241,0.0,NO,STANDARD
ASM0010,RAW00004,35.037,0.0,NO,STANDARD
ASM0010,RAW00048,10.493,0.0,NO,STANDARD
ASM0011,CMP00009,65.302,0.0,NO,CRITICAL
ASM0011,CMP00016,104.72,222.22,YES,CRITICAL
ASM0011,CMP00045,116.0298,0.0,NO,CRITICAL
ASM0011,MAT00047,33.184,0.0,NO,STANDARD
ASM0011,PRT00013,38.7295,0.0,NO,STANDARD
ASM0011,PRT00032,41.8864,0.0,NO,STANDARD
ASM0011,PRT00043,24.9445,0.0,NO,STANDARD
ASM0011,RAW00030,47.872,0.0,NO,STANDARD
ASM0011,RAW00048,49.092,0.0,NO,STANDARD
ASM0012,CMP00027,57.7013,0.0,NO,CRITICAL
ASM0012,CMP00053,35.7,0.0,NO,STANDARD
ASM0012,MAT00003,10.089,0.0,NO,STANDARD
ASM0012,MAT00011,39.4584,0.0,NO,STANDARD
ASM0012,MAT00033,49.4,0.0,NO,STANDARD
ASM0012,MAT00044,13.9718,0.0,NO,STANDARD
ASM0012,MAT00047,19.594,0.0,NO,STANDARD
ASM0012,MAT00058,43.548,0.0,NO,STANDARD
ASM0012,PRT00013,46.5483,0.0,NO,STANDARD
ASM0012,PRT00017,10.914,0.0,NO,STANDARD
ASM0012,PRT00043,75.2432,0.0,NO,CRITICAL
ASM0012,PRT00050,28.179,0.0,NO,STANDARD
ASM0012,RAW00008,43.605,0.0,NO,STANDARD
ASM0012,RAW00030,61.0878,0.0,NO,CRITICAL
