request_id,tenant_id,endpoint_id,timestamp,base_tokens,weight_multiplier,surge_multiplier,effective_tokens,hourly_request_count,daily_request_count,daily_token_count,effective_hourly_limit,within_limit,throttle_reason,billable
R00000004,T001,EP010,2025-01-01 07:41:16,557,1.0,1.0,557,2,3,1680,10,YES,,YES
R00000058,T012,EP010,2025-01-01 07:46:20,317,2.5,1.0,792,1,2,1252,82,YES,,YES
R00000302,T001,EP004,2025-01-01 08:00:00,3000,1.0,1.0,3000,1,4,4680,10,YES,,YES
R00000303,T001,EP004,2025-01-01 08:05:00,2500,1.0,1.0,2500,2,5,7180,10,NO,TOKEN_EXCEEDED,YES
R00000087,T018,EP002,2025-01-01 08:31:42,500,1.1,1.5,825,1,2,3263,240,YES,,YES
R00000014,T003,EP008,2025-01-01 08:39:03,1344,1.0,1.0,1344,1,2,1957,10,YES,,NO
R00000018,T004,EP002,2025-01-01 08:50:19,500,2.0,1.5,1500,1,2,1544,10,YES,,YES
R00000092,T019,EP001,2025-01-01 08:53:44,483,1.0,1.0,483,1,2,844,650,YES,,NO
R00000304,T019,EP001,2025-01-01 09:00:00,800,1.0,1.0,800,1,3,1644,650,YES,,YES
R00000071,T015,EP010,2025-01-01 09:02:51,568,2.0,1.0,1136,1,4,4887,240,YES,,YES
R00000305,T019,EP003,2025-01-01 09:10:00,600,1.0,1.0,600,2,4,2244,650,YES,,YES
R00000093,T019,EP004,2025-01-01 09:12:53,2500,1.5,1.0,3750,3,5,5994,650,YES,,YES
R00000039,T008,EP004,2025-01-01 09:20:10,152,3.0,1.0,456,1,2,1096,22,YES,,YES
R00000091,T019,EP004,2025-01-01 09:22:15,984,1.5,1.0,1476,4,6,7470,650,YES,,YES
R00000017,T004,EP005,2025-01-01 09:30:43,848,2.0,1.5,2544,1,3,4088,10,YES,,YES
R00000036,T008,EP003,2025-01-01 09:39:06,1420,0.7,1.0,994,2,3,2090,22,YES,,YES
R00000074,T015,EP004,2025-01-01 09:42:25,0,2.0,1.0,0,2,5,4887,240,YES,,NO
R00000046,T010,EP008,2025-01-01 09:43:45,876,1.0,1.0,876,1,3,1778,82,YES,,NO
R00000306,T010,EP008,2025-01-01 10:00:00,500,1.0,1.0,500,1,4,2278,82,YES,,NO
R00000316,T001,EP001,2025-01-01 10:00:00,200,0.5,1.0,100,1,6,7280,10,NO,TOKEN_EXCEEDED,YES
R00000317,T001,EP001,2025-01-01 10:03:00,200,0.5,1.0,100,2,7,7380,10,NO,TOKEN_EXCEEDED,YES
R00000318,T001,EP001,2025-01-01 10:06:00,200,0.5,1.0,100,3,8,7480,10,NO,TOKEN_EXCEEDED,YES
R00000319,T001,EP001,2025-01-01 10:09:00,200,0.5,1.0,100,4,9,7580,10,NO,TOKEN_EXCEEDED,YES
R00000082,T017,EP008,2025-01-01 10:10:45,0,0.8,1.0,0,1,2,586,240,YES,,NO
R00000320,T001,EP001,2025-01-01 10:12:00,200,0.5,1.0,100,5,10,7680,10,NO,TOKEN_EXCEEDED,YES
R00000321,T001,EP001,2025-01-01 10:15:00,200,0.5,1.0,100,6,11,7780,10,NO,TOKEN_EXCEEDED,YES
R00000322,T001,EP001,2025-01-01 10:18:00,200,0.5,1.0,100,7,12,7880,10,NO,TOKEN_EXCEEDED,YES
R00000323,T001,EP001,2025-01-01 10:21:00,200,0.5,1.0,100,8,13,7980,10,NO,TOKEN_EXCEEDED,YES
R00000324,T001,EP001,2025-01-01 10:24:00,200,0.5,1.0,100,9,14,8080,10,NO,TOKEN_EXCEEDED,YES
R00000325,T001,EP001,2025-01-01 10:27:00,200,0.5,1.0,100,10,15,8180,10,NO,TOKEN_EXCEEDED,YES
R00000326,T001,EP001,2025-01-01 10:30:00,200,0.5,1.0,100,11,16,8280,10,NO,TOKEN_EXCEEDED,YES
R00000098,T020,EP008,2025-01-01 10:30:24,489,0.5,1.0,244,1,2,274,650,YES,,NO
R00000327,T001,EP001,2025-01-01 10:33:00,200,0.5,1.0,100,12,17,8380,10,NO,TOKEN_EXCEEDED,YES
R00000328,T001,EP001,2025-01-01 10:36:00,200,0.5,1.0,100,13,18,8480,10,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000329,T001,EP001,2025-01-01 10:39:00,200,0.5,1.0,100,14,19,8580,10,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000013,T003,EP006,2025-01-01 10:44:29,1348,2.0,1.5,4044,1,3,6001,10,NO,TOKEN_EXCEEDED,YES
R00000097,T020,EP003,2025-01-01 11:22:25,1110,1.0,1.0,1110,1,3,1384,650,YES,,YES
R00000085,T017,EP005,2025-01-01 11:37:31,1465,1.1,1.5,2417,1,3,3003,240,YES,,NO
R00000076,T016,EP007,2025-01-01 12:00:29,914,1.0,1.0,914,1,2,2376,240,YES,,YES
R00000025,T005,EP008,2025-01-01 12:06:41,531,1.0,1.0,531,1,3,4410,22,YES,,NO
R00000083,T017,EP005,2025-01-01 12:08:16,1470,1.1,1.5,2426,1,4,5429,240,YES,,YES
R00000070,T014,EP009,2025-01-01 12:18:34,10,0.1,1.0,1,1,3,1878,82,YES,,NO
R00000028,T006,EP006,2025-01-01 12:46:19,862,1.5,1.5,1940,1,3,4053,22,YES,,YES
R00000041,T009,EP003,2025-01-01 12:50:02,350,0.7,1.0,245,1,1,245,22,YES,,YES
R00000100,T020,EP003,2025-01-01 12:52:47,1471,1.0,1.0,1471,1,4,2855,650,YES,,YES
R00000035,T007,EP001,2025-01-01 12:52:48,200,0.7,1.0,140,1,3,3378,22,YES,,YES
R00000079,T016,EP010,2025-01-01 13:23:31,5000,2.0,1.0,10000,1,3,12376,240,YES,,YES
R00000054,T011,EP004,2025-01-01 13:24:51,1169,2.5,1.0,2922,1,2,4179,82,YES,,NO
R00000007,T002,EP007,2025-01-01 13:35:17,1368,0.5,1.0,684,1,3,2500,10,YES,,YES
R00000027,T006,EP005,2025-01-01 13:35:18,456,1.5,1.5,1026,1,4,5079,22,YES,,YES
R00000049,T010,EP004,2025-01-01 13:37:08,362,2.5,1.0,905,1,5,3183,82,YES,,YES
R00000045,T009,EP006,2025-01-01 13:41:48,539,1.5,1.5,1213,1,2,1458,22,YES,,YES
R00000037,T008,EP010,2025-01-01 13:46:58,1380,3.0,1.0,4140,1,4,6230,22,YES,,YES
R00000330,T007,EP004,2025-01-01 14:00:38,2500,3.0,1.0,7500,1,4,10878,22,YES,,YES
R00000331,T007,EP004,2025-01-01 14:01:46,2500,3.0,1.0,7500,2,5,18378,22,YES,,YES
R00000332,T007,EP004,2025-01-01 14:02:19,2500,3.0,1.0,7500,3,6,25878,22,NO,TOKEN_EXCEEDED,YES
R00000333,T007,EP004,2025-01-01 14:03:02,2500,3.0,1.0,7500,4,7,33378,22,NO,TOKEN_EXCEEDED,YES
R00000334,T007,EP004,2025-01-01 14:04:45,2500,3.0,1.0,7500,5,8,40878,22,NO,TOKEN_EXCEEDED,YES
R00000335,T007,EP004,2025-01-01 14:05:09,2500,3.0,1.0,7500,6,9,48378,22,NO,TOKEN_EXCEEDED,YES
R00000336,T007,EP004,2025-01-01 14:06:07,2500,3.0,1.0,7500,7,10,55878,22,NO,TOKEN_EXCEEDED,YES
R00000337,T007,EP004,2025-01-01 14:07:01,2500,3.0,1.0,7500,8,11,63378,22,NO,TOKEN_EXCEEDED,YES
R00000338,T007,EP004,2025-01-01 14:08:12,2500,3.0,1.0,7500,9,12,70878,22,NO,TOKEN_EXCEEDED,YES
R00000339,T007,EP004,2025-01-01 14:09:11,2500,3.0,1.0,7500,10,13,78378,22,NO,TOKEN_EXCEEDED,YES
R00000340,T007,EP004,2025-01-01 14:10:50,2500,3.0,1.0,7500,11,14,85878,22,NO,TOKEN_EXCEEDED,YES
R00000341,T007,EP004,2025-01-01 14:11:47,2500,3.0,1.0,7500,12,15,93378,22,NO,TOKEN_EXCEEDED,YES
R00000342,T007,EP004,2025-01-01 14:12:49,2500,3.0,1.0,7500,13,16,100878,22,NO,TOKEN_EXCEEDED,YES
R00000343,T007,EP004,2025-01-01 14:13:38,2500,3.0,1.0,7500,14,17,108378,22,NO,TOKEN_EXCEEDED,YES
R00000344,T007,EP004,2025-01-01 14:14:03,2500,3.0,1.0,7500,15,18,115878,22,NO,TOKEN_EXCEEDED,YES
R00000345,T007,EP004,2025-01-01 14:15:40,2500,3.0,1.0,7500,16,19,123378,22,NO,TOKEN_EXCEEDED,YES
R00000346,T007,EP004,2025-01-01 14:16:31,2500,3.0,1.0,7500,17,20,130878,22,NO,TOKEN_EXCEEDED,YES
R00000347,T007,EP004,2025-01-01 14:17:50,2500,3.0,1.0,7500,18,21,138378,22,NO,TOKEN_EXCEEDED,YES
R00000348,T007,EP004,2025-01-01 14:18:36,2500,3.0,1.0,7500,19,22,145878,22,NO,TOKEN_EXCEEDED,YES
R00000349,T007,EP004,2025-01-01 14:19:27,2500,3.0,1.0,7500,20,23,153378,22,NO,TOKEN_EXCEEDED,YES
R00000350,T007,EP004,2025-01-01 14:20:20,2500,3.0,1.0,7500,21,24,160878,22,NO,TOKEN_EXCEEDED,YES
R00000042,T009,EP008,2025-01-01 14:21:07,512,1.0,1.0,512,1,3,1970,22,YES,,NO
R00000351,T007,EP004,2025-01-01 14:21:52,2500,3.0,1.0,7500,22,25,168378,22,NO,TOKEN_EXCEEDED,YES
R00000352,T007,EP004,2025-01-01 14:22:34,2500,3.0,1.0,7500,23,26,175878,22,NO,TOKEN_EXCEEDED,YES
R00000353,T007,EP004,2025-01-01 14:23:21,2500,3.0,1.0,7500,24,27,183378,22,NO,TOKEN_EXCEEDED,YES
R00000354,T007,EP004,2025-01-01 14:24:47,2500,3.0,1.0,7500,25,28,190878,22,NO,TOKEN_EXCEEDED,YES
R00000355,T007,EP004,2025-01-01 14:25:23,2500,3.0,1.0,7500,26,29,198378,22,NO,TOKEN_EXCEEDED,YES
R00000356,T007,EP004,2025-01-01 14:26:46,2500,3.0,1.0,7500,27,30,205878,22,NO,TOKEN_EXCEEDED,YES
R00000357,T007,EP004,2025-01-01 14:27:41,2500,3.0,1.0,7500,28,31,213378,22,NO,TOKEN_EXCEEDED,YES
R00000358,T007,EP004,2025-01-01 14:28:39,2500,3.0,1.0,7500,29,32,220878,22,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000359,T007,EP004,2025-01-01 14:29:41,2500,3.0,1.0,7500,30,33,228378,22,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000360,T007,EP004,2025-01-01 14:30:55,2500,3.0,1.0,7500,31,34,235878,22,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000361,T007,EP004,2025-01-01 14:31:18,2500,3.0,1.0,7500,32,35,243378,22,NO,HOURLY_EXCEEDED|TOKEN_EXCEEDED,YES
R00000059,T012,EP006,2025-01-01 14:35:53,85,1.2,1.5,153,1,3,1405,82,YES,,YES
R00000095,T019,EP006,2025-01-01 15:12:47,517,1.0,1.5,776,1,7,8246,650,YES,,YES
R00000005,T001,EP001,2025-01-01 15:46:45,565,0.5,1.0,282,1,20,8862,10,NO,TOKEN_EXCEEDED,YES
R00000044,T009,EP005,2025-01-01 15:49:49,193,1.5,1.5,434,1,4,2404,22,YES,,YES
R00000038,T008,EP005,2025-01-01 16:38:07,295,1.5,1.5,664,1,5,6894,22,YES,,YES
R00000064,T013,EP006,2025-01-01 16:39:53,660,1.2,1.5,1188,1,2,1188,82,YES,,YES
R00000006,T002,EP001,2025-01-01 16:47:53,680,0.5,1.0,340,1,4,2840,10,YES,,YES
R00000089,T018,EP001,2025-01-01 16:52:09,1155,1.0,1.0,1155,1,3,4418,240,YES,,NO
R00000081,T017,EP004,2025-01-01 17:13:53,1448,2.0,1.0,2896,1,5,8325,240,YES,,YES
R00000021,T005,EP006,2025-01-01 17:15:24,367,1.5,1.5,826,1,4,5236,22,YES,,NO
R00000011,T003,EP009,2025-01-01 17:30:16,1371,0.1,1.0,137,1,4,6138,10,NO,TOKEN_EXCEEDED,NO
R00000031,T007,EP003,2025-01-01 18:23:13,0,0.7,1.0,0,1,36,243378,22,NO,TOKEN_EXCEEDED,NO
R00000022,T005,EP009,2025-01-01 18:26:07,595,0.1,1.0,60,1,5,5296,22,YES,,NO
R00000062,T013,EP005,2025-01-01 18:28:08,400,1.2,1.5,720,1,3,1908,82,YES,,YES
R00000088,T018,EP003,2025-01-01 18:29:10,897,1.0,1.0,897,1,4,5315,240,YES,,YES
R00000055,T011,EP005,2025-01-01 18:49:09,400,1.2,1.5,720,1,3,4899,82,YES,,YES
R00000060,T012,EP001,2025-01-01 19:03:28,1475,1.0,1.0,1475,1,4,2880,82,YES,,YES
R00000043,T009,EP010,2025-01-01 19:09:39,545,3.0,1.0,1635,1,5,4039,22,YES,,YES
R00000077,T016,EP010,2025-01-01 19:18:44,369,2.0,1.0,738,1,4,13114,240,YES,,YES
R00000012,T003,EP008,2025-01-01 19:40:26,302,1.0,1.0,302,1,5,6440,10,NO,TOKEN_EXCEEDED,NO
R00000067,T014,EP007,2025-01-01 20:09:14,92,1.0,1.0,92,1,4,1970,82,YES,,YES
R00000069,T014,EP009,2025-01-01 20:27:39,686,0.1,1.0,69,2,5,2039,82,YES,,NO
R00000030,T006,EP002,2025-01-01 20:28:49,500,1.5,1.5,1125,1,5,6204,22,YES,,NO
R00000048,T010,EP008,2025-01-01 21:14:08,192,1.0,1.0,192,1,6,3375,82,YES,,NO
R00000063,T013,EP007,2025-01-01 21:17:51,627,1.0,1.0,627,1,4,2535,82,YES,,YES
R00000020,T004,EP003,2025-01-01 21:27:50,707,0.5,1.0,354,1,4,4442,10,YES,,NO
R00000034,T007,EP006,2025-01-01 21:59:10,272,1.5,1.5,612,1,37,243990,22,NO,TOKEN_EXCEEDED,NO
R00000096,T020,EP007,2025-01-01 22:07:06,703,1.0,1.0,703,1,5,3558,650,YES,,YES
R00000086,T018,EP009,2025-01-01 22:11:46,102,1.0,1.0,102,1,5,5417,240,YES,,NO
R00000010,T002,EP007,2025-01-01 22:14:41,552,0.5,1.0,276,1,5,3116,10,YES,,YES
R00000051,T011,EP007,2025-01-01 22:15:05,195,1.0,1.0,195,1,4,5094,82,YES,,YES
R00000002,T001,EP007,2025-01-01 22:18:34,465,0.5,1.0,232,1,21,9094,10,NO,TOKEN_EXCEEDED,YES
R00000001,T001,EP006,2025-01-01 22:30:45,1415,2.0,1.5,4245,2,22,13339,10,NO,TOKEN_EXCEEDED,YES
R00000056,T012,EP006,2025-01-01 22:30:57,1127,1.2,1.5,2029,1,5,4909,82,YES,,YES
R00000016,T004,EP003,2025-01-01 22:43:26,0,0.5,1.0,0,1,5,4442,10,YES,,NO
R00000065,T013,EP008,2025-01-01 22:43:51,539,1.0,1.0,539,1,5,3074,82,YES,,NO
R00000053,T011,EP010,2025-01-01 22:45:31,951,2.5,1.0,2378,2,5,7472,82,YES,,YES
R00000078,T016,EP010,2025-01-01 22:49:14,1219,2.0,1.0,2438,1,5,15552,240,YES,,YES
R00000307,T002,EP002,2025-01-01 23:59:59,1000,2.0,1.5,3000,1,6,6116,10,NO,TOKEN_EXCEEDED,YES
R00000308,T002,EP002,2025-01-02 00:00:00,1000,2.0,1.0,2000,1,1,2000,10,YES,,YES
R00000309,T002,EP002,2025-01-02 00:00:01,1000,2.0,1.0,2000,2,2,4000,10,YES,,YES
R00000611,T011,EP003,2025-01-02 00:06:35,679,1.0,1.0,679,1,1,679,82,YES,,YES
R00000495,T011,EP002,2025-01-02 00:10:05,737,1.2,1.0,884,2,2,1563,82,YES,,YES
R00000593,T011,EP003,2025-01-02 00:12:48,863,1.0,1.0,863,3,3,2426,82,YES,,YES
R00000513,T011,EP003,2025-01-02 00:25:14,1618,1.0,1.0,1618,4,4,4044,82,YES,,YES
R00000555,T011,EP003,2025-01-02 00:28:24,306,1.0,1.0,306,5,5,4350,82,YES,,YES
R00000501,T011,EP003,2025-01-02 00:30:18,530,1.0,1.0,530,6,6,4880,82,YES,,YES
R00000645,T011,EP002,2025-01-02 00:32:39,375,1.2,1.0,450,7,7,5330,82,YES,,YES
R00000391,T011,EP003,2025-01-02 00:38:31,1070,1.0,1.0,1070,8,8,6400,82,YES,,YES
R00000491,T011,EP003,2025-01-02 00:42:24,1674,1.0,1.0,1674,9,9,8074,82,YES,,YES
R00000654,T011,EP002,2025-01-02 00:49:05,360,1.2,1.0,432,10,10,8506,82,YES,,YES
R00000571,T011,EP002,2025-01-02 00:53:28,1852,1.2,1.0,2222,11,11,10728,82,YES,,YES
R00000467,T011,EP010,2025-01-02 00:58:42,5000,2.5,1.0,12500,12,12,23228,82,YES,,YES
R00000109,T002,EP003,2025-01-02 01:03:17,350,0.5,1.0,175,1,3,4175,10,YES,,YES
R00000646,T011,EP002,2025-01-02 01:05:07,1661,1.2,1.0,1993,1,13,25221,82,YES,,YES
R00000603,T011,EP003,2025-01-02 01:12:28,365,1.0,1.0,365,2,14,25586,82,YES,,YES
R00000376,T011,EP002,2025-01-02 01:19:45,1046,1.2,1.0,1255,3,15,26841,82,YES,,YES
R00000107,T002,EP009,2025-01-02 01:25:52,1372,0.1,1.0,137,2,4,4312,10,YES,,NO
R00000468,T011,EP003,2025-01-02 01:26:46,309,1.0,1.0,309,4,16,27150,82,YES,,YES
R00000610,T011,EP003,2025-01-02 01:31:09,1912,1.0,1.0,1912,5,17,29062,82,YES,,YES
R00000542,T011,EP010,2025-01-02 01:31:58,5000,2.5,1.0,12500,6,18,41562,82,YES,,YES
R00000632,T011,EP010,2025-01-02 01:33:25,5000,2.5,1.0,12500,7,19,54062,82,YES,,YES
R00000169,T014,EP008,2025-01-02 01:34:27,1293,1.0,1.0,1293,1,1,1293,82,YES,,NO
R00000612,T011,EP010,2025-01-02 01:39:42,5000,2.5,1.0,12500,8,20,66562,82,YES,,YES
R00000176,T016,EP010,2025-01-02 01:40:48,1405,2.0,1.0,2810,1,1,2810,240,YES,,YES
R00000416,T011,EP002,2025-01-02 01:41:38,1155,1.2,1.0,1386,9,21,67948,82,YES,,YES
R00000374,T011,EP001,2025-01-02 01:42:20,1116,1.0,1.0,1116,10,22,69064,82,YES,,YES
R00000187,T018,EP005,2025-01-02 01:47:34,237,1.1,1.0,261,1,1,261,240,YES,,YES
R00000403,T011,EP001,2025-01-02 01:48:12,1444,1.0,1.0,1444,11,23,70508,82,YES,,YES
R00000164,T013,EP004,2025-01-02 01:48:26,1361,2.5,1.0,3402,1,1,3402,82,YES,,YES
R00000604,T011,EP002,2025-01-02 01:48:29,861,1.2,1.0,1033,12,24,71541,82,YES,,YES
R00000186,T018,EP003,2025-01-02 01:48:46,74,1.0,1.0,74,2,2,335,240,YES,,NO
R00000565,T011,EP003,2025-01-02 01:50:15,1204,1.0,1.0,1204,13,25,72745,82,YES,,YES
R00000553,T011,EP004,2025-01-02 01:57:19,671,2.5,1.0,1678,14,26,74423,82,YES,,YES
R00000648,T011,EP001,2025-01-02 01:57:42,703,1.0,1.0,703,15,27,75126,82,YES,,YES
R00000672,T011,EP010,2025-01-02 02:01:56,5000,2.5,1.0,12500,1,28,87626,82,YES,,YES
R00000596,T011,EP001,2025-01-02 02:05:36,762,1.0,1.0,762,2,29,88388,82,YES,,YES
R00000479,T011,EP004,2025-01-02 02:06:18,1617,2.5,1.0,4042,3,30,92430,82,YES,,YES
R00000638,T011,EP004,2025-01-02 02:09:16,1920,2.5,1.0,4800,4,31,97230,82,YES,,YES
R00000446,T011,EP001,2025-01-02 02:10:37,556,1.0,1.0,556,5,32,97786,82,YES,,YES
R00000662,T011,EP010,2025-01-02 02:11:38,5000,2.5,1.0,12500,6,33,110286,82,YES,,YES
R00000581,T011,EP003,2025-01-02 02:14:40,567,1.0,1.0,567,7,34,110853,82,YES,,YES
R00000628,T011,EP001,2025-01-02 02:19:15,1094,1.0,1.0,1094,8,35,111947,82,YES,,YES
R00000193,T019,EP005,2025-01-02 02:22:10,252,1.0,1.0,252,1,1,252,650,YES,,YES
R00000397,T011,EP010,2025-01-02 02:23:29,5000,2.5,1.0,12500,9,36,124447,82,YES,,YES
R00000524,T011,EP002,2025-01-02 02:24:18,1996,1.2,1.0,2395,10,37,126842,82,YES,,YES
R00000667,T011,EP010,2025-01-02 02:27:45,5000,2.5,1.0,12500,11,38,139342,82,YES,,YES
R00000413,T011,EP004,2025-01-02 02:30:36,1876,2.5,1.0,4690,12,39,144032,82,YES,,YES
R00000101,T001,EP010,2025-01-02 02:36:46,0,1.0,1.0,0,1,1,0,10,YES,,NO
R00000429,T011,EP001,2025-01-02 02:38:35,1964,1.0,1.0,1964,13,40,145996,82,YES,,YES
R00000557,T011,EP010,2025-01-02 02:39:44,5000,2.5,1.0,12500,14,41,158496,82,NO,TOKEN_EXCEEDED,YES
R00000393,T011,EP002,2025-01-02 02:43:11,751,1.2,1.0,901,15,42,159397,82,NO,TOKEN_EXCEEDED,YES
R00000583,T011,EP002,2025-01-02 02:46:07,961,1.2,1.0,1153,16,43,160550,82,NO,TOKEN_EXCEEDED,YES
R00000182,T017,EP005,2025-01-02 02:46:46,1381,1.1,1.0,1519,1,1,1519,240,YES,,NO
R00000448,T011,EP001,2025-01-02 02:48:34,558,1.0,1.0,558,17,44,161108,82,NO,TOKEN_EXCEEDED,YES
R00000537,T011,EP010,2025-01-02 02:53:28,5000,2.5,1.0,12500,18,45,173608,82,NO,TOKEN_EXCEEDED,YES
R00000566,T011,EP004,2025-01-02 03:01:37,1865,2.5,1.0,4662,1,46,178270,82,NO,TOKEN_EXCEEDED,YES
R00000579,T011,EP002,2025-01-02 03:06:32,1076,1.2,1.0,1291,2,47,179561,82,NO,TOKEN_EXCEEDED,YES
R00000427,T011,EP010,2025-01-02 03:12:08,5000,2.5,1.0,12500,3,48,192061,82,NO,TOKEN_EXCEEDED,YES
R00000622,T011,EP010,2025-01-02 03:18:02,5000,2.5,1.0,12500,4,49,204561,82,NO,TOKEN_EXCEEDED,YES
R00000384,T011,EP001,2025-01-02 03:20:25,281,1.0,1.0,281,5,50,204842,82,NO,TOKEN_EXCEEDED,YES
R00000183,T017,EP004,2025-01-02 03:21:06,920,2.0,1.0,1840,1,2,3359,240,YES,,YES
R00000371,T011,EP001,2025-01-02 03:24:46,1588,1.0,1.0,1588,6,51,206430,82,NO,TOKEN_EXCEEDED,YES
R00000457,T011,EP010,2025-01-02 03:32:45,5000,2.5,1.0,12500,7,52,218930,82,NO,TOKEN_EXCEEDED,YES
R00000112,T003,EP008,2025-01-02 03:33:05,328,1.0,1.0,328,1,1,328,10,YES,,NO
R00000362,T011,EP010,2025-01-02 03:34:40,5000,2.5,1.0,12500,8,53,231430,82,NO,TOKEN_EXCEEDED,YES
R00000166,T014,EP003,2025-01-02 03:35:04,51,1.0,1.0,51,1,2,1344,82,YES,,YES
R00000548,T011,EP003,2025-01-02 03:37:44,1278,1.0,1.0,1278,9,54,232708,82,NO,TOKEN_EXCEEDED,YES
R00000444,T011,EP002,2025-01-02 03:41:43,1249,1.2,1.0,1499,10,55,234207,82,NO,TOKEN_EXCEEDED,YES
R00000644,T011,EP004,2025-01-02 03:43:07,922,2.5,1.0,2305,11,56,236512,82,NO,TOKEN_EXCEEDED,YES
R00000476,T011,EP002,2025-01-02 03:50:05,951,1.2,1.0,1141,12,57,237653,82,NO,TOKEN_EXCEEDED,YES
R00000173,T015,EP002,2025-01-02 03:54:48,54,1.1,1.0,59,1,1,59,240,YES,,YES
R00000406,T011,EP004,2025-01-02 04:00:41,1984,2.5,1.0,4960,1,58,242613,82,NO,TOKEN_EXCEEDED,YES
R00000121,T005,EP004,2025-01-02 04:12:21,431,3.0,1.0,1293,1,1,1293,22,YES,,YES
R00000102,T001,EP005,2025-01-02 04:18:58,474,2.0,1.0,948,1,2,948,10,YES,,NO
R00000641,T011,EP003,2025-01-02 04:33:35,1638,1.0,1.0,1638,2,59,244251,82,NO,TOKEN_EXCEEDED,YES
R00000197,T020,EP006,2025-01-02 04:34:24,606,1.0,1.0,606,1,1,606,650,YES,,YES
R00000669,T011,EP002,2025-01-02 04:36:41,1133,1.2,1.0,1360,3,60,245611,82,NO,TOKEN_EXCEEDED,YES
R00000530,T011,EP001,2025-01-02 04:39:31,1965,1.0,1.0,1965,4,61,247576,82,NO,TOKEN_EXCEEDED,YES
R00000640,T011,EP002,2025-01-02 04:43:53,1213,1.2,1.0,1456,5,62,249032,82,NO,TOKEN_EXCEEDED,YES
R00000423,T011,EP002,2025-01-02 04:51:29,468,1.2,1.0,562,6,63,249594,82,NO,TOKEN_EXCEEDED,YES
R00000106,T002,EP001,2025-01-02 04:52:54,135,0.5,1.0,68,1,5,4380,10,YES,,YES
