request_id,tenant_id,tier_id,timestamp,throttle_reason,hourly_request_count,daily_request_count,effective_hourly_limit,decision,decision_reason
R00000342,T007,STARTER,2025-01-01 14:12:49,TOKEN_EXCEEDED,13,16,22,THROTTLE_50,MODERATE_OVERAGE
R00000343,T007,STARTER,2025-01-01 14:13:38,TOKEN_EXCEEDED,14,17,22,THROTTLE_50,MODERATE_OVERAGE
R00000344,T007,STARTER,2025-01-01 14:14:03,TOKEN_EXCEEDED,15,18,22,THROTTLE_50,MODERATE_OVERAGE
R00000345,T007,STARTER,2025-01-01 14:15:40,TOKEN_EXCEEDED,16,19,22,THROTTLE_50,MODERATE_OVERAGE
R00000346,T007,STARTER,2025-01-01 14:16:31,TOKEN_EXCEEDED,17,20,22,THROTTLE_50,MODERATE_OVERAGE
R00000347,T007,STARTER,2025-01-01 14:17:50,TOKEN_EXCEEDED,18,21,22,THROTTLE_50,MODERATE_OVERAGE
R00000348,T007,STARTER,2025-01-01 14:18:36,TOKEN_EXCEEDED,19,22,22,THROTTLE_50,MODERATE_OVERAGE
R00000349,T007,STARTER,2025-01-01 14:19:27,TOKEN_EXCEEDED,20,23,22,THROTTLE_50,MODERATE_OVERAGE
R00000350,T007,STARTER,2025-01-01 14:20:20,TOKEN_EXCEEDED,21,24,22,THROTTLE_50,MODERATE_OVERAGE
R00000351,T007,STARTER,2025-01-01 14:21:52,TOKEN_EXCEEDED,22,25,22,THROTTLE_50,MODERATE_OVERAGE
R00000352,T007,STARTER,2025-01-01 14:22:34,TOKEN_EXCEEDED,23,26,22,THROTTLE_50,MODERATE_OVERAGE
R00000353,T007,STARTER,2025-01-01 14:23:21,TOKEN_EXCEEDED,24,27,22,THROTTLE_50,MODERATE_OVERAGE
R00000354,T007,STARTER,2025-01-01 14:24:47,TOKEN_EXCEEDED,25,28,22,THROTTLE_50,MODERATE_OVERAGE
R00000355,T007,STARTER,2025-01-01 14:25:23,TOKEN_EXCEEDED,26,29,22,THROTTLE_50,MODERATE_OVERAGE
R00000356,T007,STARTER,2025-01-01 14:26:46,TOKEN_EXCEEDED,27,30,22,THROTTLE_50,MODERATE_OVERAGE
R00000357,T007,STARTER,2025-01-01 14:27:41,TOKEN_EXCEEDED,28,31,22,THROTTLE_50,MODERATE_OVERAGE
R00000358,T007,STARTER,2025-01-01 14:28:39,HOURLY_EXCEEDED|TOKEN_EXCEEDED,29,32,22,THROTTLE_50,MODERATE_OVERAGE
R00000359,T007,STARTER,2025-01-01 14:29:41,HOURLY_EXCEEDED|TOKEN_EXCEEDED,30,33,22,THROTTLE_50,MODERATE_OVERAGE
R00000360,T007,STARTER,2025-01-01 14:30:55,HOURLY_EXCEEDED|TOKEN_EXCEEDED,31,34,22,THROTTLE_50,MODERATE_OVERAGE
R00000361,T007,STARTER,2025-01-01 14:31:18,HOURLY_EXCEEDED|TOKEN_EXCEEDED,32,35,22,THROTTLE_50,MODERATE_OVERAGE
R00000031,T007,STARTER,2025-01-01 18:23:13,TOKEN_EXCEEDED,1,36,22,THROTTLE_50,MODERATE_OVERAGE
R00000034,T007,STARTER,2025-01-01 21:59:10,TOKEN_EXCEEDED,1,37,22,THROTTLE_50,MODERATE_OVERAGE
R00000726,T007,STARTER,2025-01-02 09:34:51,TOKEN_EXCEEDED,25,28,36,THROTTLE_50,MODERATE_OVERAGE
R00000713,T007,STARTER,2025-01-02 09:35:40,TOKEN_EXCEEDED,26,29,36,THROTTLE_50,MODERATE_OVERAGE
R00000720,T007,STARTER,2025-01-02 09:37:18,TOKEN_EXCEEDED,27,30,36,THROTTLE_50,MODERATE_OVERAGE
R00000681,T007,STARTER,2025-01-02 09:38:38,TOKEN_EXCEEDED,28,31,36,THROTTLE_50,MODERATE_OVERAGE
R00000692,T007,STARTER,2025-01-02 09:38:41,TOKEN_EXCEEDED,29,32,36,THROTTLE_50,MODERATE_OVERAGE
R00000711,T007,STARTER,2025-01-02 09:38:50,TOKEN_EXCEEDED,30,33,36,THROTTLE_50,MODERATE_OVERAGE
R00000722,T007,STARTER,2025-01-02 09:40:26,TOKEN_EXCEEDED,31,34,36,THROTTLE_50,MODERATE_OVERAGE
R00000723,T007,STARTER,2025-01-02 09:41:37,TOKEN_EXCEEDED,32,35,36,THROTTLE_50,MODERATE_OVERAGE
R00000697,T007,STARTER,2025-01-02 09:41:54,TOKEN_EXCEEDED,33,36,36,THROTTLE_50,MODERATE_OVERAGE
R00000686,T007,STARTER,2025-01-02 09:42:13,TOKEN_EXCEEDED,34,37,36,THROTTLE_50,MODERATE_OVERAGE
R00000690,T007,STARTER,2025-01-02 09:42:51,TOKEN_EXCEEDED,35,38,36,THROTTLE_50,MODERATE_OVERAGE
R00000684,T007,STARTER,2025-01-02 09:46:01,TOKEN_EXCEEDED,36,39,36,THROTTLE_50,MODERATE_OVERAGE
R00000709,T007,STARTER,2025-01-02 09:46:14,TOKEN_EXCEEDED,37,40,36,THROTTLE_50,MODERATE_OVERAGE
R00000688,T007,STARTER,2025-01-02 09:46:47,TOKEN_EXCEEDED,38,41,36,THROTTLE_50,MODERATE_OVERAGE
R00000701,T007,STARTER,2025-01-02 09:47:41,TOKEN_EXCEEDED,39,42,36,THROTTLE_50,MODERATE_OVERAGE
R00000705,T007,STARTER,2025-01-02 09:49:03,TOKEN_EXCEEDED,40,43,36,THROTTLE_50,MODERATE_OVERAGE
R00000677,T007,STARTER,2025-01-02 09:49:52,TOKEN_EXCEEDED,41,44,36,THROTTLE_50,MODERATE_OVERAGE
R00000715,T007,STARTER,2025-01-02 09:51:41,TOKEN_EXCEEDED,42,45,36,THROTTLE_50,MODERATE_OVERAGE
R00000712,T007,STARTER,2025-01-02 09:51:43,TOKEN_EXCEEDED,43,46,36,THROTTLE_50,MODERATE_OVERAGE
R00000710,T007,STARTER,2025-01-02 09:53:06,TOKEN_EXCEEDED,44,47,36,THROTTLE_50,MODERATE_OVERAGE
R00000689,T007,STARTER,2025-01-02 09:54:45,TOKEN_EXCEEDED,45,48,36,THROTTLE_50,MODERATE_OVERAGE
R00000699,T007,STARTER,2025-01-02 09:55:35,TOKEN_EXCEEDED,46,49,36,THROTTLE_50,MODERATE_OVERAGE
R00000700,T007,STARTER,2025-01-02 09:55:50,HOURLY_EXCEEDED|TOKEN_EXCEEDED,47,50,36,THROTTLE_50,MODERATE_OVERAGE
R00000704,T007,STARTER,2025-01-02 09:58:05,HOURLY_EXCEEDED|TOKEN_EXCEEDED,48,51,36,THROTTLE_50,MODERATE_OVERAGE
R00000698,T007,STARTER,2025-01-02 09:58:17,HOURLY_EXCEEDED|TOKEN_EXCEEDED,49,52,36,THROTTLE_50,MODERATE_OVERAGE
R00000694,T007,STARTER,2025-01-02 09:58:47,HOURLY_EXCEEDED|TOKEN_EXCEEDED,50,53,36,THROTTLE_50,MODERATE_OVERAGE
R00000718,T007,STARTER,2025-01-02 09:59:08,HOURLY_EXCEEDED|TOKEN_EXCEEDED,51,54,36,THROTTLE_50,MODERATE_OVERAGE
R00000132,T007,STARTER,2025-01-02 22:44:53,TOKEN_EXCEEDED,1,55,36,THROTTLE_50,MODERATE_OVERAGE
R00000557,T011,PROFESSIONAL,2025-01-02 02:39:44,TOKEN_EXCEEDED,14,41,82,GRACE,WITHIN_GRACE_15MIN
R00000393,T011,PROFESSIONAL,2025-01-02 02:43:11,TOKEN_EXCEEDED,15,42,82,GRACE,WITHIN_GRACE_15MIN
R00000583,T011,PROFESSIONAL,2025-01-02 02:46:07,TOKEN_EXCEEDED,16,43,82,GRACE,WITHIN_GRACE_15MIN
R00000448,T011,PROFESSIONAL,2025-01-02 02:48:34,TOKEN_EXCEEDED,17,44,82,GRACE,WITHIN_GRACE_15MIN
R00000537,T011,PROFESSIONAL,2025-01-02 02:53:28,TOKEN_EXCEEDED,18,45,82,GRACE,WITHIN_GRACE_15MIN
R00000566,T011,PROFESSIONAL,2025-01-02 03:01:37,TOKEN_EXCEEDED,1,46,82,THROTTLE_50,MODERATE_OVERAGE
R00000579,T011,PROFESSIONAL,2025-01-02 03:06:32,TOKEN_EXCEEDED,2,47,82,THROTTLE_50,MODERATE_OVERAGE
R00000427,T011,PROFESSIONAL,2025-01-02 03:12:08,TOKEN_EXCEEDED,3,48,82,THROTTLE_50,MODERATE_OVERAGE
R00000622,T011,PROFESSIONAL,2025-01-02 03:18:02,TOKEN_EXCEEDED,4,49,82,THROTTLE_50,MODERATE_OVERAGE
R00000384,T011,PROFESSIONAL,2025-01-02 03:20:25,TOKEN_EXCEEDED,5,50,82,THROTTLE_50,MODERATE_OVERAGE
R00000371,T011,PROFESSIONAL,2025-01-02 03:24:46,TOKEN_EXCEEDED,6,51,82,THROTTLE_50,MODERATE_OVERAGE
R00000457,T011,PROFESSIONAL,2025-01-02 03:32:45,TOKEN_EXCEEDED,7,52,82,THROTTLE_50,MODERATE_OVERAGE
R00000362,T011,PROFESSIONAL,2025-01-02 03:34:40,TOKEN_EXCEEDED,8,53,82,THROTTLE_50,MODERATE_OVERAGE
R00000548,T011,PROFESSIONAL,2025-01-02 03:37:44,TOKEN_EXCEEDED,9,54,82,THROTTLE_50,MODERATE_OVERAGE
R00000444,T011,PROFESSIONAL,2025-01-02 03:41:43,TOKEN_EXCEEDED,10,55,82,THROTTLE_50,MODERATE_OVERAGE
R00000644,T011,PROFESSIONAL,2025-01-02 03:43:07,TOKEN_EXCEEDED,11,56,82,THROTTLE_50,MODERATE_OVERAGE
R00000476,T011,PROFESSIONAL,2025-01-02 03:50:05,TOKEN_EXCEEDED,12,57,82,THROTTLE_50,MODERATE_OVERAGE
R00000406,T011,PROFESSIONAL,2025-01-02 04:00:41,TOKEN_EXCEEDED,1,58,82,THROTTLE_50,MODERATE_OVERAGE
R00000641,T011,PROFESSIONAL,2025-01-02 04:33:35,TOKEN_EXCEEDED,2,59,82,THROTTLE_50,MODERATE_OVERAGE
R00000669,T011,PROFESSIONAL,2025-01-02 04:36:41,TOKEN_EXCEEDED,3,60,82,THROTTLE_50,MODERATE_OVERAGE
R00000530,T011,PROFESSIONAL,2025-01-02 04:39:31,TOKEN_EXCEEDED,4,61,82,THROTTLE_50,MODERATE_OVERAGE
R00000640,T011,PROFESSIONAL,2025-01-02 04:43:53,TOKEN_EXCEEDED,5,62,82,THROTTLE_50,MODERATE_OVERAGE
R00000423,T011,PROFESSIONAL,2025-01-02 04:51:29,TOKEN_EXCEEDED,6,63,82,THROTTLE_50,MODERATE_OVERAGE
R00000471,T011,PROFESSIONAL,2025-01-02 04:54:28,TOKEN_EXCEEDED,7,64,82,THROTTLE_50,MODERATE_OVERAGE
R00000591,T011,PROFESSIONAL,2025-01-02 05:02:48,TOKEN_EXCEEDED,1,65,82,THROTTLE_50,MODERATE_OVERAGE
R00000489,T011,PROFESSIONAL,2025-01-02 05:06:07,TOKEN_EXCEEDED,2,66,82,THROTTLE_50,MODERATE_OVERAGE
R00000532,T011,PROFESSIONAL,2025-01-02 05:06:25,TOKEN_EXCEEDED,3,67,82,THROTTLE_50,MODERATE_OVERAGE
R00000408,T011,PROFESSIONAL,2025-01-02 05:13:15,TOKEN_EXCEEDED,4,68,82,THROTTLE_50,MODERATE_OVERAGE
R00000378,T011,PROFESSIONAL,2025-01-02 05:14:12,TOKEN_EXCEEDED,5,69,82,THROTTLE_50,MODERATE_OVERAGE
R00000600,T011,PROFESSIONAL,2025-01-02 05:16:35,TOKEN_EXCEEDED,6,70,82,THROTTLE_50,MODERATE_OVERAGE
R00000507,T011,PROFESSIONAL,2025-01-02 05:27:04,TOKEN_EXCEEDED,7,71,82,THROTTLE_50,MODERATE_OVERAGE
R00000675,T011,PROFESSIONAL,2025-01-02 05:27:25,TOKEN_EXCEEDED,8,72,82,THROTTLE_50,MODERATE_OVERAGE
R00000558,T011,PROFESSIONAL,2025-01-02 05:29:20,TOKEN_EXCEEDED,9,73,82,THROTTLE_50,MODERATE_OVERAGE
R00000436,T011,PROFESSIONAL,2025-01-02 05:39:13,TOKEN_EXCEEDED,10,74,82,THROTTLE_50,MODERATE_OVERAGE
R00000453,T011,PROFESSIONAL,2025-01-02 05:45:52,TOKEN_EXCEEDED,11,75,82,THROTTLE_50,MODERATE_OVERAGE
R00000658,T011,PROFESSIONAL,2025-01-02 05:46:32,TOKEN_EXCEEDED,12,76,82,THROTTLE_50,MODERATE_OVERAGE
R00000615,T011,PROFESSIONAL,2025-01-02 05:48:42,TOKEN_EXCEEDED,13,77,82,THROTTLE_50,MODERATE_OVERAGE
R00000585,T011,PROFESSIONAL,2025-01-02 05:49:33,TOKEN_EXCEEDED,14,78,82,THROTTLE_50,MODERATE_OVERAGE
R00000533,T011,PROFESSIONAL,2025-01-02 05:51:29,TOKEN_EXCEEDED,15,79,82,THROTTLE_50,MODERATE_OVERAGE
R00000455,T011,PROFESSIONAL,2025-01-02 05:51:33,TOKEN_EXCEEDED,16,80,82,THROTTLE_50,MODERATE_OVERAGE
R00000451,T011,PROFESSIONAL,2025-01-02 05:53:57,TOKEN_EXCEEDED,17,81,82,THROTTLE_50,MODERATE_OVERAGE
R00000496,T011,PROFESSIONAL,2025-01-02 05:55:49,TOKEN_EXCEEDED,18,82,82,THROTTLE_50,MODERATE_OVERAGE
R00000563,T011,PROFESSIONAL,2025-01-02 06:01:48,TOKEN_EXCEEDED,1,83,82,THROTTLE_50,MODERATE_OVERAGE
R00000447,T011,PROFESSIONAL,2025-01-02 06:03:22,TOKEN_EXCEEDED,2,84,82,THROTTLE_50,MODERATE_OVERAGE
R00000510,T011,PROFESSIONAL,2025-01-02 06:04:41,TOKEN_EXCEEDED,3,85,82,THROTTLE_50,MODERATE_OVERAGE
R00000626,T011,PROFESSIONAL,2025-01-02 06:08:14,TOKEN_EXCEEDED,4,86,82,THROTTLE_50,MODERATE_OVERAGE
R00000414,T011,PROFESSIONAL,2025-01-02 06:20:46,TOKEN_EXCEEDED,5,87,82,THROTTLE_50,MODERATE_OVERAGE
R00000625,T011,PROFESSIONAL,2025-01-02 06:24:40,TOKEN_EXCEEDED,6,88,82,THROTTLE_50,MODERATE_OVERAGE
R00000387,T011,PROFESSIONAL,2025-01-02 06:34:01,TOKEN_EXCEEDED,7,89,82,THROTTLE_50,MODERATE_OVERAGE
R00000373,T011,PROFESSIONAL,2025-01-02 06:35:01,TOKEN_EXCEEDED,8,90,82,THROTTLE_50,MODERATE_OVERAGE
R00000540,T011,PROFESSIONAL,2025-01-02 06:40:19,TOKEN_EXCEEDED,9,91,82,THROTTLE_50,MODERATE_OVERAGE
R00000481,T011,PROFESSIONAL,2025-01-02 06:41:19,TOKEN_EXCEEDED,10,92,82,THROTTLE_50,MODERATE_OVERAGE
R00000522,T011,PROFESSIONAL,2025-01-02 06:43:18,TOKEN_EXCEEDED,11,93,82,THROTTLE_50,MODERATE_OVERAGE
R00000439,T011,PROFESSIONAL,2025-01-02 06:47:55,TOKEN_EXCEEDED,12,94,82,THROTTLE_50,MODERATE_OVERAGE
R00000659,T011,PROFESSIONAL,2025-01-02 06:48:32,TOKEN_EXCEEDED,13,95,82,THROTTLE_50,MODERATE_OVERAGE
R00000651,T011,PROFESSIONAL,2025-01-02 06:50:52,TOKEN_EXCEEDED,14,96,82,THROTTLE_50,MODERATE_OVERAGE
R00000485,T011,PROFESSIONAL,2025-01-02 06:52:49,TOKEN_EXCEEDED,15,97,82,THROTTLE_50,MODERATE_OVERAGE
R00000487,T011,PROFESSIONAL,2025-01-02 07:05:07,TOKEN_EXCEEDED,1,98,82,THROTTLE_50,MODERATE_OVERAGE
R00000478,T011,PROFESSIONAL,2025-01-02 07:11:20,TOKEN_EXCEEDED,2,99,82,THROTTLE_50,MODERATE_OVERAGE
R00000523,T011,PROFESSIONAL,2025-01-02 07:15:40,TOKEN_EXCEEDED,3,100,82,THROTTLE_50,MODERATE_OVERAGE
R00000470,T011,PROFESSIONAL,2025-01-02 07:16:15,TOKEN_EXCEEDED,4,101,82,THROTTLE_50,MODERATE_OVERAGE
R00000364,T011,PROFESSIONAL,2025-01-02 07:21:15,TOKEN_EXCEEDED,5,102,82,THROTTLE_50,MODERATE_OVERAGE
R00000647,T011,PROFESSIONAL,2025-01-02 07:26:38,TOKEN_EXCEEDED,6,103,82,THROTTLE_50,MODERATE_OVERAGE
R00000576,T011,PROFESSIONAL,2025-01-02 07:28:00,TOKEN_EXCEEDED,7,104,82,THROTTLE_50,MODERATE_OVERAGE
R00000401,T011,PROFESSIONAL,2025-01-02 07:34:04,TOKEN_EXCEEDED,8,105,82,THROTTLE_50,MODERATE_OVERAGE
R00000426,T011,PROFESSIONAL,2025-01-02 07:34:29,TOKEN_EXCEEDED,9,106,82,THROTTLE_50,MODERATE_OVERAGE
R00000464,T011,PROFESSIONAL,2025-01-02 07:37:25,TOKEN_EXCEEDED,10,107,82,THROTTLE_50,MODERATE_OVERAGE
R00000367,T011,PROFESSIONAL,2025-01-02 07:38:35,TOKEN_EXCEEDED,11,108,82,THROTTLE_50,MODERATE_OVERAGE
R00000531,T011,PROFESSIONAL,2025-01-02 07:40:25,TOKEN_EXCEEDED,12,109,82,THROTTLE_50,MODERATE_OVERAGE
R00000590,T011,PROFESSIONAL,2025-01-02 07:45:05,TOKEN_EXCEEDED,13,110,82,THROTTLE_50,MODERATE_OVERAGE
R00000369,T011,PROFESSIONAL,2025-01-02 07:51:53,TOKEN_EXCEEDED,14,111,82,THROTTLE_50,MODERATE_OVERAGE
R00000549,T011,PROFESSIONAL,2025-01-02 07:54:19,TOKEN_EXCEEDED,15,112,82,THROTTLE_50,MODERATE_OVERAGE
R00000586,T011,PROFESSIONAL,2025-01-02 08:03:50,TOKEN_EXCEEDED,1,113,82,THROTTLE_50,MODERATE_OVERAGE
R00000541,T011,PROFESSIONAL,2025-01-02 08:05:27,TOKEN_EXCEEDED,2,114,82,THROTTLE_50,MODERATE_OVERAGE
R00000508,T011,PROFESSIONAL,2025-01-02 08:10:43,TOKEN_EXCEEDED,3,115,82,THROTTLE_50,MODERATE_OVERAGE
R00000568,T011,PROFESSIONAL,2025-01-02 08:21:02,TOKEN_EXCEEDED,4,116,82,THROTTLE_50,MODERATE_OVERAGE
R00000609,T011,PROFESSIONAL,2025-01-02 08:21:38,TOKEN_EXCEEDED,5,117,82,THROTTLE_50,MODERATE_OVERAGE
R00000155,T011,PROFESSIONAL,2025-01-02 08:22:23,TOKEN_EXCEEDED,6,118,82,THROTTLE_50,MODERATE_OVERAGE
R00000629,T011,PROFESSIONAL,2025-01-02 08:24:30,TOKEN_EXCEEDED,7,119,82,THROTTLE_50,MODERATE_OVERAGE
R00000551,T011,PROFESSIONAL,2025-01-02 08:26:02,TOKEN_EXCEEDED,8,120,82,THROTTLE_50,MODERATE_OVERAGE
R00000660,T011,PROFESSIONAL,2025-01-02 08:26:02,TOKEN_EXCEEDED,9,121,82,THROTTLE_50,MODERATE_OVERAGE
R00000499,T011,PROFESSIONAL,2025-01-02 08:26:34,TOKEN_EXCEEDED,10,122,82,THROTTLE_50,MODERATE_OVERAGE
R00000365,T011,PROFESSIONAL,2025-01-02 08:30:41,TOKEN_EXCEEDED,11,123,82,THROTTLE_50,MODERATE_OVERAGE
R00000474,T011,PROFESSIONAL,2025-01-02 08:34:50,TOKEN_EXCEEDED,12,124,82,THROTTLE_50,MODERATE_OVERAGE
R00000539,T011,PROFESSIONAL,2025-01-02 08:35:58,TOKEN_EXCEEDED,13,125,82,THROTTLE_50,MODERATE_OVERAGE
R00000582,T011,PROFESSIONAL,2025-01-02 08:44:27,TOKEN_EXCEEDED,14,126,82,THROTTLE_50,MODERATE_OVERAGE
R00000441,T011,PROFESSIONAL,2025-01-02 08:44:54,TOKEN_EXCEEDED,15,127,82,THROTTLE_50,MODERATE_OVERAGE
R00000433,T011,PROFESSIONAL,2025-01-02 08:46:22,TOKEN_EXCEEDED,16,128,82,THROTTLE_50,MODERATE_OVERAGE
R00000635,T011,PROFESSIONAL,2025-01-02 08:47:05,TOKEN_EXCEEDED,17,129,82,THROTTLE_50,MODERATE_OVERAGE
R00000454,T011,PROFESSIONAL,2025-01-02 08:52:10,TOKEN_EXCEEDED,18,130,82,THROTTLE_50,MODERATE_OVERAGE
R00000458,T011,PROFESSIONAL,2025-01-02 08:54:28,TOKEN_EXCEEDED,19,131,82,THROTTLE_50,MODERATE_OVERAGE
R00000623,T011,PROFESSIONAL,2025-01-02 09:06:00,TOKEN_EXCEEDED,1,132,82,THROTTLE_50,MODERATE_OVERAGE
R00000519,T011,PROFESSIONAL,2025-01-02 09:11:53,TOKEN_EXCEEDED,2,133,82,THROTTLE_50,MODERATE_OVERAGE
R00000151,T011,PROFESSIONAL,2025-01-02 09:29:18,TOKEN_EXCEEDED,3,134,82,THROTTLE_50,MODERATE_OVERAGE
R00000490,T011,PROFESSIONAL,2025-01-02 09:38:22,TOKEN_EXCEEDED,4,135,82,THROTTLE_50,MODERATE_OVERAGE
R00000500,T011,PROFESSIONAL,2025-01-02 09:40:13,TOKEN_EXCEEDED,5,136,82,THROTTLE_50,MODERATE_OVERAGE
R00000567,T011,PROFESSIONAL,2025-01-02 09:57:24,TOKEN_EXCEEDED,6,137,82,THROTTLE_50,MODERATE_OVERAGE
R00000564,T011,PROFESSIONAL,2025-01-02 09:57:45,TOKEN_EXCEEDED,7,138,82,THROTTLE_50,MODERATE_OVERAGE
R00000440,T011,PROFESSIONAL,2025-01-02 10:12:10,TOKEN_EXCEEDED,1,139,82,THROTTLE_50,MODERATE_OVERAGE
R00000498,T011,PROFESSIONAL,2025-01-02 10:17:58,TOKEN_EXCEEDED,2,140,82,THROTTLE_50,MODERATE_OVERAGE
R00000509,T011,PROFESSIONAL,2025-01-02 10:23:51,TOKEN_EXCEEDED,3,141,82,THROTTLE_50,MODERATE_OVERAGE
R00000618,T011,PROFESSIONAL,2025-01-02 10:26:26,TOKEN_EXCEEDED,4,142,82,THROTTLE_50,MODERATE_OVERAGE
R00000424,T011,PROFESSIONAL,2025-01-02 10:27:31,TOKEN_EXCEEDED,5,143,82,THROTTLE_50,MODERATE_OVERAGE
R00000673,T011,PROFESSIONAL,2025-01-02 10:28:31,TOKEN_EXCEEDED,6,144,82,THROTTLE_50,MODERATE_OVERAGE
R00000617,T011,PROFESSIONAL,2025-01-02 10:31:09,TOKEN_EXCEEDED,7,145,82,THROTTLE_50,MODERATE_OVERAGE
R00000460,T011,PROFESSIONAL,2025-01-02 10:32:36,TOKEN_EXCEEDED,8,146,82,THROTTLE_50,MODERATE_OVERAGE
R00000631,T011,PROFESSIONAL,2025-01-02 10:32:48,TOKEN_EXCEEDED,9,147,82,THROTTLE_50,MODERATE_OVERAGE
R00000375,T011,PROFESSIONAL,2025-01-02 10:34:39,TOKEN_EXCEEDED,10,148,82,THROTTLE_50,MODERATE_OVERAGE
R00000614,T011,PROFESSIONAL,2025-01-02 10:44:21,TOKEN_EXCEEDED,11,149,82,THROTTLE_50,MODERATE_OVERAGE
