request_id,tenant_id,tier_id,timestamp,throttle_reason,hourly_count,daily_count,decision,decision_reason
R00004483,T0002,FREE,2025-01-02 20:09:23,TOKEN_EXCEEDED,1,31,BLOCK,HARD_BLOCK_TIER
R00004632,T0002,FREE,2025-01-02 22:19:53,TOKEN_EXCEEDED,1,32,BLOCK,HARD_BLOCK_TIER
R00004644,T0002,FREE,2025-01-02 22:25:43,TOKEN_EXCEEDED,2,33,BLOCK,HARD_BLOCK_TIER
R00004653,T0002,FREE,2025-01-02 22:30:32,TOKEN_EXCEEDED,3,34,BLOCK,HARD_BLOCK_TIER
R00004670,T0002,FREE,2025-01-02 22:38:13,TOKEN_EXCEEDED,4,35,BLOCK,HARD_BLOCK_TIER
R00004687,T0002,FREE,2025-01-02 22:58:09,TOKEN_EXCEEDED,5,36,BLOCK,HARD_BLOCK_TIER
R00004716,T0002,FREE,2025-01-02 23:21:17,TOKEN_EXCEEDED,1,37,BLOCK,HARD_BLOCK_TIER
R00004741,T0002,FREE,2025-01-02 23:40:54,TOKEN_EXCEEDED,2,38,BLOCK,HARD_BLOCK_TIER
R00006852,T0002,FREE,2025-01-03 20:51:58,TOKEN_EXCEEDED,2,32,BLOCK,HARD_BLOCK_TIER
R00006877,T0002,FREE,2025-01-03 21:17:11,TOKEN_EXCEEDED,1,33,BLOCK,HARD_BLOCK_TIER
R00006896,T0002,FREE,2025-01-03 21:33:01,TOKEN_EXCEEDED,2,34,BLOCK,HARD_BLOCK_TIER
R00006932,T0002,FREE,2025-01-03 22:04:48,TOKEN_EXCEEDED,1,35,BLOCK,HARD_BLOCK_TIER
R00004070,T0003,FREE,2025-01-02 16:39:02,TOKEN_EXCEEDED,3,26,GRACE,WITHIN_GRACE_0MIN
R00004074,T0003,FREE,2025-01-02 16:41:36,TOKEN_EXCEEDED,4,27,BLOCK,HARD_BLOCK_TIER
R00004106,T0003,FREE,2025-01-02 16:51:18,TOKEN_EXCEEDED,5,28,BLOCK,HARD_BLOCK_TIER
R00004120,T0003,FREE,2025-01-02 16:56:58,TOKEN_EXCEEDED,6,29,BLOCK,HARD_BLOCK_TIER
R00004144,T0003,FREE,2025-01-02 17:03:21,TOKEN_EXCEEDED,1,30,BLOCK,HARD_BLOCK_TIER
R00004197,T0003,FREE,2025-01-02 17:20:02,TOKEN_EXCEEDED,2,31,BLOCK,HARD_BLOCK_TIER
R00004402,T0003,FREE,2025-01-02 19:04:24,TOKEN_EXCEEDED,1,32,BLOCK,HARD_BLOCK_TIER
R00004407,T0003,FREE,2025-01-02 19:07:05,TOKEN_EXCEEDED,2,33,BLOCK,HARD_BLOCK_TIER
R00004605,T0003,FREE,2025-01-02 21:56:54,TOKEN_EXCEEDED,1,34,BLOCK,HARD_BLOCK_TIER
R00004619,T0003,FREE,2025-01-02 22:12:54,TOKEN_EXCEEDED,1,35,BLOCK,HARD_BLOCK_TIER
R00004637,T0003,FREE,2025-01-02 22:22:40,TOKEN_EXCEEDED,2,36,BLOCK,HARD_BLOCK_TIER
R00004648,T0003,FREE,2025-01-02 22:27:05,TOKEN_EXCEEDED,3,37,BLOCK,HARD_BLOCK_TIER
R00004686,T0003,FREE,2025-01-02 22:57:30,TOKEN_EXCEEDED,4,38,BLOCK,HARD_BLOCK_TIER
R00004749,T0003,FREE,2025-01-02 23:48:51,TOKEN_EXCEEDED,1,39,BLOCK,HARD_BLOCK_TIER
R00003191,T0004,FREE,2025-01-02 12:01:38,TOKEN_EXCEEDED,1,12,GRACE,WITHIN_GRACE_0MIN
R00003230,T0004,FREE,2025-01-02 12:14:19,TOKEN_EXCEEDED,2,13,BLOCK,HARD_BLOCK_TIER
R00003274,T0004,FREE,2025-01-02 12:30:14,TOKEN_EXCEEDED,3,14,BLOCK,HARD_BLOCK_TIER
R00003369,T0004,FREE,2025-01-02 12:56:26,TOKEN_EXCEEDED,4,15,BLOCK,HARD_BLOCK_TIER
R00003370,T0004,FREE,2025-01-02 12:57:34,TOKEN_EXCEEDED,5,16,BLOCK,HARD_BLOCK_TIER
R00003392,T0004,FREE,2025-01-02 13:00:33,TOKEN_EXCEEDED,1,17,BLOCK,HARD_BLOCK_TIER
R00003427,T0004,FREE,2025-01-02 13:13:00,TOKEN_EXCEEDED,2,18,BLOCK,HARD_BLOCK_TIER
R00003450,T0004,FREE,2025-01-02 13:20:25,TOKEN_EXCEEDED,3,19,BLOCK,HARD_BLOCK_TIER
R00003623,T0004,FREE,2025-01-02 14:13:30,TOKEN_EXCEEDED,1,20,BLOCK,HARD_BLOCK_TIER
R00003630,T0004,FREE,2025-01-02 14:15:55,TOKEN_EXCEEDED,2,21,BLOCK,HARD_BLOCK_TIER
R00003675,T0004,FREE,2025-01-02 14:29:31,TOKEN_EXCEEDED,3,22,BLOCK,HARD_BLOCK_TIER
R00003693,T0004,FREE,2025-01-02 14:36:42,TOKEN_EXCEEDED,4,23,BLOCK,HARD_BLOCK_TIER
R00003726,T0004,FREE,2025-01-02 14:45:09,TOKEN_EXCEEDED,5,24,BLOCK,HARD_BLOCK_TIER
R00003800,T0004,FREE,2025-01-02 15:10:32,TOKEN_EXCEEDED,1,25,BLOCK,HARD_BLOCK_TIER
R00003912,T0004,FREE,2025-01-02 15:45:33,TOKEN_EXCEEDED,2,26,BLOCK,HARD_BLOCK_TIER
R00004008,T0004,FREE,2025-01-02 16:21:11,TOKEN_EXCEEDED,1,27,BLOCK,HARD_BLOCK_TIER
R00004111,T0004,FREE,2025-01-02 16:53:59,TOKEN_EXCEEDED,2,28,BLOCK,HARD_BLOCK_TIER
R00004182,T0004,FREE,2025-01-02 17:16:21,TOKEN_EXCEEDED,1,29,BLOCK,HARD_BLOCK_TIER
R00004261,T0004,FREE,2025-01-02 17:39:37,TOKEN_EXCEEDED,2,30,BLOCK,HARD_BLOCK_TIER
R00004383,T0004,FREE,2025-01-02 18:54:02,TOKEN_EXCEEDED,1,31,BLOCK,HARD_BLOCK_TIER
R00004382,T0004,FREE,2025-01-02 18:54:52,TOKEN_EXCEEDED,2,32,BLOCK,HARD_BLOCK_TIER
R00004425,T0004,FREE,2025-01-02 19:24:29,TOKEN_EXCEEDED,1,33,BLOCK,HARD_BLOCK_TIER
R00004473,T0004,FREE,2025-01-02 20:02:06,TOKEN_EXCEEDED,1,34,BLOCK,HARD_BLOCK_TIER
R00004594,T0004,FREE,2025-01-02 21:45:18,TOKEN_EXCEEDED,1,35,BLOCK,HARD_BLOCK_TIER
R00004671,T0004,FREE,2025-01-02 22:38:36,TOKEN_EXCEEDED,1,36,BLOCK,HARD_BLOCK_TIER
R00006539,T0004,FREE,2025-01-03 17:12:55,TOKEN_EXCEEDED,1,30,BLOCK,HARD_BLOCK_TIER
R00006545,T0004,FREE,2025-01-03 17:14:38,TOKEN_EXCEEDED,2,31,BLOCK,HARD_BLOCK_TIER
R00006565,T0004,FREE,2025-01-03 17:25:34,TOKEN_EXCEEDED,3,32,BLOCK,HARD_BLOCK_TIER
R00006667,T0004,FREE,2025-01-03 17:59:45,TOKEN_EXCEEDED,4,33,BLOCK,HARD_BLOCK_TIER
R00006734,T0004,FREE,2025-01-03 19:01:35,TOKEN_EXCEEDED,1,34,BLOCK,HARD_BLOCK_TIER
R00006749,T0004,FREE,2025-01-03 19:11:51,TOKEN_EXCEEDED,2,35,BLOCK,HARD_BLOCK_TIER
R00006792,T0004,FREE,2025-01-03 19:50:55,TOKEN_EXCEEDED,3,36,BLOCK,HARD_BLOCK_TIER
R00006805,T0004,FREE,2025-01-03 20:02:54,TOKEN_EXCEEDED,1,37,BLOCK,HARD_BLOCK_TIER
R00006828,T0004,FREE,2025-01-03 20:25:20,TOKEN_EXCEEDED,2,38,BLOCK,HARD_BLOCK_TIER
R00006897,T0004,FREE,2025-01-03 21:33:51,TOKEN_EXCEEDED,1,39,BLOCK,HARD_BLOCK_TIER
R00007020,T0004,FREE,2025-01-03 23:19:23,TOKEN_EXCEEDED,1,40,BLOCK,HARD_BLOCK_TIER
R00001213,T0005,FREE,2025-01-01 13:51:00,TOKEN_EXCEEDED,2,22,GRACE,WITHIN_GRACE_0MIN
R00001225,T0005,FREE,2025-01-01 13:56:29,TOKEN_EXCEEDED,3,23,BLOCK,HARD_BLOCK_TIER
R00001342,T0005,FREE,2025-01-01 14:36:10,TOKEN_EXCEEDED,1,24,BLOCK,HARD_BLOCK_TIER
R00001396,T0005,FREE,2025-01-01 14:57:41,TOKEN_EXCEEDED,2,25,BLOCK,HARD_BLOCK_TIER
R00001443,T0005,FREE,2025-01-01 15:14:16,TOKEN_EXCEEDED,1,26,BLOCK,HARD_BLOCK_TIER
R00001522,T0005,FREE,2025-01-01 15:42:00,TOKEN_EXCEEDED,2,27,BLOCK,HARD_BLOCK_TIER
R00001552,T0005,FREE,2025-01-01 15:54:02,TOKEN_EXCEEDED,3,28,BLOCK,HARD_BLOCK_TIER
R00001602,T0005,FREE,2025-01-01 16:11:39,TOKEN_EXCEEDED,1,29,BLOCK,HARD_BLOCK_TIER
R00001603,T0005,FREE,2025-01-01 16:11:39,TOKEN_EXCEEDED,2,30,BLOCK,HARD_BLOCK_TIER
R00001694,T0005,FREE,2025-01-01 16:42:48,TOKEN_EXCEEDED,3,31,BLOCK,HARD_BLOCK_TIER
R00002054,T0005,FREE,2025-01-01 20:11:48,TOKEN_EXCEEDED,1,32,BLOCK,HARD_BLOCK_TIER
R00002184,T0005,FREE,2025-01-01 22:17:17,TOKEN_EXCEEDED,1,33,BLOCK,HARD_BLOCK_TIER
R00002205,T0005,FREE,2025-01-01 22:31:03,TOKEN_EXCEEDED,2,34,BLOCK,HARD_BLOCK_TIER
R00002207,T0005,FREE,2025-01-01 22:32:52,TOKEN_EXCEEDED,3,35,BLOCK,HARD_BLOCK_TIER
R00002233,T0005,FREE,2025-01-01 22:55:46,TOKEN_EXCEEDED,4,36,BLOCK,HARD_BLOCK_TIER
R00003717,T0005,FREE,2025-01-02 14:44:08,TOKEN_EXCEEDED,2,16,BLOCK,HARD_BLOCK_TIER
R00003727,T0005,FREE,2025-01-02 14:45:26,TOKEN_EXCEEDED,3,17,BLOCK,HARD_BLOCK_TIER
R00003767,T0005,FREE,2025-01-02 15:00:22,TOKEN_EXCEEDED,1,18,BLOCK,HARD_BLOCK_TIER
R00003947,T0005,FREE,2025-01-02 16:00:06,TOKEN_EXCEEDED,1,19,BLOCK,HARD_BLOCK_TIER
R00003964,T0005,FREE,2025-01-02 16:08:56,TOKEN_EXCEEDED,2,20,BLOCK,HARD_BLOCK_TIER
R00004041,T0005,FREE,2025-01-02 16:31:01,TOKEN_EXCEEDED,3,21,BLOCK,HARD_BLOCK_TIER
R00004166,T0005,FREE,2025-01-02 17:10:45,TOKEN_EXCEEDED,1,22,BLOCK,HARD_BLOCK_TIER
R00004173,T0005,FREE,2025-01-02 17:13:04,TOKEN_EXCEEDED,2,23,BLOCK,HARD_BLOCK_TIER
R00004229,T0005,FREE,2025-01-02 17:30:06,TOKEN_EXCEEDED,3,24,BLOCK,HARD_BLOCK_TIER
R00004237,T0005,FREE,2025-01-02 17:32:36,TOKEN_EXCEEDED,4,25,BLOCK,HARD_BLOCK_TIER
R00004350,T0005,FREE,2025-01-02 18:33:52,TOKEN_EXCEEDED,1,26,BLOCK,HARD_BLOCK_TIER
R00004352,T0005,FREE,2025-01-02 18:34:07,TOKEN_EXCEEDED,2,27,BLOCK,HARD_BLOCK_TIER
R00004460,T0005,FREE,2025-01-02 19:52:45,TOKEN_EXCEEDED,1,28,BLOCK,HARD_BLOCK_TIER
R00004479,T0005,FREE,2025-01-02 20:06:09,TOKEN_EXCEEDED,1,29,BLOCK,HARD_BLOCK_TIER
R00004500,T0005,FREE,2025-01-02 20:27:27,TOKEN_EXCEEDED,2,30,BLOCK,HARD_BLOCK_TIER
R00004617,T0005,FREE,2025-01-02 22:11:26,TOKEN_EXCEEDED,1,31,BLOCK,HARD_BLOCK_TIER
R00004631,T0005,FREE,2025-01-02 22:18:16,TOKEN_EXCEEDED,2,32,BLOCK,HARD_BLOCK_TIER
R00004712,T0005,FREE,2025-01-02 23:20:13,TOKEN_EXCEEDED,1,33,BLOCK,HARD_BLOCK_TIER
R00004759,T0005,FREE,2025-01-02 23:57:54,TOKEN_EXCEEDED,2,34,BLOCK,HARD_BLOCK_TIER
R00006543,T0005,FREE,2025-01-03 17:13:09,TOKEN_EXCEEDED,1,20,BLOCK,HARD_BLOCK_TIER
R00006611,T0005,FREE,2025-01-03 17:39:33,TOKEN_EXCEEDED,2,21,BLOCK,HARD_BLOCK_TIER
R00006615,T0005,FREE,2025-01-03 17:40:35,TOKEN_EXCEEDED,3,22,BLOCK,HARD_BLOCK_TIER
R00006622,T0005,FREE,2025-01-03 17:42:59,TOKEN_EXCEEDED,4,23,BLOCK,HARD_BLOCK_TIER
R00006634,T0005,FREE,2025-01-03 17:46:10,TOKEN_EXCEEDED,5,24,BLOCK,HARD_BLOCK_TIER
R00006641,T0005,FREE,2025-01-03 17:49:36,TOKEN_EXCEEDED,6,25,BLOCK,HARD_BLOCK_TIER
R00006775,T0005,FREE,2025-01-03 19:29:12,TOKEN_EXCEEDED,1,26,BLOCK,HARD_BLOCK_TIER
R00006779,T0005,FREE,2025-01-03 19:37:50,TOKEN_EXCEEDED,2,27,BLOCK,HARD_BLOCK_TIER
R00006829,T0005,FREE,2025-01-03 20:25:01,TOKEN_EXCEEDED,1,28,BLOCK,HARD_BLOCK_TIER
R00007011,T0005,FREE,2025-01-03 23:10:37,TOKEN_EXCEEDED,1,29,BLOCK,HARD_BLOCK_TIER
R00007030,T0005,FREE,2025-01-03 23:26:52,TOKEN_EXCEEDED,2,30,BLOCK,HARD_BLOCK_TIER
R00001979,T0006,FREE,2025-01-01 19:06:33,TOKEN_EXCEEDED,1,38,GRACE,WITHIN_GRACE_0MIN
R00002025,T0006,FREE,2025-01-01 19:40:55,TOKEN_EXCEEDED,2,39,BLOCK,HARD_BLOCK_TIER
R00002044,T0006,FREE,2025-01-01 20:00:55,TOKEN_EXCEEDED,1,40,BLOCK,HARD_BLOCK_TIER
R00002094,T0006,FREE,2025-01-01 20:47:07,TOKEN_EXCEEDED,2,41,BLOCK,HARD_BLOCK_TIER
R00002155,T0006,FREE,2025-01-01 21:51:22,TOKEN_EXCEEDED,1,42,BLOCK,HARD_BLOCK_TIER
R00002168,T0006,FREE,2025-01-01 22:04:49,TOKEN_EXCEEDED,1,43,BLOCK,HARD_BLOCK_TIER
R00002171,T0006,FREE,2025-01-01 22:07:34,TOKEN_EXCEEDED,2,44,BLOCK,HARD_BLOCK_TIER
R00002298,T0006,FREE,2025-01-01 23:48:38,TOKEN_EXCEEDED,1,45,BLOCK,HARD_BLOCK_TIER
R00006083,T0006,FREE,2025-01-03 14:38:06,TOKEN_EXCEEDED,1,22,BLOCK,HARD_BLOCK_TIER
R00006148,T0006,FREE,2025-01-03 14:56:50,TOKEN_EXCEEDED,2,23,BLOCK,HARD_BLOCK_TIER
R00006201,T0006,FREE,2025-01-03 15:16:31,TOKEN_EXCEEDED,1,24,BLOCK,HARD_BLOCK_TIER
R00006325,T0006,FREE,2025-01-03 15:58:27,TOKEN_EXCEEDED,2,25,BLOCK,HARD_BLOCK_TIER
R00006461,T0006,FREE,2025-01-03 16:42:37,TOKEN_EXCEEDED,1,26,BLOCK,HARD_BLOCK_TIER
R00006523,T0006,FREE,2025-01-03 17:07:10,TOKEN_EXCEEDED,1,27,BLOCK,HARD_BLOCK_TIER
R00006617,T0006,FREE,2025-01-03 17:40:06,TOKEN_EXCEEDED,2,28,BLOCK,HARD_BLOCK_TIER
R00006645,T0006,FREE,2025-01-03 17:51:36,TOKEN_EXCEEDED,3,29,BLOCK,HARD_BLOCK_TIER
R00006670,T0006,FREE,2025-01-03 18:03:28,TOKEN_EXCEEDED,1,30,BLOCK,HARD_BLOCK_TIER
R00006744,T0006,FREE,2025-01-03 19:07:22,TOKEN_EXCEEDED,1,31,BLOCK,HARD_BLOCK_TIER
R00006764,T0006,FREE,2025-01-03 19:22:51,TOKEN_EXCEEDED,2,32,BLOCK,HARD_BLOCK_TIER
R00006809,T0006,FREE,2025-01-03 20:07:12,TOKEN_EXCEEDED,1,33,BLOCK,HARD_BLOCK_TIER
R00006812,T0006,FREE,2025-01-03 20:11:28,TOKEN_EXCEEDED,2,34,BLOCK,HARD_BLOCK_TIER
R00006880,T0006,FREE,2025-01-03 21:19:08,TOKEN_EXCEEDED,1,35,BLOCK,HARD_BLOCK_TIER
R00006882,T0006,FREE,2025-01-03 21:20:24,TOKEN_EXCEEDED,2,36,BLOCK,HARD_BLOCK_TIER
R00006904,T0006,FREE,2025-01-03 21:37:59,TOKEN_EXCEEDED,3,37,BLOCK,HARD_BLOCK_TIER
R00006953,T0006,FREE,2025-01-03 22:19:42,TOKEN_EXCEEDED,1,38,BLOCK,HARD_BLOCK_TIER
R00002104,T0007,FREE,2025-01-01 21:01:12,TOKEN_EXCEEDED,1,33,GRACE,WITHIN_GRACE_0MIN
R00002133,T0007,FREE,2025-01-01 21:33:09,TOKEN_EXCEEDED,2,34,BLOCK,HARD_BLOCK_TIER
R00002154,T0007,FREE,2025-01-01 21:49:27,TOKEN_EXCEEDED,3,35,BLOCK,HARD_BLOCK_TIER
R00002225,T0007,FREE,2025-01-01 22:46:17,TOKEN_EXCEEDED,1,36,BLOCK,HARD_BLOCK_TIER
R00002267,T0007,FREE,2025-01-01 23:22:32,TOKEN_EXCEEDED,1,37,BLOCK,HARD_BLOCK_TIER
R00002299,T0007,FREE,2025-01-01 23:49:20,TOKEN_EXCEEDED,2,38,BLOCK,HARD_BLOCK_TIER
R00003698,T0007,FREE,2025-01-02 14:39:46,TOKEN_EXCEEDED,6,29,BLOCK,HARD_BLOCK_TIER
R00003808,T0007,FREE,2025-01-02 15:14:33,TOKEN_EXCEEDED,1,30,BLOCK,HARD_BLOCK_TIER
R00003828,T0007,FREE,2025-01-02 15:21:50,TOKEN_EXCEEDED,2,31,BLOCK,HARD_BLOCK_TIER
R00003837,T0007,FREE,2025-01-02 15:24:53,TOKEN_EXCEEDED,3,32,BLOCK,HARD_BLOCK_TIER
R00003841,T0007,FREE,2025-01-02 15:25:36,TOKEN_EXCEEDED,4,33,BLOCK,HARD_BLOCK_TIER
R00003933,T0007,FREE,2025-01-02 15:53:43,TOKEN_EXCEEDED,5,34,BLOCK,HARD_BLOCK_TIER
R00003948,T0007,FREE,2025-01-02 16:00:00,TOKEN_EXCEEDED,1,35,BLOCK,HARD_BLOCK_TIER
R00003946,T0007,FREE,2025-01-02 16:00:53,TOKEN_EXCEEDED,2,36,BLOCK,HARD_BLOCK_TIER
R00003966,T0007,FREE,2025-01-02 16:08:42,TOKEN_EXCEEDED,3,37,BLOCK,HARD_BLOCK_TIER
R00003998,T0007,FREE,2025-01-02 16:18:35,TOKEN_EXCEEDED,4,38,BLOCK,HARD_BLOCK_TIER
R00004032,T0007,FREE,2025-01-02 16:29:21,TOKEN_EXCEEDED,5,39,BLOCK,HARD_BLOCK_TIER
R00004092,T0007,FREE,2025-01-02 16:46:58,TOKEN_EXCEEDED,6,40,BLOCK,HARD_BLOCK_TIER
R00004112,T0007,FREE,2025-01-02 16:53:41,TOKEN_EXCEEDED,7,41,BLOCK,HARD_BLOCK_TIER
R00004110,T0007,FREE,2025-01-02 16:53:54,TOKEN_EXCEEDED,8,42,BLOCK,HARD_BLOCK_TIER
R00004193,T0007,FREE,2025-01-02 17:19:42,TOKEN_EXCEEDED,1,43,BLOCK,HARD_BLOCK_TIER
R00004417,T0007,FREE,2025-01-02 19:20:39,TOKEN_EXCEEDED,1,44,BLOCK,HARD_BLOCK_TIER
R00004482,T0007,FREE,2025-01-02 20:08:35,TOKEN_EXCEEDED,1,45,BLOCK,HARD_BLOCK_TIER
R00004510,T0007,FREE,2025-01-02 20:30:49,TOKEN_EXCEEDED,2,46,BLOCK,HARD_BLOCK_TIER
R00004530,T0007,FREE,2025-01-02 20:43:49,TOKEN_EXCEEDED,3,47,BLOCK,HARD_BLOCK_TIER
R00004624,T0007,FREE,2025-01-02 22:14:16,TOKEN_EXCEEDED,1,48,BLOCK,HARD_BLOCK_TIER
R00004731,T0007,FREE,2025-01-02 23:33:10,TOKEN_EXCEEDED,1,49,BLOCK,HARD_BLOCK_TIER
R00004758,T0007,FREE,2025-01-02 23:56:18,TOKEN_EXCEEDED,2,50,BLOCK,HARD_BLOCK_TIER
R00007031,T0007,FREE,2025-01-03 23:26:48,TOKEN_EXCEEDED,1,39,BLOCK,HARD_BLOCK_TIER
R00007037,T0007,FREE,2025-01-03 23:39:38,TOKEN_EXCEEDED,2,40,BLOCK,HARD_BLOCK_TIER
R00001083,T0008,FREE,2025-01-01 13:08:14,TOKEN_EXCEEDED,1,18,GRACE,WITHIN_GRACE_0MIN
R00001087,T0008,FREE,2025-01-01 13:09:10,TOKEN_EXCEEDED,2,19,BLOCK,HARD_BLOCK_TIER
R00001103,T0008,FREE,2025-01-01 13:12:16,TOKEN_EXCEEDED,3,20,BLOCK,HARD_BLOCK_TIER
R00001214,T0008,FREE,2025-01-01 13:51:47,TOKEN_EXCEEDED,4,21,BLOCK,HARD_BLOCK_TIER
R00001229,T0008,FREE,2025-01-01 13:58:04,TOKEN_EXCEEDED,5,22,BLOCK,HARD_BLOCK_TIER
R00001295,T0008,FREE,2025-01-01 14:19:20,TOKEN_EXCEEDED,1,23,BLOCK,HARD_BLOCK_TIER
R00001314,T0008,FREE,2025-01-01 14:25:42,TOKEN_EXCEEDED,2,24,BLOCK,HARD_BLOCK_TIER
R00001331,T0008,FREE,2025-01-01 14:32:26,TOKEN_EXCEEDED,3,25,BLOCK,HARD_BLOCK_TIER
R00001349,T0008,FREE,2025-01-01 14:40:53,TOKEN_EXCEEDED,4,26,BLOCK,HARD_BLOCK_TIER
R00001588,T0008,FREE,2025-01-01 16:07:28,TOKEN_EXCEEDED,1,27,BLOCK,HARD_BLOCK_TIER
R00001608,T0008,FREE,2025-01-01 16:13:57,TOKEN_EXCEEDED,2,28,BLOCK,HARD_BLOCK_TIER
R00001613,T0008,FREE,2025-01-01 16:14:34,TOKEN_EXCEEDED,3,29,BLOCK,HARD_BLOCK_TIER
