tenant_id,tier_id,quota_bucket,request_count,tokens_consumed,total_cost,request_limit,token_limit,request_pct,token_pct,quota_used_pct,status,violation_count,overage_requests,overage_tokens
T011,PROFESSIONAL,2025-01-01,5,7472,0.01,300,150000,1.67,4.98,4.98,NORMAL,0,0,0
T011,PROFESSIONAL,2025-01-02,320,1484898,2.23,300,150000,106.67,989.93,989.93,THROTTLED,280,20,1334898
T011,PROFESSIONAL,2025-01-03,5,2053,0.0,300,150000,1.67,1.37,1.67,NORMAL,0,0,0
T012,PROFESSIONAL,2025-01-01,5,4909,0.01,300,150000,1.67,3.27,3.27,NORMAL,0,0,0
T012,PROFESSIONAL,2025-01-02,5,3113,0.0,300,150000,1.67,2.08,2.08,NORMAL,0,0,0
T012,PROFESSIONAL,2025-01-03,5,4284,0.01,300,150000,1.67,2.86,2.86,NORMAL,0,0,0
T013,PROFESSIONAL,2025-01-01,5,3074,0.0,300,150000,1.67,2.05,2.05,NORMAL,0,0,0
T013,PROFESSIONAL,2025-01-02,5,7721,0.01,300,150000,1.67,5.15,5.15,NORMAL,0,0,0
T013,PROFESSIONAL,2025-01-03,5,1551,0.0,300,150000,1.67,1.03,1.67,NORMAL,0,0,0
T014,PROFESSIONAL,2025-01-01,5,2039,0.0,300,150000,1.67,1.36,1.67,NORMAL,0,0,0
T014,PROFESSIONAL,2025-01-02,5,2973,0.0,300,150000,1.67,1.98,1.98,NORMAL,0,0,0
T014,PROFESSIONAL,2025-01-03,5,7289,0.01,300,150000,1.67,4.86,4.86,NORMAL,0,0,0
T015,BUSINESS,2025-01-01,5,4887,0.0,2000,1000000,0.25,0.49,0.49,NORMAL,0,0,0
T015,BUSINESS,2025-01-02,11,75789,0.08,2000,1000000,0.55,7.58,7.58,NORMAL,0,0,0
T015,BUSINESS,2025-01-03,5,5095,0.01,2000,1000000,0.25,0.51,0.51,NORMAL,0,0,0
T016,BUSINESS,2025-01-01,5,15552,0.02,2000,1000000,0.25,1.56,1.56,NORMAL,0,0,0
T016,BUSINESS,2025-01-02,5,5971,0.01,2000,1000000,0.25,0.6,0.6,NORMAL,0,0,0
T016,BUSINESS,2025-01-03,5,3702,0.0,2000,1000000,0.25,0.37,0.37,NORMAL,0,0,0
T017,BUSINESS,2025-01-01,5,8325,0.01,2000,1000000,0.25,0.83,0.83,NORMAL,0,0,0
T017,BUSINESS,2025-01-02,5,12300,0.01,2000,1000000,0.25,1.23,1.23,NORMAL,0,0,0
T017,BUSINESS,2025-01-03,5,18186,0.02,2000,1000000,0.25,1.82,1.82,NORMAL,0,0,0
T018,BUSINESS,2025-01-01,5,5417,0.01,2000,1000000,0.25,0.54,0.54,NORMAL,0,0,0
T018,BUSINESS,2025-01-02,5,2262,0.0,2000,1000000,0.25,0.23,0.25,NORMAL,0,0,0
T018,BUSINESS,2025-01-03,5,2084,0.0,2000,1000000,0.25,0.21,0.25,NORMAL,0,0,0
T019,ENTERPRISE,2025-01-01,7,8246,0.0,5000,5000000,0.14,0.16,0.16,NORMAL,0,0,0
T019,ENTERPRISE,2025-01-02,5,3526,0.0,5000,5000000,0.1,0.07,0.1,NORMAL,0,0,0
T019,ENTERPRISE,2025-01-03,5,5659,0.0,5000,5000000,0.1,0.11,0.11,NORMAL,0,0,0
T020,ENTERPRISE,2025-01-01,5,3558,0.0,5000,5000000,0.1,0.07,0.1,NORMAL,0,0,0
T020,ENTERPRISE,2025-01-02,5,3069,0.0,5000,5000000,0.1,0.06,0.1,NORMAL,0,0,0
T020,ENTERPRISE,2025-01-03,5,3348,0.0,5000,5000000,0.1,0.07,0.1,NORMAL,0,0,0
