violation_id,tenant_id,request_id,violation_timestamp,violation_type,violation_number,severity,flat_penalty,pct_penalty,penalty_amount,cumulative_penalty,enforcement_action
VN000298,T0001,R00006861,2025-01-03 21:04:40,TOKEN_EXCEEDED,36,SEVERE,100.0,0.01,100.0,1510.0,SUSPEND_1HR
VN000299,T0001,R00006878,2025-01-03 21:18:49,TOKEN_EXCEEDED,37,SEVERE,100.0,0.01,100.0,1610.0,SUSPEND_1HR
VN000300,T0001,R00006890,2025-01-03 21:27:25,TOKEN_EXCEEDED,38,SEVERE,100.0,0.01,100.0,1710.0,SUSPEND_1HR
VN000301,T0001,R00006967,2025-01-03 22:30:07,TOKEN_EXCEEDED,39,SEVERE,100.0,0.01,100.0,1810.0,SUSPEND_1HR
VN000302,T0001,R00006982,2025-01-03 22:44:44,TOKEN_EXCEEDED,40,SEVERE,100.0,0.01,100.0,1910.0,SUSPEND_1HR
VN000303,T0001,R00006988,2025-01-03 22:49:24,TOKEN_EXCEEDED,41,SEVERE,100.0,0.01,100.0,2010.0,SUSPEND_1HR
VN001220,T0002,R00004343,2025-01-02 18:27:12,TOKEN_EXCEEDED,1,MINOR,0.0,0.0,0.0,0.0,WARNING
VN001221,T0002,R00004404,2025-01-02 19:06:50,TOKEN_EXCEEDED,2,MINOR,0.0,0.0,0.0,0.0,WARNING
VN001222,T0002,R00004483,2025-01-02 20:09:23,TOKEN_EXCEEDED,3,MINOR,0.0,0.0,0.0,0.0,WARNING
VN001223,T0002,R00004632,2025-01-02 22:19:53,TOKEN_EXCEEDED,4,MODERATE,5.0,0.001,5.0,5.0,THROTTLE_50PCT
VN001224,T0002,R00004644,2025-01-02 22:25:43,TOKEN_EXCEEDED,5,MODERATE,5.0,0.001,5.0,10.0,THROTTLE_50PCT
VN001225,T0002,R00004653,2025-01-02 22:30:32,TOKEN_EXCEEDED,6,MODERATE,5.0,0.001,5.0,15.0,THROTTLE_50PCT
VN001226,T0002,R00004670,2025-01-02 22:38:13,TOKEN_EXCEEDED,7,MODERATE,5.0,0.001,5.0,20.0,THROTTLE_50PCT
VN001227,T0002,R00004687,2025-01-02 22:58:09,TOKEN_EXCEEDED,8,MODERATE,5.0,0.001,5.0,25.0,THROTTLE_50PCT
VN001228,T0002,R00004716,2025-01-02 23:21:17,TOKEN_EXCEEDED,9,MODERATE,5.0,0.001,5.0,30.0,THROTTLE_50PCT
VN001229,T0002,R00004741,2025-01-02 23:40:54,TOKEN_EXCEEDED,10,MODERATE,5.0,0.001,5.0,35.0,THROTTLE_50PCT
VN001230,T0002,R00006852,2025-01-03 20:51:58,TOKEN_EXCEEDED,11,MAJOR,25.0,0.005,25.0,60.0,THROTTLE_90PCT
VN001231,T0002,R00006877,2025-01-03 21:17:11,TOKEN_EXCEEDED,12,MAJOR,25.0,0.005,25.0,85.0,THROTTLE_90PCT
VN001232,T0002,R00006896,2025-01-03 21:33:01,TOKEN_EXCEEDED,13,MAJOR,25.0,0.005,25.0,110.0,THROTTLE_90PCT
VN001233,T0002,R00006932,2025-01-03 22:04:48,TOKEN_EXCEEDED,14,MAJOR,25.0,0.005,25.0,135.0,THROTTLE_90PCT
VN001152,T0003,R00004070,2025-01-02 16:39:02,TOKEN_EXCEEDED,4,MODERATE,5.0,0.001,5.0,5.0,THROTTLE_50PCT
VN001153,T0003,R00004074,2025-01-02 16:41:36,TOKEN_EXCEEDED,5,MODERATE,5.0,0.001,5.0,10.0,THROTTLE_50PCT
VN001154,T0003,R00004106,2025-01-02 16:51:18,TOKEN_EXCEEDED,6,MODERATE,5.0,0.001,5.0,15.0,THROTTLE_50PCT
VN001155,T0003,R00004120,2025-01-02 16:56:58,TOKEN_EXCEEDED,7,MODERATE,5.0,0.001,5.0,20.0,THROTTLE_50PCT
VN001156,T0003,R00004144,2025-01-02 17:03:21,TOKEN_EXCEEDED,8,MODERATE,5.0,0.001,5.0,25.0,THROTTLE_50PCT
VN001157,T0003,R00004197,2025-01-02 17:20:02,TOKEN_EXCEEDED,9,MODERATE,5.0,0.001,5.0,30.0,THROTTLE_50PCT
VN001158,T0003,R00004402,2025-01-02 19:04:24,TOKEN_EXCEEDED,10,MODERATE,5.0,0.001,5.0,35.0,THROTTLE_50PCT
VN001159,T0003,R00004407,2025-01-02 19:07:05,TOKEN_EXCEEDED,11,MAJOR,25.0,0.005,25.0,60.0,THROTTLE_90PCT
VN001160,T0003,R00004605,2025-01-02 21:56:54,TOKEN_EXCEEDED,12,MAJOR,25.0,0.005,25.0,85.0,THROTTLE_90PCT
VN001161,T0003,R00004619,2025-01-02 22:12:54,TOKEN_EXCEEDED,13,MAJOR,25.0,0.005,25.0,110.0,THROTTLE_90PCT
VN001162,T0003,R00004637,2025-01-02 22:22:40,TOKEN_EXCEEDED,14,MAJOR,25.0,0.005,25.0,135.0,THROTTLE_90PCT
VN001163,T0003,R00004648,2025-01-02 22:27:05,TOKEN_EXCEEDED,15,MAJOR,25.0,0.005,25.0,160.0,THROTTLE_90PCT
VN001164,T0003,R00004686,2025-01-02 22:57:30,TOKEN_EXCEEDED,16,MAJOR,25.0,0.005,25.0,185.0,THROTTLE_90PCT
VN001165,T0003,R00004749,2025-01-02 23:48:51,TOKEN_EXCEEDED,17,MAJOR,25.0,0.005,25.0,210.0,THROTTLE_90PCT
VN000595,T0004,R00003191,2025-01-02 12:01:38,TOKEN_EXCEEDED,1,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000596,T0004,R00003230,2025-01-02 12:14:19,TOKEN_EXCEEDED,2,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000597,T0004,R00003274,2025-01-02 12:30:14,TOKEN_EXCEEDED,3,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000598,T0004,R00003369,2025-01-02 12:56:26,TOKEN_EXCEEDED,4,MODERATE,5.0,0.001,5.0,5.0,THROTTLE_50PCT
VN000599,T0004,R00003370,2025-01-02 12:57:34,TOKEN_EXCEEDED,5,MODERATE,5.0,0.001,5.0,10.0,THROTTLE_50PCT
VN000600,T0004,R00003392,2025-01-02 13:00:33,TOKEN_EXCEEDED,6,MODERATE,5.0,0.001,5.0,15.0,THROTTLE_50PCT
VN000601,T0004,R00003427,2025-01-02 13:13:00,TOKEN_EXCEEDED,7,MODERATE,5.0,0.001,5.0,20.0,THROTTLE_50PCT
VN000602,T0004,R00003450,2025-01-02 13:20:25,TOKEN_EXCEEDED,8,MODERATE,5.0,0.001,5.0,25.0,THROTTLE_50PCT
VN000603,T0004,R00003623,2025-01-02 14:13:30,TOKEN_EXCEEDED,9,MODERATE,5.0,0.001,5.0,30.0,THROTTLE_50PCT
VN000604,T0004,R00003630,2025-01-02 14:15:55,TOKEN_EXCEEDED,10,MODERATE,5.0,0.001,5.0,35.0,THROTTLE_50PCT
VN000605,T0004,R00003675,2025-01-02 14:29:31,TOKEN_EXCEEDED,11,MAJOR,25.0,0.005,25.0,60.0,THROTTLE_90PCT
VN000606,T0004,R00003693,2025-01-02 14:36:42,TOKEN_EXCEEDED,12,MAJOR,25.0,0.005,25.0,85.0,THROTTLE_90PCT
VN000607,T0004,R00003726,2025-01-02 14:45:09,TOKEN_EXCEEDED,13,MAJOR,25.0,0.005,25.0,110.0,THROTTLE_90PCT
VN000608,T0004,R00003800,2025-01-02 15:10:32,TOKEN_EXCEEDED,14,MAJOR,25.0,0.005,25.0,135.0,THROTTLE_90PCT
VN000609,T0004,R00003912,2025-01-02 15:45:33,TOKEN_EXCEEDED,15,MAJOR,25.0,0.005,25.0,160.0,THROTTLE_90PCT
VN000610,T0004,R00004008,2025-01-02 16:21:11,TOKEN_EXCEEDED,16,MAJOR,25.0,0.005,25.0,185.0,THROTTLE_90PCT
VN000611,T0004,R00004111,2025-01-02 16:53:59,TOKEN_EXCEEDED,17,MAJOR,25.0,0.005,25.0,210.0,THROTTLE_90PCT
VN000612,T0004,R00004182,2025-01-02 17:16:21,TOKEN_EXCEEDED,18,MAJOR,25.0,0.005,25.0,235.0,THROTTLE_90PCT
VN000613,T0004,R00004261,2025-01-02 17:39:37,TOKEN_EXCEEDED,19,MAJOR,25.0,0.005,25.0,260.0,THROTTLE_90PCT
VN000614,T0004,R00004383,2025-01-02 18:54:02,TOKEN_EXCEEDED,20,MAJOR,25.0,0.005,25.0,285.0,THROTTLE_90PCT
VN000615,T0004,R00004382,2025-01-02 18:54:52,TOKEN_EXCEEDED,21,MAJOR,25.0,0.005,25.0,310.0,THROTTLE_90PCT
VN000616,T0004,R00004425,2025-01-02 19:24:29,TOKEN_EXCEEDED,22,MAJOR,25.0,0.005,25.0,335.0,THROTTLE_90PCT
VN000617,T0004,R00004473,2025-01-02 20:02:06,TOKEN_EXCEEDED,23,MAJOR,25.0,0.005,25.0,360.0,THROTTLE_90PCT
VN000618,T0004,R00004594,2025-01-02 21:45:18,TOKEN_EXCEEDED,24,MAJOR,25.0,0.005,25.0,385.0,THROTTLE_90PCT
VN000619,T0004,R00004671,2025-01-02 22:38:36,TOKEN_EXCEEDED,25,MAJOR,25.0,0.005,25.0,410.0,THROTTLE_90PCT
VN000620,T0004,R00006539,2025-01-03 17:12:55,TOKEN_EXCEEDED,26,SEVERE,100.0,0.01,100.0,510.0,SUSPEND_1HR
VN000621,T0004,R00006545,2025-01-03 17:14:38,TOKEN_EXCEEDED,27,SEVERE,100.0,0.01,100.0,610.0,SUSPEND_1HR
VN000622,T0004,R00006565,2025-01-03 17:25:34,TOKEN_EXCEEDED,28,SEVERE,100.0,0.01,100.0,710.0,SUSPEND_1HR
VN000623,T0004,R00006667,2025-01-03 17:59:45,TOKEN_EXCEEDED,29,SEVERE,100.0,0.01,100.0,810.0,SUSPEND_1HR
VN000624,T0004,R00006734,2025-01-03 19:01:35,TOKEN_EXCEEDED,30,SEVERE,100.0,0.01,100.0,910.0,SUSPEND_1HR
VN000625,T0004,R00006749,2025-01-03 19:11:51,TOKEN_EXCEEDED,31,SEVERE,100.0,0.01,100.0,1010.0,SUSPEND_1HR
VN000626,T0004,R00006792,2025-01-03 19:50:55,TOKEN_EXCEEDED,32,SEVERE,100.0,0.01,100.0,1110.0,SUSPEND_1HR
VN000627,T0004,R00006805,2025-01-03 20:02:54,TOKEN_EXCEEDED,33,SEVERE,100.0,0.01,100.0,1210.0,SUSPEND_1HR
VN000628,T0004,R00006828,2025-01-03 20:25:20,TOKEN_EXCEEDED,34,SEVERE,100.0,0.01,100.0,1310.0,SUSPEND_1HR
VN000629,T0004,R00006897,2025-01-03 21:33:51,TOKEN_EXCEEDED,35,SEVERE,100.0,0.01,100.0,1410.0,SUSPEND_1HR
VN000630,T0004,R00007020,2025-01-03 23:19:23,TOKEN_EXCEEDED,36,SEVERE,100.0,0.01,100.0,1510.0,SUSPEND_1HR
VN000050,T0005,R00001213,2025-01-01 13:51:00,TOKEN_EXCEEDED,1,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000051,T0005,R00001225,2025-01-01 13:56:29,TOKEN_EXCEEDED,2,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000052,T0005,R00001342,2025-01-01 14:36:10,TOKEN_EXCEEDED,3,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000053,T0005,R00001396,2025-01-01 14:57:41,TOKEN_EXCEEDED,4,MODERATE,5.0,0.001,5.0,5.0,THROTTLE_50PCT
VN000054,T0005,R00001443,2025-01-01 15:14:16,TOKEN_EXCEEDED,5,MODERATE,5.0,0.001,5.0,10.0,THROTTLE_50PCT
VN000055,T0005,R00001522,2025-01-01 15:42:00,TOKEN_EXCEEDED,6,MODERATE,5.0,0.001,5.0,15.0,THROTTLE_50PCT
VN000056,T0005,R00001552,2025-01-01 15:54:02,TOKEN_EXCEEDED,7,MODERATE,5.0,0.001,5.0,20.0,THROTTLE_50PCT
VN000057,T0005,R00001602,2025-01-01 16:11:39,TOKEN_EXCEEDED,8,MODERATE,5.0,0.001,5.0,25.0,THROTTLE_50PCT
VN000058,T0005,R00001603,2025-01-01 16:11:39,TOKEN_EXCEEDED,9,MODERATE,5.0,0.001,5.0,30.0,THROTTLE_50PCT
VN000059,T0005,R00001694,2025-01-01 16:42:48,TOKEN_EXCEEDED,10,MODERATE,5.0,0.001,5.0,35.0,THROTTLE_50PCT
VN000060,T0005,R00002054,2025-01-01 20:11:48,TOKEN_EXCEEDED,11,MAJOR,25.0,0.005,25.0,60.0,THROTTLE_90PCT
VN000061,T0005,R00002184,2025-01-01 22:17:17,TOKEN_EXCEEDED,12,MAJOR,25.0,0.005,25.0,85.0,THROTTLE_90PCT
VN000062,T0005,R00002205,2025-01-01 22:31:03,TOKEN_EXCEEDED,13,MAJOR,25.0,0.005,25.0,110.0,THROTTLE_90PCT
VN000063,T0005,R00002207,2025-01-01 22:32:52,TOKEN_EXCEEDED,14,MAJOR,25.0,0.005,25.0,135.0,THROTTLE_90PCT
VN000064,T0005,R00002233,2025-01-01 22:55:46,TOKEN_EXCEEDED,15,MAJOR,25.0,0.005,25.0,160.0,THROTTLE_90PCT
VN000065,T0005,R00003717,2025-01-02 14:44:08,TOKEN_EXCEEDED,16,MAJOR,25.0,0.005,25.0,185.0,THROTTLE_90PCT
VN000066,T0005,R00003727,2025-01-02 14:45:26,TOKEN_EXCEEDED,17,MAJOR,25.0,0.005,25.0,210.0,THROTTLE_90PCT
VN000067,T0005,R00003767,2025-01-02 15:00:22,TOKEN_EXCEEDED,18,MAJOR,25.0,0.005,25.0,235.0,THROTTLE_90PCT
VN000068,T0005,R00003947,2025-01-02 16:00:06,TOKEN_EXCEEDED,19,MAJOR,25.0,0.005,25.0,260.0,THROTTLE_90PCT
VN000069,T0005,R00003964,2025-01-02 16:08:56,TOKEN_EXCEEDED,20,MAJOR,25.0,0.005,25.0,285.0,THROTTLE_90PCT
VN000070,T0005,R00004041,2025-01-02 16:31:01,TOKEN_EXCEEDED,21,MAJOR,25.0,0.005,25.0,310.0,THROTTLE_90PCT
VN000071,T0005,R00004166,2025-01-02 17:10:45,TOKEN_EXCEEDED,22,MAJOR,25.0,0.005,25.0,335.0,THROTTLE_90PCT
VN000072,T0005,R00004173,2025-01-02 17:13:04,TOKEN_EXCEEDED,23,MAJOR,25.0,0.005,25.0,360.0,THROTTLE_90PCT
VN000073,T0005,R00004229,2025-01-02 17:30:06,TOKEN_EXCEEDED,24,MAJOR,25.0,0.005,25.0,385.0,THROTTLE_90PCT
VN000074,T0005,R00004237,2025-01-02 17:32:36,TOKEN_EXCEEDED,25,MAJOR,25.0,0.005,25.0,410.0,THROTTLE_90PCT
VN000075,T0005,R00004350,2025-01-02 18:33:52,TOKEN_EXCEEDED,26,SEVERE,100.0,0.01,100.0,510.0,SUSPEND_1HR
VN000076,T0005,R00004352,2025-01-02 18:34:07,TOKEN_EXCEEDED,27,SEVERE,100.0,0.01,100.0,610.0,SUSPEND_1HR
VN000077,T0005,R00004460,2025-01-02 19:52:45,TOKEN_EXCEEDED,28,SEVERE,100.0,0.01,100.0,710.0,SUSPEND_1HR
VN000078,T0005,R00004479,2025-01-02 20:06:09,TOKEN_EXCEEDED,29,SEVERE,100.0,0.01,100.0,810.0,SUSPEND_1HR
VN000079,T0005,R00004500,2025-01-02 20:27:27,TOKEN_EXCEEDED,30,SEVERE,100.0,0.01,100.0,910.0,SUSPEND_1HR
VN000080,T0005,R00004617,2025-01-02 22:11:26,TOKEN_EXCEEDED,31,SEVERE,100.0,0.01,100.0,1010.0,SUSPEND_1HR
VN000081,T0005,R00004631,2025-01-02 22:18:16,TOKEN_EXCEEDED,32,SEVERE,100.0,0.01,100.0,1110.0,SUSPEND_1HR
VN000082,T0005,R00004712,2025-01-02 23:20:13,TOKEN_EXCEEDED,33,SEVERE,100.0,0.01,100.0,1210.0,SUSPEND_1HR
VN000083,T0005,R00004759,2025-01-02 23:57:54,TOKEN_EXCEEDED,34,SEVERE,100.0,0.01,100.0,1310.0,SUSPEND_1HR
VN000084,T0005,R00006543,2025-01-03 17:13:09,TOKEN_EXCEEDED,35,SEVERE,100.0,0.01,100.0,1410.0,SUSPEND_1HR
VN000085,T0005,R00006611,2025-01-03 17:39:33,TOKEN_EXCEEDED,36,SEVERE,100.0,0.01,100.0,1510.0,SUSPEND_1HR
VN000086,T0005,R00006615,2025-01-03 17:40:35,TOKEN_EXCEEDED,37,SEVERE,100.0,0.01,100.0,1610.0,SUSPEND_1HR
VN000087,T0005,R00006622,2025-01-03 17:42:59,TOKEN_EXCEEDED,38,SEVERE,100.0,0.01,100.0,1710.0,SUSPEND_1HR
VN000088,T0005,R00006634,2025-01-03 17:46:10,TOKEN_EXCEEDED,39,SEVERE,100.0,0.01,100.0,1810.0,SUSPEND_1HR
VN000089,T0005,R00006641,2025-01-03 17:49:36,TOKEN_EXCEEDED,40,SEVERE,100.0,0.01,100.0,1910.0,SUSPEND_1HR
VN000090,T0005,R00006775,2025-01-03 19:29:12,TOKEN_EXCEEDED,41,SEVERE,100.0,0.01,100.0,2010.0,SUSPEND_1HR
VN000091,T0005,R00006779,2025-01-03 19:37:50,TOKEN_EXCEEDED,42,SEVERE,100.0,0.01,100.0,2110.0,SUSPEND_1HR
VN000092,T0005,R00006829,2025-01-03 20:25:01,TOKEN_EXCEEDED,43,SEVERE,100.0,0.01,100.0,2210.0,SUSPEND_1HR
VN000093,T0005,R00007011,2025-01-03 23:10:37,TOKEN_EXCEEDED,44,SEVERE,100.0,0.01,100.0,2310.0,SUSPEND_1HR
VN000094,T0005,R00007030,2025-01-03 23:26:52,TOKEN_EXCEEDED,45,SEVERE,100.0,0.01,100.0,2410.0,SUSPEND_1HR
VN000481,T0006,R00001979,2025-01-01 19:06:33,TOKEN_EXCEEDED,1,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000482,T0006,R00002025,2025-01-01 19:40:55,TOKEN_EXCEEDED,2,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000483,T0006,R00002044,2025-01-01 20:00:55,TOKEN_EXCEEDED,3,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000484,T0006,R00002094,2025-01-01 20:47:07,TOKEN_EXCEEDED,4,MODERATE,5.0,0.001,5.0,5.0,THROTTLE_50PCT
VN000485,T0006,R00002155,2025-01-01 21:51:22,TOKEN_EXCEEDED,5,MODERATE,5.0,0.001,5.0,10.0,THROTTLE_50PCT
VN000486,T0006,R00002168,2025-01-01 22:04:49,TOKEN_EXCEEDED,6,MODERATE,5.0,0.001,5.0,15.0,THROTTLE_50PCT
VN000487,T0006,R00002171,2025-01-01 22:07:34,TOKEN_EXCEEDED,7,MODERATE,5.0,0.001,5.0,20.0,THROTTLE_50PCT
VN000488,T0006,R00002298,2025-01-01 23:48:38,TOKEN_EXCEEDED,8,MODERATE,5.0,0.001,5.0,25.0,THROTTLE_50PCT
VN000489,T0006,R00006083,2025-01-03 14:38:06,TOKEN_EXCEEDED,9,MODERATE,5.0,0.001,5.0,30.0,THROTTLE_50PCT
VN000490,T0006,R00006148,2025-01-03 14:56:50,TOKEN_EXCEEDED,10,MODERATE,5.0,0.001,5.0,35.0,THROTTLE_50PCT
VN000491,T0006,R00006201,2025-01-03 15:16:31,TOKEN_EXCEEDED,11,MAJOR,25.0,0.005,25.0,60.0,THROTTLE_90PCT
VN000492,T0006,R00006325,2025-01-03 15:58:27,TOKEN_EXCEEDED,12,MAJOR,25.0,0.005,25.0,85.0,THROTTLE_90PCT
VN000493,T0006,R00006461,2025-01-03 16:42:37,TOKEN_EXCEEDED,13,MAJOR,25.0,0.005,25.0,110.0,THROTTLE_90PCT
VN000494,T0006,R00006523,2025-01-03 17:07:10,TOKEN_EXCEEDED,14,MAJOR,25.0,0.005,25.0,135.0,THROTTLE_90PCT
VN000495,T0006,R00006617,2025-01-03 17:40:06,TOKEN_EXCEEDED,15,MAJOR,25.0,0.005,25.0,160.0,THROTTLE_90PCT
VN000496,T0006,R00006645,2025-01-03 17:51:36,TOKEN_EXCEEDED,16,MAJOR,25.0,0.005,25.0,185.0,THROTTLE_90PCT
VN000497,T0006,R00006670,2025-01-03 18:03:28,TOKEN_EXCEEDED,17,MAJOR,25.0,0.005,25.0,210.0,THROTTLE_90PCT
VN000498,T0006,R00006744,2025-01-03 19:07:22,TOKEN_EXCEEDED,18,MAJOR,25.0,0.005,25.0,235.0,THROTTLE_90PCT
VN000499,T0006,R00006764,2025-01-03 19:22:51,TOKEN_EXCEEDED,19,MAJOR,25.0,0.005,25.0,260.0,THROTTLE_90PCT
VN000500,T0006,R00006809,2025-01-03 20:07:12,TOKEN_EXCEEDED,20,MAJOR,25.0,0.005,25.0,285.0,THROTTLE_90PCT
VN000501,T0006,R00006812,2025-01-03 20:11:28,TOKEN_EXCEEDED,21,MAJOR,25.0,0.005,25.0,310.0,THROTTLE_90PCT
VN000502,T0006,R00006880,2025-01-03 21:19:08,TOKEN_EXCEEDED,22,MAJOR,25.0,0.005,25.0,335.0,THROTTLE_90PCT
VN000503,T0006,R00006882,2025-01-03 21:20:24,TOKEN_EXCEEDED,23,MAJOR,25.0,0.005,25.0,360.0,THROTTLE_90PCT
VN000504,T0006,R00006904,2025-01-03 21:37:59,TOKEN_EXCEEDED,24,MAJOR,25.0,0.005,25.0,385.0,THROTTLE_90PCT
VN000505,T0006,R00006953,2025-01-03 22:19:42,TOKEN_EXCEEDED,25,MAJOR,25.0,0.005,25.0,410.0,THROTTLE_90PCT
VN000506,T0007,R00002104,2025-01-01 21:01:12,TOKEN_EXCEEDED,8,MODERATE,5.0,0.001,5.0,5.0,THROTTLE_50PCT
VN000507,T0007,R00002133,2025-01-01 21:33:09,TOKEN_EXCEEDED,9,MODERATE,5.0,0.001,5.0,10.0,THROTTLE_50PCT
VN000508,T0007,R00002154,2025-01-01 21:49:27,TOKEN_EXCEEDED,10,MODERATE,5.0,0.001,5.0,15.0,THROTTLE_50PCT
VN000509,T0007,R00002225,2025-01-01 22:46:17,TOKEN_EXCEEDED,11,MAJOR,25.0,0.005,25.0,40.0,THROTTLE_90PCT
VN000510,T0007,R00002267,2025-01-01 23:22:32,TOKEN_EXCEEDED,12,MAJOR,25.0,0.005,25.0,65.0,THROTTLE_90PCT
VN000511,T0007,R00002299,2025-01-01 23:49:20,TOKEN_EXCEEDED,13,MAJOR,25.0,0.005,25.0,90.0,THROTTLE_90PCT
