request_id,tenant_id,endpoint_id,timestamp,effective_tokens,cost_multiplier,effective_cost,quota_bucket,hourly_count,daily_count,daily_tokens,within_limit,throttle_reason,billable
R00000073,T0029,POST:/api/v1/webhooks,2025-01-01 03:49:37,66,2.0,132.0,2025-01-01,1,2,152,YES,,YES
R00000072,T0044,GET:/api/v1/config,2025-01-01 03:49:48,1,0.5,0.5,2025-01-01,1,1,1,YES,,NO
R00000075,T0045,GET:/api/v1/reports,2025-01-01 03:51:25,283,4.0,1132.0,2025-01-01,1,1,283,YES,,YES
R00000074,T0031,GET:/api/v1/search,2025-01-01 03:51:42,144,3.0,432.0,2025-01-01,1,2,453,YES,,YES
R00000076,T0021,PUT:/api/v1/users/{id},2025-01-01 03:52:49,28,2.0,56.0,2025-01-01,1,1,28,YES,,YES
R00000078,T0049,GET:/api/v1/users,2025-01-01 03:53:08,9,1.0,9.0,2025-01-01,1,3,2202,YES,,YES
R00000077,T0035,POST:/api/v1/search/advanced,2025-01-01 03:53:33,212,5.0,1060.0,2025-01-01,1,1,212,YES,,YES
R00000079,T0032,POST:/api/v1/users,2025-01-01 03:57:38,0,2.0,0.0,2025-01-01,1,1,0,YES,,NO
R00000081,T0042,GET:/api/v1/config,2025-01-01 03:58:45,5,0.5,2.5,2025-01-01,1,1,5,YES,,NO
R00000080,T0001,GET:/api/v1/reports,2025-01-01 03:58:53,117,4.0,468.0,2025-01-01,2,2,1891,YES,,YES
R00000082,T0031,POST:/api/v1/ai/image,2025-01-01 04:06:35,10887,20.0,217740.0,2025-01-01,1,3,11340,YES,,YES
R00000083,T0033,GET:/api/v1/health,2025-01-01 04:08:04,1,0.1,0.1,2025-01-01,1,2,1,YES,,NO
R00000084,T0051,GET:/api/v1/reports,2025-01-01 04:17:18,423,4.0,1692.0,2025-01-01,1,5,3827,YES,,YES
R00000086,T0021,GET:/api/v1/config,2025-01-01 04:20:15,0,0.5,0.0,2025-01-01,1,2,28,YES,,NO
R00000085,T0029,POST:/api/v1/reports/generate,2025-01-01 04:20:35,1985,10.0,19850.0,2025-01-01,1,3,2137,YES,,YES
R00000087,T0027,GET:/api/v1/users,2025-01-01 04:21:45,17,1.0,17.0,2025-01-01,1,1,17,YES,,YES
R00000088,T0043,GET:/api/v1/health,2025-01-01 04:31:09,1,0.1,0.1,2025-01-01,1,2,13,YES,,NO
R00000089,T0038,DELETE:/api/v1/users/{id},2025-01-01 04:45:54,30,2.0,60.0,2025-01-01,1,2,13622,YES,,YES
R00000090,T0010,GET:/api/v1/search,2025-01-01 04:46:09,76,3.0,228.0,2025-01-01,1,1,76,YES,,YES
R00000091,T0045,GET:/api/v1/search,2025-01-01 04:51:21,153,3.0,459.0,2025-01-01,1,2,436,YES,,YES
R00000092,T0041,POST:/api/v1/batch,2025-01-01 04:52:55,614,8.0,4912.0,2025-01-01,1,2,2333,YES,,YES
R00000093,T0044,POST:/api/v1/webhooks,2025-01-01 05:03:47,0,2.0,0.0,2025-01-01,1,2,1,YES,,NO
R00000094,T0046,POST:/api/v1/webhooks,2025-01-01 05:08:44,41,2.0,82.0,2025-01-01,1,5,596,YES,,YES
R00000095,T0051,GET:/api/v1/users,2025-01-01 05:13:27,8,1.0,8.0,2025-01-01,1,6,3835,YES,,YES
R00000096,T0051,GET:/api/v1/users/{id},2025-01-01 05:20:39,1,1.0,1.0,2025-01-01,2,7,3836,YES,,YES
R00000097,T0038,GET:/api/v1/users/{id},2025-01-01 05:21:16,6,1.0,6.0,2025-01-01,1,3,13628,YES,,YES
R00000098,T0030,POST:/api/v1/webhooks,2025-01-01 05:22:10,34,2.0,68.0,2025-01-01,1,1,34,YES,,YES
R00000099,T0020,POST:/api/v1/reports/generate,2025-01-01 05:24:16,868,10.0,8680.0,2025-01-01,1,4,1183,YES,,YES
R00000100,T0025,GET:/api/v1/health,2025-01-01 05:25:24,1,0.1,0.1,2025-01-01,1,3,505,YES,,NO
R00000101,T0019,GET:/api/v1/users,2025-01-01 05:39:25,7,1.0,7.0,2025-01-01,1,1,7,YES,,YES
R00000102,T0048,GET:/api/v1/reports,2025-01-01 05:41:18,58,4.0,232.0,2025-01-01,1,4,318,YES,,NO
R00000103,T0023,PUT:/api/v1/users/{id},2025-01-01 05:43:16,32,2.0,64.0,2025-01-01,1,3,791,YES,,YES
R00000105,T0006,GET:/api/v1/config,2025-01-01 05:43:26,4,0.5,2.0,2025-01-01,1,1,4,YES,,NO
R00000104,T0058,POST:/api/v1/batch,2025-01-01 05:43:50,1276,8.0,10208.0,2025-01-01,1,2,1411,YES,,YES
R00000106,T0057,POST:/api/v1/ai/image,2025-01-01 05:44:58,8527,20.0,170540.0,2025-01-01,1,1,8527,YES,,YES
R00000107,T0053,POST:/api/v1/ai/completion,2025-01-01 05:45:18,1657,15.0,24855.0,2025-01-01,1,3,4515,YES,,NO
R00000108,T0030,POST:/api/v1/ai/embedding,2025-01-01 05:46:14,882,8.0,7056.0,2025-01-01,2,2,916,YES,,YES
R00000109,T0052,POST:/api/v1/reports/generate,2025-01-01 05:50:25,2355,10.0,23550.0,2025-01-01,1,2,3683,YES,,YES
R00000110,T0044,GET:/api/v1/health,2025-01-01 05:53:24,1,0.1,0.1,2025-01-01,2,3,2,YES,,NO
R00000111,T0015,POST:/api/v1/search/advanced,2025-01-01 05:55:35,810,5.0,4050.0,2025-01-01,1,2,818,YES,,YES
R00000112,T0041,GET:/api/v1/config,2025-01-01 05:56:19,2,0.5,1.0,2025-01-01,1,3,2335,YES,,NO
R00000113,T0003,DELETE:/api/v1/users/{id},2025-01-01 05:57:06,42,2.0,84.0,2025-01-01,1,1,42,YES,,YES
R00000114,T0024,GET:/api/v1/analytics,2025-01-01 05:58:34,570,5.0,2850.0,2025-01-01,1,1,570,YES,,YES
R00000116,T0024,PUT:/api/v1/users/{id},2025-01-01 06:01:15,17,2.0,34.0,2025-01-01,1,2,587,YES,,YES
R00000117,T0024,GET:/api/v1/reports,2025-01-01 06:01:22,0,4.0,0.0,2025-01-01,2,3,587,YES,,NO
R00000115,T0042,POST:/api/v1/users,2025-01-01 06:01:26,22,2.0,44.0,2025-01-01,1,2,27,YES,,YES
R00000118,T0008,POST:/api/v1/webhooks,2025-01-01 06:02:05,54,2.0,108.0,2025-01-01,1,2,1227,YES,,YES
R00000119,T0022,PUT:/api/v1/users/{id},2025-01-01 06:03:36,73,2.0,146.0,2025-01-01,1,3,656,YES,,YES
R00000120,T0053,GET:/api/v1/config,2025-01-01 06:04:09,12,0.5,6.0,2025-01-01,1,4,4527,YES,,NO
R00000121,T0010,POST:/api/v1/webhooks,2025-01-01 06:04:51,110,2.0,220.0,2025-01-01,1,2,186,YES,,YES
R00000123,T0048,POST:/api/v1/search/advanced,2025-01-01 06:05:04,214,5.0,1070.0,2025-01-01,1,5,532,YES,,YES
R00000122,T0023,GET:/api/v1/health,2025-01-01 06:05:20,1,0.1,0.1,2025-01-01,1,4,792,YES,,NO
R00000124,T0007,POST:/api/v1/search/advanced,2025-01-01 06:05:39,462,5.0,2310.0,2025-01-01,1,2,1306,YES,,YES
R00000125,T0002,GET:/api/v1/users,2025-01-01 06:06:25,6,1.0,6.0,2025-01-01,1,2,63,YES,,YES
R00000126,T0059,GET:/api/v1/reports,2025-01-01 06:07:20,377,4.0,1508.0,2025-01-01,1,3,632,YES,,YES
R00000127,T0040,GET:/api/v1/analytics,2025-01-01 06:07:20,141,5.0,705.0,2025-01-01,1,1,141,YES,,YES
R00000128,T0039,POST:/api/v1/search/advanced,2025-01-01 06:08:07,498,5.0,2490.0,2025-01-01,1,4,1729,YES,,YES
R00000130,T0021,GET:/api/v1/analytics,2025-01-01 06:09:09,262,5.0,1310.0,2025-01-01,1,3,290,YES,,YES
R00000129,T0057,PUT:/api/v1/users/{id},2025-01-01 06:09:29,75,2.0,150.0,2025-01-01,1,2,8602,YES,,YES
R00000132,T0038,POST:/api/v1/ai/completion,2025-01-01 06:11:42,5520,15.0,82800.0,2025-01-01,1,4,19148,YES,,YES
R00000131,T0054,POST:/api/v1/users,2025-01-01 06:11:47,50,2.0,100.0,2025-01-01,1,7,2229,YES,,YES
R00000133,T0049,POST:/api/v1/search/advanced,2025-01-01 06:15:03,1001,5.0,5005.0,2025-01-01,1,4,3203,YES,,NO
R00000134,T0037,GET:/api/v1/reports,2025-01-01 06:16:30,111,4.0,444.0,2025-01-01,1,1,111,YES,,YES
R00000137,T0018,GET:/api/v1/analytics,2025-01-01 06:18:21,430,5.0,2150.0,2025-01-01,1,3,1257,YES,,YES
R00000135,T0036,GET:/api/v1/search,2025-01-01 06:18:36,57,3.0,171.0,2025-01-01,1,1,57,YES,,YES
R00000136,T0050,GET:/api/v1/config,2025-01-01 06:18:41,7,0.5,3.5,2025-01-01,1,1,7,YES,,NO
R00000138,T0037,GET:/api/v1/analytics,2025-01-01 06:21:47,162,5.0,810.0,2025-01-01,2,2,273,YES,,YES
R00000139,T0034,PUT:/api/v1/users/{id},2025-01-01 06:24:21,17,2.0,34.0,2025-01-01,1,3,412,YES,,YES
R00000141,T0004,GET:/api/v1/analytics,2025-01-01 06:24:42,353,5.0,1765.0,2025-01-01,1,2,554,YES,,YES
R00000140,T0050,POST:/api/v1/ai/completion,2025-01-01 06:24:56,6726,15.0,100890.0,2025-01-01,2,2,6733,YES,,YES
R00000144,T0014,POST:/api/v1/batch,2025-01-01 06:25:18,527,8.0,4216.0,2025-01-01,1,3,4735,YES,,YES
R00000142,T0014,POST:/api/v1/batch,2025-01-01 06:25:27,703,8.0,5624.0,2025-01-01,2,4,5438,YES,,YES
R00000143,T0020,GET:/api/v1/users,2025-01-01 06:25:38,4,1.0,4.0,2025-01-01,1,5,1187,YES,,YES
R00000145,T0028,GET:/api/v1/users/{id},2025-01-01 06:26:45,5,1.0,5.0,2025-01-01,1,3,1708,YES,,YES
R00000146,T0056,GET:/api/v1/health,2025-01-01 06:27:29,1,0.1,0.1,2025-01-01,1,2,236,YES,,NO
R00000147,T0037,POST:/api/v1/search/advanced,2025-01-01 06:28:18,583,5.0,2915.0,2025-01-01,3,3,856,YES,,YES
R00000149,T0055,POST:/api/v1/users,2025-01-01 06:28:25,54,2.0,108.0,2025-01-01,1,2,71,YES,,YES
R00000148,T0011,GET:/api/v1/health,2025-01-01 06:28:53,1,0.1,0.1,2025-01-01,1,3,87,YES,,NO
R00000150,T0048,GET:/api/v1/search,2025-01-01 06:29:10,44,3.0,132.0,2025-01-01,2,6,576,YES,,YES
R00000151,T0013,GET:/api/v1/config,2025-01-01 06:29:46,13,0.5,6.5,2025-01-01,1,4,345,YES,,NO
R00000152,T0010,PUT:/api/v1/users/{id},2025-01-01 06:30:09,67,2.0,134.0,2025-01-01,2,3,253,YES,,YES
R00000153,T0050,GET:/api/v1/analytics,2025-01-01 06:31:36,277,5.0,1385.0,2025-01-01,3,3,7010,YES,,YES
R00000154,T0057,GET:/api/v1/analytics,2025-01-01 06:32:39,252,5.0,1260.0,2025-01-01,2,3,8854,YES,,YES
R00000155,T0005,POST:/api/v1/search/advanced,2025-01-01 06:33:50,233,5.0,1165.0,2025-01-01,1,2,337,YES,,YES
R00000156,T0005,DELETE:/api/v1/users/{id},2025-01-01 06:34:03,26,2.0,52.0,2025-01-01,2,3,363,YES,,YES
R00000157,T0056,POST:/api/v1/ai/embedding,2025-01-01 06:35:38,651,8.0,5208.0,2025-01-01,2,3,887,YES,,YES
R00000158,T0051,GET:/api/v1/health,2025-01-01 06:35:58,1,0.1,0.1,2025-01-01,1,8,3837,YES,,NO
R00000159,T0031,GET:/api/v1/reports,2025-01-01 06:36:28,355,4.0,1420.0,2025-01-01,1,4,11695,YES,,NO
R00000160,T0006,GET:/api/v1/reports,2025-01-01 06:39:15,91,4.0,364.0,2025-01-01,1,2,95,YES,,YES
R00000161,T0040,GET:/api/v1/users/{id},2025-01-01 06:39:18,6,1.0,6.0,2025-01-01,2,2,147,YES,,YES
R00000162,T0004,GET:/api/v1/health,2025-01-01 06:40:04,1,0.1,0.1,2025-01-01,2,3,555,YES,,NO
R00000163,T0047,GET:/api/v1/config,2025-01-01 06:42:38,4,0.5,2.0,2025-01-01,1,3,1218,YES,,NO
R00000165,T0046,POST:/api/v1/webhooks,2025-01-01 06:44:24,39,2.0,78.0,2025-01-01,1,6,635,YES,,YES
R00000164,T0043,GET:/api/v1/users/{id},2025-01-01 06:44:41,9,1.0,9.0,2025-01-01,1,3,22,YES,,YES
R00000166,T0043,POST:/api/v1/batch,2025-01-01 06:44:43,466,8.0,3728.0,2025-01-01,2,4,488,YES,,NO
R00000168,T0050,GET:/api/v1/reports,2025-01-01 06:45:08,229,4.0,916.0,2025-01-01,4,4,7239,YES,,YES
R00000167,T0028,GET:/api/v1/reports,2025-01-01 06:45:19,247,4.0,988.0,2025-01-01,2,4,1955,YES,,YES
R00000169,T0007,GET:/api/v1/reports,2025-01-01 06:46:47,116,4.0,464.0,2025-01-01,2,3,1422,YES,,YES
R00000172,T0047,PUT:/api/v1/users/{id},2025-01-01 06:47:18,24,2.0,48.0,2025-01-01,2,4,1242,YES,,YES
R00000174,T0037,POST:/api/v1/ai/image,2025-01-01 06:47:18,18736,20.0,374720.0,2025-01-01,4,4,19592,YES,,YES
R00000170,T0057,POST:/api/v1/webhooks,2025-01-01 06:47:24,79,2.0,158.0,2025-01-01,3,4,8933,YES,,YES
R00000173,T0016,DELETE:/api/v1/users/{id},2025-01-01 06:47:30,22,2.0,44.0,2025-01-01,1,2,22,YES,,YES
R00000171,T0050,GET:/api/v1/analytics,2025-01-01 06:47:46,314,5.0,1570.0,2025-01-01,5,5,7553,YES,,NO
R00000175,T0053,GET:/api/v1/users/{id},2025-01-01 06:49:55,3,1.0,3.0,2025-01-01,2,5,4530,YES,,YES
R00000177,T0011,PUT:/api/v1/users/{id},2025-01-01 06:50:09,55,2.0,110.0,2025-01-01,2,4,142,YES,,NO
R00000176,T0036,POST:/api/v1/webhooks,2025-01-01 06:50:33,71,2.0,142.0,2025-01-01,2,2,128,YES,,YES
R00000178,T0015,GET:/api/v1/health,2025-01-01 06:50:59,1,0.1,0.1,2025-01-01,1,3,819,YES,,NO
R00000180,T0054,POST:/api/v1/batch,2025-01-01 06:51:09,810,8.0,6480.0,2025-01-01,2,8,3039,YES,,YES
R00000179,T0024,PUT:/api/v1/users/{id},2025-01-01 06:51:23,0,2.0,0.0,2025-01-01,3,4,587,YES,,NO
R00000182,T0002,PUT:/api/v1/users/{id},2025-01-01 06:51:35,18,2.0,36.0,2025-01-01,2,3,81,YES,,YES
R00000181,T0031,POST:/api/v1/batch,2025-01-01 06:51:45,510,8.0,4080.0,2025-01-01,2,5,12205,YES,,YES
R00000184,T0054,POST:/api/v1/webhooks,2025-01-01 06:54:01,46,2.0,92.0,2025-01-01,3,9,3085,YES,,YES
R00000183,T0019,PUT:/api/v1/users/{id},2025-01-01 06:54:15,17,2.0,34.0,2025-01-01,1,2,24,YES,,YES
R00000185,T0019,POST:/api/v1/search/advanced,2025-01-01 06:55:15,896,5.0,4480.0,2025-01-01,2,3,920,YES,,YES
R00000187,T0031,GET:/api/v1/users,2025-01-01 06:55:23,7,1.0,7.0,2025-01-01,3,6,12212,YES,,YES
R00000186,T0006,GET:/api/v1/reports,2025-01-01 06:55:33,91,4.0,364.0,2025-01-01,2,3,186,YES,,YES
R00000188,T0005,DELETE:/api/v1/users/{id},2025-01-01 06:57:40,40,2.0,80.0,2025-01-01,3,4,403,YES,,YES
R00000189,T0023,GET:/api/v1/reports,2025-01-01 06:58:11,151,4.0,604.0,2025-01-01,2,5,943,YES,,YES
R00000191,T0013,GET:/api/v1/users,2025-01-01 07:00:02,11,1.0,11.0,2025-01-01,1,5,356,YES,,YES
R00000190,T0031,GET:/api/v1/analytics,2025-01-01 07:00:04,220,5.0,1100.0,2025-01-01,1,7,12432,YES,,YES
R00000193,T0050,GET:/api/v1/users,2025-01-01 07:01:17,15,1.0,15.0,2025-01-01,1,6,7568,YES,,YES
R00000192,T0053,POST:/api/v1/reports/generate,2025-01-01 07:01:48,834,10.0,8340.0,2025-01-01,1,6,5364,YES,,YES
R00000194,T0026,GET:/api/v1/health,2025-01-01 07:02:24,1,0.1,0.1,2025-01-01,1,1,1,YES,,NO
R00000195,T0032,GET:/api/v1/search,2025-01-01 07:04:17,182,3.0,546.0,2025-01-01,1,2,182,YES,,YES
R00000196,T0039,POST:/api/v1/ai/image,2025-01-01 07:04:18,19385,20.0,387700.0,2025-01-01,1,5,21114,YES,,YES
R00000197,T0019,DELETE:/api/v1/users/{id},2025-01-01 07:05:27,22,2.0,44.0,2025-01-01,1,4,942,YES,,YES
R00000200,T0039,POST:/api/v1/batch,2025-01-01 07:06:08,919,8.0,7352.0,2025-01-01,2,6,22033,YES,,YES
R00000201,T0037,GET:/api/v1/users,2025-01-01 07:06:28,18,1.0,18.0,2025-01-01,1,5,19610,YES,,YES
R00000198,T0003,POST:/api/v1/batch,2025-01-01 07:06:39,1704,8.0,13632.0,2025-01-01,1,2,1746,YES,,NO
R00000199,T0041,POST:/api/v1/search/advanced,2025-01-01 07:06:47,997,5.0,4985.0,2025-01-01,1,4,3332,YES,,YES
R00000202,T0005,POST:/api/v1/reports/generate,2025-01-01 07:08:25,3010,10.0,30100.0,2025-01-01,1,5,3413,YES,,YES
R00000203,T0008,GET:/api/v1/users,2025-01-01 07:08:33,10,1.0,10.0,2025-01-01,1,3,1237,YES,,YES
R00000204,T0017,GET:/api/v1/analytics,2025-01-01 07:08:39,437,5.0,2185.0,2025-01-01,1,3,461,YES,,YES
R00000206,T0055,POST:/api/v1/ai/image,2025-01-01 07:09:45,9534,20.0,190680.0,2025-01-01,1,3,9605,YES,,YES
R00000205,T0009,GET:/api/v1/health,2025-01-01 07:09:57,1,0.1,0.1,2025-01-01,1,1,1,YES,,NO
R00000208,T0008,POST:/api/v1/webhooks,2025-01-01 07:10:15,45,2.0,90.0,2025-01-01,2,4,1282,YES,,YES
R00000207,T0055,GET:/api/v1/users/{id},2025-01-01 07:10:44,5,1.0,5.0,2025-01-01,2,4,9610,YES,,YES
R00000209,T0037,GET:/api/v1/search,2025-01-01 07:11:35,40,3.0,120.0,2025-01-01,2,6,19650,YES,,YES
