promo_id,vendor_id,promo_type,start_date,end_date,total_promo_revenue,total_promo_transactions,avg_discount_applied,effective_discount,roi,lift_ratio
PR016,V11,LOYALTY_DISCOUNT,2024-05-01,2024-06-28,63.35,1,0.25,0.22,-0.9781,0.5984
PR016,V12,LOYALTY_DISCOUNT,2024-05-01,2024-06-28,43.63,1,0.1,0.1,-0.9849,0.283
PR016,V14,LOYALTY_DISCOUNT,2024-05-01,2024-06-28,56.42,1,0.15,0.15,-0.9805,0.4786
PR017,V06,BUNDLE,2024-05-01,2024-06-28,110.43,1,0.25,0.12,-0.9569,0.8609
PR017,V09,BUNDLE,2024-05-01,2024-06-28,1119.76,2,0.175,0.12,-0.5631,1.7428
PR017,V18,BUNDLE,2024-05-01,2024-06-28,39.5,1,0.25,0.12,-0.9846,0.2538
PR018,V16,CLEARANCE,2024-01-01,2024-02-28,105.72,2,0.225,0.1,-0.9284,0.3762
PR020,V19,BUNDLE,2024-03-01,2024-04-28,105.66,1,0.05,0.05,-0.8456,0.8716
PR020,V20,BUNDLE,2024-03-01,2024-04-28,54.26,1,0.1,0.1,-0.9207,0.3494
PR021,V01,SEASONAL,2024-04-01,2024-06-28,185.78,3,0.15,0.15,-0.9267,0.4378
PR022,V02,CLEARANCE,2024-01-01,2024-03-28,30.76,1,0.05,0.05,-0.9851,0.3989
PR022,V18,CLEARANCE,2024-01-01,2024-03-28,264.22,1,0.1,0.08,-0.8719,1.9897
PR023,V07,SEASONAL,2024-02-01,2024-03-28,194.83,1,0.1,0.08,-0.641,1.2564
PR024,V13,CLEARANCE,2024-02-01,2024-03-28,213.68,1,0.1,0.1,-0.9284,1.749
PR024,V19,CLEARANCE,2024-02-01,2024-03-28,16.53,1,0.05,0.05,-0.9945,0.1589
PR025,V05,FLASH_SALE,2024-05-01,2024-06-28,117.38,2,0.075,0.075,-0.8781,0.4561
PR025,V13,FLASH_SALE,2024-05-01,2024-06-28,46.73,2,0.05,0.05,-0.9515,0.2107
PR025,V20,FLASH_SALE,2024-05-01,2024-06-28,182.09,1,0.2,0.16,-0.8109,1.0887
PR026,V10,LOYALTY_DISCOUNT,2024-02-01,2024-04-28,15.96,1,0.15,0.15,-0.9796,0.1921
PR026,V14,LOYALTY_DISCOUNT,2024-02-01,2024-04-28,155.43,2,0.1,0.1,-0.8013,0.7236
PR027,V05,SEASONAL,2024-01-01,2024-03-28,292.66,1,0.25,0.2,-0.5958,2.3171
PR027,V09,SEASONAL,2024-01-01,2024-03-28,37.5,1,0.05,0.05,-0.9482,0.1045
PR028,V08,CLEARANCE,2024-03-01,2024-04-28,25.94,1,0.05,0.05,-0.9936,0.2379
PR028,V15,CLEARANCE,2024-03-01,2024-04-28,56.13,1,0.2,0.18,-0.9861,1.0876
PR029,V01,SEASONAL,2024-03-01,2024-05-28,73.45,1,0.25,0.13,-0.9635,0.5422
