pool_id,month,region,tier,total_attempts,ok_count,fail_count,timeout_count,reject_count,total_cpu_ms,total_duration_sec,avg_duration_sec,peak_mem_mb,cpu_utilization_pct,top_error,incident_minutes
P10,2024-01,DELTA,T1,11,5,5,0,1,119371,90.0,8.18,420.6,0.0001,E004,0.0
P10,2024-02,DELTA,T1,10,8,1,1,0,127381,155.0,15.5,427.7,0.0002,E004,0.0
P10,2024-03,DELTA,T1,8,2,2,2,2,79043,210.0,26.25,500.7,0.0001,E005,0.0
P10,2024-04,DELTA,T1,11,2,4,2,3,326163,369.0,33.55,427.4,0.0004,E200,0.0
P10,2024-05,DELTA,T1,10,6,1,1,2,309908,773.0,77.3,395.1,0.0004,E200,720.0
P10,2024-06,DELTA,T1,13,8,3,2,0,183531,304.0,23.38,481.7,0.0002,E100,0.0
P11,2024-01,DELTA,T2,9,4,4,1,0,211750,246.0,27.33,502.2,0.0005,E002,0.0
P11,2024-02,DELTA,T2,9,4,3,1,1,140975,225.0,25.0,455.7,0.0003,E003,0.0
P11,2024-03,DELTA,T2,8,4,1,1,2,70166,89.0,11.12,326.5,0.0002,E200,0.0
P11,2024-04,DELTA,T2,13,8,3,2,0,290906,277.0,21.31,330.9,0.0007,E100,720.0
P11,2024-05,DELTA,T2,6,5,1,0,0,53199,44.0,7.33,479.7,0.0001,E001,0.0
P11,2024-06,DELTA,T2,11,5,3,1,2,195316,238.0,21.64,485.2,0.0005,E002,0.0
P12,2024-01,DELTA,T3,10,2,5,2,1,208201,306.0,30.6,506.1,0.0002,UNKNOWN,0.0
P12,2024-02,DELTA,T3,8,1,1,3,3,301561,437.0,54.62,424.7,0.0002,E100,0.0
P12,2024-03,DELTA,T3,9,5,3,1,0,261820,188.0,20.89,500.9,0.0002,E002,0.0
P12,2024-04,DELTA,T3,9,2,4,2,1,398309,601.0,66.78,318.4,0.0003,E002,0.0
P12,2024-05,DELTA,T3,8,7,0,1,0,111684,96.0,12.0,436.4,0.0001,E100,0.0
P12,2024-06,DELTA,T3,9,2,3,2,2,182739,150.0,16.67,479.7,0.0001,E006,720.0
