tenant_id,month,service_level,total_jobs,total_attempts,total_retries,success_rate,avg_duration_sec,retry_rate,total_cpu_ms,peak_mem_mb,base_cost,retry_cost,penalty_cost,total_cost,sla_breaches,incident_jobs,cost_efficiency_ratio,risk_score,reliability_score,trend,health_status
T04,2024-04,BRONZE,4,13,9,0.5,68.0,0.6923,172309,456.9,0.01,0.0,2.31,2.32,1,1,0.58,48.269,9.231,DECLINING,CRITICAL
T04,2024-05,BRONZE,4,7,3,1.0,34.75,0.4286,83071,379.8,0.0,0.0,0.0,0.0,0,0,0.0,12.858,32.604,IMPROVING,DEGRADED
T04,2024-06,BRONZE,2,4,2,0.5,79.5,0.5,93207,453.3,0.0,0.0,0.0,0.0,0,0,0.0,35.0,35.0,IMPROVING,DEGRADED
T05,2024-01,PLATINUM,10,21,11,0.8,58.0,0.5238,410421,496.7,0.03,0.0,0.0,0.03,1,0,0.0,26.714,52.143,IMPROVING,AT_RISK
T05,2024-02,PLATINUM,8,15,7,0.875,29.62,0.4667,139149,489.4,0.01,0.0,0.0,0.01,0,0,0.0,19.001,62.821,IMPROVING,AT_RISK
T05,2024-03,PLATINUM,10,18,8,0.8,88.9,0.4444,570116,501.6,0.03,0.0,0.0,0.03,0,1,0.0,21.332,64.744,STABLE,AT_RISK
T05,2024-04,PLATINUM,7,8,1,1.0,12.71,0.125,60655,506.3,0.0,0.0,0.0,0.0,0,0,0.0,3.75,74.196,IMPROVING,STABLE
T05,2024-05,PLATINUM,11,21,10,0.9091,54.0,0.4762,541865,508.1,0.03,0.01,0.85,0.89,2,2,0.08,23.377,69.47,DECLINING,AT_RISK
T05,2024-06,PLATINUM,8,15,7,0.75,102.62,0.4667,785644,506.8,0.04,0.01,0.0,0.05,1,0,0.01,27.751,58.984,DECLINING,AT_RISK
T06,2024-01,GOLD,8,12,4,0.875,32.0,0.3333,160970,511.7,0.01,0.0,0.35,0.36,1,0,0.04,18.749,57.5,IMPROVING,AT_RISK
T06,2024-02,GOLD,7,12,5,1.0,84.86,0.4167,639617,465.8,0.02,0.0,0.0,0.02,0,1,0.0,12.501,66.5,IMPROVING,AT_RISK
T06,2024-03,GOLD,8,11,3,1.0,32.5,0.2727,242823,477.9,0.01,0.0,0.0,0.01,0,0,0.0,8.181,74.096,IMPROVING,STABLE
T06,2024-04,GOLD,7,11,4,0.8571,112.29,0.3636,927631,410.3,0.04,0.01,0.11,0.16,1,0,0.02,20.91,67.306,DECLINING,AT_RISK
T06,2024-05,GOLD,9,14,5,0.8889,28.0,0.3571,153028,504.0,0.01,0.0,0.37,0.38,1,2,0.04,18.49,67.186,STABLE,AT_RISK
T06,2024-06,GOLD,5,8,3,1.0,40.6,0.375,155657,450.1,0.01,0.0,0.0,0.01,0,0,0.0,11.25,73.655,IMPROVING,STABLE
T07,2024-01,SILVER,4,10,6,1.0,68.5,0.6,191840,488.7,0.0,0.0,0.0,0.0,0,0,0.0,18.0,59.6,IMPROVING,AT_RISK
T07,2024-02,SILVER,5,6,1,0.8,30.2,0.1667,76525,455.7,0.0,0.0,0.02,0.02,1,0,0.0,19.001,57.299,DECLINING,AT_RISK
T07,2024-03,SILVER,4,9,5,0.75,55.0,0.5556,117848,500.9,0.0,0.0,0.46,0.46,1,0,0.12,34.168,47.816,DECLINING,DEGRADED
T07,2024-04,SILVER,7,10,3,0.7143,86.0,0.3,378391,318.1,0.01,0.0,0.0,0.01,0,1,0.0,20.428,55.123,IMPROVING,AT_RISK
T07,2024-05,SILVER,6,9,3,1.0,71.17,0.3333,336448,478.3,0.02,0.0,0.0,0.02,0,2,0.0,9.999,65.586,IMPROVING,AT_RISK
T07,2024-06,SILVER,6,12,6,0.8333,36.83,0.5,134880,481.7,0.0,0.0,0.0,0.0,0,0,0.0,21.668,66.958,STABLE,AT_RISK
T08,2024-01,BRONZE,3,6,3,1.0,39.0,0.5,77210,506.1,0.0,0.0,0.0,0.0,0,0,0.0,15.0,60.5,IMPROVING,AT_RISK
T08,2024-02,BRONZE,3,4,1,0.6667,11.33,0.25,8237,396.3,0.0,0.0,0.0,0.0,0,0,0.0,20.832,59.17,STABLE,AT_RISK
T08,2024-03,BRONZE,3,3,0,1.0,11.0,0.0,12131,368.8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,71.419,IMPROVING,STABLE
T08,2024-04,BRONZE,3,9,6,0.3333,235.67,0.6667,477525,427.4,0.01,0.0,1.14,1.15,2,0,0.38,66.669,0.0,DECLINING,CRITICAL
T08,2024-05,BRONZE,4,6,2,1.0,21.25,0.3333,57322,479.7,0.0,0.0,0.0,0.0,0,1,0.0,9.999,27.0,IMPROVING,CRITICAL
T08,2024-06,BRONZE,4,5,1,1.0,40.75,0.2,157242,485.2,0.0,0.0,0.0,0.0,0,1,0.0,6.0,47.1,IMPROVING,DEGRADED
T09,2024-01,GOLD,7,13,6,0.7143,45.0,0.4615,269906,500.3,0.01,0.0,0.0,0.01,0,0,0.0,25.273,53.793,IMPROVING,AT_RISK
T09,2024-02,GOLD,6,8,2,1.0,55.33,0.25,286469,493.5,0.01,0.0,0.0,0.01,0,0,0.0,7.5,65.405,IMPROVING,AT_RISK
T09,2024-03,GOLD,6,9,3,1.0,16.83,0.3333,54735,453.8,0.0,0.0,0.0,0.0,0,0,0.0,9.999,72.784,IMPROVING,STABLE
T09,2024-04,GOLD,8,12,4,0.875,48.25,0.3333,222458,373.0,0.01,0.0,0.0,0.01,0,1,0.0,14.999,75.143,IMPROVING,STABLE
T09,2024-05,GOLD,7,8,1,1.0,32.57,0.125,141144,443.4,0.0,0.0,0.0,0.0,0,0,0.0,3.75,81.475,IMPROVING,STABLE
T09,2024-06,GOLD,9,11,2,1.0,26.33,0.1818,136801,483.4,0.01,0.0,0.0,0.01,0,1,0.0,5.454,85.396,IMPROVING,HEALTHY
T10,2024-01,SILVER,4,7,3,0.75,83.25,0.4286,203268,408.8,0.01,0.0,0.0,0.01,0,0,0.0,22.858,56.071,IMPROVING,AT_RISK
T10,2024-02,SILVER,6,11,5,1.0,89.67,0.4545,433741,485.5,0.01,0.0,0.0,0.01,1,1,0.0,18.635,60.159,IMPROVING,AT_RISK
T10,2024-03,SILVER,5,9,4,0.8,81.4,0.4444,380110,433.0,0.01,0.0,0.0,0.01,0,0,0.0,21.332,63.414,IMPROVING,AT_RISK
T10,2024-04,SILVER,3,4,1,1.0,22.0,0.25,56117,488.1,0.0,0.0,0.0,0.0,0,0,0.0,7.5,72.14,IMPROVING,STABLE
T10,2024-05,SILVER,5,9,4,1.0,46.2,0.4444,218206,419.6,0.01,0.0,0.0,0.01,0,1,0.0,13.332,76.498,IMPROVING,STABLE
T10,2024-06,SILVER,3,9,6,0.6667,153.33,0.6667,414452,398.4,0.01,0.0,0.29,0.3,1,0,0.1,43.333,26.669,DECLINING,CRITICAL
T11,2024-01,PLATINUM,9,15,6,1.0,28.89,0.4,170760,491.9,0.01,0.0,0.42,0.43,1,0,0.05,15.333,58.067,IMPROVING,AT_RISK
T11,2024-02,PLATINUM,10,17,7,0.9,47.2,0.4118,297703,479.9,0.01,0.0,0.39,0.4,1,2,0.04,19.354,60.941,IMPROVING,AT_RISK
T11,2024-03,PLATINUM,8,11,3,1.0,20.0,0.2727,102683,454.2,0.0,0.0,0.0,0.0,0,0,0.0,8.181,70.204,IMPROVING,STABLE
T11,2024-04,PLATINUM,10,13,3,0.9,45.4,0.2308,505322,481.4,0.03,0.01,0.0,0.04,1,0,0.0,13.924,71.066,STABLE,STABLE
T11,2024-05,PLATINUM,9,11,2,1.0,40.78,0.1818,285663,477.0,0.02,0.0,0.0,0.02,0,1,0.0,5.454,78.11,IMPROVING,STABLE
T11,2024-06,PLATINUM,9,12,3,1.0,19.22,0.25,106690,490.1,0.0,0.0,0.0,0.0,0,0,0.0,7.5,82.427,IMPROVING,STABLE
T12,2024-01,BRONZE,2,7,5,0.0,375.5,0.7143,727482,491.2,0.03,0.0,0.0,0.03,0,0,0.02,61.429,0.0,DECLINING,CRITICAL
T12,2024-02,BRONZE,4,7,3,1.0,66.75,0.4286,169458,375.0,0.01,0.0,0.05,0.06,1,0,0.02,20.358,20.143,IMPROVING,CRITICAL
T12,2024-03,BRONZE,2,4,2,0.5,96.5,0.5,126539,318.5,0.01,0.0,0.0,0.01,0,0,0.0,35.0,35.0,IMPROVING,DEGRADED
T12,2024-04,BRONZE,4,4,0,1.0,13.0,0.0,23123,486.9,0.0,0.0,0.0,0.0,0,2,0.0,0.0,54.5,IMPROVING,AT_RISK
T12,2024-05,BRONZE,3,3,0,1.0,11.33,0.0,19386,204.7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,68.15,IMPROVING,AT_RISK
T12,2024-06,BRONZE,3,4,1,1.0,43.33,0.25,106454,427.4,0.0,0.0,0.0,0.0,0,0,0.0,7.5,75.455,IMPROVING,STABLE
T13,2024-01,GOLD,6,14,8,0.6667,75.0,0.5714,270272,502.2,0.01,0.0,3.19,3.2,2,0,0.53,40.474,29.528,DECLINING,CRITICAL
T13,2024-02,GOLD,8,17,9,0.875,85.5,0.5294,485155,427.7,0.02,0.0,0.0,0.02,1,0,0.0,24.632,44.323,IMPROVING,DEGRADED
T13,2024-03,GOLD,7,13,6,0.7143,51.0,0.4615,281050,500.7,0.01,0.0,0.0,0.01,0,0,0.0,25.273,50.954,IMPROVING,AT_RISK
T13,2024-04,GOLD,7,14,7,0.8571,32.86,0.5,159462,386.7,0.0,0.0,0.0,0.0,0,1,0.0,20.716,60.832,IMPROVING,AT_RISK
T13,2024-05,GOLD,8,9,1,1.0,11.88,0.1111,81021,436.4,0.0,0.0,0.0,0.0,0,1,0.0,3.333,71.582,IMPROVING,STABLE
T13,2024-06,GOLD,8,16,8,0.75,55.75,0.5,269464,462.9,0.01,0.0,0.2,0.21,2,1,0.03,32.5,55.791,DECLINING,AT_RISK
T14,2024-01,SILVER,4,11,7,0.75,126.25,0.6364,363688,467.5,0.01,0.0,1.16,1.17,1,0,0.29,36.592,42.954,DECLINING,DEGRADED
T14,2024-02,SILVER,6,12,6,0.8333,41.67,0.5,186753,487.4,0.01,0.0,3.1,3.11,1,1,0.52,26.668,47.309,IMPROVING,DEGRADED
T14,2024-03,SILVER,7,15,8,0.8571,36.14,0.5333,167925,448.1,0.01,0.0,0.0,0.01,0,1,0.0,21.715,58.51,IMPROVING,AT_RISK
T14,2024-04,SILVER,5,7,2,0.8,22.6,0.2857,66007,479.6,0.0,0.0,0.0,0.0,0,0,0.0,16.571,64.97,IMPROVING,AT_RISK
T14,2024-05,SILVER,5,9,4,0.8,48.6,0.4444,153629,463.8,0.01,0.0,0.0,0.01,0,0,0.0,21.332,65.819,STABLE,AT_RISK
T14,2024-06,SILVER,4,6,2,1.0,24.0,0.3333,72111,460.2,0.0,0.0,0.0,0.0,0,0,0.0,9.999,73.074,IMPROVING,STABLE
T15,2024-01,BRONZE,2,2,0,1.0,14.5,0.0,25981,63.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,65.0,IMPROVING,AT_RISK
T15,2024-02,BRONZE,3,5,2,1.0,22.33,0.4,41347,483.4,0.0,0.0,0.0,0.0,1,0,0.0,22.0,65.9,STABLE,AT_RISK
T15,2024-03,BRONZE,3,3,0,1.0,12.0,0.0,31605,423.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,76.13,IMPROVING,STABLE
T15,2024-04,BRONZE,3,5,2,1.0,195.33,0.4,325497,292.2,0.01,0.0,0.0,0.01,0,1,0.0,12.0,79.691,IMPROVING,STABLE
T15,2024-05,BRONZE,2,4,2,1.0,32.5,0.5,36377,393.1,0.0,0.0,0.0,0.0,0,0,0.0,15.0,81.284,STABLE,STABLE
T15,2024-06,BRONZE,3,6,3,0.6667,105.33,0.5,282173,397.4,0.01,0.0,0.34,0.35,1,0,0.12,38.332,31.67,DECLINING,DEGRADED
