job_id,tenant_id,priority,total_attempts,retry_count,final_status,total_duration_sec,total_exec_sec,total_cpu_ms,peak_mem_mb,sla_breached,breach_seconds,expected_delay_sec,actual_wait_sec,delay_deviation_sec,incident_affected,penalty_amount,error_summary,outcome_class,penalty_tier,penalty_weight
J0028,T05,4,1,0,OK,10.0,6.0,4628,69.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0029,T05,3,2,1,OK,101.0,77.0,51177,337.5,NO,0.0,3.0,15.0,12.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0030,T05,5,1,0,OK,16.0,8.0,13873,262.8,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0031,T05,1,2,1,TIMEOUT,50.0,35.0,17159,377.2,YES,5.0,7.5,9.0,1.5,NO,0.0,E006|E100,TIMEOUT_FAILURE,GRACE,0.0
J0032,T05,5,3,2,REJECT,42.0,7.0,11683,115.6,NO,0.0,20.0,31.0,11.0,NO,0.0,E005|E200,EXHAUSTED,NONE,0.0
J0033,T05,3,3,2,OK,77.0,42.0,58937,450.0,NO,0.0,9.0,22.0,13.0,NO,0.0,E003|E004,SUCCESS,NONE,0.0
J0034,T06,3,1,0,OK,13.0,5.0,7273,188.1,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0035,T06,4,1,0,OK,11.0,4.0,5268,193.8,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0036,T06,4,1,0,OK,10.0,6.0,8839,203.2,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0037,T06,3,2,1,OK,88.0,71.0,61841,183.8,NO,0.0,8.0,12.0,4.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0038,T06,3,2,1,REJECT,24.0,0.0,0,0.0,NO,0.0,8.0,19.0,11.0,NO,0.0,E200,ERROR_FAILURE,NONE,0.0
J0039,T06,3,1,0,OK,13.0,4.0,6465,497.6,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0040,T06,1,3,2,OK,88.0,41.0,66400,511.7,YES,43.0,14.5,36.0,21.5,NO,0.35,E001|E003,DELAYED_SUCCESS,STANDARD,0.4884
J0041,T06,1,1,0,OK,9.0,3.0,4884,0.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0042,T07,3,2,1,OK,111.0,186.0,100636,146.0,NO,0.0,10.0,0.0,-10.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0043,T07,3,4,3,OK,92.0,41.0,45890,488.7,NO,0.0,45.0,43.0,-2.0,NO,0.0,E002|E004|E005,SUCCESS,NONE,0.0
J0044,T07,2,1,0,OK,12.0,3.0,4817,224.0,NO,0.0,0.0,0.0,0.0,YES,0.0,,SUCCESS,NONE,0.0
J0045,T07,5,3,2,OK,56.0,19.0,28438,488.7,NO,0.0,24.0,28.0,4.0,NO,0.0,E004|UNKNOWN,SUCCESS,NONE,0.0
J0046,T07,5,1,0,OK,15.0,10.0,16876,420.6,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0047,T08,4,2,1,OK,39.0,15.0,17196,506.1,NO,0.0,12.0,13.0,1.0,NO,0.0,E003,SUCCESS,NONE,0.0
J0048,T08,2,3,2,OK,70.0,44.0,56649,224.6,NO,0.0,16.0,15.0,-1.0,NO,0.0,E001|UNKNOWN,SUCCESS,NONE,0.0
J0049,T08,4,1,0,OK,8.0,4.0,3365,213.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0050,T08,3,2,1,OK,27.0,7.0,11098,198.8,NO,0.0,10.0,16.0,6.0,YES,0.0,E200,SUCCESS,NONE,0.0
J0051,T09,5,1,0,OK,12.0,4.0,7130,76.6,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0052,T09,2,1,0,OK,8.0,3.0,3412,0.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0053,T09,3,1,0,OK,12.0,7.0,13627,270.5,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0054,T09,5,1,0,OK,15.0,6.0,10769,448.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0055,T09,4,4,3,FAIL,79.0,47.0,59139,500.3,NO,0.0,54.0,28.0,-26.0,NO,0.0,E002|E004|E006|E200,EXHAUSTED,NONE,0.0
J0056,T09,3,4,3,FAIL,171.0,207.0,159735,364.2,NO,0.0,36.0,23.0,-13.0,NO,0.0,E001|E006|E100|UNKNOWN,EXHAUSTED,NONE,0.0
J0057,T09,3,1,0,OK,18.0,9.0,16094,37.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0058,T09,3,1,0,OK,9.0,5.0,9438,334.1,NO,0.0,0.0,0.0,0.0,YES,0.0,,SUCCESS,NONE,0.0
J0059,T10,4,4,3,REJECT,295.0,269.0,165772,408.8,NO,0.0,24.0,19.0,-5.0,NO,0.0,E004|E100|E200|UNKNOWN,EXHAUSTED,NONE,0.0
J0060,T10,3,1,0,OK,11.0,10.0,13255,0.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0061,T10,1,1,0,OK,17.0,12.0,19496,201.6,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0062,T10,2,1,0,OK,10.0,3.0,4745,398.9,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0063,T11,1,1,0,OK,5.0,3.0,4937,403.8,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0064,T11,4,2,1,OK,23.0,4.0,3043,85.2,NO,0.0,10.0,12.0,2.0,NO,0.0,E200,SUCCESS,NONE,0.0
J0065,T11,3,2,1,OK,30.0,18.0,25972,473.1,NO,0.0,3.0,4.0,1.0,NO,0.0,E006,SUCCESS,NONE,0.0
J0066,T11,2,1,0,OK,11.0,5.0,8860,161.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0067,T11,3,1,0,OK,14.0,7.0,6748,196.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0068,T11,3,1,0,OK,19.0,10.0,16777,397.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0069,T11,2,5,4,OK,136.0,75.0,94230,491.9,YES,46.0,30.0,51.0,21.0,NO,0.42,E001|E004|E100,DELAYED_SUCCESS,STANDARD,0.5478
J0070,T11,4,1,0,OK,11.0,2.0,3964,301.5,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0071,T11,3,1,0,OK,11.0,7.0,6229,60.1,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0072,T12,4,4,3,FAIL,216.0,183.0,134533,338.0,NO,0.0,36.0,23.0,-13.0,NO,0.0,E001|E004|E100,EXHAUSTED,NONE,0.0
J0073,T12,5,3,2,TIMEOUT,535.0,510.0,592949,491.2,NO,0.0,30.0,19.0,-11.0,NO,0.0,E005|E006|E100,EXHAUSTED,NONE,0.0
J0074,T13,2,2,1,OK,62.0,41.0,4965,247.9,NO,0.0,3.0,16.0,13.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0075,T13,3,2,1,TIMEOUT,203.0,180.0,109592,502.2,YES,23.0,8.0,18.0,10.0,NO,0.02,E100|E200,TIMEOUT_FAILURE,STANDARD,0.0522
J0076,T13,4,2,1,OK,14.0,4.0,8212,301.4,NO,0.0,12.0,6.0,-6.0,NO,0.0,E200,SUCCESS,NONE,0.0
J0077,T13,3,4,3,FAIL,247.0,260.0,183469,395.2,YES,67.0,36.0,16.0,-20.0,YES,0.19,E006|E100|E200,EXHAUSTED,STANDARD,0.1701
J0078,T13,1,1,0,OK,17.0,12.0,20458,45.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0079,T13,1,6,5,FAIL,140.0,75.0,117286,366.0,YES,95.0,98.7,52.0,-46.7,NO,3.17,E003|E004|E006|UNKNOWN,EXHAUSTED,CRITICAL,2.0021
J0080,T13,5,1,0,OK,14.0,11.0,9759,383.1,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0081,T14,3,2,1,OK,56.0,29.0,28982,182.7,NO,0.0,10.0,17.0,7.0,NO,0.0,E002,SUCCESS,NONE,0.0
J0082,T14,2,5,4,TIMEOUT,223.0,141.0,56080,467.5,YES,133.0,56.0,72.0,16.0,NO,1.16,E004|E006|E100|E200,EXHAUSTED,STANDARD,0.5233
J0083,T14,4,2,1,OK,206.0,188.0,271722,371.7,NO,0.0,8.0,10.0,2.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0084,T14,5,2,1,OK,20.0,6.0,6904,89.7,NO,0.0,12.0,8.0,-4.0,NO,0.0,E200,SUCCESS,NONE,0.0
J0085,T15,2,1,0,OK,16.0,9.0,14123,63.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0086,T15,5,1,0,OK,13.0,11.0,11858,0.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0087,T01,5,1,0,OK,7.0,3.0,0,353.2,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0088,T01,4,4,3,FAIL,555.0,597.0,396575,323.4,YES,195.0,45.0,22.0,-23.0,YES,0.54,E001|E006|E100,EXHAUSTED,STANDARD,0.1662
J0089,T01,3,1,0,OK,12.0,8.0,13450,55.8,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0090,T01,4,1,0,OK,11.0,5.0,0,222.6,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0091,T01,1,5,4,REJECT,93.0,58.0,72731,508.6,YES,48.0,85.7,26.0,-59.7,NO,0.66,E002|E005|E100|E200,ERROR_FAILURE,STANDARD,0.825
J0092,T01,3,1,0,OK,12.0,6.0,9657,342.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0093,T01,5,1,0,OK,7.0,4.0,5823,387.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0094,T01,3,2,1,OK,31.0,21.0,18539,223.7,NO,0.0,3.0,5.0,2.0,NO,0.0,E005,SUCCESS,NONE,0.0
J0095,T01,5,2,1,OK,33.0,9.0,11275,248.1,NO,0.0,10.0,19.0,9.0,NO,0.0,E004,SUCCESS,NONE,0.0
J0096,T01,3,1,0,OK,18.0,12.0,0,280.3,NO,0.0,0.0,0.0,0.0,YES,0.0,,SUCCESS,NONE,0.0
J0097,T02,4,1,0,OK,16.0,8.0,9974,136.6,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0098,T02,5,1,0,OK,12.0,8.0,7049,79.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0099,T02,2,1,0,OK,11.0,4.0,5949,209.8,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0100,T02,3,2,1,OK,30.0,8.0,7299,297.8,NO,0.0,8.0,19.0,11.0,NO,0.0,E200,SUCCESS,NONE,0.0
J0101,T02,3,1,0,OK,8.0,4.0,3433,196.4,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0102,T02,2,4,3,OK,114.0,73.0,88970,319.6,YES,24.0,21.0,32.0,11.0,NO,0.11,E003|E006|E100,DELAYED_SUCCESS,STANDARD,0.275
J0103,T02,5,2,1,OK,29.0,7.0,10651,243.8,NO,0.0,15.0,17.0,2.0,NO,0.0,E200,SUCCESS,NONE,0.0
J0104,T03,3,2,1,OK,29.0,7.0,13489,60.5,NO,0.0,10.0,17.0,7.0,NO,0.0,E200,SUCCESS,NONE,0.0
J0105,T03,1,3,2,OK,71.0,42.0,46516,476.7,YES,26.0,9.0,19.0,10.0,NO,0.15,E004|E100,DELAYED_SUCCESS,STANDARD,0.3462
J0106,T03,4,1,0,OK,6.0,2.0,3964,426.5,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0107,T03,4,1,0,OK,13.0,6.0,7834,63.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0108,T03,3,1,0,OK,16.0,11.0,17297,86.2,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0109,T03,4,3,2,OK,230.0,203.0,159230,448.1,NO,0.0,16.0,19.0,3.0,NO,0.0,E006|E100,SUCCESS,NONE,0.0
J0110,T04,3,4,3,FAIL,144.0,107.0,130804,427.4,NO,0.0,30.0,31.0,1.0,NO,0.0,E004|E006|E100|UNKNOWN,EXHAUSTED,NONE,0.0
J0111,T04,3,2,1,OK,159.0,148.0,139707,494.8,NO,0.0,10.0,4.0,-6.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0112,T04,2,1,0,OK,14.0,9.0,16931,161.1,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0113,T05,4,1,0,OK,14.0,7.0,6913,209.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0114,T05,3,3,2,OK,153.0,196.0,135667,454.5,NO,0.0,9.0,9.0,0.0,YES,0.0,E003|E100,SUCCESS,NONE,0.0
J0115,T05,4,2,1,OK,42.0,16.0,22441,41.3,NO,0.0,10.0,20.0,10.0,NO,0.0,E004,SUCCESS,NONE,0.0
J0116,T05,3,1,0,OK,18.0,11.0,15754,68.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0117,T05,3,1,0,OK,12.0,4.0,6642,305.9,NO,0.0,0.0,0.0,0.0,YES,0.0,,SUCCESS,NONE,0.0
J0118,T05,3,1,0,OK,16.0,11.0,15732,171.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0119,T05,2,3,2,OK,56.0,23.0,28322,329.5,NO,0.0,6.0,24.0,18.0,NO,0.0,E004|E200,SUCCESS,NONE,0.0
J0120,T05,5,2,1,OK,28.0,6.0,10360,171.4,NO,0.0,10.0,18.0,8.0,NO,0.0,E200,SUCCESS,NONE,0.0
J0121,T05,3,4,3,FAIL,47.0,26.0,30637,487.6,NO,0.0,21.0,16.0,-5.0,NO,0.0,E001|E006|E200,EXHAUSTED,NONE,0.0
J0122,T05,2,1,0,OK,16.0,7.0,8990,489.4,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0123,T06,3,1,0,OK,16.0,11.0,12142,412.4,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0124,T06,5,2,1,OK,32.0,9.0,13455,110.1,NO,0.0,15.0,17.0,2.0,NO,0.0,E200,SUCCESS,NONE,0.0
J0125,T06,3,2,1,OK,34.0,17.0,26830,225.3,NO,0.0,8.0,9.0,1.0,NO,0.0,E002,SUCCESS,NONE,0.0
J0126,T06,5,2,1,OK,257.0,239.0,300049,330.6,NO,0.0,15.0,9.0,-6.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0127,T06,5,1,0,OK,14.0,12.0,10310,274.9,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0128,T06,2,2,1,OK,90.0,72.0,79992,465.8,NO,0.0,3.0,13.0,10.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0129,T06,4,1,0,OK,12.0,4.0,5254,317.0,NO,0.0,0.0,0.0,0.0,YES,0.0,,SUCCESS,NONE,0.0
J0130,T07,2,1,0,OK,14.0,11.0,8803,380.8,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0131,T07,4,1,0,OK,7.0,5.0,9394,220.1,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0132,T07,3,1,0,OK,4.0,2.0,2782,455.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0133,T07,1,1,0,OK,17.0,8.0,15190,424.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0134,T07,2,2,1,TIMEOUT,109.0,90.0,40356,393.8,YES,19.0,8.0,15.0,7.0,NO,0.02,E100|E200,TIMEOUT_FAILURE,STANDARD,0.0632
J0135,T08,4,1,0,OK,8.0,4.0,8237,396.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0136,T08,2,2,1,REJECT,16.0,0.0,0,0.0,NO,0.0,8.0,15.0,7.0,NO,0.0,E200,ERROR_FAILURE,NONE,0.0
J0137,T08,5,1,0,OK,10.0,8.0,0,89.1,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0138,T09,4,1,0,OK,8.0,6.0,11082,39.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0139,T09,4,2,1,OK,230.0,216.0,215273,493.5,NO,0.0,12.0,12.0,0.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0140,T09,4,2,1,OK,48.0,23.0,36873,333.4,NO,0.0,12.0,17.0,5.0,NO,0.0,E001,SUCCESS,NONE,0.0
J0141,T09,2,1,0,OK,15.0,8.0,9859,383.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0142,T09,3,1,0,OK,13.0,5.0,4617,211.5,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0143,T09,5,1,0,OK,18.0,10.0,8765,165.4,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0144,T10,5,1,0,OK,15.0,12.0,17291,123.1,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0145,T10,3,1,0,OK,9.0,5.0,5370,347.2,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0146,T10,5,2,1,OK,277.0,255.0,282276,331.4,NO,0.0,12.0,14.0,2.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0147,T10,4,2,1,OK,159.0,136.0,97764,485.5,NO,0.0,8.0,16.0,8.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0148,T10,1,3,2,OK,54.0,25.0,18893,388.6,YES,9.0,9.0,22.0,13.0,NO,0.0,E002|E200,DELAYED_SUCCESS,GRACE,0.0
J0149,T11,1,1,0,OK,16.0,10.0,8755,469.5,NO,0.0,0.0,0.0,0.0,YES,0.0,,SUCCESS,NONE,0.0
J0150,T11,1,1,0,OK,12.0,8.0,12972,71.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0151,T11,5,1,0,OK,12.0,6.0,8456,153.6,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0152,T11,5,1,0,OK,8.0,5.0,9816,471.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0153,T11,5,3,2,OK,67.0,29.0,35466,475.5,NO,0.0,20.0,30.0,10.0,NO,0.0,E003|E005,SUCCESS,NONE,0.0
J0154,T11,2,2,1,OK,39.0,23.0,29590,429.7,NO,0.0,2.0,8.0,6.0,NO,0.0,E001,SUCCESS,NONE,0.0
J0155,T11,4,1,0,OK,18.0,12.0,21127,81.2,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0156,T11,3,4,3,TIMEOUT,253.0,200.0,144842,455.2,YES,73.0,21.0,44.0,23.0,NO,0.39,E004|E005|E100|E200,EXHAUSTED,STANDARD,0.3205
J0157,T11,2,2,1,OK,33.0,11.0,14167,366.3,NO,0.0,2.0,19.0,17.0,NO,0.0,UNKNOWN,SUCCESS,NONE,0.0
J0158,T11,4,1,0,OK,14.0,9.0,12512,479.9,NO,0.0,0.0,0.0,0.0,YES,0.0,,SUCCESS,NONE,0.0
J0159,T12,2,3,2,OK,120.0,78.0,83583,375.0,YES,30.0,16.0,33.0,17.0,NO,0.05,E001|E100,DELAYED_SUCCESS,STANDARD,0.1
J0160,T12,3,2,1,OK,121.0,98.0,58578,218.2,NO,0.0,10.0,17.0,7.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0161,T12,4,1,0,OK,13.0,6.0,12639,300.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0162,T12,3,1,0,OK,13.0,9.0,14658,372.2,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0163,T13,3,3,2,OK,46.0,14.0,19740,329.8,NO,0.0,20.0,20.0,0.0,NO,0.0,E005|UNKNOWN,SUCCESS,NONE,0.0
J0164,T13,3,2,1,OK,35.0,21.0,32242,217.4,NO,0.0,8.0,6.0,-2.0,NO,0.0,E003,SUCCESS,NONE,0.0
J0165,T13,1,2,1,OK,32.0,11.0,18814,158.7,NO,0.0,5.0,15.0,10.0,NO,0.0,E006,SUCCESS,NONE,0.0
J0166,T13,3,4,3,REJECT,192.0,261.0,133614,427.7,YES,12.0,36.0,13.0,-23.0,NO,0.0,E004|E100|E200,EXHAUSTED,GRACE,0.0
J0167,T13,3,2,1,OK,147.0,191.0,77860,255.6,NO,0.0,8.0,0.0,-8.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0168,T13,1,1,0,OK,17.0,9.0,10607,95.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0169,T13,3,1,0,OK,9.0,3.0,4213,383.8,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0170,T13,4,2,1,OK,206.0,179.0,188065,133.6,NO,0.0,12.0,20.0,8.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0171,T14,4,1,0,OK,17.0,9.0,14582,343.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0172,T14,2,1,0,OK,9.0,8.0,10479,487.4,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0173,T14,1,1,0,OK,13.0,9.0,16765,0.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0174,T14,5,1,0,OK,9.0,3.0,4463,369.3,NO,0.0,0.0,0.0,0.0,YES,0.0,,SUCCESS,NONE,0.0
J0175,T14,1,6,5,FAIL,154.0,85.0,111341,321.5,YES,109.0,90.0,56.0,-34.0,NO,3.1,E001|E004|E100,EXHAUSTED,CRITICAL,1.7064
J0176,T14,3,2,1,OK,48.0,28.0,29123,331.5,NO,0.0,10.0,13.0,3.0,NO,0.0,E003,SUCCESS,NONE,0.0
J0177,T15,5,1,0,OK,8.0,5.0,5803,198.6,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0178,T15,3,1,0,OK,10.0,8.0,13110,483.4,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
