attempt_id,job_id,pool_id,attempt_num,queued_at,started_at,ended_at,status,cpu_ms,mem_peak_mb,error_code
A0034,J0021,P06,1,2024-01-07 09:40:33,2024-01-07 09:40:33,2024-01-07 09:40:43,OK,16662,115.4,
A0035,J0022,P05,1,2024-01-04 16:11:22,2024-01-04 16:11:22,2024-01-04 16:11:25,OK,5013,507.3,
A0036,J0023,P04,1,2024-01-12 03:58:38,2024-01-12 03:58:38,2024-01-12 03:58:48,OK,12736,425.0,
A0037,J0024,P07,1,2024-01-26 01:45:38,2024-01-26 01:45:40,2024-01-26 01:45:47,OK,13021,175.2,
A0038,J0025,P09,1,2024-01-15 13:19:24,2024-01-15 13:19:26,2024-01-15 13:21:20,TIMEOUT,139909,468.6,E100
A0039,J0025,P08,2,2024-01-15 13:21:38,2024-01-15 13:21:39,2024-01-15 13:21:48,FAIL,9835,379.7,E002
A0040,J0025,P07,3,2024-01-15 13:21:54,2024-01-15 13:21:56,2024-01-15 13:22:06,OK,14554,496.7,
A0041,J0026,P08,1,2024-01-17 20:07:17,2024-01-17 20:07:17,2024-01-17 20:07:34,FAIL,19082,469.7,E002
A0042,J0026,P08,2,2024-01-17 20:07:47,2024-01-17 20:07:48,2024-01-17 20:07:56,OK,12200,150.8,
A0043,J0027,P08,1,2024-01-16 21:53:57,2024-01-16 21:53:58,2024-01-16 21:54:09,FAIL,8742,66.8,E002
A0044,J0027,P09,2,2024-01-16 21:54:20,2024-01-16 21:54:22,2024-01-16 21:54:38,FAIL,30838,467.8,E003
A0045,J0027,P07,3,2024-01-16 21:54:49,2024-01-16 21:54:52,2024-01-16 21:54:55,OK,4783,328.7,
A0046,J0028,P07,1,2024-01-10 07:31:53,2024-01-10 07:31:53,2024-01-10 07:31:59,OK,4628,69.7,
A0047,J0029,P08,1,2024-01-02 05:38:31,2024-01-02 05:38:32,2024-01-02 05:39:41,TIMEOUT,41758,337.5,E100
A0048,J0029,P08,2,2024-01-02 05:39:56,2024-01-02 05:39:58,2024-01-02 05:40:06,OK,9419,,
A0049,J0030,P09,1,2024-01-28 19:47:05,2024-01-28 19:47:06,2024-01-28 19:47:14,OK,13873,262.8,
A0050,J0031,P08,1,2024-01-28 09:13:12,2024-01-28 09:13:14,2024-01-28 09:13:25,FAIL,17159,189.9,E006
A0051,J0031,P07,2,2024-01-28 09:13:34,2024-01-28 09:13:36,2024-01-28 09:14:00,TIMEOUT,,377.2,E100
A0052,J0032,P09,1,2024-01-09 02:27:12,2024-01-09 02:27:13,2024-01-09 02:27:20,FAIL,11683,115.6,E005
A0053,J0032,P07,2,2024-01-09 02:27:35,2024-01-09 02:27:35,2024-01-09 02:27:35,REJECT,0,0.0,E200
A0054,J0032,P08,3,2024-01-09 02:27:51,2024-01-09 02:27:51,2024-01-09 02:27:51,REJECT,0,0.0,E200
A0055,J0033,P08,1,2024-01-21 01:35:08,2024-01-21 01:35:10,2024-01-21 01:35:30,FAIL,22664,204.4,E003
A0056,J0033,P07,2,2024-01-21 01:35:43,2024-01-21 01:35:44,2024-01-21 01:35:59,FAIL,28684,118.2,E004
A0057,J0033,P08,3,2024-01-21 01:36:08,2024-01-21 01:36:11,2024-01-21 01:36:18,OK,7589,450.0,
A0058,J0034,P07,1,2024-01-07 19:01:44,2024-01-07 19:01:46,2024-01-07 19:01:51,OK,7273,188.1,
A0059,J0035,P09,1,2024-01-24 03:44:29,2024-01-24 03:44:29,2024-01-24 03:44:33,OK,5268,193.8,
A0060,J0036,P07,1,2024-01-01 04:19:10,2024-01-01 04:19:11,2024-01-01 04:19:17,OK,8839,203.2,
A0061,J0037,P09,1,2024-01-17 16:55:47,2024-01-17 16:55:48,2024-01-17 16:56:52,TIMEOUT,49318,59.4,E100
A0062,J0037,P08,2,2024-01-17 16:57:04,2024-01-17 16:57:04,2024-01-17 16:57:11,OK,12523,183.8,
A0063,J0038,P08,1,2024-01-14 11:41:24,2024-01-14 11:41:24,2024-01-14 11:41:24,REJECT,0,0.0,E200
A0064,J0038,P08,2,2024-01-14 11:41:43,2024-01-14 11:41:43,2024-01-14 11:41:43,REJECT,0,0.0,E200
A0065,J0039,P08,1,2024-01-23 11:37:26,2024-01-23 11:37:28,2024-01-23 11:37:32,OK,6465,497.6,
A0066,J0040,P09,1,2024-01-08 05:04:52,2024-01-08 05:04:54,2024-01-08 05:05:13,FAIL,30875,270.6,E001
A0067,J0040,P09,2,2024-01-08 05:05:30,2024-01-08 05:05:31,2024-01-08 05:05:50,FAIL,30645,356.7,E003
A0068,J0040,P08,3,2024-01-08 05:06:09,2024-01-08 05:06:11,2024-01-08 05:06:14,OK,4880,511.7,
A0069,J0041,P07,1,2024-01-09 00:40:29,2024-01-09 00:40:30,2024-01-09 00:40:33,OK,4884,,
A0070,J0042,P12,1,2024-01-02 17:12:47,2024-01-02 17:12:48,,TIMEOUT,92753,,E100
A0071,J0042,P11,2,2024-01-02 17:14:22,2024-01-02 17:14:25,2024-01-02 17:14:31,OK,7883,146.0,
A0072,J0043,P11,1,2024-01-12 05:25:13,2024-01-12 05:25:15,2024-01-12 05:25:26,FAIL,16699,488.7,E002
A0073,J0043,P10,2,2024-01-12 05:25:38,2024-01-12 05:25:38,2024-01-12 05:25:44,FAIL,7919,150.1,E004
A0074,J0043,P12,3,2024-01-12 05:25:57,2024-01-12 05:25:59,2024-01-12 05:26:19,FAIL,15813,126.0,E005
A0075,J0043,P10,4,2024-01-12 05:26:37,2024-01-12 05:26:38,2024-01-12 05:26:42,OK,5459,125.4,
A0076,J0044,P10,1,2024-05-25 05:41:12,2024-05-25 05:41:14,2024-05-25 05:41:17,OK,4817,224.0,
A0077,J0045,P11,1,2024-01-26 10:06:34,2024-01-26 10:06:34,2024-01-26 10:06:42,FAIL,14052,120.9,E004
A0078,J0045,P11,2,2024-01-26 10:06:53,2024-01-26 10:06:55,2024-01-26 10:06:58,FAIL,5834,488.7,
A0079,J0045,P11,3,2024-01-26 10:07:15,2024-01-26 10:07:18,2024-01-26 10:07:26,OK,8552,205.2,
A0080,J0046,P10,1,2024-01-24 15:48:28,2024-01-24 15:48:30,2024-01-24 15:48:40,OK,16876,420.6,
A0081,J0047,P10,1,2024-01-01 22:49:11,2024-01-01 22:49:13,2024-01-01 22:49:20,FAIL,6111,43.3,E003
A0082,J0047,P12,2,2024-01-01 22:49:33,2024-01-01 22:49:35,2024-01-01 22:49:43,OK,11085,506.1,
A0083,J0048,P10,1,2024-01-21 17:02:47,2024-01-21 17:02:49,2024-01-21 17:03:09,FAIL,18938,82.0,
A0084,J0048,P12,2,2024-01-21 17:03:17,2024-01-21 17:03:18,2024-01-21 17:03:32,FAIL,21163,224.6,E001
A0085,J0048,P10,3,2024-01-21 17:03:39,2024-01-21 17:03:41,2024-01-21 17:03:51,OK,16548,65.6,
A0086,J0049,P11,1,2024-01-08 05:07:52,2024-01-08 05:07:53,2024-01-08 05:07:57,OK,3365,213.7,
A0087,J0050,P10,1,2024-05-25 08:44:38,2024-05-25 08:44:38,2024-05-25 08:44:38,REJECT,0,0.0,E200
A0088,J0050,P12,2,2024-05-25 08:44:54,2024-05-25 08:44:54,2024-05-25 08:45:01,OK,11098,198.8,
A0089,J0051,P01,1,2024-01-13 22:27:56,2024-01-13 22:27:58,2024-01-13 22:28:02,OK,7130,76.6,
A0090,J0052,P02,1,2024-01-08 06:31:37,2024-01-08 06:31:37,2024-01-08 06:31:40,OK,3412,,
A0091,J0053,P02,1,2024-01-02 08:00:13,2024-01-02 08:00:15,2024-01-02 08:00:22,OK,13627,270.5,
A0092,J0054,P01,1,2024-01-05 19:41:18,2024-01-05 19:41:20,2024-01-05 19:41:26,OK,10769,448.7,
A0093,J0055,P03,1,2024-01-16 06:51:14,2024-01-16 06:51:14,2024-01-16 06:51:29,FAIL,17999,500.3,E002
A0094,J0055,P01,2,2024-01-16 06:51:46,2024-01-16 06:51:48,2024-01-16 06:52:01,FAIL,12871,463.2,E006
A0095,J0055,P03,3,2024-01-16 06:52:07,2024-01-16 06:52:07,2024-01-16 06:52:07,REJECT,0,0.0,E200
A0096,J0055,P01,4,2024-01-16 06:52:12,2024-01-16 06:52:13,2024-01-16 06:52:32,FAIL,28269,495.6,E004
A0097,J0056,P03,1,2024-01-14 19:17:32,2024-01-14 19:17:33,,TIMEOUT,126246,105.0,E100
A0098,J0056,P03,2,2024-01-14 19:19:26,2024-01-14 19:19:27,2024-01-14 19:19:39,FAIL,19165,329.4,E001
A0099,J0056,P01,3,2024-01-14 19:19:49,2024-01-14 19:19:50,2024-01-14 19:19:58,FAIL,7517,364.2,
A0100,J0056,P03,4,2024-01-14 19:20:11,2024-01-14 19:20:12,2024-01-14 19:20:19,FAIL,6807,346.7,E006
A0101,J0057,P03,1,2024-01-31 04:51:41,2024-01-31 04:51:43,2024-01-31 04:51:52,OK,16094,37.3,
A0102,J0058,P03,1,2024-04-10 08:33:21,2024-04-10 08:33:23,2024-04-10 08:33:28,OK,9438,334.1,
A0103,J0059,P06,1,2024-01-13 03:16:35,2024-01-13 03:16:37,2024-01-13 03:16:42,FAIL,6472,104.0,E004
A0104,J0059,P05,2,2024-01-13 03:16:49,2024-01-13 03:16:50,2024-01-13 03:17:00,FAIL,13121,408.8,
A0105,J0059,P04,3,2024-01-13 03:17:05,2024-01-13 03:17:08,2024-01-13 03:21:22,TIMEOUT,146179,166.1,E100
A0106,J0059,P04,4,2024-01-13 03:21:29,2024-01-13 03:21:29,2024-01-13 03:21:29,REJECT,0,0.0,E200
A0107,J0060,P06,1,2024-01-22 07:48:15,2024-01-22 07:48:15,2024-01-22 07:48:25,OK,13255,,
A0108,J0061,P06,1,2024-01-25 22:42:05,2024-01-25 22:42:05,2024-01-25 22:42:17,OK,19496,201.6,
A0109,J0062,P06,1,2024-01-11 19:14:25,2024-01-11 19:14:25,2024-01-11 19:14:28,OK,4745,398.9,
A0110,J0063,P07,1,2024-01-16 16:30:08,2024-01-16 16:30:09,2024-01-16 16:30:12,OK,4937,403.8,
A0111,J0064,P09,1,2024-01-26 22:49:14,2024-01-26 22:49:14,2024-01-26 22:49:14,REJECT,0,0.0,E200
A0112,J0064,P09,2,2024-01-26 22:49:26,2024-01-26 22:49:28,2024-01-26 22:49:32,OK,3043,85.2,
A0113,J0065,P08,1,2024-01-09 07:58:17,2024-01-09 07:58:19,2024-01-09 07:58:26,FAIL,6706,126.8,E006
A0114,J0065,P07,2,2024-01-09 07:58:30,2024-01-09 07:58:32,2024-01-09 07:58:43,OK,19266,473.1,
A0115,J0066,P09,1,2024-01-13 20:07:51,2024-01-13 20:07:51,2024-01-13 20:07:56,OK,8860,161.3,
A0116,J0067,P09,1,2024-01-13 17:01:33,2024-01-13 17:01:35,2024-01-13 17:01:42,OK,6748,196.3,
A0117,J0068,P08,1,2024-01-05 00:55:09,2024-01-05 00:55:11,2024-01-05 00:55:21,OK,16777,397.3,
A0118,J0069,P07,1,2024-01-10 15:07:04,2024-01-10 15:07:05,2024-01-10 15:07:40,TIMEOUT,49301,347.6,E100
A0119,J0069,P07,2,2024-01-10 15:07:49,2024-01-10 15:07:51,2024-01-10 15:07:57,FAIL,7604,408.2,E004
A0120,J0069,P08,3,2024-01-10 15:08:09,2024-01-10 15:08:09,2024-01-10 15:08:25,FAIL,16354,491.9,E001
A0121,J0069,P09,4,2024-01-10 15:08:40,2024-01-10 15:08:41,2024-01-10 15:08:53,FAIL,10950,217.0,E004
A0122,J0069,P08,5,2024-01-10 15:09:08,2024-01-10 15:09:10,2024-01-10 15:09:16,OK,10021,33.5,
A0123,J0070,P09,1,2024-01-04 12:19:23,2024-01-04 12:19:25,2024-01-04 12:19:27,OK,3964,301.5,
A0124,J0071,P09,1,2024-01-30 23:33:31,2024-01-30 23:33:33,2024-01-30 23:33:40,OK,6229,60.1,
A0125,J0072,P03,1,2024-01-26 05:52:34,2024-01-26 05:52:34,2024-01-26 05:52:43,FAIL,11333,74.5,E004
A0126,J0072,P03,2,2024-01-26 05:52:47,2024-01-26 05:52:49,2024-01-26 05:55:31,TIMEOUT,109036,338.0,E100
A0127,J0072,P03,3,2024-01-26 05:55:37,2024-01-26 05:55:40,2024-01-26 05:55:49,FAIL,14164,314.1,E001
A0128,J0072,P02,4,2024-01-26 05:56:02,2024-01-26 05:56:03,2024-01-26 05:56:06,FAIL,,163.1,E001
A0129,J0073,P02,1,2024-01-19 20:18:44,2024-01-19 20:18:45,2024-01-19 20:18:56,FAIL,14941,240.9,E005
A0130,J0073,P02,2,2024-01-19 20:19:11,2024-01-19 20:19:13,2024-01-19 20:19:25,FAIL,15149,382.2,E006
A0131,J0073,P02,3,2024-01-19 20:19:29,2024-01-19 20:19:29,2024-01-19 20:27:36,TIMEOUT,562859,491.2,E100
A0132,J0074,P12,1,2024-01-10 21:27:09,2024-01-10 21:27:10,2024-01-10 21:27:49,TIMEOUT,,247.9,E100
A0133,J0074,P10,2,2024-01-10 21:28:05,2024-01-10 21:28:06,2024-01-10 21:28:08,OK,4965,,
A0134,J0075,P12,1,2024-01-01 06:05:16,2024-01-01 06:05:16,2024-01-01 06:05:16,REJECT,0,0.0,E200
A0135,J0075,P11,2,2024-01-01 06:05:34,2024-01-01 06:05:37,,TIMEOUT,109592,502.2,E100
A0136,J0076,P10,1,2024-01-05 23:48:21,2024-01-05 23:48:21,2024-01-05 23:48:21,REJECT,0,0.0,E200
A0137,J0076,P10,2,2024-01-05 23:48:27,2024-01-05 23:48:28,2024-01-05 23:48:32,OK,8212,301.4,
A0138,J0077,P12,1,2024-06-08 10:48:47,2024-06-08 10:48:49,2024-06-08 10:50:03,TIMEOUT,100143,237.7,E100
A0139,J0077,P11,2,2024-06-08 10:50:09,2024-06-08 10:50:09,2024-06-08 10:50:09,REJECT,0,0.0,E200
A0140,J0077,P10,3,2024-06-08 10:50:19,2024-06-08 10:50:20,,TIMEOUT,76388,202.9,E100
A0141,J0077,P10,4,2024-06-08 10:52:41,2024-06-08 10:52:42,2024-06-08 10:52:48,FAIL,6938,395.2,E006
A0142,J0078,P11,1,2024-01-08 20:14:25,2024-01-08 20:14:26,2024-01-08 20:14:38,OK,20458,45.0,
A0143,J0079,P11,1,2024-01-30 02:07:44,2024-01-30 02:07:44,2024-01-30 02:07:58,FAIL,25315,214.6,E003
A0144,J0079,P12,2,2024-01-30 02:08:09,2024-01-30 02:08:11,2024-01-30 02:08:19,FAIL,13801,309.2,
A0145,J0079,P10,3,2024-01-30 02:08:27,2024-01-30 02:08:30,2024-01-30 02:08:42,FAIL,11934,366.0,E004
A0146,J0079,P12,4,2024-01-30 02:08:48,2024-01-30 02:08:50,2024-01-30 02:08:56,FAIL,8268,319.1,
A0147,J0079,P12,5,2024-01-30 02:09:12,2024-01-30 02:09:14,2024-01-30 02:09:34,FAIL,35559,88.5,
A0148,J0079,P10,6,2024-01-30 02:09:45,2024-01-30 02:09:48,2024-01-30 02:10:03,FAIL,22409,111.7,E006
A0149,J0080,P12,1,2024-01-27 22:26:05,2024-01-27 22:26:07,2024-01-27 22:26:18,OK,9759,383.1,
A0150,J0081,P09,1,2024-01-09 19:37:55,2024-01-09 19:37:57,2024-01-09 19:38:16,FAIL,28982,182.7,E002
A0151,J0081,P08,2,2024-01-09 19:38:33,2024-01-09 19:38:35,2024-01-09 19:38:45,OK,,147.1,
A0152,J0082,P09,1,2024-01-09 18:46:19,2024-01-09 18:46:21,2024-01-09 18:47:03,TIMEOUT,,,E100
A0153,J0082,P09,2,2024-01-09 18:47:23,2024-01-09 18:47:25,2024-01-09 18:47:30,FAIL,5666,,E006
A0154,J0082,P07,3,2024-01-09 18:47:48,2024-01-09 18:47:48,2024-01-09 18:47:48,REJECT,0,0.0,E200
A0155,J0082,P07,4,2024-01-09 18:48:03,2024-01-09 18:48:04,2024-01-09 18:48:08,FAIL,7138,228.0,E004
A0156,J0082,P07,5,2024-01-09 18:48:27,2024-01-09 18:48:30,,TIMEOUT,43276,467.5,E100
A0157,J0083,P08,1,2024-01-23 01:55:51,2024-01-23 01:55:52,2024-01-23 01:58:49,TIMEOUT,260611,85.1,E100
A0158,J0083,P07,2,2024-01-23 01:58:59,2024-01-23 01:59:00,2024-01-23 01:59:11,OK,11111,371.7,
A0159,J0084,P07,1,2024-01-03 09:18:12,2024-01-03 09:18:12,2024-01-03 09:18:12,REJECT,0,0.0,E200
A0160,J0084,P09,2,2024-01-03 09:18:20,2024-01-03 09:18:22,2024-01-03 09:18:28,OK,6904,89.7,
A0161,J0085,P06,1,2024-01-01 23:51:30,2024-01-01 23:51:31,2024-01-01 23:51:40,OK,14123,63.0,
A0162,J0086,P06,1,2024-01-02 08:45:22,2024-01-02 08:45:23,2024-01-02 08:45:34,OK,11858,,
A0163,J0087,P01,1,2024-02-18 20:20:08,2024-02-18 20:20:08,2024-02-18 20:20:11,OK,,353.2,
A0164,J0088,P01,1,2024-06-20 14:33:53,2024-06-20 14:33:55,,TIMEOUT,253439,323.4,E100
A0165,J0088,P01,2,2024-06-20 14:38:38,2024-06-20 14:38:39,2024-06-20 14:41:59,TIMEOUT,120984,216.6,E100
A0166,J0088,P02,3,2024-06-20 14:42:13,2024-06-20 14:42:15,2024-06-20 14:42:34,FAIL,22152,227.3,E006
A0167,J0088,P01,4,2024-06-20 14:42:42,2024-06-20 14:42:44,2024-06-20 14:43:02,FAIL,,257.4,E001
A0168,J0089,P01,1,2024-02-17 02:39:16,2024-02-17 02:39:17,2024-02-17 02:39:25,OK,13450,55.8,
A0169,J0090,P01,1,2024-02-20 00:25:43,2024-02-20 00:25:44,2024-02-20 00:25:49,OK,,222.6,
A0170,J0091,P03,1,2024-02-09 16:23:23,2024-02-09 16:23:25,2024-02-09 16:23:50,TIMEOUT,29576,508.6,E100
A0171,J0091,P02,2,2024-02-09 16:23:55,2024-02-09 16:23:56,2024-02-09 16:24:12,FAIL,28643,354.1,E005
A0172,J0091,P01,3,2024-02-09 16:24:25,2024-02-09 16:24:25,2024-02-09 16:24:25,REJECT,0,0.0,E200
A0173,J0091,P03,4,2024-02-09 16:24:28,2024-02-09 16:24:31,2024-02-09 16:24:48,FAIL,14512,450.4,E002
A0174,J0091,P02,5,2024-02-09 16:24:53,2024-02-09 16:24:53,2024-02-09 16:24:53,REJECT,0,0.0,E200
A0175,J0092,P02,1,2024-02-08 19:48:36,2024-02-08 19:48:38,2024-02-08 19:48:44,OK,9657,342.3,
A0176,J0093,P02,1,2024-02-13 09:13:20,2024-02-13 09:13:20,2024-02-13 09:13:24,OK,5823,387.7,
A0177,J0094,P01,1,2024-02-03 15:29:41,2024-02-03 15:29:42,2024-02-03 15:29:53,FAIL,9581,223.7,E005
A0178,J0094,P01,2,2024-02-03 15:29:58,2024-02-03 15:30:00,2024-02-03 15:30:10,OK,8958,217.9,
A0179,J0095,P01,1,2024-02-04 02:44:55,2024-02-04 02:44:56,2024-02-04 02:45:03,FAIL,8638,248.1,E004
A0180,J0095,P03,2,2024-02-04 02:45:22,2024-02-04 02:45:25,2024-02-04 02:45:27,OK,2637,45.2,
A0181,J0096,P01,1,2024-06-20 06:53:09,2024-06-20 06:53:11,2024-06-20 06:53:23,OK,,280.3,
A0182,J0097,P03,1,2024-02-11 14:30:32,2024-02-11 14:30:34,2024-02-11 14:30:42,OK,9974,136.6,
A0183,J0098,P01,1,2024-02-01 03:48:46,2024-02-01 03:48:48,2024-02-01 03:48:56,OK,7049,79.7,
A0184,J0099,P03,1,2024-02-11 09:50:55,2024-02-11 09:50:56,2024-02-11 09:51:00,OK,5949,209.8,
A0185,J0100,P01,1,2024-02-03 22:05:05,2024-02-03 22:05:05,2024-02-03 22:05:05,REJECT,0,0.0,E200
A0186,J0100,P01,2,2024-02-03 22:05:24,2024-02-03 22:05:25,2024-02-03 22:05:33,OK,7299,297.8,
A0187,J0101,P03,1,2024-02-22 20:58:25,2024-02-22 20:58:26,2024-02-22 20:58:30,OK,3433,196.4,
A0188,J0102,P01,1,2024-02-12 10:38:06,2024-02-12 10:38:06,2024-02-12 10:38:17,FAIL,16368,266.7,E003
A0189,J0102,P03,2,2024-02-12 10:38:33,2024-02-12 10:38:35,2024-02-12 10:39:28,TIMEOUT,58969,128.6,E100
A0190,J0102,P01,3,2024-02-12 10:39:32,2024-02-12 10:39:34,2024-02-12 10:39:40,FAIL,7936,319.6,E006
A0191,J0102,P02,4,2024-02-12 10:39:52,2024-02-12 10:39:54,2024-02-12 10:39:57,OK,5697,164.4,
A0192,J0103,P02,1,2024-02-12 05:16:53,2024-02-12 05:16:53,2024-02-12 05:16:53,REJECT,0,0.0,E200
A0193,J0103,P03,2,2024-02-12 05:17:10,2024-02-12 05:17:12,2024-02-12 05:17:19,OK,10651,243.8,
A0194,J0104,P04,1,2024-02-25 18:49:19,2024-02-25 18:49:19,2024-02-25 18:49:19,REJECT,0,0.0,E200
A0195,J0104,P06,2,2024-02-25 18:49:36,2024-02-25 18:49:38,2024-02-25 18:49:45,OK,13489,60.5,
A0196,J0105,P06,1,2024-02-17 16:32:34,2024-02-17 16:32:35,2024-02-17 16:33:00,TIMEOUT,28142,476.7,E100
A0197,J0105,P05,2,2024-02-17 16:33:03,2024-02-17 16:33:06,2024-02-17 16:33:21,FAIL,14199,175.7,E004
A0198,J0105,P06,3,2024-02-17 16:33:37,2024-02-17 16:33:40,2024-02-17 16:33:42,OK,4175,356.9,
A0199,J0106,P04,1,2024-02-07 06:02:04,2024-02-07 06:02:04,2024-02-07 06:02:06,OK,3964,426.5,
A0200,J0107,P06,1,2024-02-01 03:34:08,2024-02-01 03:34:08,2024-02-01 03:34:14,OK,7834,63.7,
A0201,J0108,P05,1,2024-02-03 13:59:17,2024-02-03 13:59:17,2024-02-03 13:59:28,OK,17297,86.2,
A0202,J0109,P05,1,2024-02-28 15:38:01,2024-02-28 15:38:03,2024-02-28 15:38:09,FAIL,12100,224.6,E006
A0203,J0109,P06,2,2024-02-28 15:38:15,2024-02-28 15:38:16,2024-02-28 15:41:30,TIMEOUT,140675,339.4,E100
A0204,J0109,P04,3,2024-02-28 15:41:43,2024-02-28 15:41:46,2024-02-28 15:41:49,OK,6455,448.1,
A0205,J0110,P05,1,2024-02-08 21:51:21,2024-02-08 21:51:22,2024-02-08 21:51:30,FAIL,9356,302.4,E004
A0206,J0110,P06,2,2024-02-08 21:51:35,2024-02-08 21:51:37,2024-02-08 21:52:45,TIMEOUT,94362,427.4,E100
A0207,J0110,P04,3,2024-02-08 21:52:53,2024-02-08 21:52:53,2024-02-08 21:53:05,FAIL,10009,164.6,E006
A0208,J0110,P05,4,2024-02-08 21:53:23,2024-02-08 21:53:24,2024-02-08 21:53:43,FAIL,17077,,
A0209,J0111,P05,1,2024-02-19 08:26:37,2024-02-19 08:26:38,2024-02-19 08:28:54,TIMEOUT,119219,494.8,E100
A0210,J0111,P05,2,2024-02-19 08:28:58,2024-02-19 08:29:00,2024-02-19 08:29:12,OK,20488,356.4,
A0211,J0112,P04,1,2024-02-21 20:42:17,2024-02-21 20:42:17,2024-02-21 20:42:26,OK,16931,161.1,
A0212,J0113,P09,1,2024-02-05 09:16:42,2024-02-05 09:16:43,2024-02-05 09:16:50,OK,6913,209.0,
A0213,J0114,P09,1,2024-03-18 06:37:16,2024-03-18 06:37:17,,TIMEOUT,110023,454.5,E100
A0214,J0114,P07,2,2024-03-18 06:39:17,2024-03-18 06:39:18,2024-03-18 06:39:27,FAIL,18614,,E003
A0215,J0114,P07,3,2024-03-18 06:39:36,2024-03-18 06:39:38,2024-03-18 06:39:45,OK,7030,52.6,
