job_id,tenant_id,priority,submitted_at,sla_seconds,max_retries
J0053,T09,3,2024-01-02 08:00:10,180,3
J0054,T09,5,2024-01-05 19:41:11,720,2
J0055,T09,4,2024-01-16 06:51:13,360,3
J0056,T09,3,2024-01-14 19:17:28,180,3
J0057,T09,3,2024-01-31 04:51:34,180,3
J0058,T09,3,2024-04-10 08:33:19,180,3
J0059,T10,4,2024-01-13 03:16:34,360,3
J0060,T10,3,2024-01-22 07:48:14,180,3
J0061,T10,1,2024-01-25 22:42:00,45,5
J0062,T10,2,2024-01-11 19:14:18,90,4
J0063,T11,1,2024-01-16 16:30:07,45,5
J0064,T11,4,2024-01-26 22:49:09,360,3
J0065,T11,3,2024-01-09 07:58:13,180,3
J0066,T11,2,2024-01-13 20:07:45,90,4
J0067,T11,3,2024-01-13 17:01:28,180,3
J0068,T11,3,2024-01-05 00:55:02,180,3
J0069,T11,2,2024-01-10 15:07:00,90,4
J0070,T11,4,2024-01-04 12:19:16,360,3
J0071,T11,3,2024-01-30 23:33:29,180,3
J0072,T12,4,2024-01-26 05:52:30,360,3
J0073,T12,5,2024-01-19 20:18:41,720,2
J0074,T13,2,2024-01-10 21:27:06,90,4
J0075,T13,3,2024-01-01 06:05:14,180,3
J0076,T13,4,2024-01-05 23:48:18,360,3
J0077,T13,3,2024-06-08 10:48:41,180,3
J0078,T13,1,2024-01-08 20:14:21,45,5
J0079,T13,1,2024-01-30 02:07:43,45,5
J0080,T13,5,2024-01-27 22:26:04,720,2
J0081,T14,3,2024-01-09 19:37:49,180,3
J0082,T14,2,2024-01-09 18:46:17,90,4
J0083,T14,4,2024-01-23 01:55:45,360,3
J0084,T14,5,2024-01-03 09:18:08,720,2
J0085,T15,2,2024-01-01 23:51:24,90,4
J0086,T15,5,2024-01-02 08:45:21,720,2
J0087,T01,5,2024-02-18 20:20:04,720,2
J0088,T01,4,2024-06-20 14:33:47,360,3
J0089,T01,3,2024-02-17 02:39:13,180,3
J0090,T01,4,2024-02-20 00:25:38,360,3
J0091,T01,1,2024-02-09 16:23:20,45,5
J0092,T01,3,2024-02-08 19:48:32,180,3
J0093,T01,5,2024-02-13 09:13:17,720,2
J0094,T01,3,2024-02-03 15:29:39,180,3
J0095,T01,5,2024-02-04 02:44:54,720,2
J0096,T01,3,2024-06-20 06:53:05,180,3
J0097,T02,4,2024-02-11 14:30:26,360,3
J0098,T02,5,2024-02-01 03:48:44,720,2
J0099,T02,2,2024-02-11 09:50:49,90,4
J0100,T02,3,2024-02-03 22:05:03,180,3
J0101,T02,3,2024-02-22 20:58:22,180,3
J0102,T02,2,2024-02-12 10:38:03,90,4
J0103,T02,5,2024-02-12 05:16:50,720,2
J0104,T03,3,2024-02-25 18:49:16,180,3
J0105,T03,1,2024-02-17 16:32:31,45,5
J0106,T03,4,2024-02-07 06:02:00,360,3
J0107,T03,4,2024-02-01 03:34:01,360,3
J0108,T03,3,2024-02-03 13:59:12,180,3
J0109,T03,4,2024-02-28 15:37:59,360,3
J0110,T04,3,2024-02-08 21:51:19,180,3
J0111,T04,3,2024-02-19 08:26:33,180,3
J0112,T04,2,2024-02-21 20:42:12,90,4
J0113,T05,4,2024-02-05 09:16:36,360,3
J0114,T05,3,2024-03-18 06:37:12,180,3
J0115,T05,4,2024-02-17 21:53:09,360,3
J0116,T05,3,2024-02-04 05:00:19,180,3
J0117,T05,3,2024-05-12 18:12:37,180,3
J0118,T05,3,2024-02-21 03:12:06,180,3
J0119,T05,2,2024-02-27 03:39:02,90,4
J0120,T05,5,2024-02-25 09:58:44,720,2
J0121,T05,3,2024-02-15 08:45:49,180,3
J0122,T05,2,2024-02-11 12:49:10,90,4
J0123,T06,3,2024-02-11 04:24:17,180,3
J0124,T06,5,2024-02-02 16:42:42,720,2
J0125,T06,3,2024-02-22 21:43:08,180,3
J0126,T06,5,2024-02-13 09:35:08,720,2
J0127,T06,5,2024-02-29 19:52:26,720,2
J0128,T06,2,2024-02-09 04:57:00,90,4
J0129,T06,4,2024-05-12 23:42:43,360,3
J0130,T07,2,2024-02-25 03:57:14,90,4
J0131,T07,4,2024-02-24 09:03:02,360,3
J0132,T07,3,2024-02-09 21:05:36,180,3
J0133,T07,1,2024-02-04 11:37:50,45,5
J0134,T07,2,2024-02-19 13:56:47,90,4
J0135,T08,4,2024-02-09 16:10:31,360,3
J0136,T08,2,2024-02-01 18:35:16,90,4
J0137,T08,5,2024-02-25 16:33:58,720,2
J0138,T09,4,2024-02-15 12:54:00,360,3
J0139,T09,4,2024-02-03 07:13:57,360,3
J0140,T09,4,2024-02-19 11:15:58,360,3
J0141,T09,2,2024-02-08 00:48:11,90,4
J0142,T09,3,2024-02-22 23:58:32,180,3
J0143,T09,5,2024-02-13 19:53:06,720,2
J0144,T10,5,2024-02-09 07:25:28,720,2
J0145,T10,3,2024-02-17 16:11:06,180,3
J0146,T10,5,2024-02-11 22:38:26,720,2
J0147,T10,4,2024-02-06 08:58:35,360,3
J0148,T10,1,2024-02-04 06:48:08,45,5
J0149,T11,1,2024-02-20 18:25:05,45,5
J0150,T11,1,2024-02-01 13:04:42,45,5
J0151,T11,5,2024-02-10 17:37:18,720,2
J0152,T11,5,2024-02-08 18:45:41,720,2
J0153,T11,5,2024-02-18 23:58:20,720,2
J0154,T11,2,2024-02-29 04:48:09,90,4
J0155,T11,4,2024-02-23 13:31:54,360,3
J0156,T11,3,2024-02-19 12:34:38,180,3
J0157,T11,2,2024-02-15 18:35:33,90,4
J0158,T11,4,2024-02-21 00:41:52,360,3
J0159,T12,2,2024-02-26 16:06:12,90,4
J0160,T12,3,2024-02-09 06:13:28,180,3
J0161,T12,4,2024-02-15 19:56:48,360,3
J0162,T12,3,2024-02-19 02:53:13,180,3
J0163,T13,3,2024-02-02 16:08:27,180,3
J0164,T13,3,2024-02-26 03:41:36,180,3
J0165,T13,1,2024-02-02 17:11:50,45,5
J0166,T13,3,2024-02-22 09:38:52,180,3
J0167,T13,3,2024-02-06 15:26:19,180,3
J0168,T13,1,2024-02-28 15:52:34,45,5
J0169,T13,3,2024-02-26 02:02:15,180,3
J0170,T13,4,2024-02-29 10:24:19,360,3
J0171,T14,4,2024-02-27 22:53:17,360,3
J0172,T14,2,2024-02-19 00:06:03,90,4
J0173,T14,1,2024-02-18 15:32:54,45,5
J0174,T14,5,2024-02-20 18:46:04,720,2
J0175,T14,1,2024-02-26 16:19:51,45,5
J0176,T14,3,2024-02-13 03:36:25,180,3
J0177,T15,5,2024-02-01 22:30:30,720,2
J0178,T15,3,2024-02-12 07:16:14,180,3
J0179,T15,1,2024-02-21 17:12:15,45,5
J0180,T01,4,2024-03-27 05:37:55,360,3
J0181,T01,5,2024-03-08 22:07:56,720,2
J0182,T01,3,2024-03-05 19:24:40,180,3
J0183,T01,4,2024-03-17 19:51:12,360,3
J0184,T01,5,2024-03-23 13:07:07,720,2
J0185,T01,2,2024-03-21 20:47:54,90,4
J0186,T01,2,2024-03-15 11:32:44,90,4
J0187,T01,5,2024-03-06 21:49:37,720,2
J0188,T02,2,2024-03-06 22:36:50,90,4
J0189,T02,4,2024-03-23 13:18:57,360,3
J0190,T02,3,2024-01-29 05:25:16,180,3
J0191,T02,3,2024-01-29 05:13:50,180,3
J0192,T02,5,2024-03-23 15:54:47,720,2
J0193,T02,2,2024-04-10 06:57:10,90,4
J0194,T02,3,2024-03-11 15:43:46,180,3
J0195,T03,1,2024-03-21 22:36:55,45,5
J0196,T03,5,2024-03-09 06:30:57,720,2
J0197,T03,5,2024-04-02 18:33:39,720,2
J0198,T03,3,2024-03-29 14:53:26,180,3
J0199,T04,3,2024-03-26 14:04:25,180,3
J0200,T04,1,2024-03-12 22:14:18,45,5
J0201,T04,5,2024-03-12 07:23:16,720,2
J0202,T04,2,2024-03-28 15:03:44,90,4
J0203,T05,4,2024-03-13 22:04:29,360,3
J0204,T05,2,2024-03-26 08:36:09,90,4
J0205,T05,5,2024-03-04 16:40:18,720,2
J0206,T05,3,2024-03-30 01:44:55,180,3
J0207,T05,2,2024-03-30 01:11:56,90,4
J0208,T05,3,2024-03-06 11:42:46,180,3
J0209,T05,4,2024-03-31 07:06:46,360,3
J0210,T05,3,2024-03-04 20:07:04,180,3
J0211,T05,3,2024-03-02 12:42:53,180,3
J0212,T06,4,2024-03-20 08:31:03,360,3
J0213,T06,5,2024-03-13 09:08:41,720,2
J0214,T06,4,2024-03-31 20:31:01,360,3
J0215,T06,5,2024-03-11 23:00:10,720,2
J0216,T06,2,2024-03-08 17:42:10,90,4
J0217,T06,3,2024-03-30 19:37:27,180,3
J0218,T06,2,2024-03-22 15:44:21,90,4
J0219,T06,3,2024-03-12 08:09:31,180,3
J0220,T07,2,2024-03-04 12:35:21,90,4
J0221,T07,3,2024-04-15 21:58:30,180,3
J0222,T07,2,2024-03-11 00:52:30,90,4
J0223,T07,4,2024-03-01 02:59:34,360,3
J0224,T07,5,2024-03-27 12:42:12,720,2
J0225,T08,3,2024-03-19 22:42:12,180,3
J0226,T08,2,2024-03-26 09:26:10,90,4
J0227,T08,5,2024-03-08 07:58:51,720,2
J0228,T09,3,2024-03-19 20:36:45,180,3
J0229,T09,3,2024-03-13 22:49:27,180,3
J0230,T09,1,2024-03-28 16:02:15,45,5
J0231,T09,1,2024-03-23 09:06:21,45,5
J0232,T09,5,2024-06-20 02:36:04,720,2
J0233,T09,1,2024-03-08 23:18:35,45,5
J0234,T09,3,2024-03-30 21:10:01,180,3
J0235,T10,5,2024-03-13 05:05:43,720,2
J0236,T10,4,2024-03-22 06:08:53,360,3
J0237,T10,4,2024-03-09 12:21:31,360,3
J0238,T10,3,2024-03-19 02:07:07,180,3
J0239,T10,3,2024-03-16 08:59:13,180,3
J0240,T11,3,2024-03-10 10:15:45,180,3
J0241,T11,5,2024-03-18 12:42:13,720,2
J0242,T11,3,2024-03-20 00:03:45,180,3
J0243,T11,3,2024-03-05 19:53:17,180,3
J0244,T11,4,2024-03-28 00:18:27,360,3
J0245,T11,4,2024-03-30 22:59:53,360,3
J0246,T11,5,2024-03-25 08:00:05,720,2
J0247,T11,3,2024-03-01 20:56:38,180,3
J0248,T12,1,2024-04-10 07:23:58,45,5
J0249,T12,5,2024-03-28 16:27:40,720,2
J0250,T12,3,2024-03-02 07:02:54,180,3
J0251,T13,3,2024-03-25 12:05:20,180,3
J0252,T13,1,2024-03-13 09:30:40,45,5
J0253,T13,5,2024-03-24 12:11:36,720,2
J0254,T13,1,2024-03-13 01:24:12,45,5
J0255,T13,4,2024-03-15 11:54:34,360,3
J0256,T13,3,2024-03-08 18:07:17,180,3
J0257,T13,3,2024-03-24 10:25:50,180,3
J0258,T13,4,2024-05-25 12:17:41,360,3
J0259,T14,2,2024-03-07 11:22:40,90,4
J0260,T14,4,2024-03-30 14:12:40,360,3
J0261,T14,3,2024-03-25 01:17:53,180,3
J0262,T14,3,2024-03-05 13:24:55,180,3
J0263,T14,4,2024-03-11 16:15:57,360,3
J0264,T14,3,2024-03-22 21:33:54,180,3
J0265,T15,2,2024-03-02 22:49:41,90,4
J0266,T15,5,2024-03-18 22:53:50,720,2
J0267,T15,2,2024-03-26 00:03:45,90,4
J0268,T01,2,2024-04-06 19:23:26,90,4
J0269,T01,5,2024-04-20 18:40:41,720,2
J0270,T01,2,2024-01-28 23:31:10,90,4
J0271,T01,3,2024-04-05 11:05:21,180,3
J0272,T01,1,2024-06-20 15:30:20,45,5
J0273,T01,4,2024-04-01 15:22:37,360,3
J0274,T01,3,2024-04-07 02:57:31,180,3
J0275,T01,2,2024-04-10 18:46:41,90,4
J0276,T01,3,2024-04-24 04:56:01,180,3
J0277,T01,2,2024-04-05 12:17:16,90,4
J0278,T02,3,2024-04-26 13:27:48,180,3
J0279,T02,2,2024-04-26 13:06:32,90,4
J0280,T02,4,2024-04-03 22:11:39,360,3
J0281,T02,2,2024-04-12 19:58:53,90,4
J0282,T02,1,2024-04-16 06:58:04,45,5
J0283,T02,2,2024-01-15 11:38:01,90,4
J0284,T02,3,2024-04-04 09:12:33,180,3
J0285,T03,2,2024-04-29 18:10:56,90,4
J0286,T03,2,2024-04-04 09:11:13,90,4
J0287,T03,3,2024-04-01 05:37:53,180,3
J0288,T03,3,2024-04-10 23:07:20,180,3
J0289,T03,3,2024-04-12 15:41:26,180,3
J0290,T04,3,2024-04-02 19:34:50,180,3
J0291,T04,1,2024-04-20 16:10:01,45,5
J0292,T04,5,2024-04-13 08:52:45,720,2
J0293,T04,2,2024-04-21 05:00:03,90,4
J0294,T05,3,2024-04-24 08:07:36,180,3
J0295,T05,2,2024-04-22 03:30:17,90,4
J0296,T05,4,2024-04-30 22:33:40,360,3
J0297,T05,2,2024-04-10 00:38:31,90,4
J0298,T05,3,2024-04-06 22:21:03,180,3
J0299,T05,1,2024-05-13 00:01:08,45,5
J0300,T05,2,2024-04-20 18:44:43,90,4
J0301,T05,3,2024-04-13 06:04:57,180,3
J0302,T06,3,2024-04-19 03:49:32,180,3
J0303,T06,3,2024-04-22 04:55:20,180,3
J0304,T06,3,2024-04-09 07:02:24,180,3
J0305,T06,5,2024-04-23 05:50:52,720,2
J0306,T06,3,2024-04-30 03:18:16,180,3
J0307,T06,5,2024-04-28 08:14:27,720,2
J0308,T06,4,2024-04-10 14:58:58,360,3
J0309,T07,5,2024-04-18 11:07:53,720,2
J0310,T07,4,2024-04-08 18:34:17,360,3
J0311,T07,3,2024-04-22 22:47:19,180,3
J0312,T07,5,2024-04-12 17:41:37,720,2
J0313,T07,2,2024-04-29 11:28:47,90,4
J0314,T07,4,2024-04-10 08:26:12,360,3
J0315,T08,3,2024-04-24 11:24:39,180,3
J0316,T08,3,2024-04-05 10:06:52,180,3
J0317,T08,1,2024-04-05 18:30:09,45,5
J0318,T09,5,2024-04-30 12:40:15,720,2
J0319,T09,2,2024-04-27 06:41:46,90,4
J0320,T09,2,2024-04-09 21:57:50,90,4
J0321,T09,4,2024-04-18 00:34:34,360,3
J0322,T09,3,2024-04-22 20:48:46,180,3
J0323,T09,4,2024-04-01 15:36:02,360,3
J0324,T09,4,2024-04-06 20:07:50,360,3
J0325,T10,3,2024-02-10 04:28:20,180,3
J0326,T10,3,2024-04-24 12:25:28,180,3
J0327,T10,3,2024-04-27 13:01:24,180,3
J0328,T10,4,2024-04-26 05:52:01,360,3
J0329,T11,2,2024-04-22 11:44:25,90,4
J0330,T11,4,2024-04-19 21:14:15,360,3
J0331,T11,2,2024-04-11 17:33:38,90,4
J0332,T11,2,2024-04-16 14:01:40,90,4
J0333,T11,2,2024-04-18 21:01:20,90,4
J0334,T11,2,2024-04-14 16:36:01,90,4
J0335,T11,2,2024-04-09 18:58:36,90,4
J0336,T11,5,2024-04-17 04:44:41,720,2
J0337,T11,4,2024-04-15 05:55:41,360,3
J0338,T11,4,2024-04-19 17:41:37,360,3
J0339,T12,5,2024-04-09 09:31:32,720,2
J0340,T12,3,2024-04-30 02:45:03,180,3
J0341,T13,4,2024-04-12 14:01:31,360,3
J0342,T13,4,2024-04-21 05:42:59,360,3
J0343,T13,1,2024-04-08 18:49:41,45,5
J0344,T13,1,2024-04-11 22:32:42,45,5
J0345,T13,2,2024-04-02 16:05:45,90,4
J0346,T13,2,2024-04-26 05:13:21,90,4
J0347,T14,5,2024-04-21 08:09:52,720,2
J0348,T14,2,2024-04-03 09:55:58,90,4
J0349,T14,4,2024-04-11 03:04:00,360,3
J0350,T14,2,2024-04-22 03:10:54,90,4
J0351,T14,1,2024-04-06 18:39:25,45,5
J0352,T15,4,2024-04-27 07:57:51,360,3
J0353,T15,5,2024-04-11 22:56:01,720,2
J0354,T01,2,2024-05-01 00:50:04,90,4
J0355,T01,4,2024-05-27 17:14:35,360,3
J0356,T01,3,2024-01-29 03:35:49,180,3
J0357,T01,2,2024-05-03 23:36:33,90,4
J0358,T01,3,2024-05-31 16:15:06,180,3
J0359,T01,2,2024-05-09 05:23:26,90,4
J0360,T01,3,2024-05-01 04:05:44,180,3
J0361,T01,4,2024-05-24 09:31:16,360,3
J0362,T02,2,2024-05-05 08:59:34,90,4
J0363,T02,3,2024-05-26 11:01:19,180,3
J0364,T02,1,2024-05-14 21:09:34,45,5
J0365,T02,4,2024-05-25 20:09:42,360,3
J0366,T02,5,2024-05-28 13:07:08,720,2
J0367,T02,3,2024-05-31 01:05:21,180,3
J0368,T02,5,2024-05-08 06:22:20,720,2
J0369,T03,4,2024-05-08 09:53:44,360,3
J0370,T03,3,2024-05-28 04:02:43,180,3
J0371,T03,5,2024-05-29 06:45:33,720,2
J0372,T03,4,2024-05-12 18:38:54,360,3
J0373,T03,4,2024-04-02 13:16:16,360,3
J0374,T04,4,2024-05-19 00:42:51,360,3
J0375,T04,2,2024-05-03 17:06:14,90,4
J0376,T04,2,2024-05-09 00:59:48,90,4
J0377,T04,1,2024-05-17 10:53:35,45,5
J0378,T05,4,2024-05-03 12:51:30,360,3
J0379,T05,3,2024-05-09 08:33:44,180,3
J0380,T05,2,2024-05-28 14:30:39,90,4
J0381,T05,2,2024-05-30 15:07:22,90,4
J0382,T05,4,2024-05-24 23:07:37,360,3
J0383,T05,2,2024-05-07 09:47:11,90,4
J0384,T05,4,2024-05-11 09:55:56,360,3
J0385,T05,3,2024-05-27 21:43:33,180,3
J0386,T05,4,2024-05-27 05:19:33,360,3
J0387,T06,4,2024-05-27 08:46:33,360,3
J0388,T06,3,2024-05-19 14:05:15,180,3
J0389,T06,2,2024-05-04 20:36:51,90,4
J0390,T06,4,2024-05-09 11:34:03,360,3
J0391,T06,1,2024-05-13 05:45:39,45,5
J0392,T06,3,2024-05-09 00:00:50,180,3
J0393,T06,3,2024-05-29 01:54:21,180,3
J0394,T06,3,2024-05-25 18:32:01,180,3
J0395,T07,2,2024-05-25 13:23:02,90,4
J0396,T07,3,2024-05-10 10:59:05,180,3
J0397,T07,3,2024-05-09 23:24:14,180,3
J0398,T07,5,2024-05-26 11:37:10,720,2
J0399,T07,5,2024-05-18 06:14:17,720,2
J0400,T08,4,2024-05-01 01:55:00,360,3
J0401,T08,3,2024-05-01 00:23:13,180,3
J0402,T08,5,2024-05-02 15:37:45,720,2
J0403,T09,4,2024-05-19 00:55:57,360,3
J0404,T09,5,2024-05-01 08:19:52,720,2
J0405,T09,3,2024-05-19 15:46:06,180,3
J0406,T09,3,2024-05-24 03:36:03,180,3
J0407,T09,4,2024-05-03 06:09:00,360,3
J0408,T09,3,2024-05-23 06:55:22,180,3
J0409,T09,3,2024-05-28 05:36:30,180,3
J0410,T10,5,2024-05-30 15:21:11,720,2
J0411,T10,3,2024-05-10 21:19:00,180,3
J0412,T10,4,2024-05-09 09:07:20,360,3
J0413,T10,3,2024-05-01 03:35:53,180,3
J0414,T11,2,2024-05-02 01:31:41,90,4
J0415,T11,5,2024-05-18 18:46:37,720,2
J0416,T11,1,2024-05-09 13:50:30,45,5
J0417,T11,5,2024-05-29 18:48:05,720,2
J0418,T11,5,2024-05-19 09:40:35,720,2
J0419,T11,1,2024-05-12 23:12:45,45,5
J0420,T11,1,2024-05-04 02:09:46,45,5
J0421,T11,5,2024-05-18 19:46:13,720,2
J0422,T11,4,2024-05-14 10:51:07,360,3
J0423,T12,1,2024-04-10 08:19:33,45,5
J0424,T12,3,2024-05-26 20:01:09,180,3
J0425,T12,2,2024-05-24 12:58:46,90,4
J0426,T12,3,2024-05-21 16:42:48,180,3
J0427,T13,5,2024-05-13 14:06:14,720,2
J0428,T13,4,2024-05-25 19:53:23,360,3
J0429,T13,3,2024-05-23 07:15:53,180,3
J0430,T13,4,2024-05-03 09:48:38,360,3
J0431,T13,3,2024-05-03 14:36:54,180,3
J0432,T13,3,2024-05-21 15:08:12,180,3
J0433,T13,4,2024-05-08 22:44:14,360,3
J0434,T14,3,2024-05-12 10:11:17,180,3
J0435,T14,5,2024-05-05 08:34:18,720,2
J0436,T14,5,2024-05-16 14:25:46,720,2
J0437,T14,5,2024-05-23 16:07:27,720,2
J0438,T14,3,2024-05-17 06:22:31,180,3
J0439,T15,2,2024-04-02 13:23:17,90,4
J0440,T15,3,2024-05-24 11:03:46,180,3
J0441,T15,5,2024-05-09 12:57:02,720,2
J0442,T01,3,2024-06-21 00:31:51,180,3
J0443,T01,3,2024-06-20 11:40:19,180,3
J0444,T01,4,2024-06-19 23:25:44,360,3
J0445,T01,5,2024-06-27 17:53:00,720,2
J0446,T01,4,2024-06-27 10:04:56,360,3
J0447,T01,4,2024-06-15 01:23:13,360,3
J0448,T01,2,2024-04-10 06:39:47,90,4
J0449,T01,1,2024-06-27 17:51:13,45,5
J0450,T01,5,2024-06-30 20:59:12,720,2
J0451,T02,4,2024-06-25 16:47:07,360,3
J0452,T02,3,2024-06-17 11:59:19,180,3
J0453,T02,3,2024-06-09 21:11:16,180,3
J0454,T02,2,2024-06-12 13:30:31,90,4
J0455,T02,4,2024-06-19 04:45:48,360,3
J0456,T02,5,2024-06-24 00:43:35,720,2
J0457,T02,2,2024-06-27 01:41:43,90,4
J0458,T02,3,2024-06-11 03:58:35,180,3
J0459,T03,4,2024-06-21 19:17:42,360,3
J0460,T03,3,2024-06-21 19:50:52,180,3
J0461,T03,3,2024-06-21 11:00:02,180,3
J0462,T03,5,2024-06-28 02:00:51,720,2
J0463,T04,3,2024-06-17 11:54:50,180,3
J0464,T04,3,2024-06-13 19:09:23,180,3
J0465,T05,2,2024-06-28 17:31:55,90,4
J0466,T05,5,2024-06-25 04:37:33,720,2
J0467,T05,4,2024-06-02 00:49:23,360,3
J0468,T05,3,2024-06-21 06:19:07,180,3
J0469,T05,2,2024-06-06 16:59:24,90,4
J0470,T05,2,2024-06-27 10:15:58,90,4
J0471,T05,5,2024-06-05 22:39:18,720,2
J0472,T05,4,2024-06-06 08:06:13,360,3
J0473,T06,5,2024-06-27 12:07:55,720,2
J0474,T06,3,2024-02-20 22:01:37,180,3
J0475,T06,2,2024-06-17 22:53:35,90,4
J0476,T06,3,2024-06-13 12:46:45,180,3
J0477,T06,1,2024-06-03 02:06:35,45,5
J0478,T06,3,2024-06-01 09:27:56,180,3
J0479,T07,1,2024-06-15 21:03:29,45,5
J0480,T07,3,2024-06-01 07:31:21,180,3
J0481,T07,3,2024-06-04 10:07:08,180,3
J0482,T07,3,2024-06-16 14:47:07,180,3
J0483,T07,4,2024-06-01 15:04:57,360,3
J0484,T07,3,2024-06-21 00:58:18,180,3
J0485,T08,4,2024-06-23 00:15:23,360,3
J0486,T08,3,2024-06-08 10:40:39,180,3
J0487,T08,4,2024-06-11 10:31:17,360,3
J0488,T08,3,2024-06-25 03:24:47,180,3
J0489,T09,4,2024-06-19 21:15:17,360,3
J0490,T09,3,2024-06-02 09:47:54,180,3
J0491,T09,4,2024-06-08 02:16:01,360,3
J0492,T09,4,2024-06-26 16:23:27,360,3
J0493,T09,3,2024-06-17 08:26:54,180,3
J0494,T09,5,2024-06-10 00:50:18,720,2
J0495,T09,4,2024-06-26 22:44:42,360,3
J0496,T09,2,2024-06-01 17:26:52,90,4
J0497,T10,2,2024-06-13 05:14:15,90,4
J0498,T10,3,2024-05-01 11:06:30,180,3
J0499,T10,2,2024-06-02 17:40:01,90,4
J0500,T10,4,2024-06-29 16:25:55,360,3
J0501,T11,4,2024-06-25 20:45:02,360,3
J0502,T11,2,2024-06-25 11:12:27,90,4
J0503,T11,2,2024-06-30 14:58:20,90,4
J0504,T11,2,2024-06-01 01:22:40,90,4
J0505,T11,1,2024-06-04 21:21:12,45,5
J0506,T11,5,2024-06-10 18:56:57,720,2
J0507,T11,3,2024-06-04 18:01:38,180,3
J0508,T11,4,2024-06-25 12:58:25,360,3
J0509,T11,4,2024-06-22 04:58:03,360,3
J0510,T12,3,2024-06-17 04:57:05,180,3
J0511,T12,5,2024-06-02 16:40:16,720,2
J0512,T12,4,2024-06-18 07:18:54,360,3
J0513,T13,2,2024-06-11 18:28:52,90,4
J0514,T13,2,2024-06-18 04:17:25,90,4
J0515,T13,2,2024-06-03 00:17:36,90,4
J0516,T13,3,2024-06-25 20:58:04,180,3
J0517,T13,3,2024-04-15 14:29:12,180,3
J0518,T13,4,2024-06-05 15:40:06,360,3
J0519,T13,4,2024-06-06 17:50:10,360,3
J0520,T13,1,2024-06-05 04:59:11,45,5
J0521,T14,5,2024-03-18 11:49:22,720,2
J0522,T14,3,2024-06-21 12:41:49,180,3
J0523,T14,2,2024-06-13 15:54:25,90,4
J0524,T14,3,2024-06-27 23:24:15,180,3
J0525,T14,2,2024-06-27 23:34:38,90,4
J0526,T15,5,2024-06-13 11:50:45,720,2
J0527,T15,3,2024-06-27 23:47:04,180,3
J0528,T15,1,2024-06-27 03:39:50,45,5
