tenant_id,tier_id,billing_period,total_requests,total_tokens,overage_requests,overage_tokens,base_cost,overage_cost,penalty_cost,total_due,violation_count
T0026,STARTER,2025-01-01 to 2025-01-03,123,72145,0,0,0.97,0.0,0.0,0.97,0
T0027,STARTER,2025-01-01 to 2025-01-03,129,69462,0,0,0.97,0.0,0.0,0.97,0
T0028,STARTER,2025-01-01 to 2025-01-03,118,118097,0,10714,0.97,0.02,20.0,20.99,7
T0029,STARTER,2025-01-01 to 2025-01-03,118,102097,0,4101,0.97,0.01,35.0,35.98,10
T0030,STARTER,2025-01-01 to 2025-01-03,117,102664,0,0,0.97,0.0,0.0,0.97,0
T0031,STARTER,2025-01-01 to 2025-01-03,115,77359,0,0,0.97,0.0,0.0,0.97,0
T0032,STARTER,2025-01-01 to 2025-01-03,124,69012,0,0,0.97,0.0,0.0,0.97,0
T0033,STARTER,2025-01-01 to 2025-01-03,121,62800,0,0,0.97,0.0,0.0,0.97,0
T0034,STARTER,2025-01-01 to 2025-01-03,109,48020,0,0,0.97,0.0,0.0,0.97,0
T0035,STARTER,2025-01-01 to 2025-01-03,117,86631,0,0,0.97,0.0,0.0,0.97,0
T0036,STARTER,2025-01-01 to 2025-01-03,113,75786,0,0,0.97,0.0,0.0,0.97,0
T0037,STARTER,2025-01-01 to 2025-01-03,127,84047,0,162,0.97,0.0,0.0,0.97,1
T0038,STARTER,2025-01-01 to 2025-01-03,131,56117,0,0,0.97,0.0,0.0,0.97,0
T0039,STARTER,2025-01-01 to 2025-01-03,121,92957,0,0,0.97,0.0,0.0,0.97,0
T0040,STARTER,2025-01-01 to 2025-01-03,121,60197,0,0,0.97,0.0,0.0,0.97,0
T0041,PROFESSIONAL,2025-01-01 to 2025-01-03,102,73227,0,0,4.84,0.0,0.0,4.84,0
T0042,PROFESSIONAL,2025-01-01 to 2025-01-03,124,112823,0,0,4.84,0.0,0.0,4.84,0
T0043,PROFESSIONAL,2025-01-01 to 2025-01-03,116,129061,0,0,4.84,0.0,0.0,4.84,0
T0044,PROFESSIONAL,2025-01-01 to 2025-01-03,145,98109,0,0,4.84,0.0,0.0,4.84,0
T0045,PROFESSIONAL,2025-01-01 to 2025-01-03,118,75819,0,0,4.84,0.0,0.0,4.84,0
T0046,PROFESSIONAL,2025-01-01 to 2025-01-03,111,54523,0,0,4.84,0.0,0.0,4.84,0
T0047,PROFESSIONAL,2025-01-01 to 2025-01-03,118,95963,0,0,4.84,0.0,0.0,4.84,0
T0048,PROFESSIONAL,2025-01-01 to 2025-01-03,123,49633,0,0,4.84,0.0,0.0,4.84,0
T0049,PROFESSIONAL,2025-01-01 to 2025-01-03,121,157202,0,0,4.84,0.0,0.0,4.84,0
T0050,PROFESSIONAL,2025-01-01 to 2025-01-03,125,55179,0,0,4.84,0.0,0.0,4.84,0
T0051,BUSINESS,2025-01-01 to 2025-01-03,119,133394,0,0,19.36,0.0,0.0,19.36,0
T0052,BUSINESS,2025-01-01 to 2025-01-03,126,83996,0,0,19.36,0.0,0.0,19.36,0
T0053,BUSINESS,2025-01-01 to 2025-01-03,307,403972,0,0,19.36,0.0,0.0,19.36,0
T0054,BUSINESS,2025-01-01 to 2025-01-03,333,249081,0,0,19.36,0.0,0.0,19.36,0
T0055,BUSINESS,2025-01-01 to 2025-01-03,103,148637,0,0,19.36,0.0,0.0,19.36,0
T0056,BUSINESS,2025-01-01 to 2025-01-03,114,81434,0,0,19.36,0.0,0.0,19.36,0
T0057,ENTERPRISE,2025-01-01 to 2025-01-03,108,130623,0,0,96.8,0.0,0.0,96.8,0
T0058,ENTERPRISE,2025-01-01 to 2025-01-03,300,374308,0,0,96.8,0.0,0.0,96.8,0
T0059,ENTERPRISE,2025-01-01 to 2025-01-03,97,153949,0,0,96.8,0.0,0.0,96.8,0
T0060,ENTERPRISE,2025-01-01 to 2025-01-03,107,140802,0,0,96.8,0.0,0.0,96.8,0
