facility_id,month,total_kwh,valid_reading_days,peak_kwh,shoulder_kwh,offpeak_kwh,energy_cost,month_peak_demand,ratchet_demand,billed_demand,demand_charge,power_factor,pf_adjustment,solar_credit,equipment_surcharge,overhead_cost,total_bill,cost_grade,consecutive_penalty_months,facility_efficiency_score
F002,2024-05,57370.1,26,20189.566,16778.219,20402.315,8535.42,526.8,526.8,526.8,7570.12,0.8862,158.97,214.11,460.91,1288.44,17799.75,OVER_DEMAND,4,1.562
F002,2024-06,56126.8,25,19304.194,16338.106,20484.5,8291.24,561.5,561.5,561.5,8068.75,0.8866,157.34,221.47,458.09,1308.8,18062.75,OVER_DEMAND,5,0.781
F003,2024-01,39232.3,27,10424.417,13578.253,15229.63,5105.2,422.1,422.1,422.1,5824.98,0.9355,0.0,162.02,117.42,874.41,11759.99,OVER_DEMAND,0,25.0
F003,2024-02,43463.5,27,12294.983,15388.877,15779.64,5759.69,419.3,419.3,419.3,5786.34,0.9538,-20.83,227.39,141.11,923.68,12362.6,OVER_DEMAND,1,12.5
F003,2024-03,40393.2,28,11261.118,14244.342,14887.74,5330.73,432.9,432.9,432.9,5974.02,0.9406,0.0,195.65,138.6,904.38,12152.08,OVER_DEMAND,2,6.25
F003,2024-04,40269.2,25,11604.467,14367.698,14297.035,5366.56,438.8,438.8,438.8,6055.44,0.95,-0.0,224.6,147.58,913.76,12258.74,OVER_DEMAND,3,3.125
F003,2024-05,51662.5,24,17619.674,16257.626,17785.2,8157.07,468.0,468.0,468.0,7427.16,0.964,-93.58,233.21,236.56,1246.74,16740.74,OVER_DEMAND,4,1.562
F003,2024-06,47338.3,29,14909.794,14648.841,17779.665,7295.27,474.4,474.4,474.4,7528.73,0.9574,-47.43,227.14,222.51,1185.92,15957.86,OVER_DEMAND,5,0.781
F004,2024-01,57323.3,28,17262.228,18485.282,21575.79,6682.24,393.2,393.2,393.2,4679.08,0.8723,183.42,0.0,173.74,568.07,12286.55,OVER_DEMAND,0,25.0
F004,2024-02,54662.9,26,17016.679,17831.556,19814.665,6437.82,419.4,419.4,419.4,4990.86,0.8768,160.71,0.0,180.26,571.43,12341.08,OVER_DEMAND,1,12.5
F004,2024-03,67394.8,31,21308.808,22175.902,23910.09,7979.49,438.4,438.4,438.4,5216.96,0.868,233.72,0.0,237.39,659.82,14327.38,OVER_DEMAND,2,6.25
F004,2024-04,68575.0,25,20830.5,22235.95,25508.55,8017.8,428.5,428.5,428.5,5099.15,0.9229,0.0,0.0,254.57,655.85,14027.37,OVER_DEMAND,3,3.125
F004,2024-05,68961.9,30,25404.931,18761.874,24795.095,9594.36,462.3,462.3,462.3,6324.26,0.8868,115.1,0.0,321.41,795.93,17151.06,OVER_DEMAND,4,1.562
F004,2024-06,61387.9,24,23275.688,16846.717,21265.495,8625.29,471.0,471.0,471.0,6443.28,0.9027,0.0,0.0,306.2,753.43,16128.2,OVER_DEMAND,5,0.781
F005,2024-01,72699.9,27,21210.34,24157.78,27331.78,9075.5,329.3,329.3,329.3,4116.25,0.9613,-36.22,203.74,158.82,1055.34,14165.95,EFFICIENT,0,56.92
F005,2024-02,65750.4,25,19212.18,21876.18,24662.04,8212.43,345.0,345.0,345.0,4312.5,0.9586,-31.05,174.26,158.09,1001.99,13479.7,EFFICIENT,0,62.761
F005,2024-03,76840.8,27,23529.32,26053.04,27258.44,9735.7,354.0,354.0,354.0,4425.0,0.9684,-63.72,214.96,206.88,1132.86,15221.76,STANDARD,0,67.873
F005,2024-04,72284.2,26,22417.35,24493.56,25373.29,9188.02,365.8,365.8,365.8,4572.5,0.968,-65.84,196.53,213.62,1100.84,14812.61,STANDARD,0,72.212
F005,2024-05,75636.9,28,26469.094,22081.186,27086.62,11232.73,534.5,534.5,534.5,7680.76,0.9602,-61.45,210.18,280.82,1513.08,20435.76,OVER_DEMAND,0,36.106
F005,2024-06,73573.9,28,24597.874,21310.811,27665.215,10775.92,386.3,427.6,427.6,6144.61,0.9705,-103.23,264.02,288.26,1353.64,18195.18,STANDARD,0,45.248
F006,2024-01,46385.8,30,12043.295,15945.59,18396.915,5997.92,493.6,493.6,493.6,6811.68,0.8964,0.0,230.93,227.92,1717.09,14523.68,OVER_DEMAND,0,25.0
F006,2024-02,44121.0,26,12480.268,15604.752,16035.98,5845.87,503.6,503.6,503.6,6949.68,0.8976,0.0,146.2,225.07,1710.85,14585.27,OVER_DEMAND,1,12.5
F006,2024-03,54305.7,30,15054.673,19142.477,20108.55,7156.51,521.7,521.7,521.7,7199.46,0.9307,0.0,211.46,280.89,1937.42,16362.82,OVER_DEMAND,2,6.25
F006,2024-04,44624.6,27,12939.776,15946.994,15737.83,5957.6,536.0,536.0,536.0,7396.8,0.8979,0.0,199.62,238.3,1781.26,15174.34,OVER_DEMAND,3,3.125
F006,2024-05,53108.1,28,17520.125,16548.26,19039.715,8296.81,531.3,531.3,531.3,8431.73,0.9205,0.0,238.07,338.1,2256.32,19084.89,OVER_DEMAND,4,1.562
F006,2024-06,48087.1,23,15434.122,14924.428,17728.55,7451.7,567.2,567.2,567.2,9001.46,0.918,0.0,206.19,309.25,2197.93,18754.15,OVER_DEMAND,5,0.781
F007,2024-01,45459.7,27,13229.222,14518.383,17712.095,5246.16,339.8,339.8,339.8,4043.62,0.8788,118.88,0.0,272.8,464.49,10145.95,OVER_DEMAND,0,25.0
F007,2024-02,45913.9,27,13931.909,14873.496,17108.495,5366.05,229.1,271.8,271.8,3234.42,0.8854,67.92,0.0,291.11,430.02,9389.52,LOW_EFFICIENCY,1,50.416
F007,2024-03,47287.3,26,14579.008,15466.577,17241.715,5556.8,236.4,271.8,271.8,3234.42,0.8931,31.7,0.0,313.96,439.56,9576.44,LOW_EFFICIENCY,2,65.974
F007,2024-04,50308.4,28,15875.549,16494.496,17938.355,5950.57,242.6,271.8,271.8,3234.42,0.8748,113.2,0.0,351.08,459.25,10108.52,LOW_EFFICIENCY,3,74.576
F007,2024-05,53498.9,30,19668.504,14555.891,19274.505,7438.47,281.5,281.5,281.5,3850.92,0.8737,140.17,0.0,457.47,564.47,12451.5,LOW_EFFICIENCY,4,79.694
F007,2024-06,53805.5,24,20113.454,14726.696,18965.35,7524.42,250.2,250.2,250.2,3422.74,0.8932,33.54,0.0,479.68,547.36,12007.74,LOW_EFFICIENCY,5,83.544
F008,2024-01,48321.1,27,12681.419,16666.261,18973.42,6266.7,315.9,315.9,315.9,4359.42,0.9007,0.0,0.0,37.6,1463.13,12126.85,STANDARD,0,56.01
F008,2024-02,52870.5,27,14734.262,18623.673,19512.565,6975.75,320.8,320.8,320.8,4427.04,0.8994,0.0,0.0,50.57,1577.6,13030.96,STANDARD,0,61.1
F008,2024-03,56939.6,30,15680.192,20000.973,21258.435,7487.99,325.1,325.1,325.1,4486.38,0.9199,0.0,0.0,65.52,1661.56,13701.45,STANDARD,0,65.734
F008,2024-04,54241.5,27,15790.524,19403.301,19047.675,7249.67,365.5,365.5,365.5,5043.9,0.9076,0.0,0.0,72.5,1692.72,14058.79,STANDARD,0,69.488
F008,2024-05,58411.3,25,19441.658,18226.727,20742.915,9149.76,337.9,337.9,337.9,5362.47,0.9276,0.0,0.0,105.22,2015.96,16633.41,STANDARD,0,72.979
F008,2024-06,54242.2,24,16985.126,16761.759,20495.315,8344.67,354.0,354.0,354.0,5617.98,0.9228,0.0,0.0,108.48,1925.86,15996.99,STANDARD,0,75.874
F009,2024-01,22454.0,24,6255.845,7751.445,8446.71,3142.25,399.0,399.0,399.0,5785.5,0.9106,0.0,190.05,61.27,446.39,9245.36,OVER_DEMAND,0,25.0
F009,2024-02,22469.4,24,6861.861,7940.844,7666.695,3227.39,391.0,391.0,391.0,5669.5,0.8801,0.0,204.77,67.78,444.84,9204.74,OVER_DEMAND,1,12.5
F009,2024-03,27155.6,26,7301.567,9372.333,10481.7,3767.85,409.1,409.1,409.1,5931.95,0.9078,0.0,236.19,85.72,484.99,10034.32,OVER_DEMAND,2,6.25
F009,2024-04,25034.5,28,7579.813,8834.912,8619.775,3587.2,419.4,419.4,419.4,6081.3,0.8876,0.0,277.41,86.99,483.43,9961.51,OVER_DEMAND,3,3.125
F009,2024-05,25848.8,27,8808.756,7810.079,9229.965,4318.78,436.4,436.4,436.4,7274.79,0.9091,0.0,319.79,112.29,579.68,11965.75,OVER_DEMAND,4,1.562
F009,2024-06,24949.2,29,8081.696,7486.569,9380.935,4106.4,451.6,451.6,451.6,7528.17,0.8827,0.0,307.86,109.85,581.73,12018.29,OVER_DEMAND,5,0.781
F010,2024-01,40736.9,30,10973.384,14146.766,15616.75,5320.66,233.8,233.8,233.8,3226.44,0.9123,0.0,199.75,247.41,1185.27,9780.03,STANDARD,0,56.184
F010,2024-02,29990.2,23,8555.802,10633.183,10801.215,3983.33,235.5,235.5,235.5,3249.9,0.9161,0.0,151.75,191.2,987.49,8260.17,STANDARD,0,61.498
F010,2024-03,40432.0,27,10855.753,14132.262,15443.985,5281.31,248.4,248.4,248.4,3427.92,0.9304,0.0,187.42,261.42,1203.55,9986.78,STANDARD,0,66.229
F010,2024-04,41292.5,28,11902.503,14733.797,14656.2,5503.37,254.6,254.6,254.6,3513.48,0.9398,0.0,203.72,280.67,1247.12,10340.92,STANDARD,0,70.392
F010,2024-05,42115.9,28,13981.834,13153.746,14980.32,6593.04,262.7,262.7,262.7,4169.05,0.9369,0.0,249.58,346.13,1489.24,12347.88,OVER_DEMAND,0,35.196
F010,2024-06,41594.2,26,13069.017,12869.363,15655.82,6405.73,261.6,261.6,261.6,4151.59,0.9368,0.0,263.64,345.91,1459.05,12098.64,OVER_DEMAND,1,17.598
F011,2024-01,28128.8,28,9065.128,9269.382,9794.29,3348.39,362.6,362.6,362.6,4314.94,0.9267,0.0,159.59,14.23,383.17,7901.14,OVER_DEMAND,0,25.0
F011,2024-02,21688.9,25,6594.799,7045.766,8048.335,2537.12,372.2,372.2,372.2,4429.18,0.9067,0.0,159.49,12.05,348.32,7167.18,OVER_DEMAND,1,12.5
F011,2024-03,29287.0,27,9090.54,9594.385,10602.075,3448.45,389.9,389.9,389.9,4639.81,0.9334,0.0,178.55,18.97,404.41,8333.09,OVER_DEMAND,2,6.25
F011,2024-04,26235.1,24,8091.926,8535.654,9607.52,3081.19,374.3,374.3,374.3,4454.17,0.9297,0.0,184.01,18.49,376.77,7746.61,OVER_DEMAND,3,3.125
F011,2024-05,31645.1,28,11417.681,8584.199,11643.22,4373.38,409.8,409.8,409.8,5606.06,0.9454,0.0,249.52,28.43,498.97,10257.32,OVER_DEMAND,4,1.562
F011,2024-06,27398.8,25,10070.808,7475.752,9852.24,3810.42,417.2,417.2,417.2,5707.3,0.9415,0.0,227.47,27.63,475.89,9793.77,OVER_DEMAND,5,0.781
F012,2024-01,44218.9,28,13533.294,14334.661,16350.945,5180.11,521.6,521.6,521.6,6207.04,0.9235,0.0,180.95,3.89,910.97,12121.06,OVER_DEMAND,0,25.0
F012,2024-02,46162.8,22,14496.523,15119.452,16546.825,5452.35,547.5,547.5,547.5,6515.25,0.9313,0.0,138.87,10.9,957.41,12797.04,OVER_DEMAND,1,12.5
F012,2024-03,39989.4,26,12265.904,13063.826,14659.67,4692.06,568.1,568.1,568.1,6760.39,0.9001,0.0,196.8,16.42,916.2,12188.27,OVER_DEMAND,2,6.25
F012,2024-04,42392.9,30,13308.049,13862.001,15222.85,5005.53,578.0,578.0,578.0,6878.2,0.9166,0.0,196.87,23.78,950.7,12661.34,OVER_DEMAND,3,3.125
F012,2024-05,47355.0,26,17235.274,12865.356,17254.37,6562.91,602.7,602.7,602.7,8244.94,0.9304,0.0,255.35,39.38,1184.63,15776.51,OVER_DEMAND,4,1.562
F012,2024-06,42855.8,23,15730.202,11690.183,15435.415,5957.31,579.6,579.6,579.6,7928.93,0.9187,0.0,227.68,44.68,1110.9,14814.14,OVER_DEMAND,5,0.781
F013,2024-01,32139.3,30,9095.684,11134.476,11909.14,4516.93,187.0,187.0,187.0,2711.5,0.9054,0.0,0.0,93.73,578.27,7900.43,STANDARD,0,56.081
F013,2024-02,23711.4,22,6680.971,8227.049,8803.38,3329.48,135.5,149.6,149.6,2169.2,0.8824,0.0,0.0,74.08,439.89,6012.65,STANDARD,0,60.905
F013,2024-03,27561.9,27,7973.187,9609.008,9979.705,3897.84,138.4,149.6,149.6,2169.2,0.8878,0.0,0.0,91.6,485.36,6644.0,STANDARD,0,65.086
F013,2024-04,29816.7,26,9309.354,10576.236,9931.11,4309.57,156.3,156.3,156.3,2266.35,0.8852,0.0,0.0,106.66,526.07,7208.65,STANDARD,0,68.601
F013,2024-05,32087.9,28,10357.342,9599.978,12130.58,5274.51,146.3,146.3,146.3,2438.82,0.9032,0.0,0.0,137.14,617.07,8467.54,STANDARD,0,71.859
F013,2024-06,32309.8,25,10247.096,9673.279,12389.425,5285.87,151.7,151.7,151.7,2528.84,0.9178,0.0,0.0,145.36,625.18,8585.25,STANDARD,0,74.847
F014,2024-01,37721.9,27,11332.555,12656.8,13732.545,4749.76,224.7,224.7,224.7,2808.75,0.8614,164.31,0.0,45.12,604.68,8372.62,LOW_EFFICIENCY,0,64.456
F014,2024-02,36360.9,28,10600.98,12090.66,13669.26,4538.72,233.1,233.1,233.1,2913.75,0.8576,183.57,0.0,49.93,596.2,8282.17,LOW_EFFICIENCY,1,72.978
F014,2024-03,41121.9,29,12459.505,13909.375,14753.02,5194.42,236.0,236.0,236.0,2950.0,0.9053,0.0,0.0,62.33,651.55,8858.3,OVER_DEMAND,2,36.489
F014,2024-04,41279.6,28,12420.73,13874.71,14984.16,5200.94,228.3,228.3,228.3,2853.75,0.8736,111.3,0.0,67.61,644.38,8877.98,LOW_EFFICIENCY,3,56.837
F014,2024-05,42374.4,30,14565.982,12331.078,15477.34,6258.47,248.8,248.8,248.8,3575.26,0.872,150.16,0.0,90.75,786.7,10861.34,OVER_DEMAND,4,28.418
F014,2024-06,42625.9,30,14522.586,12397.634,15705.68,6279.28,258.5,258.5,258.5,3714.64,0.882,100.3,0.0,97.33,799.51,10991.06,OVER_DEMAND,5,14.209
F015,2024-01,19788.8,27,5920.413,6367.877,7500.51,2302.24,148.3,148.3,148.3,1764.77,0.8982,4.94,160.46,103.6,679.12,4694.21,LOW_EFFICIENCY,0,65.928
F015,2024-02,18415.9,22,5779.769,6020.961,6615.17,2174.27,152.4,152.4,152.4,1813.56,0.9187,0.0,161.21,99.47,663.4,4589.49,STANDARD,0,69.819
F015,2024-03,19990.1,26,6218.396,6552.124,7219.58,2355.32,156.5,156.5,156.5,1862.35,0.8965,10.43,184.05,109.52,703.31,4856.88,LOW_EFFICIENCY,0,77.751
F015,2024-04,20582.4,28,6469.124,6727.601,7385.675,2430.97,161.2,161.2,161.2,1918.28,0.9068,0.0,192.65,115.47,725.32,4997.39,STANDARD,0,79.69
F015,2024-05,23397.0,31,8626.877,6374.658,8395.465,3256.5,165.7,165.7,165.7,2266.78,0.9027,0.0,223.94,157.94,926.18,6383.46,STANDARD,0,81.277
F015,2024-06,21266.8,28,7720.736,5789.524,7756.54,2945.71,169.2,169.2,169.2,2314.66,0.9139,0.0,247.65,145.08,877.43,6035.23,STANDARD,0,82.794
F016,2024-01,52946.1,23,15273.933,18449.457,19222.71,7482.06,393.6,393.6,393.6,5707.2,0.9592,-51.36,0.0,57.99,659.46,13855.35,OVER_DEMAND,0,25.0
F016,2024-02,59222.2,27,17012.905,20643.615,21565.68,8360.6,436.0,436.0,436.0,6322.0,0.9484,0.0,0.0,87.79,734.13,15504.52,OVER_DEMAND,1,12.5
F016,2024-03,57272.6,30,15952.449,19863.801,21456.35,8019.1,427.6,427.6,427.6,6200.2,0.9402,0.0,0.0,104.25,710.97,15034.52,OVER_DEMAND,2,6.25
F016,2024-04,61142.9,29,18420.647,21560.408,21161.845,8749.04,437.3,437.3,437.3,6340.85,0.9567,-44.39,0.0,135.61,754.49,15935.6,OVER_DEMAND,3,3.125
F016,2024-05,64478.4,29,21698.059,19422.891,23357.45,10730.92,436.0,436.0,436.0,7268.12,0.9577,-58.14,0.0,195.84,899.95,19036.69,OVER_DEMAND,4,1.562
F016,2024-06,63981.5,27,21554.841,19370.909,23055.75,10657.46,446.1,446.1,446.1,7436.49,0.9514,-7.44,0.0,221.14,904.7,19212.35,OVER_DEMAND,5,0.781
F017,2024-01,31266.1,28,9342.5,10463.42,11460.18,3930.21,351.8,351.8,351.8,4397.5,0.9607,-38.7,164.04,192.58,416.39,8733.94,STANDARD,0,56.91
F017,2024-02,32022.1,27,9501.445,10696.135,11824.52,4017.1,366.0,366.0,366.0,4575.0,0.9564,-21.96,176.11,198.85,429.61,9022.49,STANDARD,0,62.72
F017,2024-03,32508.4,25,9885.76,11004.895,11617.745,4110.65,372.7,372.7,372.7,4658.75,0.9631,-48.45,174.38,205.53,438.47,9190.57,STANDARD,0,67.758
F017,2024-04,37439.8,26,11436.86,12628.475,13374.465,4737.59,381.1,381.1,381.1,4763.75,0.9662,-60.98,217.01,239.25,475.07,9937.67,STANDARD,0,72.087
F017,2024-05,35916.1,24,12763.606,10520.059,12632.435,5359.69,393.8,393.8,393.8,5658.91,0.9666,-76.96,228.33,273.34,550.93,11537.58,OVER_DEMAND,0,36.044
F017,2024-06,38812.2,27,13274.98,11294.76,14242.46,5724.21,404.0,404.0,404.0,5805.48,0.9725,-106.82,221.97,294.8,576.48,12072.18,OVER_DEMAND,1,18.022
F018,2024-01,66323.1,24,17718.213,22725.277,25879.61,9179.76,458.8,458.8,458.8,6652.6,0.9485,0.0,206.43,481.94,2650.24,18758.11,STANDARD,0,56.728
F018,2024-02,63804.0,24,18287.787,22190.673,23325.54,8999.77,483.0,483.0,483.0,7003.5,0.9367,0.0,174.64,488.24,2670.48,18987.35,STANDARD,0,62.269
F018,2024-03,74589.6,25,20632.393,25823.062,28134.145,10423.85,484.4,484.4,484.4,7023.8,0.9547,-35.12,242.45,583.74,2929.87,20683.69,STANDARD,0,67.249
F018,2024-04,76873.2,28,22814.457,27041.508,27017.235,10954.37,511.5,511.5,511.5,7416.75,0.9491,0.0,241.34,635.35,3084.3,21849.43,STANDARD,0,71.398
F018,2024-05,78453.6,25,25357.579,23475.906,29620.115,12901.06,525.5,525.5,525.5,8760.09,0.965,-131.4,292.17,770.84,3636.2,25644.62,OVER_DEMAND,0,35.699
F018,2024-06,74714.4,27,23424.97,22330.875,28958.555,12182.99,542.4,542.4,542.4,9041.81,0.9599,-90.42,290.37,749.25,3549.21,25142.47,OVER_DEMAND,1,17.85
F019,2024-01,14296.7,29,3962.766,4939.699,5394.235,1998.4,151.6,151.6,151.6,2198.2,0.8704,0.0,234.48,22.98,335.73,4320.83,STANDARD,0,55.556
F019,2024-02,14035.4,29,4065.368,4893.527,5076.505,1985.57,152.6,152.6,152.6,2212.7,0.884,0.0,204.1,25.81,335.86,4355.84,STANDARD,0,60.483
F019,2024-03,14503.9,27,4140.817,5050.953,5312.13,2044.18,161.5,161.5,161.5,2341.75,0.8836,0.0,224.31,30.66,350.87,4543.15,OVER_DEMAND,0,30.242
F019,2024-04,15177.1,29,4500.814,5338.156,5338.13,2162.29,166.7,166.7,166.7,2417.15,0.8824,0.0,226.16,35.68,366.36,4755.32,OVER_DEMAND,1,15.121
F019,2024-05,16015.0,29,5327.383,4817.827,5869.79,2656.26,172.8,172.8,172.8,2880.58,0.8915,0.0,289.84,48.48,442.95,5738.43,OVER_DEMAND,2,7.56
F019,2024-06,14847.8,28,4982.218,4483.787,5381.795,2469.7,175.7,175.7,175.7,2928.92,0.8999,0.0,263.97,49.39,431.89,5615.93,OVER_DEMAND,3,3.78
F020,2024-01,19075.1,28,5153.25,6646.295,7275.555,2494.24,190.5,190.5,190.5,2628.9,0.8974,0.0,214.86,67.97,256.16,5232.41,STANDARD,0,55.961
F020,2024-02,16532.0,21,4813.797,5885.903,5832.3,2208.32,192.1,192.1,192.1,2650.98,0.9132,0.0,196.25,62.94,242.97,4968.96,STANDARD,0,61.265
F020,2024-03,21056.3,29,5778.053,7396.587,7881.66,2766.71,202.3,202.3,202.3,2791.74,0.9228,0.0,207.48,82.31,277.92,5711.2,STANDARD,0,65.917
F020,2024-04,20424.7,27,5888.761,7288.279,7247.66,2722.33,207.5,207.5,207.5,2863.5,0.935,0.0,188.43,84.39,279.29,5761.08,STANDARD,0,70.054
F020,2024-05,22094.4,26,7215.24,6871.325,8007.835,3441.11,206.6,206.6,206.6,3278.74,0.9251,0.0,298.88,111.84,335.99,6868.8,STANDARD,0,73.422
F020,2024-06,24072.6,24,7865.373,7501.832,8705.395,3750.65,218.3,218.3,218.3,3464.42,0.9349,0.0,283.18,125.65,360.75,7418.29,STANDARD,0,76.432
F021,2024-01,57815.8,28,16882.82,19245.845,21687.135,7220.67,343.4,343.4,343.4,4292.5,0.9265,0.0,179.33,292.44,1598.2,13224.48,STANDARD,0,56.398
F021,2024-02,57309.3,27,16771.095,19073.835,21464.37,7161.12,354.8,354.8,354.8,4435.0,0.9303,0.0,192.94,300.77,1606.36,13310.31,STANDARD,0,61.893
F021,2024-03,52883.3,26,15789.795,17829.315,19264.19,6652.4,381.4,381.4,381.4,4767.5,0.9317,0.0,168.38,292.71,1569.96,13114.19,STANDARD,0,66.585
F021,2024-04,55906.8,25,16592.375,18728.12,20586.305,7016.34,369.3,369.3,369.3,4616.25,0.9365,0.0,176.34,321.0,1606.4,13383.65,STANDARD,0,70.645
F021,2024-05,66195.7,29,22884.95,19293.33,24017.42,9794.46,398.8,398.8,398.8,5730.76,0.9345,0.0,252.14,465.24,2156.86,17895.18,OVER_DEMAND,0,35.322
F021,2024-06,61918.1,27,20736.316,17967.894,23213.89,9074.87,413.3,413.3,413.3,5939.12,0.9564,-28.51,259.36,444.67,2073.93,17244.72,OVER_DEMAND,1,17.661
F022,2024-01,53312.0,28,14014.606,18351.379,20946.015,6914.85,469.7,469.7,469.7,6481.86,0.9012,0.0,211.9,319.81,669.84,14174.46,OVER_DEMAND,0,25.0
F022,2024-02,51332.6,24,14213.749,18030.516,19088.335,6759.58,480.3,480.3,480.3,6628.14,0.9152,0.0,207.0,326.15,669.39,14176.26,OVER_DEMAND,1,12.5
F022,2024-03,53917.3,25,15266.223,19074.097,19576.98,7145.8,498.8,498.8,498.8,6883.44,0.9196,0.0,183.92,360.86,701.46,14907.64,OVER_DEMAND,2,6.25
F022,2024-04,58176.5,25,17325.225,20933.825,19917.45,7826.91,517.6,517.6,517.6,7142.88,0.9245,0.0,155.26,410.91,748.49,15973.93,OVER_DEMAND,3,3.125
F022,2024-05,62690.4,29,20683.574,19544.606,22462.22,9794.7,530.9,530.9,530.9,8425.38,0.9146,0.0,280.51,531.36,911.0,19381.93,OVER_DEMAND,4,1.562
F022,2024-06,58033.8,27,18144.44,17949.355,21940.005,8925.17,513.3,513.3,513.3,8146.07,0.9349,0.0,233.63,497.58,853.56,18188.75,OVER_DEMAND,5,0.781
F023,2024-01,13378.2,29,4052.887,4326.508,4998.805,1562.55,102.9,102.9,102.9,1224.51,0.9135,0.0,0.0,50.78,139.35,2977.19,STANDARD,0,56.202
F023,2024-02,13602.8,26,4244.998,4440.327,4917.475,1603.24,106.0,106.0,106.0,1261.4,0.9288,0.0,0.0,54.91,143.23,3062.78,STANDARD,0,61.704
F023,2024-03,13653.3,28,4339.488,4498.197,4815.615,1619.08,106.4,106.4,106.4,1266.16,0.9439,0.0,0.0,57.88,144.26,3087.38,STANDARD,0,66.607
F023,2024-04,15102.8,28,4753.658,4941.367,5407.775,1784.65,110.1,110.1,110.1,1310.19,0.9369,0.0,0.0,66.92,154.74,3316.5,STANDARD,0,70.669
F023,2024-05,15886.9,28,5836.845,4324.015,5726.04,2208.57,115.3,115.3,115.3,1577.3,0.9391,0.0,0.0,86.69,189.29,4061.85,STANDARD,0,74.155
F023,2024-06,12641.4,22,4628.158,3446.697,4566.545,1755.79,119.0,119.0,119.0,1627.92,0.9479,0.0,0.0,71.99,169.19,3624.89,STANDARD,0,77.25
F024,2024-01,44600.5,24,12606.918,15403.642,16589.94,6263.87,476.0,476.0,476.0,6902.0,0.902,0.0,0.0,248.99,1767.82,15182.68,OVER_DEMAND,0,25.0
F024,2024-02,53700.9,27,15416.767,18729.328,19554.805,7580.44,470.3,470.3,470.3,6819.35,0.9076,0.0,0.0,316.48,1955.38,16671.65,OVER_DEMAND,1,12.5
F024,2024-03,56212.3,29,15502.684,19443.456,21266.16,7849.05,489.2,489.2,489.2,7093.4,0.917,0.0,0.0,343.4,2028.56,17314.41,OVER_DEMAND,2,6.25
F024,2024-04,57259.9,29,17185.204,20178.676,19896.02,8184.77,500.2,500.2,500.2,7252.9,0.9363,0.0,0.0,374.45,2098.06,17910.18,OVER_DEMAND,3,3.125
F024,2024-05,52592.2,26,17533.712,15807.148,19251.34,8727.6,516.1,516.1,516.1,8603.39,0.9269,0.0,0.0,416.74,2341.55,20089.28,OVER_DEMAND,4,1.562
F024,2024-06,53794.4,27,17520.89,16168.4,20105.11,8869.07,535.6,535.6,535.6,8928.45,0.9262,0.0,0.0,441.24,2401.77,20640.53,OVER_DEMAND,5,0.781
F025,2024-01,28503.7,26,8210.77,9441.49,10851.44,3545.57,280.5,280.5,280.5,3506.25,0.9215,0.0,0.0,171.07,352.59,7575.48,STANDARD,0,56.322
F025,2024-02,30117.0,28,8801.275,10016.515,11299.21,3761.61,285.9,285.9,285.9,3573.75,0.9116,0.0,0.0,188.08,366.77,7890.21,STANDARD,0,61.548
