station_id,month,violation_class,violation_tier,base_amount,adjustment_factor,workday_fraction,consecutive_months,gross_penalty,maintenance_cost,maintenance_credit,net_penalty
WQ-011,2024-05,CRITICAL,4,16500.0,0.95,0.7097,2,14461.91,2443.24,122.16,14339.75
WQ-011,2024-06,CRITICAL,4,16500.0,0.95,0.6667,3,15153.26,1192.76,59.64,15093.62
WQ-012,2024-01,WATCH,1,250.0,0.9,0.6774,0,152.42,0.0,0.0,152.42
WQ-012,2024-02,WATCH,1,250.0,0.9,0.6897,0,155.18,2744.67,31.04,124.14
WQ-012,2024-03,WATCH,1,250.0,0.9,0.6452,0,145.17,2405.5,29.03,116.14
WQ-012,2024-04,WATCH,1,275.0,0.95,0.6667,0,174.18,0.0,0.0,174.18
WQ-012,2024-05,WATCH,1,275.0,0.95,0.7097,0,185.41,0.0,0.0,185.41
WQ-012,2024-06,WATCH,1,275.0,0.95,0.6667,0,174.18,0.0,0.0,174.18
WQ-013,2024-01,WATCH,1,250.0,1.05,0.6774,0,177.82,0.0,0.0,177.82
WQ-013,2024-02,CRITICAL,4,15000.0,1.05,0.6552,0,10319.4,0.0,0.0,10319.4
WQ-013,2024-03,WATCH,1,250.0,1.05,0.6452,0,169.36,0.0,0.0,169.36
WQ-013,2024-04,WATCH,1,275.0,1.1,0.7,0,211.75,0.0,0.0,211.75
WQ-013,2024-05,WATCH,1,275.0,1.1,0.7097,0,214.68,4517.2,42.94,171.74
WQ-013,2024-06,WATCH,1,275.0,1.1,0.6667,0,201.68,0.0,0.0,201.68
WQ-014,2024-01,WATCH,1,250.0,1.05,0.6774,0,177.82,1584.22,35.56,142.26
WQ-014,2024-02,WATCH,1,250.0,1.05,0.6552,0,171.99,1501.45,34.4,137.59
WQ-014,2024-03,WATCH,1,250.0,1.05,0.6452,0,169.36,0.0,0.0,169.36
WQ-014,2024-04,WATCH,1,275.0,1.1,0.7,0,211.75,0.0,0.0,211.75
WQ-014,2024-05,WATCH,1,275.0,1.1,0.7097,0,214.68,0.0,0.0,214.68
WQ-014,2024-06,WATCH,1,275.0,1.1,0.6667,0,201.68,0.0,0.0,201.68
WQ-015,2024-01,WATCH,1,250.0,1.05,0.6774,0,177.82,0.0,0.0,177.82
WQ-015,2024-02,WATCH,1,250.0,1.05,0.6552,0,171.99,2536.54,34.4,137.59
WQ-015,2024-03,WATCH,1,250.0,1.05,0.6452,0,169.36,4213.62,33.87,135.49
WQ-015,2024-04,WATCH,1,275.0,1.1,0.7,0,211.75,2296.18,42.35,169.4
WQ-015,2024-05,WATCH,1,275.0,1.1,0.7097,0,214.68,0.0,0.0,214.68
WQ-015,2024-06,WATCH,1,275.0,1.1,0.6667,0,201.68,0.0,0.0,201.68
WQ-017,2024-01,WATCH,1,250.0,1.05,0.6774,0,177.82,638.37,31.92,145.9
WQ-017,2024-02,WATCH,1,250.0,1.05,0.6552,0,171.99,0.0,0.0,171.99
WQ-017,2024-03,WATCH,1,250.0,1.05,0.6452,0,169.36,3196.99,33.87,135.49
WQ-017,2024-04,WATCH,1,275.0,1.1,0.7,0,211.75,1147.35,42.35,169.4
WQ-017,2024-05,CRITICAL,4,16500.0,1.1,0.7097,0,12881.06,501.98,25.1,12855.96
WQ-017,2024-06,WATCH,1,275.0,1.1,0.6667,0,201.68,1016.91,40.34,161.34
WQ-018,2024-01,WATCH,1,250.0,1.05,0.6774,0,177.82,861.95,35.56,142.26
WQ-018,2024-02,WATCH,1,250.0,1.05,0.6552,0,171.99,0.0,0.0,171.99
WQ-018,2024-03,WATCH,1,250.0,1.05,0.6452,0,169.36,3417.27,33.87,135.49
WQ-018,2024-04,WATCH,1,275.0,1.1,0.7,0,211.75,1096.95,42.35,169.4
WQ-018,2024-05,WATCH,1,275.0,1.1,0.7097,0,214.68,2995.31,42.94,171.74
WQ-018,2024-06,WATCH,1,275.0,1.1,0.6667,0,201.68,1633.11,40.34,161.34
WQ-019,2024-01,CRITICAL_REPEAT,5,50000.0,1.25,0.6774,0,42337.5,0.0,0.0,42337.5
WQ-019,2024-02,CRITICAL_REPEAT,5,50000.0,1.25,0.6897,1,49572.19,2378.23,118.91,49453.28
WQ-019,2024-03,CRITICAL_REPEAT,5,50000.0,1.25,0.6452,2,52422.5,0.0,0.0,52422.5
WQ-019,2024-04,CRITICAL,4,16500.0,1.0,0.7,3,16747.5,0.0,0.0,16747.5
WQ-019,2024-05,CRITICAL,4,16500.0,1.0,0.7097,4,18736.08,0.0,0.0,18736.08
WQ-019,2024-06,CRITICAL,4,16500.0,1.0,0.6333,5,18286.54,0.0,0.0,18286.54
WQ-020,2024-01,WATCH,1,250.0,1.25,0.6774,0,211.69,3073.62,42.34,169.35
WQ-020,2024-02,WATCH,1,250.0,1.25,0.6897,0,215.53,0.0,0.0,215.53
WQ-020,2024-03,WATCH,1,250.0,1.25,0.6452,0,201.62,0.0,0.0,201.62
WQ-020,2024-04,WATCH,1,275.0,1.0,0.7,0,192.5,3329.82,38.5,154.0
WQ-020,2024-05,WATCH,1,275.0,1.0,0.7097,0,195.17,2915.68,39.03,156.14
WQ-020,2024-06,WATCH,1,275.0,1.0,0.6333,0,174.16,0.0,0.0,174.16
WQ-021,2024-01,WATCH,1,250.0,1.25,0.6774,0,211.69,0.0,0.0,211.69
WQ-021,2024-03,WATCH,1,250.0,1.25,0.6452,0,201.62,534.99,26.75,174.87
WQ-021,2024-04,WATCH,1,275.0,1.0,0.7,0,192.5,0.0,0.0,192.5
WQ-021,2024-06,WATCH,1,275.0,1.0,0.6333,0,174.16,2115.93,34.83,139.33
WQ-022,2024-03,WATCH,1,250.0,1.25,0.6452,0,201.62,2388.09,40.32,161.3
WQ-022,2024-04,WATCH,1,275.0,1.0,0.7,0,192.5,2112.83,38.5,154.0
WQ-022,2024-05,WATCH,1,275.0,1.0,0.7097,0,195.17,0.0,0.0,195.17
WQ-022,2024-06,WATCH,1,275.0,1.0,0.6333,0,174.16,0.0,0.0,174.16
WQ-023,2024-01,CRITICAL,4,15000.0,1.25,0.6774,0,12701.25,0.0,0.0,12701.25
WQ-023,2024-02,WATCH,1,250.0,1.25,0.6897,0,215.53,0.0,0.0,215.53
WQ-023,2024-03,CRITICAL,4,15000.0,1.25,0.6452,0,12097.5,0.0,0.0,12097.5
WQ-023,2024-04,WATCH,1,275.0,1.0,0.7,0,192.5,1517.99,38.5,154.0
WQ-023,2024-05,CRITICAL_REPEAT,5,55000.0,1.0,0.7097,0,39033.5,0.0,0.0,39033.5
WQ-023,2024-06,WATCH,1,275.0,1.0,0.6333,0,174.16,4367.57,34.83,139.33
WQ-024,2024-01,WATCH,1,250.0,1.25,0.6774,0,211.69,1924.78,42.34,169.35
WQ-024,2024-02,WATCH,1,250.0,1.25,0.6897,0,215.53,0.0,0.0,215.53
WQ-024,2024-03,WATCH,1,250.0,1.25,0.6452,0,201.62,0.0,0.0,201.62
WQ-024,2024-04,WATCH,1,275.0,1.0,0.7,0,192.5,0.0,0.0,192.5
WQ-024,2024-05,WATCH,1,275.0,1.0,0.7097,0,195.17,0.0,0.0,195.17
WQ-024,2024-06,WATCH,1,275.0,1.0,0.6333,0,174.16,0.0,0.0,174.16
WQ-025,2024-01,WATCH,1,250.0,1.0,0.6774,0,169.35,0.0,0.0,169.35
WQ-025,2024-02,CRITICAL,4,15000.0,1.0,0.6897,0,10345.5,2302.63,115.13,10230.37
WQ-025,2024-03,WATCH,1,250.0,1.0,0.6129,0,153.22,2141.28,30.64,122.58
WQ-025,2024-04,CRITICAL_REPEAT,5,55000.0,1.05,0.7,0,40425.0,1344.89,67.24,40357.76
WQ-025,2024-05,CRITICAL_REPEAT,5,55000.0,1.05,0.7097,1,47132.95,0.0,0.0,47132.95
WQ-025,2024-06,CRITICAL_REPEAT,5,55000.0,1.05,0.6667,2,50052.5,0.0,0.0,50052.5
WQ-026,2024-01,WATCH,1,250.0,1.0,0.6774,0,169.35,0.0,0.0,169.35
WQ-026,2024-02,WATCH,1,250.0,1.0,0.6897,0,172.42,0.0,0.0,172.42
WQ-026,2024-03,WATCH,1,250.0,1.0,0.6129,0,153.22,0.0,0.0,153.22
WQ-026,2024-04,WATCH,1,275.0,1.05,0.7,0,202.12,2195.82,40.42,161.7
WQ-026,2024-05,WATCH,1,275.0,1.05,0.7097,0,204.93,1946.7,40.99,163.94
WQ-026,2024-06,WATCH,1,275.0,1.05,0.6667,0,192.51,0.0,0.0,192.51
WQ-027,2024-01,WATCH,1,250.0,1.0,0.6774,0,169.35,2113.5,33.87,135.48
WQ-027,2024-02,WATCH,1,250.0,1.0,0.6897,0,172.42,0.0,0.0,172.42
WQ-027,2024-04,WATCH,1,275.0,1.05,0.7,0,202.12,0.0,0.0,202.12
WQ-027,2024-06,WATCH,1,275.0,1.05,0.6667,0,192.51,0.0,0.0,192.51
WQ-029,2024-01,WATCH,1,250.0,1.0,0.6774,0,169.35,0.0,0.0,169.35
WQ-029,2024-02,CRITICAL_REPEAT,5,50000.0,1.0,0.6897,0,34485.0,2118.0,105.9,34379.1
WQ-029,2024-03,WATCH,1,250.0,1.0,0.6129,0,153.22,3667.49,30.64,122.58
WQ-029,2024-04,CRITICAL,4,16500.0,1.05,0.7,0,12127.5,0.0,0.0,12127.5
WQ-029,2024-05,CRITICAL,4,16500.0,1.05,0.7097,1,14139.89,2241.48,112.07,14027.82
WQ-029,2024-06,WATCH,1,275.0,1.05,0.6667,0,192.51,0.0,0.0,192.51
WQ-030,2024-01,WATCH,1,250.0,1.0,0.6774,0,169.35,2314.46,33.87,135.48
WQ-030,2024-02,WATCH,1,250.0,1.0,0.6897,0,172.42,1684.7,34.48,137.94
WQ-030,2024-03,WATCH,1,250.0,1.0,0.6129,0,153.22,597.7,29.89,123.33
WQ-030,2024-04,WATCH,1,275.0,1.05,0.7,0,202.12,0.0,0.0,202.12
WQ-030,2024-05,WATCH,1,275.0,1.05,0.7097,0,204.93,2146.39,40.99,163.94
WQ-030,2024-06,WATCH,1,275.0,1.05,0.6667,0,192.51,0.0,0.0,192.51
