reading_id,station_id,sample_date,ph,turbidity_ntu,chlorine_mg_l,lead_ppb,coliform_count,flow_rate_lpm
R-00087,WQ-001,2024-04-19,7.4,1.95,0.87,0.47,1.0,268.8
R-00088,WQ-001,2024-04-20,7.43,1.54,0.84,4.09,1.0,197.5
R-00089,WQ-001,2024-04-21,6.81,1.19,1.96,0.28,5.0,122.2
R-00090,WQ-001,2024-04-22,7.12,0.77,1.16,0.37,0.0,226.0
R-00091,WQ-001,2024-04-24,7.1,0.05,1.28,1.52,4.0,236.6
R-00092,WQ-001,2024-04-25,7.18,2.43,1.87,,1.0,217.3
R-00093,WQ-001,2024-04-26,7.28,0.47,1.24,4.05,0.0,243.5
R-00094,WQ-001,2024-04-27,7.35,2.14,1.94,0.49,2.0,259.4
R-00095,WQ-001,2024-04-29,7.3,0.67,1.67,2.68,3.0,115.8
R-00096,WQ-001,2024-04-30,6.92,0.63,0.99,2.38,1.0,117.8
R-00097,WQ-001,2024-05-01,6.99,0.38,2.4,3.98,1.0,177.3
R-00098,WQ-001,2024-05-02,7.19,1.34,1.4,5.24,0.0,219.6
R-00099,WQ-001,2024-05-03,7.25,0.3,2.06,1.88,2.0,169.8
R-00100,WQ-001,2024-05-04,6.72,0.67,2.06,1.6,0.0,196.2
R-00101,WQ-001,2024-05-05,6.78,1.47,2.2,4.61,1.0,237.4
R-00102,WQ-001,2024-05-06,6.99,0.71,1.71,3.97,0.0,163.3
R-00103,WQ-001,2024-05-07,7.17,3.52,2.53,0.29,2.0,128.2
R-00104,WQ-001,2024-05-08,6.63,0.26,1.06,0.88,0.0,164.4
R-00105,WQ-001,2024-05-09,6.6,0.32,1.65,2.21,8.0,234.7
R-00106,WQ-001,2024-05-10,7.78,0.18,1.13,1.2,2.0,204.1
R-00107,WQ-001,2024-05-11,7.56,0.59,1.56,,0.0,173.6
R-00108,WQ-001,2024-05-12,7.31,0.07,1.53,0.73,1.0,235.4
R-00109,WQ-001,2024-05-14,7.07,1.68,1.97,4.05,2.0,166.6
R-00110,WQ-001,2024-05-15,7.5,1.38,1.49,1.86,2.0,240.9
R-00111,WQ-001,2024-05-16,7.35,0.45,1.52,0.75,1.0,153.0
R-00112,WQ-001,2024-05-17,7.16,0.49,1.56,8.23,0.0,183.1
R-00113,WQ-001,2024-05-18,6.74,0.78,1.86,1.5,1.0,
R-00114,WQ-001,2024-05-19,,0.53,1.28,1.53,0.0,219.6
R-00115,WQ-001,2024-05-20,6.61,1.49,2.32,0.21,1.0,177.8
R-00116,WQ-001,2024-05-23,6.93,0.3,1.26,0.59,3.0,291.3
R-00117,WQ-001,2024-05-24,7.01,0.58,1.57,0.33,2.0,
R-00118,WQ-001,2024-05-26,7.24,0.35,1.11,2.98,2.0,133.6
R-00119,WQ-001,2024-05-27,7.5,0.78,1.2,,0.0,214.1
R-00120,WQ-001,2024-05-28,6.92,3.13,2.08,2.76,3.0,290.0
R-00121,WQ-001,2024-05-29,7.82,2.29,1.06,0.55,0.0,210.5
R-00122,WQ-001,2024-05-30,7.15,1.13,1.99,2.61,2.0,193.0
R-00123,WQ-001,2024-05-31,7.32,1.36,1.24,0.48,1.0,224.7
R-00124,WQ-001,2024-06-02,7.42,1.15,1.44,0.02,0.0,138.8
R-00125,WQ-001,2024-06-03,7.42,0.17,2.08,0.88,2.0,193.3
R-00126,WQ-001,2024-06-04,7.2,0.13,1.79,11.22,1.0,181.4
R-00127,WQ-001,2024-06-05,7.55,0.08,1.27,1.77,1.0,171.8
R-00128,WQ-001,2024-06-06,7.26,1.39,1.17,0.12,1.0,199.8
R-00129,WQ-001,2024-06-07,6.95,0.2,1.45,1.82,2.0,148.8
R-00130,WQ-001,2024-06-08,,0.71,1.3,0.81,0.0,144.0
R-00131,WQ-001,2024-06-09,7.51,1.48,1.42,0.41,2.0,141.5
R-00132,WQ-001,2024-06-10,6.34,0.14,1.1,2.78,2.0,215.1
R-00133,WQ-001,2024-06-12,7.47,0.48,1.18,3.0,0.0,173.7
R-00134,WQ-001,2024-06-14,7.2,0.87,1.53,5.52,0.0,225.8
R-00135,WQ-001,2024-06-15,6.8,2.86,2.47,1.88,1.0,163.3
R-00136,WQ-001,2024-06-16,6.96,0.98,1.17,1.23,1.0,204.3
R-00137,WQ-001,2024-06-17,6.99,0.57,1.53,3.28,1.0,167.7
R-00138,WQ-001,2024-06-20,6.96,0.48,1.85,1.55,1.0,196.1
R-00139,WQ-001,2024-06-21,6.65,1.26,1.58,1.72,2.0,177.6
R-00140,WQ-001,2024-06-24,7.58,3.28,1.37,0.41,3.0,179.8
R-00141,WQ-001,2024-06-26,,3.31,1.68,2.2,2.0,140.5
R-00142,WQ-001,2024-06-27,7.12,0.17,1.61,1.56,2.0,215.2
R-00143,WQ-001,2024-06-29,7.36,1.4,1.16,0.21,0.0,180.4
R-00144,WQ-001,2024-06-30,6.92,3.09,1.14,2.26,1.0,216.2
R-00145,WQ-002,2024-01-01,7.61,0.58,1.91,0.73,0.0,225.7
R-00146,WQ-002,2024-01-02,7.25,0.66,1.45,1.23,3.0,151.3
R-00147,WQ-002,2024-01-03,,1.56,1.67,0.69,4.0,236.9
R-00148,WQ-002,2024-01-05,7.38,0.97,1.14,0.55,0.0,204.6
R-00149,WQ-002,2024-01-06,7.49,1.78,2.18,0.41,0.0,236.7
R-00150,WQ-002,2024-01-08,7.01,0.1,1.89,4.22,1.0,225.1
R-00151,WQ-002,2024-01-10,7.68,0.72,2.03,2.43,0.0,151.7
R-00152,WQ-002,2024-01-11,7.21,0.8,1.46,0.9,1.0,190.8
R-00153,WQ-002,2024-01-12,6.75,0.19,1.8,1.45,0.0,254.2
R-00154,WQ-002,2024-01-13,7.03,0.1,1.54,4.15,1.0,91.9
R-00155,WQ-002,2024-01-14,7.28,0.75,1.7,0.74,3.0,207.2
R-00156,WQ-002,2024-01-15,7.02,1.11,,2.21,2.0,191.6
R-00157,WQ-002,2024-01-17,7.22,0.12,1.2,0.02,1.0,193.6
R-00158,WQ-002,2024-01-18,6.64,1.49,1.24,2.24,0.0,288.8
R-00159,WQ-002,2024-01-20,7.44,0.37,0.8,1.84,2.0,150.7
R-00160,WQ-002,2024-01-21,7.64,0.83,0.93,0.15,1.0,260.7
R-00161,WQ-002,2024-01-22,6.96,0.53,1.67,0.06,,194.9
R-00162,WQ-002,2024-01-23,7.32,0.27,1.46,4.39,1.0,211.4
R-00163,WQ-002,2024-01-24,6.84,0.65,1.56,1.56,2.0,189.0
R-00164,WQ-002,2024-01-26,7.57,0.34,1.07,1.17,1.0,212.0
R-00165,WQ-002,2024-01-27,7.07,0.03,0.99,1.29,1.0,212.7
R-00166,WQ-002,2024-01-28,7.34,1.68,1.65,1.32,3.0,198.5
R-00167,WQ-002,2024-01-29,8.01,1.61,1.39,7.9,1.0,226.1
R-00168,WQ-002,2024-02-01,,1.72,1.74,1.97,4.0,53.0
R-00169,WQ-002,2024-02-02,7.54,,1.29,0.47,5.0,247.7
R-00170,WQ-002,2024-02-03,7.35,1.17,1.98,3.74,1.0,235.4
R-00171,WQ-002,2024-02-04,7.23,2.36,1.45,0.15,5.0,105.3
R-00172,WQ-002,2024-02-05,7.26,0.28,1.19,3.25,4.0,153.0
R-00173,WQ-002,2024-02-07,7.61,0.1,0.98,4.39,1.0,309.4
R-00174,WQ-002,2024-02-09,6.81,0.59,1.66,0.63,1.0,174.6
R-00175,WQ-002,2024-02-10,7.01,0.26,1.51,2.46,0.0,241.3
R-00176,WQ-002,2024-02-11,6.94,1.78,1.84,0.95,5.0,193.1
R-00177,WQ-002,2024-02-12,7.36,0.88,1.17,6.77,2.0,204.4
R-00178,WQ-002,2024-02-14,7.26,0.45,0.92,0.92,1.0,189.5
R-00179,WQ-002,2024-02-15,7.51,0.19,1.47,2.27,1.0,162.9
R-00180,WQ-002,2024-02-16,7.07,1.77,1.15,,0.0,129.4
R-00181,WQ-002,2024-02-17,7.13,0.54,1.1,1.04,1.0,196.1
R-00182,WQ-002,2024-02-18,7.2,0.59,1.4,0.62,0.0,
R-00183,WQ-002,2024-02-19,7.25,1.5,1.52,0.05,3.0,233.5
R-00184,WQ-002,2024-02-20,7.4,1.1,1.22,6.33,4.0,197.9
R-00185,WQ-002,2024-02-21,7.09,0.78,1.37,3.04,1.0,216.3
R-00186,WQ-002,2024-02-22,,0.51,1.63,0.13,0.0,231.0
R-00187,WQ-002,2024-02-23,7.81,0.06,1.5,0.64,2.0,309.4
R-00188,WQ-002,2024-02-26,6.63,1.54,1.52,0.6,1.0,216.6
R-00189,WQ-002,2024-03-01,7.17,1.01,1.0,,,152.2
R-00190,WQ-002,2024-03-03,7.34,0.8,1.22,3.77,2.0,145.8
R-00191,WQ-002,2024-03-04,7.42,4.0,1.43,0.09,2.0,132.8
R-00192,WQ-002,2024-03-05,6.72,0.66,2.05,0.55,,137.8
R-00193,WQ-002,2024-03-06,7.08,2.4,1.77,1.74,1.0,227.5
R-00194,WQ-002,2024-03-07,7.99,1.21,1.36,0.46,1.0,26.4
R-00195,WQ-002,2024-03-09,7.58,1.45,1.35,0.81,2.0,234.0
R-00196,WQ-002,2024-03-10,7.56,1.16,1.23,,0.0,201.7
R-00197,WQ-002,2024-03-11,7.57,1.51,1.83,1.1,1.0,259.7
R-00198,WQ-002,2024-03-12,6.91,0.4,2.2,0.16,1.0,248.9
R-00199,WQ-002,2024-03-13,6.72,1.0,1.82,2.85,0.0,299.8
R-00200,WQ-002,2024-03-15,8.13,1.04,1.33,3.29,0.0,233.8
R-00201,WQ-002,2024-03-16,,0.38,,0.36,2.0,164.4
R-00202,WQ-002,2024-03-17,7.63,0.98,1.58,6.82,0.0,266.0
R-00203,WQ-002,2024-03-18,7.06,0.27,1.15,4.1,,167.5
R-00204,WQ-002,2024-03-19,7.43,0.64,1.1,0.87,1.0,144.9
R-00205,WQ-002,2024-03-20,6.87,0.05,1.99,0.94,4.0,269.4
R-00206,WQ-002,2024-03-21,7.54,0.45,0.97,7.06,0.0,203.9
R-00207,WQ-002,2024-03-22,7.17,0.25,0.92,0.68,2.0,204.4
R-00208,WQ-002,2024-03-23,7.32,0.84,1.98,1.88,1.0,250.7
R-00209,WQ-002,2024-03-25,7.14,0.71,1.61,2.42,2.0,188.5
R-00210,WQ-002,2024-03-26,7.19,0.89,1.49,0.19,2.0,
R-00211,WQ-002,2024-03-27,7.67,,2.02,2.5,0.0,214.7
R-00212,WQ-002,2024-03-28,7.13,0.49,1.77,2.23,0.0,274.4
R-00213,WQ-002,2024-03-29,7.63,1.07,1.77,1.47,0.0,234.2
R-00214,WQ-002,2024-03-30,7.14,0.48,0.96,2.44,1.0,234.6
R-00215,WQ-002,2024-03-31,6.99,0.54,1.5,5.24,0.0,175.3
R-00216,WQ-002,2024-04-01,7.63,1.71,1.73,0.23,1.0,248.4
R-00217,WQ-002,2024-04-03,7.36,2.44,1.4,0.79,1.0,235.4
R-00218,WQ-002,2024-04-05,7.2,1.46,1.67,1.16,1.0,230.3
R-00219,WQ-002,2024-04-06,7.23,0.14,2.2,0.17,0.0,164.5
R-00220,WQ-002,2024-04-07,6.82,0.21,1.91,1.07,1.0,304.4
R-00221,WQ-002,2024-04-09,6.9,0.74,1.53,0.25,1.0,221.7
R-00222,WQ-002,2024-04-10,6.96,1.26,,1.65,1.0,161.8
R-00223,WQ-002,2024-04-13,7.53,0.48,1.25,0.41,3.0,195.5
R-00224,WQ-002,2024-04-15,7.51,0.62,1.26,0.94,2.0,210.6
R-00225,WQ-002,2024-04-16,7.14,,1.25,2.57,2.0,232.6
R-00226,WQ-002,2024-04-17,6.86,0.7,1.78,3.25,1.0,239.5
R-00227,WQ-002,2024-04-19,7.26,0.73,1.62,2.12,3.0,293.2
R-00228,WQ-002,2024-04-20,7.53,0.19,1.84,1.41,0.0,192.2
R-00229,WQ-002,2024-04-21,6.87,2.24,1.86,2.02,1.0,159.1
R-00230,WQ-002,2024-04-22,7.02,1.14,1.12,1.13,0.0,271.7
R-00231,WQ-002,2024-04-23,7.4,1.75,1.38,0.79,3.0,176.5
R-00232,WQ-002,2024-04-27,7.39,0.03,1.09,0.05,1.0,
R-00233,WQ-002,2024-04-28,7.6,0.03,1.75,3.63,1.0,300.6
R-00234,WQ-002,2024-04-29,7.51,0.39,1.7,5.27,4.0,130.0
R-00235,WQ-002,2024-05-01,7.02,0.49,1.55,2.25,2.0,227.9
R-00236,WQ-002,2024-05-02,7.15,0.81,1.02,,1.0,218.7
R-00237,WQ-002,2024-05-03,7.32,2.59,1.69,1.54,1.0,144.8
R-00238,WQ-002,2024-05-04,7.11,0.03,1.18,1.87,3.0,192.5
R-00239,WQ-002,2024-05-05,7.47,4.71,1.25,0.06,3.0,214.4
R-00240,WQ-002,2024-05-09,7.22,0.39,1.43,0.63,0.0,122.6
R-00241,WQ-002,2024-05-10,7.02,0.28,1.92,0.53,0.0,161.5
R-00242,WQ-002,2024-05-12,6.81,0.07,0.73,1.66,2.0,192.5
R-00243,WQ-002,2024-05-13,7.18,0.29,1.17,3.46,0.0,140.7
R-00244,WQ-002,2024-05-14,6.5,1.47,1.03,1.34,2.0,175.0
R-00245,WQ-002,2024-05-15,7.67,0.11,1.39,0.44,5.0,213.1
R-00246,WQ-002,2024-05-16,6.82,0.12,0.98,0.65,0.0,214.5
R-00247,WQ-002,2024-05-17,7.57,0.37,1.29,0.18,1.0,220.1
R-00248,WQ-002,2024-05-18,7.34,0.0,1.62,1.97,2.0,218.8
R-00249,WQ-002,2024-05-19,6.92,0.22,1.23,4.78,1.0,279.6
R-00250,WQ-002,2024-05-20,7.14,1.41,1.26,1.43,,144.5
R-00251,WQ-002,2024-05-21,7.11,0.02,1.61,1.19,0.0,212.5
R-00252,WQ-002,2024-05-22,6.93,1.19,,1.67,4.0,144.1
R-00253,WQ-002,2024-05-23,7.14,2.61,1.47,2.2,4.0,234.8
R-00254,WQ-002,2024-05-24,6.76,0.26,1.9,1.95,7.0,251.9
R-00255,WQ-002,2024-05-27,7.39,0.05,1.42,0.19,0.0,145.2
R-00256,WQ-002,2024-05-28,7.29,,1.85,3.4,2.0,208.3
R-00257,WQ-002,2024-06-01,6.87,0.17,1.87,0.41,1.0,261.2
R-00258,WQ-002,2024-06-02,7.12,0.46,1.86,0.84,2.0,205.3
R-00259,WQ-002,2024-06-03,7.34,0.09,1.7,1.72,1.0,275.8
R-00260,WQ-002,2024-06-04,7.38,2.23,0.74,0.1,0.0,157.0
R-00261,WQ-002,2024-06-05,7.33,0.52,1.67,0.86,1.0,170.8
R-00262,WQ-002,2024-06-06,7.51,1.32,1.34,1.23,1.0,257.7
R-00263,WQ-002,2024-06-07,6.86,0.85,1.38,7.09,1.0,182.9
R-00264,WQ-002,2024-06-08,7.25,0.64,1.96,3.37,1.0,183.2
R-00265,WQ-002,2024-06-09,7.15,0.16,1.23,0.34,3.0,195.3
R-00266,WQ-002,2024-06-11,7.04,1.74,2.05,1.03,2.0,271.5
R-00267,WQ-002,2024-06-13,7.13,0.38,1.97,4.93,,197.2
R-00268,WQ-002,2024-06-14,7.57,3.07,1.46,2.61,1.0,221.0
R-00269,WQ-002,2024-06-16,7.69,0.93,1.93,0.26,4.0,222.2
R-00270,WQ-002,2024-06-17,6.85,1.13,1.16,,2.0,188.8
R-00271,WQ-002,2024-06-18,7.35,2.09,1.36,,0.0,204.2
R-00272,WQ-002,2024-06-19,7.04,0.71,1.64,1.57,0.0,196.3
R-00273,WQ-002,2024-06-20,7.33,0.2,1.69,0.51,3.0,100.7
R-00274,WQ-002,2024-06-21,7.02,0.33,1.77,0.35,1.0,81.5
R-00275,WQ-002,2024-06-22,7.08,0.03,1.56,0.99,2.0,226.3
R-00276,WQ-002,2024-06-23,6.86,0.89,1.71,3.48,1.0,248.6
R-00277,WQ-002,2024-06-25,7.38,0.69,1.95,4.02,1.0,314.1
R-00278,WQ-002,2024-06-27,7.01,1.39,2.09,0.03,3.0,214.8
R-00279,WQ-002,2024-06-28,7.47,0.31,1.68,2.26,1.0,281.2
R-00280,WQ-002,2024-06-29,7.48,0.79,1.18,0.12,0.0,235.5
R-00281,WQ-003,2024-01-01,7.1,0.07,1.49,0.6,0.0,146.5
R-00282,WQ-003,2024-01-03,7.77,0.66,1.19,0.19,1.0,200.0
R-00283,WQ-003,2024-01-04,,1.26,1.62,2.26,2.0,194.2
R-00284,WQ-003,2024-01-05,7.28,1.04,1.97,1.63,1.0,137.7
R-00285,WQ-003,2024-01-06,,0.1,1.79,0.0,2.0,135.1
R-00286,WQ-003,2024-01-07,6.97,0.64,2.07,0.98,0.0,120.6
R-00287,WQ-003,2024-01-08,7.58,0.32,1.64,0.73,1.0,260.3
R-00288,WQ-003,2024-01-09,7.54,1.12,1.5,2.62,1.0,254.2
R-00289,WQ-003,2024-01-10,7.18,0.7,1.11,,0.0,259.0
R-00290,WQ-003,2024-01-11,7.88,0.29,1.83,3.32,1.0,211.9
R-00291,WQ-003,2024-01-12,7.41,0.02,1.4,0.76,0.0,238.3
R-00292,WQ-003,2024-01-14,7.5,0.1,1.67,0.95,0.0,203.9
R-00293,WQ-003,2024-01-15,6.92,1.72,1.4,1.07,1.0,164.5
R-00294,WQ-003,2024-01-16,7.79,0.52,2.08,1.03,1.0,290.4
R-00295,WQ-003,2024-01-17,7.5,0.69,1.6,0.85,2.0,159.2
R-00296,WQ-003,2024-01-18,7.22,0.72,1.7,3.53,0.0,274.5
R-00297,WQ-003,2024-01-19,7.37,0.03,1.17,1.04,,234.1
R-00298,WQ-003,2024-01-20,7.24,1.35,1.23,1.16,2.0,179.8
R-00299,WQ-003,2024-01-21,7.3,0.35,1.98,3.22,1.0,222.2
R-00300,WQ-003,2024-01-22,7.53,0.79,0.98,0.12,1.0,214.6
R-00301,WQ-003,2024-01-23,7.04,0.39,1.28,0.11,1.0,53.5
R-00302,WQ-003,2024-01-24,7.82,0.67,1.56,6.43,0.0,251.2
R-00303,WQ-003,2024-01-27,6.71,,1.55,9.11,2.0,248.9
R-00304,WQ-003,2024-01-28,6.57,0.02,1.1,0.21,5.0,174.2
R-00305,WQ-003,2024-01-29,7.39,0.63,1.92,1.29,4.0,190.8
R-00306,WQ-003,2024-01-30,7.09,0.41,1.63,0.4,2.0,196.9
R-00307,WQ-003,2024-02-01,6.96,0.43,1.67,1.59,1.0,207.9
R-00308,WQ-003,2024-02-05,7.2,0.35,1.42,1.08,1.0,303.4
R-00309,WQ-003,2024-02-06,7.56,0.66,1.25,0.61,2.0,268.8
R-00310,WQ-003,2024-02-07,7.29,0.58,0.76,2.65,0.0,198.4
R-00311,WQ-003,2024-02-08,7.37,1.82,0.5,0.44,0.0,211.5
R-00312,WQ-003,2024-02-09,7.52,0.16,1.17,0.57,1.0,168.1
R-00313,WQ-003,2024-02-10,6.75,0.27,1.54,1.02,3.0,253.4
R-00314,WQ-003,2024-02-11,7.38,0.91,1.11,4.24,0.0,250.4
R-00315,WQ-003,2024-02-12,6.86,1.14,1.8,2.85,1.0,132.5
R-00316,WQ-003,2024-02-13,7.08,2.7,1.11,2.23,2.0,185.8
R-00317,WQ-003,2024-02-14,7.05,0.25,0.93,0.44,2.0,188.2
R-00318,WQ-003,2024-02-15,7.42,0.05,1.1,0.57,1.0,198.2
R-00319,WQ-003,2024-02-16,7.3,0.92,1.56,0.81,1.0,208.0
R-00320,WQ-003,2024-02-17,7.86,0.87,1.79,5.83,1.0,229.5
R-00321,WQ-003,2024-02-19,7.22,0.52,1.44,3.78,1.0,216.9
R-00322,WQ-003,2024-02-22,7.1,0.09,1.69,2.39,1.0,246.9
R-00323,WQ-003,2024-02-24,6.78,,1.82,5.7,1.0,173.8
R-00324,WQ-003,2024-02-25,7.61,0.59,1.91,1.41,1.0,192.1
R-00325,WQ-003,2024-02-26,7.62,0.17,1.35,3.43,2.0,140.0
R-00326,WQ-003,2024-02-27,6.51,,1.32,0.46,1.0,192.0
R-00327,WQ-003,2024-02-28,7.24,2.11,1.38,1.13,,91.1
R-00328,WQ-003,2024-02-29,7.25,0.04,2.0,0.83,,177.6
R-00329,WQ-003,2024-03-01,,3.47,1.62,14.05,7.0,211.3
R-00330,WQ-003,2024-03-02,7.59,0.29,1.19,8.69,14.0,162.0
R-00331,WQ-003,2024-03-03,6.88,0.31,1.08,11.34,13.0,215.8
R-00332,WQ-003,2024-03-04,7.59,0.57,1.43,9.83,4.0,210.6
R-00333,WQ-003,2024-03-05,7.44,0.14,2.02,8.62,10.0,136.8
R-00334,WQ-003,2024-03-07,7.16,1.19,1.98,14.84,16.0,126.2
