inspection_id,station_id,inspection_date,inspector_id,result,deficiency_count,corrective_action_required
INS-0079,WQ-025,2024-04-18,INS-B,FAIL,7,YES
INS-0080,WQ-025,2024-05-23,INS-B,PASS,0,NO
INS-0081,WQ-026,2024-03-05,INS-D,FAIL,4,YES
INS-0082,WQ-026,2024-06-04,INS-A,PASS,0,NO
INS-0083,WQ-027,2024-01-27,INS-A,FAIL,1,YES
INS-0084,WQ-027,2024-02-10,INS-C,PASS,0,NO
INS-0085,WQ-027,2024-03-24,INS-E,PASS,0,NO
INS-0086,WQ-027,2024-04-11,INS-B,PASS,0,NO
INS-0087,WQ-027,2024-06-21,INS-D,PASS,0,NO
INS-0088,WQ-028,2024-01-09,INS-E,FAIL,4,YES
INS-0089,WQ-028,2024-03-27,INS-C,PASS,0,NO
INS-0090,WQ-028,2024-04-25,INS-A,PASS,0,NO
INS-0091,WQ-028,2024-06-16,INS-B,PASS,0,NO
INS-0092,WQ-029,2024-01-22,INS-E,FAIL,2,YES
INS-0093,WQ-029,2024-02-12,INS-A,PASS,0,NO
INS-0094,WQ-029,2024-03-24,INS-C,PASS,0,NO
INS-0095,WQ-029,2024-05-13,INS-D,PASS,0,NO
INS-0096,WQ-029,2024-06-09,INS-C,PASS,0,NO
INS-0097,WQ-030,2024-01-25,INS-A,PASS,0,NO
INS-0098,WQ-030,2024-03-04,INS-B,PASS,0,NO
INS-0099,WQ-030,2024-04-24,INS-E,FAIL,3,YES
INS-0100,WQ-030,2024-05-15,INS-D,FAIL,4,YES
INS-0101,WQ-030,2024-06-12,INS-C,FAIL,3,YES
